refdate,ticker,close,target,pct,status
11/25/2021,ADRO,1745,1300,29.23,0
11/25/2021,ANTM,2440,2000,19.82,0
11/25/2021,ASII,6225,5000,21.83,0
11/25/2021,BBCA,7425,6200,17.98,0
11/25/2021,BBNI,7175,5000,35.73,0
11/25/2021,BBRI,4220,3500,18.65,0
11/25/2021,BBTN,1820,1300,33.33,0
11/25/2021,BMRI,7350,5700,25.29,0
11/25/2021,BRPT,1075,800,29.33,0
11/25/2021,BSDE,1140,950,18.18,0
11/25/2021,CPIN,5925,5700,3.87,1
11/25/2021,EXCL,3010,2300,26.74,0
11/25/2021,GGRM,33450,25000,28.91,0
11/25/2021,HMSP,1025,800,24.66,0
11/25/2021,ICBP,8950,8200,8.75,0
11/25/2021,INCO,4930,3500,33.93,0
11/25/2021,INDF,6475,6100,5.96,0
11/25/2021,INKP,8300,6000,32.17,0
11/25/2021,KLBF,1620,1350,18.18,0
11/25/2021,MDKA,3650,2750,28.12,0
11/25/2021,MIKA,2250,2220,1.34,1
11/25/2021,PGAS,1630,1050,43.28,0
11/25/2021,PTBA,2700,2100,25.00,0
11/25/2021,SIDO,915,770,17.21,0
11/25/2021,SMGR,8525,8500,0.29,1
11/25/2021,TBIG,3030,2500,19.17,0
11/25/2021,TINS,1680,1000,50.75,0
11/25/2021,TKIM,8150,6500,22.53,0
11/25/2021,TLKM,4000,3000,28.57,0
11/25/2021,TOWR,1190,800,39.20,0
11/25/2021,UNVR,4820,4000,18.59,0
