<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
2/18/2021,IHSG,6230.357,6281.358,6200.308,6200.308,188966503
2/18/2021,AALI,11100,11200,11025,11050,661700
2/18/2021,ABBA,64,86,64,86,568282500
2/18/2021,ABDA,6100,6100,6100,6100,0
2/18/2021,ABMM,755,765,740,765,86700
2/18/2021,ACES,1630,1635,1600,1600,24290600
2/18/2021,ACST,410,412,400,402,27468500
2/18/2021,ADES,1685,1740,1645,1700,137800
2/18/2021,ADHI,1455,1495,1430,1430,18053600
2/18/2021,ADMF,8500,8650,8500,8575,57300
2/18/2021,ADMG,174,177,172,175,918700
2/18/2021,ADRO,1180,1200,1165,1175,68479800
2/18/2021,AGAR,402,402,402,402,1000
2/18/2021,AGII,1545,1580,1460,1465,26353300
2/18/2021,AGRO,1075,1135,1030,1095,227006900
2/18/2021,AGRS,256,318,246,274,6818800
2/18/2021,AHAP,57,60,55,60,468900
2/18/2021,AIMS,141,142,136,137,7900
2/18/2021,AISA,300,316,296,314,73466100
2/18/2021,AKKU,50,50,50,50,1900
2/18/2021,AKPI,480,482,460,460,12700
2/18/2021,AKRA,3500,3510,3440,3460,26302500
2/18/2021,AKSI,945,945,880,900,48600
2/18/2021,ALDO,470,470,442,448,13400
2/18/2021,ALKA,250,250,238,240,2100
2/18/2021,ALMI,252,252,252,252,2300
2/18/2021,ALTO,340,340,340,340,0
2/18/2021,AMAG,238,238,224,228,39700
2/18/2021,AMAN,296,296,296,296,128400
2/18/2021,AMAR,338,350,318,318,6535600
2/18/2021,AMFG,3090,3130,3070,3130,168100
2/18/2021,AMIN,298,298,280,280,3500
2/18/2021,AMOR,3180,3180,3150,3160,563300
2/18/2021,AMRT,780,830,780,810,4367200
2/18/2021,ANDI,51,52,50,51,6588100
2/18/2021,ANJT,645,655,645,650,13700
2/18/2021,ANTM,2700,2820,2670,2780,349948000
2/18/2021,APEX,540,540,505,505,240800
2/18/2021,APIC,835,840,815,815,13884400
2/18/2021,APII,174,177,173,173,276300
2/18/2021,APLI,191,191,191,191,0
2/18/2021,APLN,174,183,174,180,135379600
2/18/2021,ARGO,1710,1750,1600,1750,6300
2/18/2021,ARII,176,176,166,167,36400
2/18/2021,ARKA,50,50,50,50,62200
2/18/2021,ARMY,50,50,50,50,0
2/18/2021,ARNA,750,750,730,735,2916000
2/18/2021,ARTA,268,328,260,270,72800
2/18/2021,ARTI,50,50,50,50,7400
2/18/2021,ARTO,8650,8825,8425,8600,6010700
2/18/2021,ASBI,302,304,294,294,2500
2/18/2021,ASDM,890,895,890,895,1900
2/18/2021,ASGR,790,800,785,795,313000
2/18/2021,ASII,5750,5875,5725,5725,56765900
2/18/2021,ASJT,220,224,220,220,173900
2/18/2021,ASMI,950,950,945,945,9600
2/18/2021,ASPI,65,65,63,64,1034300
2/18/2021,ASPI-W,8,8,7,7,264400
2/18/2021,ASRI,240,248,238,244,244150700
2/18/2021,ASRM,1625,1630,1625,1630,200
2/18/2021,ASSA,1320,1460,1305,1365,55450800
2/18/2021,ATAP,114,122,107,118,420200
2/18/2021,ATIC,680,720,670,720,800
2/18/2021,AUTO,1035,1045,1020,1025,1276000
2/18/2021,AYLS,50,50,50,50,1100
2/18/2021,BABP,69,87,64,66,1225321800
2/18/2021,BABP-W3,58,65,32,58,219400
2/18/2021,BABP-W4,19,24,15,17,69230700
2/18/2021,BACA,720,825,630,635,79231900
2/18/2021,BACA-W2,80,80,80,80,0
2/18/2021,BAJA,119,121,118,119,166200
2/18/2021,BALI,700,740,690,705,172700
2/18/2021,BANK,1120,1120,1120,1120,0
2/18/2021,BANK-W,1125,1125,1125,1125,0
2/18/2021,BAPA,50,50,50,50,89300
2/18/2021,BAPI,50,50,50,50,83400
2/18/2021,BAPI-W,2,2,1,2,3765000
2/18/2021,BATA,630,650,630,640,3900
2/18/2021,BAYU,1050,1070,1050,1070,1200
2/18/2021,BBCA,34250,34500,33675,33675,18240800
2/18/2021,BBHI,820,880,805,830,8306900
2/18/2021,BBKP,550,560,530,535,207483500
2/18/2021,BBLD,360,374,350,374,304600
2/18/2021,BBMD,1445,1445,1445,1445,1400
2/18/2021,BBNI,6100,6200,6000,6025,32197800
2/18/2021,BBRI,4700,4770,4650,4670,138260600
2/18/2021,BBRM,50,50,50,50,400
2/18/2021,BBSI,1250,1300,1205,1245,51200
2/18/2021,BBSS,85,86,83,84,134400
2/18/2021,BBSS-W,3,3,2,2,7454600
2/18/2021,BBTN,1875,1910,1845,1860,97525600
2/18/2021,BBYB,540,640,484,496,23019300
2/18/2021,BCAP,139,142,135,137,30211800
2/18/2021,BCIC,700,700,700,700,0
2/18/2021,BCIP,64,64,62,64,1044900
2/18/2021,BDMN,3250,3260,3170,3170,1474100
2/18/2021,BEEF,139,142,138,139,2910600
2/18/2021,BEKS,87,92,87,87,257130000
2/18/2021,BELL,148,148,147,148,2266600
2/18/2021,BESS,270,274,260,270,2404200
2/18/2021,BESS-W,125,150,125,143,763000
2/18/2021,BEST,167,171,165,167,51875000
2/18/2021,BFIN,735,750,715,725,22484700
2/18/2021,BGTG,121,143,101,101,459864100
2/18/2021,BHAT,640,645,625,625,195131700
2/18/2021,BHIT,61,66,60,60,185501200
2/18/2021,BIKA,165,174,165,173,10400
2/18/2021,BIMA,50,50,50,50,0
2/18/2021,BINA,1440,1450,1390,1420,3455200
2/18/2021,BIPI,50,50,50,50,254200
2/18/2021,BIPI-W,9,10,9,10,516300
2/18/2021,BIPP,50,50,50,50,133000
2/18/2021,BIRD,1345,1380,1315,1330,1346500
2/18/2021,BISI,1145,1145,1130,1135,310500
2/18/2021,BJBR,1575,1615,1550,1580,12261100
2/18/2021,BJTM,775,825,775,810,84401000
2/18/2021,BKDP,51,51,50,51,200700
2/18/2021,BKSL,50,52,50,50,237982400
2/18/2021,BKSW,114,116,100,100,72667200
2/18/2021,BLTA,50,50,50,50,15400
2/18/2021,BLTZ,2600,2600,2600,2600,0
2/18/2021,BLUE,695,700,690,695,203200
2/18/2021,BMAS,540,655,490,515,1993100
2/18/2021,BMRI,6250,6400,6225,6250,56994500
2/18/2021,BMSR,75,80,72,75,114000
2/18/2021,BMTR,264,272,260,264,46027200
2/18/2021,BNBA,1165,1165,1165,1165,0
2/18/2021,BNBR,50,50,50,50,34100
2/18/2021,BNGA,985,995,975,980,1785700
2/18/2021,BNII,388,388,370,370,17381700
2/18/2021,BNLI,2500,2650,2440,2440,2137100
2/18/2021,BOGA,1385,1405,1375,1375,74308500
2/18/2021,BOLA,296,314,296,312,3539300
2/18/2021,BOLT,735,760,735,760,7700
2/18/2021,BOSS,126,130,124,126,16070500
2/18/2021,BPFI,1080,1080,1080,1080,200
2/18/2021,BPII,7950,7950,7950,7950,0
2/18/2021,BPTR,76,78,76,76,12400
2/18/2021,BRAM,4830,4840,4800,4800,700
2/18/2021,BRIS,2740,2780,2650,2700,72502400
2/18/2021,BRMS,83,87,82,86,142750700
2/18/2021,BRNA,1200,1200,1200,1200,200
2/18/2021,BRPT,1090,1105,1055,1055,39228000
2/18/2021,BRPT-W,760,760,760,760,1400
2/18/2021,BSDE,1245,1275,1240,1255,51045900
2/18/2021,BSIM,695,700,650,680,261300
2/18/2021,BSIM-W3,60,70,50,50,529000
