,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126088,8275.0,8325.0,8375.0,8250.0,554900,AALI,2020-07-01,,,,,
133509,8325.0,8450.0,8525.0,8300.0,1235500,AALI,2020-07-02,,,,,
107183,8500.0,8550.0,8575.0,8475.0,1151800,AALI,2020-07-03,,,,,
89042,8600.0,8600.0,8675.0,8525.0,1703600,AALI,2020-07-06,,,,,
33769,8700.0,8700.0,8825.0,8625.0,1707800,AALI,2020-07-07,,,,,
51117,8700.0,8650.0,8750.0,8500.0,1065500,AALI,2020-07-08,,,,,
119512,8675.0,8675.0,8750.0,8650.0,897200,AALI,2020-07-09,,,,,
23066,8725.0,8475.0,8725.0,8425.0,798700,AALI,2020-07-10,,,,,8553.125
14830,8550.0,8575.0,8650.0,8475.0,1015400,AALI,2020-07-13,,,,,8557.986111111111
31308,8550.0,8575.0,8600.0,8400.0,2109100,AALI,2020-07-14,,,,8557.5,8561.766975308643
94815,8625.0,8850.0,9175.0,8625.0,7281300,AALI,2020-07-15,,,,8610.0,8625.818758573389
21421,8900.0,8975.0,9125.0,8900.0,3569300,AALI,2020-07-16,,,,8662.5,8703.414590001525
109621,9025.0,9175.0,9275.0,8875.0,3210300,AALI,2020-07-17,,,,8725.0,8808.211347778964
82455,9250.0,9425.0,9750.0,9250.0,7873200,AALI,2020-07-20,,,,8807.5,8945.275492716972
107992,9525.0,9550.0,9675.0,9350.0,3280700,AALI,2020-07-21,,,,8892.5,9079.658716557644
98935,9550.0,9475.0,9675.0,9450.0,2662800,AALI,2020-07-22,,,,8975.0,9167.51233510039
8239,9525.0,9425.0,9550.0,9400.0,2523000,AALI,2020-07-23,,,,9050.0,9224.731816189193
106370,9450.0,9375.0,9550.0,9200.0,2017000,AALI,2020-07-24,,,,9140.0,9258.124745924928
59366,9475.0,9400.0,9600.0,9400.0,1525500,AALI,2020-07-27,,,,9222.5,9289.652580163833
42855,9400.0,9300.0,9400.0,9250.0,1451500,AALI,2020-07-28,,,,9295.0,9291.952006794092
116223,9400.0,9700.0,9700.0,9300.0,4891100,AALI,2020-07-29,,,,9380.0,9382.629338617628
84909,9750.0,9700.0,10225.0,9700.0,4630200,AALI,2020-07-30,,,,9452.5,9453.156152258154
122809,9650.0,9550.0,9700.0,9025.0,4558600,AALI,2020-08-03,,,,9490.0,9474.677007311897
6602,9600.0,9700.0,9800.0,9500.0,1863000,AALI,2020-08-04,,,,9517.5,9524.74878346481
57722,9725.0,9750.0,9800.0,9550.0,2306100,AALI,2020-08-05,,,,9537.5,9574.804609361518
74211,9775.0,9700.0,9800.0,9675.0,1413500,AALI,2020-08-06,,,,9560.0,9602.62580728118
46160,9750.0,9750.0,10175.0,9725.0,6247200,AALI,2020-08-07,,,,9592.5,9635.375627885362
103891,9850.0,10125.0,10125.0,9750.0,3044700,AALI,2020-08-10,,,,9667.5,9744.181043910838
56906,10100.0,10175.0,10225.0,10000.0,2096800,AALI,2020-08-11,,,,9745.0,9839.91858970843
125272,10100.0,10000.0,10200.0,9850.0,2736100,AALI,2020-08-12,,,9222.5,9815.0,9875.49223643989
66787,10175.0,10150.0,10425.0,10075.0,2707700,AALI,2020-08-13,,,9283.333333333334,9860.0,9936.49396167547
