,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126092,1510.0,1465.0,1530.0,1460.0,16645900,ACES,2020-07-01,,,,,
133513,1475.0,1500.0,1500.0,1465.0,7339200,ACES,2020-07-02,,,,,
107187,1500.0,1490.0,1505.0,1470.0,5860300,ACES,2020-07-03,,,,,
89046,1450.0,1485.0,1500.0,1450.0,8565100,ACES,2020-07-06,,,,,
33773,1495.0,1540.0,1550.0,1495.0,17824700,ACES,2020-07-07,,,,,
51121,1540.0,1545.0,1555.0,1530.0,12166800,ACES,2020-07-08,,,,,
119516,1540.0,1560.0,1570.0,1540.0,8125300,ACES,2020-07-09,,,,,
23070,1560.0,1555.0,1565.0,1520.0,5855600,ACES,2020-07-10,,,,,1517.5
14834,1555.0,1630.0,1635.0,1555.0,16774700,ACES,2020-07-13,,,,,1542.5
31312,1640.0,1650.0,1650.0,1610.0,13052800,ACES,2020-07-14,,,,1542.0,1566.388888888889
94819,1650.0,1680.0,1680.0,1635.0,11953300,ACES,2020-07-15,,,,1563.5,1591.6358024691358
21425,1680.0,1650.0,1685.0,1630.0,10489400,ACES,2020-07-16,,,,1578.5,1604.605624142661
109625,1650.0,1635.0,1650.0,1620.0,9461200,ACES,2020-07-17,,,,1593.0,1611.3599298887364
82459,1635.0,1555.0,1650.0,1550.0,14598900,ACES,2020-07-20,,,,1600.0,1598.8355010245727
107996,1555.0,1650.0,1665.0,1555.0,17024300,ACES,2020-07-21,,,,1611.0,1610.2053896857788
98939,1660.0,1625.0,1685.0,1600.0,10969700,ACES,2020-07-22,,,,1619.0,1613.4930808667168
8243,1625.0,1655.0,1660.0,1625.0,7500900,ACES,2020-07-23,,,,1628.5,1622.716840674113
106374,1660.0,1640.0,1660.0,1625.0,10768800,ACES,2020-07-24,,,,1637.0,1626.5575427465324
59370,1650.0,1650.0,1665.0,1630.0,4744700,ACES,2020-07-27,,,,1639.0,1631.7669776917473
42859,1655.0,1685.0,1690.0,1640.0,12864500,ACES,2020-07-28,,,,1642.5,1643.5965382046925
116227,1695.0,1740.0,1815.0,1690.0,19265400,ACES,2020-07-29,,,,1648.5,1665.019529714761
84913,1740.0,1750.0,1795.0,1740.0,13366200,ACES,2020-07-30,,,,1658.5,1683.9040786670362
122813,1750.0,1700.0,1760.0,1630.0,20586400,ACES,2020-08-03,,,,1665.0,1687.4809500743615
6606,1700.0,1680.0,1700.0,1670.0,11673400,ACES,2020-08-04,,,,1677.5,1685.8185167245035
57726,1700.0,1685.0,1700.0,1650.0,5225400,ACES,2020-08-05,,,,1681.0,1685.6366241190583
74215,1690.0,1650.0,1695.0,1625.0,20134100,ACES,2020-08-06,,,,1683.5,1677.717374314823
46164,1645.0,1660.0,1690.0,1645.0,14610700,ACES,2020-08-07,,,,1684.0,1673.78018002264
103895,1660.0,1660.0,1685.0,1655.0,9431400,ACES,2020-08-10,,,,1686.0,1670.7179177953867
56910,1670.0,1650.0,1680.0,1625.0,17365600,ACES,2020-08-11,,,,1686.0,1666.1139360630787
125276,1650.0,1640.0,1660.0,1630.0,9931500,ACES,2020-08-12,,,1622.0,1681.5,1660.3108391601722
66791,1645.0,1635.0,1650.0,1630.0,8320800,ACES,2020-08-13,,,1627.6666666666667,1671.0,1654.6862082356895
92362,1620.0,1600.0,1625.0,1575.0,20932000,ACES,2020-08-14,,,1631.0,1656.0,1642.5337175166474
65147,1575.0,1620.0,1645.0,1575.0,20415200,ACES,2020-08-18,,,1635.3333333333333,1648.0,1637.5262247351702
94003,1620.0,1615.0,1630.0,1605.0,8549200,ACES,2020-08-19,,,1639.6666666666667,1641.5,1632.5203970162436
9891,1615.0,1620.0,1625.0,1610.0,14272400,ACES,2020-08-24,,,1642.3333333333333,1635.0,1629.7380865681894
134322,1625.0,1650.0,1670.0,1620.0,25988600,ACES,2020-08-25,,,1645.8333333333333,1635.0,1634.2407339974807
108809,1650.0,1645.0,1665.0,1635.0,11584700,ACES,2020-08-26,,,1648.6666666666667,1633.5,1636.6316819980404
3311,1645.0,1610.0,1645.0,1590.0,21248600,ACES,2020-08-27,,,1650.5,1628.5,1630.7135304429203
83272,1615.0,1605.0,1615.0,1600.0,13066500,ACES,2020-08-28,,,1649.6666666666667,1624.0,1624.9994125667158
27191,1600.0,1545.0,1620.0,1500.0,29206500,ACES,2020-08-31,,,1646.1666666666667,1614.5,1607.221765329668
34586,1545.0,1585.0,1600.0,1545.0,20611500,ACES,2020-09-01,,,1643.0,1609.5,1602.2835952564085
38724,1570.0,1625.0,1625.0,1570.0,25093000,ACES,2020-09-02,,,1642.1666666666667,1612.0,1607.3316851994289
