,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
13,1150.0,1070.0,1150.0,1065.0,19673800,AGII,2021-04-01,,,,,
853,1030.0,1040.0,1080.0,1005.0,10199600,AGII,2021-04-05,,,,,
1693,1050.0,1045.0,1105.0,1025.0,13377500,AGII,2021-04-06,,,,,
2533,1060.0,1020.0,1065.0,1010.0,8023200,AGII,2021-04-07,,,,,
3375,1010.0,1080.0,1080.0,1000.0,11205800,AGII,2021-04-08,,,,,
4217,1090.0,1110.0,1145.0,1080.0,16895900,AGII,2021-04-09,,,,,
5060,1115.0,1055.0,1125.0,1040.0,7861100,AGII,2021-04-12,,,,,
5904,1055.0,1050.0,1065.0,1040.0,3843200,AGII,2021-04-13,,,,,1058.75
6748,1050.0,1100.0,1100.0,1050.0,5890100,AGII,2021-04-14,,,,,1067.9166666666667
7593,1105.0,1100.0,1115.0,1070.0,4804700,AGII,2021-04-15,,,,1067.0,1075.0462962962963
8438,1105.0,1190.0,1220.0,1095.0,25700900,AGII,2021-04-16,,,,1079.0,1100.5915637860082
9282,1200.0,1145.0,1210.0,1125.0,8409600,AGII,2021-04-19,,,,1089.5,1110.4601051668953
10126,1140.0,1130.0,1145.0,1110.0,3472600,AGII,2021-04-20,,,,1098.0,1114.8023040186963
10970,1125.0,1100.0,1130.0,1100.0,3471700,AGII,2021-04-21,,,,1106.0,1111.5129031256527
11814,1105.0,1080.0,1115.0,1080.0,3108300,AGII,2021-04-22,,,,1106.0,1104.5100357643964
12658,1090.0,1120.0,1130.0,1055.0,6248500,AGII,2021-04-23,,,,1107.0,1107.952250038975
13502,1120.0,1100.0,1135.0,1085.0,2617700,AGII,2021-04-26,,,,1111.5,1106.1850833636472
14345,1100.0,1090.0,1110.0,1080.0,1694300,AGII,2021-04-27,,,,1115.5,1102.5883981717257
15188,1090.0,1110.0,1130.0,1080.0,6887100,AGII,2021-04-28,,,,1116.5,1104.2354208002312
16032,1120.0,1105.0,1130.0,1100.0,2782400,AGII,2021-04-29,,,,1117.0,1104.4053272890687
16876,1105.0,1115.0,1145.0,1090.0,6011900,AGII,2021-04-30,,,,1109.5,1106.759699002609
17720,1115.0,1160.0,1160.0,1105.0,9437800,AGII,2021-05-03,,,,1111.0,1118.5908770020292
18563,1175.0,1135.0,1180.0,1130.0,7789800,AGII,2021-05-04,,,,1111.5,1122.2373487793561
19406,1135.0,1120.0,1145.0,1115.0,3614200,AGII,2021-05-05,,,,1113.5,1121.7401601617214
20250,1120.0,1110.0,1130.0,1100.0,3416300,AGII,2021-05-06,,,,1116.5,1119.131235681339
21094,1125.0,1095.0,1125.0,1095.0,2595000,AGII,2021-05-07,,,,1114.0,1113.7687388632637
21938,1095.0,1105.0,1130.0,1095.0,3971600,AGII,2021-05-10,,,,1114.5,1111.8201302269829
22781,1110.0,1080.0,1110.0,1075.0,6248000,AGII,2021-05-11,,,,1113.5,1104.7489901765423
23624,1080.0,1035.0,1090.0,1020.0,4770800,AGII,2021-05-17,,,,1106.0,1089.249214581755
24464,1035.0,1040.0,1055.0,1015.0,2719200,AGII,2021-05-18,,,1094.5,1099.5,1078.3049446746984
25304,1040.0,1020.0,1045.0,1015.0,2720600,AGII,2021-05-19,,,1092.8333333333333,1090.0,1065.348290302543
26146,1020.0,1015.0,1030.0,1010.0,2448800,AGII,2021-05-20,,,1092.0,1075.5,1054.1597813464225
27028,1015.0,1010.0,1030.0,1005.0,2783700,AGII,2021-05-21,,,1090.8333333333333,1063.0,1044.346496602773
27868,1010.0,965.0,1020.0,960.0,6703800,AGII,2021-05-24,,,1089.0,1047.5,1026.7139418021568
28710,965.0,1025.0,1040.0,935.0,13190200,AGII,2021-05-25,,,1087.1666666666667,1039.0,1026.333065846122
29501,1035.0,1110.0,1120.0,1035.0,16702600,AGII,2021-05-27,,,1087.1666666666667,1040.5,1044.925717880317
30343,1110.0,1090.0,1120.0,1060.0,4870500,AGII,2021-05-28,,,1088.3333333333333,1039.0,1054.9422250180244
31185,1095.0,1090.0,1110.0,1065.0,3743200,AGII,2021-05-31,,,1089.6666666666667,1040.0,1062.7328416806856
32027,1090.0,1115.0,1145.0,1075.0,8805600,AGII,2021-06-02,,,1090.1666666666667,1048.0,1074.3477657516444
32869,1115.0,1105.0,1130.0,1105.0,3412500,AGII,2021-06-03,,,1090.3333333333333,1054.5,1081.1593733623902
33710,1110.0,1090.0,1125.0,1080.0,4056600,AGII,2021-06-04,,,1087.0,1061.5,1083.1239570596367
34551,1090.0,1050.0,1095.0,1035.0,4182000,AGII,2021-06-07,,,1083.8333333333333,1065.0,1075.7630777130507
35392,1050.0,1035.0,1060.0,1030.0,2825900,AGII,2021-06-08,,,1080.6666666666667,1067.5,1066.7046159990396
36235,1035.0,1055.0,1100.0,1020.0,4371100,AGII,2021-06-09,,,1079.1666666666667,1076.5,1064.1035902214753
37078,1070.0,1095.0,1115.0,1055.0,7392600,AGII,2021-06-10,,,1079.6666666666667,1083.5,1070.9694590611475
37925,1110.0,1125.0,1125.0,1080.0,6110800,AGII,2021-06-11,,,1079.8333333333333,1085.0,1082.976245936448
38772,1125.0,1160.0,1185.0,1125.0,13964800,AGII,2021-06-14,,,1081.8333333333333,1092.0,1100.0926357283486
39619,1165.0,1095.0,1175.0,1090.0,8994300,AGII,2021-06-15,,,1082.0,1092.5,1098.9609388998267
