,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121098,94.0,93.0,100.0,93.0,66900,AGRS,2020-07-01,,,,,
128519,94.0,99.0,99.0,93.0,60300,AGRS,2020-07-02,,,,,
102193,95.0,98.0,103.0,95.0,139800,AGRS,2020-07-03,,,,,
84886,98.0,107.0,109.0,95.0,382500,AGRS,2020-07-06,,,,,
33783,107.0,102.0,107.0,100.0,116200,AGRS,2020-07-07,,,,,
47795,102.0,100.0,102.0,96.0,51900,AGRS,2020-07-08,,,,,
114522,100.0,102.0,104.0,100.0,17200,AGRS,2020-07-09,,,,,
23080,100.0,100.0,100.0,98.0,24200,AGRS,2020-07-10,,,,,100.125
14844,100.0,100.0,100.0,100.0,10100,AGRS,2020-07-13,,,,,100.09722222222223
31322,98.0,98.0,104.0,93.0,231600,AGRS,2020-07-14,,,,99.9,99.63117283950618
89825,103.0,104.0,107.0,102.0,294300,AGRS,2020-07-15,,,,101.0,100.60202331961591
21435,104.0,104.0,105.0,104.0,55600,AGRS,2020-07-16,,,,101.5,101.35712924859016
104631,106.0,102.0,106.0,100.0,140800,AGRS,2020-07-17,,,,101.9,101.49998941557013
78299,102.0,101.0,102.0,101.0,12400,AGRS,2020-07-20,,,,101.3,101.38888065655455
103002,105.0,101.0,105.0,101.0,38600,AGRS,2020-07-21,,,,101.2,101.30246273287575
93945,101.0,101.0,104.0,101.0,85600,AGRS,2020-07-22,,,,101.3,101.2352487922367
8253,103.0,101.0,103.0,101.0,13700,AGRS,2020-07-23,,,,101.2,101.18297128285077
101380,101.0,105.0,106.0,101.0,983100,AGRS,2020-07-24,,,,101.7,102.03119988666171
55210,105.0,141.0,141.0,105.0,1167100,AGRS,2020-07-27,,,,105.8,110.69093324518133
41201,146.0,173.0,188.0,146.0,1262200,AGRS,2020-07-28,,,,113.3,124.53739252402993
111233,173.0,161.0,176.0,161.0,340700,AGRS,2020-07-29,,,,119.0,132.64019418535662
80753,150.0,155.0,160.0,150.0,368800,AGRS,2020-07-30,,,,124.1,137.60903992194403
117819,155.0,145.0,155.0,145.0,621900,AGRS,2020-08-03,,,,128.4,139.25147549484535
6616,140.0,142.0,142.0,140.0,30500,AGRS,2020-08-04,,,,132.5,139.86225871821304
53566,142.0,142.0,142.0,138.0,41400,AGRS,2020-08-05,,,,136.6,140.33731233638792
70055,142.0,154.0,154.0,142.0,64900,AGRS,2020-08-06,,,,141.9,143.37346515052394
43672,146.0,146.0,154.0,146.0,108000,AGRS,2020-08-07,,,,146.4,143.95713956151863
98901,155.0,142.0,155.0,142.0,5600,AGRS,2020-08-10,,,,150.1,143.52221965895893
52750,142.0,149.0,150.0,142.0,21200,AGRS,2020-08-11,,,,150.9,144.73950417919028
120282,149.0,155.0,155.0,149.0,33100,AGRS,2020-08-12,,,120.76666666666667,149.1,147.01961436159243
62631,155.0,156.0,161.0,155.0,121700,AGRS,2020-08-13,,,122.86666666666666,148.6,149.01525561457188
87368,157.0,160.0,163.0,156.0,51200,AGRS,2020-08-14,,,124.9,149.1,151.4563099224448
60987,161.0,179.0,180.0,161.0,478200,AGRS,2020-08-18,,,127.6,152.5,157.57712993967928
89009,180.0,183.0,191.0,179.0,628000,AGRS,2020-08-19,,,130.13333333333333,156.6,163.22665661975054
9901,183.0,181.0,190.0,175.0,79000,AGRS,2020-08-24,,,132.76666666666668,160.5,167.1762884820282
129328,191.0,187.0,193.0,184.0,174300,AGRS,2020-08-25,,,135.66666666666666,163.8,171.58155770824416
103815,187.0,195.0,206.0,178.0,270300,AGRS,2020-08-26,,,138.76666666666668,168.7,176.78565599530103
3321,196.0,194.0,200.0,190.0,250300,AGRS,2020-08-27,,,141.9,173.9,180.61106577412303
79112,194.0,192.0,194.0,185.0,61200,AGRS,2020-08-28,,,144.96666666666667,178.2,183.14194004654013
27201,185.0,190.0,192.0,185.0,45600,AGRS,2020-08-31,,,148.03333333333333,181.7,184.66595336953122
34596,193.0,190.0,193.0,187.0,34600,AGRS,2020-09-01,,,150.9,185.1,185.85129706519095
38734,190.0,200.0,204.0,190.0,100300,AGRS,2020-09-02,,,154.1,189.1,188.99545327292628
68403,200.0,196.0,200.0,196.0,26700,AGRS,2020-09-03,,,157.23333333333332,190.8,190.552019212276
12377,196.0,196.0,199.0,196.0,15300,AGRS,2020-09-04,,,160.4,192.1,191.762681609548
26381,196.0,190.0,196.0,190.0,24200,AGRS,2020-09-07,,,163.36666666666667,193.0,191.370974585204
107926,180.0,182.0,185.0,180.0,152600,AGRS,2020-09-08,,,166.06666666666666,192.5,189.288535788492
121907,182.0,193.0,194.0,178.0,142600,AGRS,2020-09-09,,,169.13333333333333,192.3,190.11330561327156
7429,193.0,180.0,193.0,180.0,65700,AGRS,2020-09-10,,,171.63333333333333,190.9,187.8659043658779
17306,185.0,183.0,194.0,170.0,197800,AGRS,2020-09-11,,,173.03333333333333,190.0,186.7845922845717
44486,182.0,190.0,193.0,172.0,171100,AGRS,2020-09-14,,,173.6,190.0,187.49912733244466
65925,190.0,179.0,190.0,179.0,96900,AGRS,2020-09-15,,,174.2,188.9,185.6104323696792
839,182.0,180.0,182.0,180.0,400,AGRS,2020-09-16,,,175.03333333333333,186.9,184.3636696208616
