,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
17,200.0,252.0,252.0,188.0,273100,AIMS,2021-04-01,,,,,
857,272.0,300.0,314.0,264.0,2255500,AIMS,2021-04-05,,,,,
1697,300.0,280.0,300.0,280.0,90200,AIMS,2021-04-06,,,,,
2537,280.0,266.0,300.0,262.0,745700,AIMS,2021-04-07,,,,,
3379,266.0,266.0,288.0,254.0,130200,AIMS,2021-04-08,,,,,
4221,260.0,272.0,284.0,260.0,239700,AIMS,2021-04-09,,,,,
5064,272.0,340.0,340.0,256.0,2325500,AIMS,2021-04-12,,,,,
5908,350.0,340.0,418.0,340.0,8317200,AIMS,2021-04-13,,,,,289.5
6752,338.0,320.0,340.0,318.0,367900,AIMS,2021-04-14,,,,,296.27777777777777
7597,320.0,302.0,330.0,302.0,263900,AIMS,2021-04-15,,,,293.8,297.54938271604937
8442,302.0,284.0,326.0,282.0,499900,AIMS,2021-04-16,,,,297.0,294.5384087791495
9286,284.0,290.0,292.0,284.0,118100,AIMS,2021-04-19,,,,296.0,293.52987349489405
10130,292.0,318.0,338.0,292.0,462500,AIMS,2021-04-20,,,,299.8,298.9676793849176
10974,320.0,366.0,370.0,302.0,720000,AIMS,2021-04-21,,,,309.8,313.8637506327137
11818,366.0,456.0,456.0,364.0,4206900,AIMS,2021-04-22,,,,328.8,345.44958382544394
12662,476.0,430.0,570.0,426.0,4139300,AIMS,2021-04-23,,,,344.6,364.2385651975675
13506,408.0,400.0,408.0,400.0,228500,AIMS,2021-04-26,,,,350.6,372.18555070921917
14349,400.0,372.0,400.0,372.0,126200,AIMS,2021-04-27,,,,353.8,372.14431721828157
15192,372.0,346.0,372.0,346.0,163000,AIMS,2021-04-28,,,,356.4,366.33446894755235
16036,346.0,404.0,432.0,322.0,3471900,AIMS,2021-04-29,,,,366.6,374.7045869592074
16880,408.0,448.0,490.0,404.0,2814100,AIMS,2021-04-30,,,,383.0,390.99245652382797
17724,450.0,424.0,488.0,420.0,1730600,AIMS,2021-05-03,,,,396.4,398.3274661851995
18567,428.0,414.0,428.0,400.0,295600,AIMS,2021-05-04,,,,406.0,401.8102514773774
19410,414.0,424.0,446.0,414.0,321300,AIMS,2021-05-05,,,,411.8,406.7413067046269
20254,424.0,530.0,530.0,424.0,3447600,AIMS,2021-05-06,,,,419.2,434.132127436932
21098,610.0,494.0,610.0,494.0,4041500,AIMS,2021-05-07,,,,425.6,447.4360991176138
21942,494.0,478.0,498.0,460.0,694200,AIMS,2021-05-10,,,,433.4,454.2280770914774
