,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120268,50.0,50.0,50.0,50.0,0,AKKU,2020-07-01,,,,,
127689,50.0,50.0,50.0,50.0,0,AKKU,2020-07-02,,,,,
101363,50.0,50.0,50.0,50.0,900,AKKU,2020-07-03,,,,,
84056,50.0,50.0,50.0,50.0,0,AKKU,2020-07-06,,,,,
33787,50.0,50.0,50.0,50.0,0,AKKU,2020-07-07,,,,,
46965,50.0,50.0,50.0,50.0,1000,AKKU,2020-07-08,,,,,
113692,50.0,50.0,50.0,50.0,300,AKKU,2020-07-09,,,,,
23084,50.0,50.0,50.0,50.0,900,AKKU,2020-07-10,,,,,50.0
14848,50.0,50.0,50.0,50.0,0,AKKU,2020-07-13,,,,,50.0
31326,50.0,50.0,50.0,50.0,0,AKKU,2020-07-14,,,,50.0,50.0
88995,50.0,50.0,50.0,50.0,0,AKKU,2020-07-15,,,,50.0,50.0
21439,50.0,50.0,50.0,50.0,100,AKKU,2020-07-16,,,,50.0,50.0
103801,50.0,50.0,50.0,50.0,100,AKKU,2020-07-17,,,,50.0,50.0
77469,50.0,50.0,50.0,50.0,0,AKKU,2020-07-20,,,,50.0,50.0
102172,50.0,50.0,50.0,50.0,0,AKKU,2020-07-21,,,,50.0,50.0
93115,50.0,50.0,50.0,50.0,700,AKKU,2020-07-22,,,,50.0,50.0
8257,50.0,50.0,50.0,50.0,0,AKKU,2020-07-23,,,,50.0,50.0
100550,50.0,50.0,50.0,50.0,0,AKKU,2020-07-24,,,,50.0,50.0
54380,50.0,50.0,50.0,50.0,400,AKKU,2020-07-27,,,,50.0,50.0
41205,50.0,50.0,50.0,50.0,700,AKKU,2020-07-28,,,,50.0,50.0
110403,50.0,50.0,50.0,50.0,400,AKKU,2020-07-29,,,,50.0,50.0
79923,50.0,50.0,50.0,50.0,0,AKKU,2020-07-30,,,,50.0,50.0
116989,50.0,50.0,50.0,50.0,100,AKKU,2020-08-03,,,,50.0,50.0
6620,50.0,50.0,50.0,50.0,0,AKKU,2020-08-04,,,,50.0,50.0
52736,50.0,50.0,50.0,50.0,0,AKKU,2020-08-05,,,,50.0,50.0
69225,50.0,50.0,50.0,50.0,0,AKKU,2020-08-06,,,,50.0,50.0
42842,50.0,50.0,50.0,50.0,400,AKKU,2020-08-07,,,,50.0,50.0
98071,50.0,50.0,50.0,50.0,0,AKKU,2020-08-10,,,,50.0,50.0
51920,50.0,50.0,50.0,50.0,300,AKKU,2020-08-11,,,,50.0,50.0
119452,50.0,50.0,50.0,50.0,0,AKKU,2020-08-12,,,50.0,50.0,50.0
61801,50.0,50.0,50.0,50.0,300,AKKU,2020-08-13,,,50.0,50.0,50.0
