,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120271,545.0,510.0,550.0,510.0,138800,AKSI,2020-07-01,,,,,
127692,510.0,476.0,510.0,476.0,149700,AKSI,2020-07-02,,,,,
101366,476.0,444.0,476.0,444.0,336500,AKSI,2020-07-03,,,,,
84059,444.0,414.0,444.0,414.0,4800,AKSI,2020-07-06,,,,,
33790,414.0,386.0,416.0,386.0,41300,AKSI,2020-07-07,,,,,
46968,360.0,360.0,360.0,360.0,22900,AKSI,2020-07-08,,,,,
113695,362.0,336.0,362.0,336.0,27300,AKSI,2020-07-09,,,,,
23087,330.0,314.0,350.0,314.0,162400,AKSI,2020-07-10,,,,,405.0
14851,314.0,294.0,314.0,294.0,441100,AKSI,2020-07-13,,,,,380.3333333333333
31329,294.0,290.0,300.0,284.0,260900,AKSI,2020-07-14,,,,382.4,360.25925925925924
88998,292.0,286.0,292.0,286.0,8700,AKSI,2020-07-15,,,,360.0,343.7572016460905
21442,286.0,268.0,286.0,268.0,14200,AKSI,2020-07-16,,,,339.2,326.92226794695927
103804,270.0,250.0,276.0,250.0,80500,AKSI,2020-07-17,,,,319.8,309.82843062541275
77472,250.0,236.0,250.0,234.0,67100,AKSI,2020-07-20,,,,302.0,293.42211270865437
102175,236.0,228.0,236.0,228.0,66600,AKSI,2020-07-21,,,,286.2,278.8838654400645
93118,216.0,214.0,232.0,214.0,76200,AKSI,2020-07-22,,,,271.6,264.4652286756057
8260,212.0,200.0,212.0,200.0,57700,AKSI,2020-07-23,,,,258.0,250.1396223032489
100553,190.0,186.0,190.0,186.0,118300,AKSI,2020-07-24,,,,245.2,235.88637290252692
54383,173.0,173.0,173.0,173.0,236200,AKSI,2020-07-27,,,,233.1,221.91162336863204
41208,173.0,161.0,175.0,161.0,242700,AKSI,2020-07-28,,,,220.2,208.3757070644916
110406,163.0,216.0,216.0,161.0,337100,AKSI,2020-07-29,,,,213.2,210.06999438349345
79926,254.0,270.0,270.0,254.0,641400,AKSI,2020-07-30,,,,213.4,223.38777340938378
116992,288.0,268.0,292.0,252.0,445300,AKSI,2020-08-03,,,,215.2,233.30160154063182
6623,268.0,258.0,272.0,250.0,426600,AKSI,2020-08-04,,,,217.4,238.79013453160252
52739,256.0,244.0,256.0,240.0,122900,AKSI,2020-08-05,,,,219.0,239.94788241346862
69228,230.0,248.0,250.0,230.0,45600,AKSI,2020-08-06,,,,222.4,241.73724187714225
42845,248.0,252.0,254.0,248.0,10300,AKSI,2020-08-07,,,,227.6,244.01785479333287
98074,250.0,286.0,290.0,236.0,272300,AKSI,2020-08-10,,,,237.6,253.34722039481446
51923,286.0,292.0,320.0,266.0,222100,AKSI,2020-08-11,,,,249.5,261.93672697374456
119455,298.0,302.0,310.0,294.0,87000,AKSI,2020-08-12,,,288.73333333333335,263.6,270.83967653513463
61804,302.0,294.0,306.0,282.0,66000,AKSI,2020-08-13,,,281.53333333333336,271.4,275.9864150828825
86541,278.0,294.0,302.0,276.0,80800,AKSI,2020-08-14,,,275.46666666666664,273.8,279.98943395335306
60160,300.0,290.0,300.0,290.0,26600,AKSI,2020-08-18,,,270.3333333333333,276.0,282.2140041859413
88182,290.0,294.0,300.0,274.0,27300,AKSI,2020-08-19,,,266.3333333333333,279.6,284.83311436684323
9908,294.0,288.0,304.0,276.0,91800,AKSI,2020-08-24,,,263.06666666666666,284.0,285.536866729767
128501,290.0,306.0,308.0,276.0,427300,AKSI,2020-08-25,,,261.26666666666665,289.8,290.08422967870763
102988,306.0,300.0,308.0,300.0,24100,AKSI,2020-08-26,,,260.06666666666666,294.6,292.28773419455035
3328,300.0,284.0,300.0,282.0,53500,AKSI,2020-08-27,,,259.06666666666666,294.4,290.4460154846503
78285,284.0,288.0,294.0,278.0,25500,AKSI,2020-08-28,,,258.8666666666667,294.0,289.9024564880613
27208,288.0,278.0,288.0,278.0,28200,AKSI,2020-08-31,,,258.46666666666664,291.6,287.25746615738103
34603,280.0,262.0,280.0,262.0,14200,AKSI,2020-09-01,,,257.6666666666667,288.4,281.64469590018524
