,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
25,256.0,230.0,256.0,224.0,23100,ALMI,2021-04-01,,,,,
865,230.0,224.0,230.0,220.0,9000,ALMI,2021-04-05,,,,,
1705,224.0,230.0,230.0,224.0,5300,ALMI,2021-04-06,,,,,
2545,230.0,230.0,230.0,230.0,800,ALMI,2021-04-07,,,,,
3387,230.0,230.0,230.0,222.0,35700,ALMI,2021-04-08,,,,,
4229,230.0,230.0,278.0,230.0,25600,ALMI,2021-04-09,,,,,
5072,250.0,232.0,258.0,230.0,15200,ALMI,2021-04-12,,,,,
5916,232.0,232.0,244.0,232.0,6200,ALMI,2021-04-13,,,,,229.75
6760,232.0,226.0,234.0,226.0,4100,ALMI,2021-04-14,,,,,228.91666666666666
7605,226.0,226.0,226.0,220.0,5400,ALMI,2021-04-15,,,,229.0,228.2685185185185
8450,226.0,226.0,242.0,224.0,6300,ALMI,2021-04-16,,,,228.6,227.76440329218107
9294,226.0,226.0,226.0,226.0,1300,ALMI,2021-04-19,,,,228.8,227.3723136716964
10138,226.0,254.0,280.0,226.0,197100,ALMI,2021-04-20,,,,231.2,233.2895773002083
10982,258.0,244.0,268.0,240.0,97600,ALMI,2021-04-21,,,,232.6,235.66967123349534
11826,244.0,250.0,250.0,244.0,64000,ALMI,2021-04-22,,,,234.6,238.85418873716304
12670,250.0,248.0,250.0,236.0,6900,ALMI,2021-04-23,,,,236.4,240.8865912400157
13514,246.0,240.0,246.0,232.0,50200,ALMI,2021-04-26,,,,237.2,240.68957096445664
14357,240.0,238.0,246.0,238.0,19400,ALMI,2021-04-27,,,,237.8,240.09188852791073
15200,226.0,238.0,240.0,222.0,19400,ALMI,2021-04-28,,,,239.0,239.62702441059724
16044,236.0,240.0,240.0,228.0,7100,ALMI,2021-04-29,,,,240.4,239.70990787490896
16888,240.0,240.0,240.0,240.0,8100,ALMI,2021-04-30,,,,241.8,239.77437279159585
17732,240.0,240.0,240.0,240.0,2400,ALMI,2021-05-03,,,,243.2,239.82451217124122
18575,240.0,230.0,240.0,230.0,1700,ALMI,2021-05-04,,,,240.8,237.64128724429872
19418,232.0,232.0,256.0,224.0,54400,ALMI,2021-05-05,,,,239.6,236.38766785667679
20262,230.0,236.0,252.0,230.0,33200,ALMI,2021-05-06,,,,238.2,236.30151944408195
21106,236.0,236.0,236.0,236.0,800,ALMI,2021-05-07,,,,237.0,236.23451512317484
21950,236.0,240.0,240.0,222.0,2800,ALMI,2021-05-10,,,,237.0,237.0712895402471
22793,240.0,244.0,300.0,240.0,176800,ALMI,2021-05-11,,,,237.6,238.61100297574774
23636,246.0,236.0,248.0,234.0,36200,ALMI,2021-05-17,,,,237.4,238.03078009224825
24476,230.0,242.0,276.0,222.0,23600,ALMI,2021-05-18,,,235.66666666666666,237.6,238.91282896063754
25316,262.0,240.0,262.0,240.0,10000,ALMI,2021-05-19,,,236.0,237.6,239.15442252494032
26158,238.0,248.0,250.0,236.0,1900,ALMI,2021-05-20,,,236.8,238.4,241.12010640828692
27040,242.0,256.0,262.0,240.0,18700,ALMI,2021-05-21,,,237.66666666666666,241.0,244.4267494286676
27880,256.0,246.0,256.0,242.0,6600,ALMI,2021-05-24,,,238.2,242.4,244.77636066674145
28722,260.0,240.0,260.0,240.0,10400,ALMI,2021-05-25,,,238.53333333333333,242.8,243.71494718524335
29513,240.0,240.0,242.0,230.0,3300,ALMI,2021-05-27,,,238.86666666666667,243.2,242.88940336630037
30355,240.0,250.0,250.0,238.0,5400,ALMI,2021-05-28,,,239.46666666666667,244.2,244.46953595156697
31197,250.0,240.0,250.0,240.0,2900,ALMI,2021-05-31,,,239.73333333333332,243.8,243.47630574010765
32039,240.0,246.0,280.0,240.0,54100,ALMI,2021-06-02,,,240.4,244.8,244.03712668675038
32881,254.0,246.0,254.0,232.0,21300,ALMI,2021-06-03,,,241.06666666666666,245.2,244.4733207563614
33722,246.0,240.0,260.0,238.0,1700,ALMI,2021-06-04,,,241.53333333333333,245.2,243.47924947717
34563,242.0,242.0,242.0,242.0,100,ALMI,2021-06-07,,,242.06666666666666,244.6,243.1505273711322
35404,242.0,244.0,244.0,242.0,1500,ALMI,2021-06-08,,,241.73333333333332,243.4,243.33929906643615
36247,244.0,240.0,244.0,240.0,1200,ALMI,2021-06-09,,,241.6,242.8,242.5972326072281
37090,244.0,242.0,256.0,242.0,31400,ALMI,2021-06-10,,,241.33333333333334,243.0,242.46451425006632
37937,242.0,250.0,250.0,240.0,3000,ALMI,2021-06-11,,,241.4,244.0,244.13906663894048
38784,250.0,252.0,252.0,246.0,57400,ALMI,2021-06-14,,,241.8,244.2,245.88594071917592
39631,252.0,250.0,252.0,242.0,11800,ALMI,2021-06-15,,,242.2,245.2,246.8001761149146
40478,248.0,240.0,248.0,240.0,29800,ALMI,2021-06-16,,,242.26666666666668,244.6,245.2890258671558
41325,240.0,240.0,240.0,240.0,3700,ALMI,2021-06-17,,,242.26666666666668,244.0,244.11368678556562
42172,248.0,254.0,254.0,234.0,18400,ALMI,2021-06-18,,,242.73333333333332,245.4,246.31064527766216
43019,254.0,250.0,254.0,250.0,500900,ALMI,2021-06-21,,,243.06666666666666,246.2,247.13050188262613
43866,238.0,242.0,242.0,238.0,1600,ALMI,2021-06-22,,,243.46666666666667,246.0,245.99039035315366
44713,256.0,230.0,256.0,230.0,13000,ALMI,2021-06-23,,,243.4,245.0,242.43697027467508
45560,232.0,236.0,256.0,230.0,10900,ALMI,2021-06-24,,,243.4,244.4,241.0065324358584
46407,240.0,242.0,242.0,240.0,1500,ALMI,2021-06-25,,,243.6,243.6,241.22730300566764
47254,242.0,242.0,242.0,242.0,800,ALMI,2021-06-28,,,243.66666666666666,242.6,241.3990134488526
48101,242.0,240.0,242.0,240.0,1000,ALMI,2021-06-29,,,243.53333333333333,241.6,241.0881215713298
48894,240.0,240.0,240.0,240.0,500,ALMI,2021-06-30,,,243.66666666666666,241.6,240.84631677770096
49745,240.0,240.0,240.0,240.0,0,ALMI,2021-07-01,,,243.6,241.6,240.6582463826563
50596,240.0,240.0,240.0,240.0,200,ALMI,2021-07-02,,,243.6,240.2,240.51196940873268
51447,240.0,240.0,240.0,240.0,300,ALMI,2021-07-05,,,243.33333333333334,239.2,240.39819842901431
52298,240.0,240.0,240.0,240.0,800,ALMI,2021-07-06,,,242.8,239.0,240.30970988923335
53149,240.0,240.0,270.0,232.0,9000,ALMI,2021-07-07,,,242.6,240.0,240.2408854694037
53960,240.0,240.0,240.0,240.0,0,ALMI,2021-07-08,,,242.6,240.4,240.18735536509178
54811,240.0,240.0,240.0,240.0,100,ALMI,2021-07-09,,,242.6,240.2,240.14572083951583
55664,228.0,234.0,234.0,228.0,800,ALMI,2021-07-12,,,242.06666666666666,239.4,238.78000509740122
56517,230.0,252.0,256.0,230.0,1600,ALMI,2021-07-13,,,242.46666666666667,240.6,241.71778174242317
57370,252.0,248.0,252.0,238.0,5100,ALMI,2021-07-14,,,242.53333333333333,241.4,243.1138302441069
58223,234.0,232.0,234.0,232.0,14000,ALMI,2021-07-15,,,242.06666666666666,240.6,240.64409018986092
59076,250.0,228.0,250.0,222.0,21900,ALMI,2021-07-16,,,241.66666666666666,239.4,237.8342923698918
59929,228.0,230.0,230.0,228.0,6400,ALMI,2021-07-19,,,241.26666666666668,238.4,236.09333850991587
60781,230.0,234.0,234.0,230.0,8000,ALMI,2021-07-21,,,240.93333333333334,237.8,235.628152174379
