,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
28,292.0,292.0,292.0,292.0,89500,AMAN,2021-04-01,,,,,
868,292.0,292.0,292.0,290.0,91100,AMAN,2021-04-05,,,,,
1708,292.0,290.0,292.0,290.0,90200,AMAN,2021-04-06,,,,,
2548,290.0,290.0,290.0,290.0,89700,AMAN,2021-04-07,,,,,
3390,290.0,290.0,290.0,290.0,89700,AMAN,2021-04-08,,,,,
4232,290.0,290.0,290.0,290.0,89800,AMAN,2021-04-09,,,,,
5075,290.0,290.0,290.0,288.0,89900,AMAN,2021-04-12,,,,,
5919,290.0,290.0,290.0,290.0,89700,AMAN,2021-04-13,,,,,290.5
6763,290.0,290.0,290.0,288.0,90400,AMAN,2021-04-14,,,,,290.3888888888889
7608,290.0,290.0,290.0,290.0,90500,AMAN,2021-04-15,,,,290.4,290.3024691358025
8453,290.0,290.0,290.0,290.0,94800,AMAN,2021-04-16,,,,290.2,290.23525377229083
9297,290.0,290.0,290.0,290.0,90900,AMAN,2021-04-19,,,,290.0,290.1829751562262
10141,290.0,288.0,290.0,288.0,90200,AMAN,2021-04-20,,,,289.8,289.6978695659537
10985,288.0,288.0,288.0,288.0,78900,AMAN,2021-04-21,,,,289.6,289.320565217964
11829,288.0,290.0,290.0,288.0,79300,AMAN,2021-04-22,,,,289.6,289.4715507250831
12673,290.0,290.0,290.0,290.0,115800,AMAN,2021-04-23,,,,289.6,289.5889838972868
13517,290.0,288.0,290.0,288.0,115900,AMAN,2021-04-26,,,,289.4,289.2358763645564
14360,288.0,288.0,288.0,288.0,115600,AMAN,2021-04-27,,,,289.2,288.9612371724328
15203,288.0,288.0,288.0,288.0,115500,AMAN,2021-04-28,,,,289.0,288.74762891189215
16047,288.0,288.0,288.0,288.0,116700,AMAN,2021-04-29,,,,288.8,288.5814891536939
16891,288.0,288.0,288.0,288.0,115500,AMAN,2021-04-30,,,,288.6,288.4522693417619
17735,288.0,288.0,288.0,286.0,121100,AMAN,2021-05-03,,,,288.4,288.3517650435926
18578,288.0,288.0,288.0,288.0,115500,AMAN,2021-05-04,,,,288.4,288.27359503390534
19421,288.0,286.0,288.0,286.0,120500,AMAN,2021-05-05,,,,288.2,287.76835169303746
20265,286.0,286.0,288.0,286.0,2472600,AMAN,2021-05-06,,,,287.8,287.37538465014023
21109,286.0,288.0,288.0,286.0,1516000,AMAN,2021-05-07,,,,287.6,287.5141880612202
21953,288.0,288.0,288.0,286.0,1405000,AMAN,2021-05-10,,,,287.6,287.6221462698379
22796,288.0,286.0,288.0,286.0,1397600,AMAN,2021-05-11,,,,287.4,287.26166932098505
23639,286.0,284.0,286.0,284.0,137500,AMAN,2021-05-17,,,,287.0,286.5368539163217
24479,284.0,284.0,284.0,284.0,89300,AMAN,2021-05-18,,,288.6,286.6,285.97310860158353
25319,284.0,284.0,284.0,284.0,96300,AMAN,2021-05-19,,,288.3333333333333,286.2,285.53464002345385
26161,284.0,284.0,284.0,284.0,99400,AMAN,2021-05-20,,,288.06666666666666,285.8,285.1936089071308
27043,284.0,284.0,284.0,284.0,90300,AMAN,2021-05-21,,,287.8666666666667,285.4,284.92836248332395
27883,284.0,286.0,286.0,284.0,92300,AMAN,2021-05-24,,,287.73333333333335,285.4,285.1665041536964
28725,284.0,284.0,284.0,284.0,145900,AMAN,2021-05-25,,,287.53333333333336,285.2,284.9072810084305
29516,284.0,284.0,284.0,284.0,110500,AMAN,2021-05-27,,,287.3333333333333,284.8,284.7056630065571
30358,284.0,286.0,286.0,284.0,103700,AMAN,2021-05-28,,,287.2,284.6,284.9932934495444
31200,286.0,286.0,286.0,286.0,102500,AMAN,2021-05-31,,,287.06666666666666,284.6,285.2170060163123
32042,286.0,286.0,286.0,286.0,106700,AMAN,2021-06-02,,,286.93333333333334,284.8,285.391004679354
32884,286.0,288.0,288.0,286.0,102500,AMAN,2021-06-03,,,286.8666666666667,285.2,285.97078141727536
33725,288.0,286.0,288.0,286.0,144500,AMAN,2021-06-04,,,286.73333333333335,285.4,285.9772744356586
34566,286.0,286.0,286.0,286.0,94100,AMAN,2021-06-07,,,286.6,285.6,285.9823245610678
35407,286.0,284.0,286.0,284.0,95200,AMAN,2021-06-08,,,286.46666666666664,285.6,285.5418079919416
36250,284.0,284.0,286.0,284.0,98500,AMAN,2021-06-09,,,286.3333333333333,285.4,285.19918399373233
37093,284.0,284.0,284.0,284.0,94900,AMAN,2021-06-10,,,286.1333333333333,285.4,284.9326986617918
37940,284.0,284.0,284.0,284.0,97200,AMAN,2021-06-11,,,285.93333333333334,285.4,284.7254322925047
38787,284.0,284.0,284.0,284.0,94800,AMAN,2021-06-14,,,285.8,285.2,284.56422511639255
39634,284.0,284.0,284.0,284.0,94800,AMAN,2021-06-15,,,285.6666666666667,285.0,284.4388417571942
40481,284.0,284.0,284.0,284.0,94800,AMAN,2021-06-16,,,285.53333333333336,284.8,284.3413213667066
41328,284.0,284.0,284.0,284.0,94900,AMAN,2021-06-17,,,285.4,284.4,284.2654721741051
42175,284.0,284.0,284.0,284.0,94800,AMAN,2021-06-18,,,285.26666666666665,284.2,284.2064783576373
43022,284.0,284.0,284.0,284.0,95400,AMAN,2021-06-21,,,285.1333333333333,284.0,284.16059427816236
43869,284.0,284.0,284.0,284.0,94900,AMAN,2021-06-22,,,285.0,284.0,284.12490666079293
44716,284.0,298.0,298.0,284.0,4448000,AMAN,2021-06-23,,,285.4,285.4,287.2082607361723
45563,298.0,300.0,300.0,296.0,505800,AMAN,2021-06-24,,,285.8666666666667,287.0,290.05086946146736
46410,300.0,304.0,304.0,296.0,516500,AMAN,2021-06-25,,,286.4,289.0,293.15067624780795
47257,304.0,322.0,322.0,304.0,2379300,AMAN,2021-06-28,,,287.53333333333336,292.8,299.5616370816284
48104,322.0,324.0,326.0,312.0,6766600,AMAN,2021-06-29,,,288.8,296.8,304.9923843968221
48897,324.0,336.0,336.0,324.0,2763800,AMAN,2021-06-30,,,290.53333333333336,302.0,311.88296564197276
49748,336.0,354.0,354.0,334.0,5021900,AMAN,2021-07-01,,,292.8666666666667,309.0,321.24230661042327
50599,354.0,386.0,386.0,354.0,10214300,AMAN,2021-07-02,,,296.26666666666665,319.2,335.63290514144035
51450,386.0,368.0,392.0,368.0,5470000,AMAN,2021-07-05,,,299.06666666666666,327.6,342.8255928877869
52301,368.0,380.0,380.0,364.0,2284000,AMAN,2021-07-06,,,302.26666666666665,337.2,351.0865722460565
53152,380.0,378.0,380.0,378.0,2065300,AMAN,2021-07-07,,,305.3333333333333,345.2,357.0673339691551
53963,378.0,378.0,378.0,374.0,436700,AMAN,2021-07-08,,,308.46666666666664,353.0,361.71903753156505
54814,378.0,378.0,378.0,376.0,232100,AMAN,2021-07-09,,,311.6,360.4,365.33702919121725
55667,378.0,376.0,378.0,376.0,226000,AMAN,2021-07-12,,,314.6,365.8,367.7065782598356
56520,376.0,376.0,378.0,376.0,173900,AMAN,2021-07-13,,,317.6,371.0,369.54956086876103
57373,376.0,374.0,376.0,374.0,208800,AMAN,2021-07-14,,,320.53333333333336,374.8,370.53854734236967
58226,374.0,374.0,374.0,374.0,209600,AMAN,2021-07-15,,,323.4,376.8,371.3077590440653
59079,374.0,374.0,374.0,374.0,211600,AMAN,2021-07-16,,,326.3333333333333,375.6,371.9060348120508
59932,374.0,380.0,382.0,374.0,1974800,AMAN,2021-07-19,,,329.46666666666664,376.8,373.7046937427062
60784,380.0,384.0,384.0,380.0,1782600,AMAN,2021-07-21,,,332.8,377.2,375.99253957766035
61636,384.0,390.0,390.0,382.0,2600600,AMAN,2021-07-22,,,336.3333333333333,378.4,379.1053085604025
62488,390.0,386.0,390.0,384.0,1325800,AMAN,2021-07-23,,,339.73333333333335,379.2,380.63746221364636
63340,386.0,412.0,412.0,386.0,5551900,AMAN,2021-07-26,,,344.0,382.6,387.60691505505827
64192,412.0,416.0,424.0,412.0,4199300,AMAN,2021-07-27,,,348.4,386.6,393.91648948726754
65046,416.0,410.0,418.0,410.0,905000,AMAN,2021-07-28,,,352.6,390.0,397.4906029345414
65900,410.0,412.0,412.0,410.0,1578600,AMAN,2021-07-29,,,356.8666666666667,393.8,400.7149133935322
66754,412.0,432.0,434.0,412.0,3250000,AMAN,2021-07-30,,,361.8,399.6,407.66715486163616
67608,432.0,426.0,436.0,426.0,1381100,AMAN,2021-08-02,,,366.53333333333336,404.8,411.74112044793924
68462,426.0,428.0,428.0,424.0,1203500,AMAN,2021-08-03,,,371.3333333333333,409.6,415.35420479284164
69316,428.0,430.0,430.0,428.0,307100,AMAN,2021-08-04,,,376.2,414.2,418.60882594998793
70170,430.0,430.0,430.0,428.0,265400,AMAN,2021-08-05,,,380.6,418.2,421.1401979611017
71024,430.0,428.0,430.0,428.0,240400,AMAN,2021-08-06,,,384.8666666666667,422.4,422.6645984141902
71879,428.0,428.0,430.0,428.0,130800,AMAN,2021-08-09,,,389.0,424.0,423.85024321103685
72734,428.0,430.0,430.0,428.0,157300,AMAN,2021-08-10,,,392.6,425.4,425.2168558308064
73589,430.0,432.0,432.0,430.0,268700,AMAN,2021-08-12,,,396.2,427.6,426.7242212017383
74444,432.0,434.0,434.0,432.0,143500,AMAN,2021-08-13,,,399.46666666666664,429.8,428.34106093468534
75299,434.0,434.0,434.0,432.0,2853900,AMAN,2021-08-16,,,402.1333333333333,430.0,429.5986029491997
76154,434.0,446.0,446.0,434.0,3256500,AMAN,2021-08-18,,,404.1333333333333,432.0,433.24335784937756
77009,446.0,442.0,458.0,434.0,7593200,AMAN,2021-08-19,,,406.6,433.4,435.18927832729366
77864,442.0,448.0,448.0,442.0,2385100,AMAN,2021-08-20,,,408.8666666666667,435.2,438.0361053656728
78719,448.0,448.0,448.0,446.0,965400,AMAN,2021-08-23,,,411.2,437.0,440.25030417330106
79574,446.0,448.0,448.0,444.0,773300,AMAN,2021-08-24,,,413.53333333333336,439.0,441.97245880145636
80429,448.0,448.0,448.0,446.0,609800,AMAN,2021-08-25,,,415.8666666666667,441.0,443.3119124011327
81284,448.0,448.0,448.0,446.0,717600,AMAN,2021-08-26,,,418.26666666666665,442.8,444.3537096453254
82139,448.0,446.0,448.0,446.0,652700,AMAN,2021-08-27,,,420.6,444.2,444.7195519463642
82994,446.0,442.0,446.0,442.0,929000,AMAN,2021-08-30,,,422.8666666666667,445.0,444.1152070693944
83849,442.0,452.0,452.0,442.0,4769500,AMAN,2021-08-31,339.76,,425.46666666666664,446.8,445.86738327619565
84704,452.0,448.0,452.0,448.0,1466800,AMAN,2021-09-01,341.32,,427.93333333333334,447.0,446.34129810370774
85560,448.0,448.0,450.0,448.0,911500,AMAN,2021-09-02,342.88,,430.2,447.6,446.70989852510604
86416,448.0,448.0,450.0,448.0,874000,AMAN,2021-09-03,344.46,,432.3333333333333,447.6,446.9965877417491
87272,448.0,448.0,450.0,448.0,1410900,AMAN,2021-09-06,346.04,,434.26666666666665,447.6,447.21956824358267
88132,448.0,450.0,450.0,448.0,1462900,AMAN,2021-09-07,347.64,,436.4,447.8,447.837441967231
88993,450.0,446.0,450.0,446.0,2663000,AMAN,2021-09-08,349.2,,437.53333333333336,447.6,447.4291215300685
89860,446.0,448.0,448.0,442.0,3273100,AMAN,2021-09-09,350.78,,438.6,447.6,447.5559834122755
90728,448.0,448.0,450.0,448.0,1282800,AMAN,2021-09-10,352.36,,439.8666666666667,447.8,447.65465376510315
91596,448.0,450.0,450.0,448.0,1323500,AMAN,2021-09-13,353.96,,441.1333333333333,448.6,448.17584181730246
92464,450.0,450.0,450.0,448.0,1506000,AMAN,2021-09-14,355.56,,441.73333333333335,448.4,448.58121030234634
93332,450.0,448.0,450.0,448.0,1441700,AMAN,2021-09-15,357.14,,442.46666666666664,448.4,448.4520524573805
94200,448.0,450.0,450.0,448.0,1811600,AMAN,2021-09-16,358.74,,443.2,448.6,448.7960408001848
95068,450.0,448.0,450.0,448.0,1548700,AMAN,2021-09-17,360.34,,443.8,448.6,448.61914284458817
95936,448.0,448.0,450.0,448.0,2686000,AMAN,2021-09-20,361.94,,444.4,448.6,448.4815555457908
96804,448.0,448.0,450.0,448.0,1828400,AMAN,2021-09-21,363.52,,445.06666666666666,448.4,448.37454320228176
97673,448.0,448.0,450.0,448.0,1756900,AMAN,2021-09-22,365.1,,445.73333333333335,448.6,448.2913113795525
98542,448.0,450.0,450.0,448.0,1819800,AMAN,2021-09-23,366.72,,446.4,448.8,448.67101996187415
99411,448.0,450.0,450.0,448.0,1918100,AMAN,2021-09-24,368.34,,447.0,449.0,448.96634885923544
100280,450.0,448.0,450.0,448.0,1724800,AMAN,2021-09-27,369.94,,447.46666666666664,448.8,448.75160466829425
101148,448.0,448.0,448.0,448.0,1694400,AMAN,2021-09-28,371.54,,447.93333333333334,448.6,448.58458140867333
102016,448.0,450.0,450.0,446.0,1846600,AMAN,2021-09-29,373.16,,448.06666666666666,448.8,448.8991188734126
102884,450.0,448.0,450.0,448.0,2168200,AMAN,2021-09-30,374.76,,448.26666666666665,448.6,448.6993146793209
103752,448.0,446.0,448.0,446.0,1930000,AMAN,2021-10-01,376.34,,448.2,448.4,448.09946697280515
104619,446.0,462.0,462.0,446.0,6827600,AMAN,2021-10-04,378.1,,448.6666666666667,449.8,451.18847431218177
105486,462.0,458.0,464.0,458.0,2475900,AMAN,2021-10-05,379.82,,449.0,450.8,452.7021466872525
106353,458.0,468.0,468.0,456.0,5102200,AMAN,2021-10-06,381.62,,449.6666666666667,452.8,456.1016696456408
107220,468.0,470.0,470.0,466.0,1514100,AMAN,2021-10-07,383.44,,450.4,454.8,459.1901875021651
108087,470.0,470.0,470.0,468.0,1892600,AMAN,2021-10-08,385.28,,451.2,456.8,461.5923680572395
108954,470.0,470.0,472.0,468.0,2444900,AMAN,2021-10-11,387.14,,452.1333333333333,459.0,463.4607307111863
109820,470.0,474.0,476.0,470.0,3398500,AMAN,2021-10-12,389.04,,452.8666666666667,461.6,465.80279055314486
110686,474.0,474.0,476.0,472.0,1730800,AMAN,2021-10-13,390.94,,453.73333333333335,464.0,467.624392652446
111552,474.0,476.0,478.0,474.0,2376700,AMAN,2021-10-14,392.86,,454.6666666666667,466.8,469.4856387296802
112418,476.0,476.0,478.0,476.0,1615100,AMAN,2021-10-15,394.78,,455.6,469.8,470.93327456752905
113284,476.0,476.0,478.0,476.0,1704900,AMAN,2021-10-18,396.68,,456.53333333333336,471.2,472.0592135525226
114150,476.0,476.0,478.0,476.0,1654400,AMAN,2021-10-19,398.6,,457.4,473.0,472.9349438741842
115016,476.0,478.0,480.0,476.0,2281900,AMAN,2021-10-21,400.54,,458.46666666666664,474.0,474.0605119021433
115881,478.0,488.0,488.0,478.0,5488300,AMAN,2021-10-22,402.56,,459.8,475.8,477.1581759238892
116746,488.0,494.0,494.0,488.0,2626400,AMAN,2021-10-25,404.64,,461.3333333333333,478.2,480.90080349635826
117614,494.0,494.0,494.0,492.0,1438700,AMAN,2021-10-26,406.72,,462.8,480.6,483.8117360527231
118482,494.0,494.0,494.0,492.0,1320400,AMAN,2021-10-27,408.78,,464.26666666666665,482.6,486.07579470767354
119350,494.0,486.0,494.0,486.0,2181200,AMAN,2021-10-28,410.78,,465.53333333333336,483.8,486.05895143930167
120218,486.0,486.0,486.0,484.0,1398900,AMAN,2021-10-29,412.78,,466.73333333333335,484.8,486.04585111945687
121086,486.0,484.0,486.0,484.0,1345200,AMAN,2021-11-01,414.78,,467.93333333333334,485.6,485.59121753735536
121953,486.0,484.0,486.0,484.0,1308900,AMAN,2021-11-02,416.78,,469.1333333333333,486.4,485.2376136401653
122820,484.0,484.0,486.0,484.0,1345500,AMAN,2021-11-03,418.78,,470.3333333333333,487.2,484.96258838679523
123687,484.0,492.0,494.0,484.0,3766600,AMAN,2021-11-04,420.86,,471.8,488.6,486.52645763417405
124554,492.0,492.0,494.0,492.0,1431700,AMAN,2021-11-05,422.94,,473.2,489.0,487.7428003821354
125421,492.0,492.0,494.0,492.0,1480200,AMAN,2021-11-08,425.02,,474.6,488.8,488.68884474166083
126288,492.0,492.0,494.0,492.0,1222000,AMAN,2021-11-09,427.1,,476.06666666666666,488.6,489.42465702129175
127154,492.0,510.0,510.0,492.0,4361400,AMAN,2021-11-10,429.36,,478.1333333333333,490.2,493.9969554610047
128020,510.0,500.0,510.0,496.0,2953500,AMAN,2021-11-11,431.52,,479.8,491.6,495.3309653585592
128886,500.0,498.0,500.0,498.0,1583400,AMAN,2021-11-12,433.66,,481.46666666666664,492.8,495.9240841677682
129753,498.0,496.0,498.0,494.0,1788300,AMAN,2021-11-15,435.78,,483.1333333333333,494.0,495.9409543527086
