,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
29,284.0,288.0,298.0,284.0,2441600,AMAR,2021-04-01,,,,,
869,302.0,282.0,306.0,280.0,5198600,AMAR,2021-04-05,,,,,
1709,264.0,294.0,296.0,264.0,3472700,AMAR,2021-04-06,,,,,
2549,300.0,306.0,312.0,296.0,15253700,AMAR,2021-04-07,,,,,
3391,304.0,360.0,376.0,296.0,76276300,AMAR,2021-04-08,,,,,
4233,364.0,336.0,366.0,336.0,27073300,AMAR,2021-04-09,,,,,
5076,336.0,314.0,336.0,314.0,9675600,AMAR,2021-04-12,,,,,
5920,308.0,300.0,308.0,294.0,7350400,AMAR,2021-04-13,,,,,310.0
6764,300.0,310.0,316.0,296.0,9658400,AMAR,2021-04-14,,,,,310.0
7609,310.0,314.0,334.0,306.0,16853400,AMAR,2021-04-15,,,,310.4,310.8888888888889
8454,314.0,314.0,318.0,308.0,4667300,AMAR,2021-04-16,,,,313.0,311.58024691358025
9298,314.0,306.0,322.0,302.0,5943700,AMAR,2021-04-19,,,,315.4,310.34019204389574
10142,306.0,302.0,308.0,300.0,2815300,AMAR,2021-04-20,,,,316.2,308.48681603414116
10986,302.0,300.0,306.0,296.0,2625600,AMAR,2021-04-21,,,,315.6,306.6008569154431
11830,300.0,298.0,302.0,294.0,1924300,AMAR,2021-04-22,,,,309.4,304.689555378678
12674,298.0,292.0,298.0,292.0,1679000,AMAR,2021-04-23,,,,305.0,301.86965418341623
13518,292.0,284.0,292.0,278.0,7173900,AMAR,2021-04-26,,,,302.0,297.89861992043484
14361,284.0,272.0,284.0,270.0,3937400,AMAR,2021-04-27,,,,299.2,292.1433710492271
15204,274.0,276.0,276.0,270.0,2280700,AMAR,2021-04-28,,,,295.8,288.55595526050996
16048,278.0,284.0,290.0,276.0,2669600,AMAR,2021-04-29,,,,292.8,287.5435207581744
16892,284.0,278.0,290.0,278.0,2197000,AMAR,2021-04-30,,,,289.2,285.422738367469
17736,278.0,272.0,280.0,270.0,1594600,AMAR,2021-05-03,,,,285.8,282.43990761914256
18579,272.0,280.0,308.0,272.0,23776100,AMAR,2021-05-04,,,,283.6,281.8977059259998
19422,290.0,276.0,290.0,276.0,2698500,AMAR,2021-05-05,,,,281.2,280.58710460911095
20266,280.0,274.0,282.0,274.0,1611800,AMAR,2021-05-06,,,,278.8,279.12330358486406
21110,270.0,274.0,282.0,270.0,2257400,AMAR,2021-05-07,,,,277.0,277.9847916771165
21954,270.0,276.0,278.0,270.0,2201100,AMAR,2021-05-10,,,,276.2,277.54372685997953
22797,278.0,270.0,278.0,270.0,1315500,AMAR,2021-05-11,,,,276.0,275.8673431133174
23640,274.0,266.0,274.0,264.0,1486700,AMAR,2021-05-17,,,,275.0,273.67460019924687
24480,266.0,254.0,268.0,254.0,1982600,AMAR,2021-05-18,,,291.73333333333335,272.0,269.3024668216365
25320,254.0,246.0,260.0,246.0,1999400,AMAR,2021-05-19,,,290.3333333333333,268.8,264.1241408612728
26162,236.0,246.0,252.0,236.0,696900,AMAR,2021-05-20,,,289.1333333333333,266.2,260.0965540032122
27044,244.0,256.0,282.0,242.0,5983600,AMAR,2021-05-21,,,287.8666666666667,263.8,259.186208669165
27884,260.0,250.0,264.0,248.0,1663400,AMAR,2021-05-24,,,286.0,261.2,257.14482896490614
28726,250.0,248.0,256.0,242.0,1772700,AMAR,2021-05-25,,,282.26666666666665,258.6,255.11264475048256
29517,252.0,250.0,260.0,248.0,1479200,AMAR,2021-05-27,,,279.4,256.2,253.97650147259753
30359,248.0,260.0,270.0,248.0,7274600,AMAR,2021-05-28,,,277.6,254.6,255.3150567009092
31201,264.0,262.0,282.0,254.0,9715500,AMAR,2021-05-31,,,276.3333333333333,253.8,256.8005996562627
32043,270.0,268.0,280.0,264.0,4659100,AMAR,2021-06-02,,,274.93333333333334,254.0,259.2893552882043
32885,270.0,266.0,272.0,262.0,1268900,AMAR,2021-06-03,,,273.3333333333333,255.2,260.78060966860335
33726,266.0,266.0,270.0,262.0,2014300,AMAR,2021-06-04,,,271.73333333333335,257.2,261.9404741866915
34567,266.0,268.0,282.0,264.0,6883900,AMAR,2021-06-07,,,270.46666666666664,259.4,263.28703547853786
35408,274.0,268.0,274.0,266.0,2141000,AMAR,2021-06-08,,,269.3333333333333,260.6,264.3343609277517
36251,268.0,262.0,268.0,260.0,1235900,AMAR,2021-06-09,,,268.06666666666666,261.8,263.81561405491794
37094,262.0,290.0,300.0,260.0,21188700,AMAR,2021-06-10,,,267.8,266.0,269.6343664871584
37941,298.0,270.0,300.0,270.0,8656700,AMAR,2021-06-11,,,267.06666666666666,268.0,269.71561837890096
38788,272.0,264.0,272.0,260.0,2201400,AMAR,2021-06-14,,,266.4,268.4,268.4454809613674
39635,264.0,262.0,266.0,260.0,1689900,AMAR,2021-06-15,,,266.06666666666666,268.4,267.01315185884135
40482,260.0,262.0,274.0,260.0,2106500,AMAR,2021-06-16,,,265.6,267.8,265.8991181124322
41329,264.0,252.0,264.0,252.0,3264800,AMAR,2021-06-17,,,264.53333333333336,266.4,262.81042519855833
42176,252.0,252.0,258.0,246.0,1482600,AMAR,2021-06-18,,,263.6666666666667,265.0,260.4081084877676
43023,252.0,246.0,256.0,240.0,2202000,AMAR,2021-06-21,,,262.8,262.8,257.206306601597
43870,248.0,246.0,250.0,242.0,1121800,AMAR,2021-06-22,,,261.6666666666667,260.6,254.71601624568657
44717,250.0,250.0,252.0,248.0,1267300,AMAR,2021-06-23,,,260.8,259.4,253.668012635534
45564,256.0,254.0,278.0,252.0,3794800,AMAR,2021-06-24,,,260.1333333333333,255.8,253.74178760541534
46411,254.0,252.0,258.0,250.0,684600,AMAR,2021-06-25,,,259.4,254.0,253.35472369310082
47258,252.0,250.0,258.0,248.0,1813400,AMAR,2021-06-28,,,258.53333333333336,252.6,252.60922953907843
48105,252.0,248.0,252.0,246.0,992300,AMAR,2021-06-29,,,257.8,251.2,251.5849563081721
48898,248.0,246.0,252.0,242.0,1397600,AMAR,2021-06-30,,,257.1333333333333,249.6,250.34385490635609
49749,246.0,246.0,250.0,242.0,527000,AMAR,2021-07-01,,,256.8666666666667,249.0,249.37855381605473
50600,244.0,244.0,248.0,242.0,348200,AMAR,2021-07-02,,,256.8,248.2,248.18331963470925
51451,244.0,244.0,248.0,244.0,975600,AMAR,2021-07-05,,,256.73333333333335,248.0,247.2536930492183
52302,244.0,240.0,246.0,240.0,1467400,AMAR,2021-07-06,,,256.2,247.4,245.64176126050313
53153,240.0,256.0,264.0,238.0,9030900,AMAR,2021-07-07,,,256.4,248.0,247.94359209150244
53964,256.0,252.0,268.0,252.0,9228600,AMAR,2021-07-08,,,256.53333333333336,247.8,248.84501607116857
54815,252.0,264.0,270.0,248.0,7417700,AMAR,2021-07-09,,,257.0,249.0,252.21279027757555
55668,268.0,270.0,276.0,264.0,6107700,AMAR,2021-07-12,,,257.3333333333333,251.0,256.16550354922543
56521,272.0,336.0,336.0,270.0,74405500,AMAR,2021-07-13,,,259.8,259.8,273.90650276050866
57374,354.0,314.0,380.0,314.0,25786200,AMAR,2021-07-14,,,261.3333333333333,266.6,282.81616881372895
58227,294.0,294.0,294.0,294.0,920300,AMAR,2021-07-15,,,262.26666666666665,271.4,285.3014646329003
59080,274.0,274.0,298.0,274.0,38610900,AMAR,2021-07-16,,,262.53333333333336,274.4,282.79002804781135
59933,274.0,270.0,280.0,260.0,6346200,AMAR,2021-07-19,,,262.6,277.0,279.9477995927422
60785,270.0,282.0,296.0,264.0,18709400,AMAR,2021-07-21,,,263.06666666666666,281.2,280.40384412768833
61637,284.0,282.0,298.0,278.0,10818700,AMAR,2021-07-22,,,263.73333333333335,283.8,280.7585454326465
62489,282.0,274.0,286.0,264.0,5610300,AMAR,2021-07-23,,,263.2,286.0,279.25664644761395
63341,276.0,280.0,282.0,272.0,4461100,AMAR,2021-07-26,,,263.53333333333336,287.6,279.42183612592197
64193,280.0,284.0,290.0,280.0,5024800,AMAR,2021-07-27,,,264.2,289.0,280.4392058757171
65047,284.0,282.0,318.0,282.0,38805800,AMAR,2021-07-28,,,264.8666666666667,283.6,280.78604901444663
65901,280.0,278.0,288.0,274.0,4310700,AMAR,2021-07-29,,,265.4,280.0,280.1669270112363
66755,280.0,290.0,306.0,274.0,15584900,AMAR,2021-07-30,,,266.6666666666667,279.6,282.3520543420727
67609,300.0,286.0,300.0,286.0,4735800,AMAR,2021-08-02,,,267.8,280.8,283.1627089327232
68463,286.0,302.0,308.0,282.0,22312100,AMAR,2021-08-03,,,269.6666666666667,284.0,287.34877361434025
69317,304.0,346.0,350.0,300.0,38625600,AMAR,2021-08-04,,,273.0,290.4,300.38237947782017
70171,352.0,322.0,352.0,322.0,38436600,AMAR,2021-08-05,,,275.4,294.4,305.1862951494157
71025,340.0,344.0,386.0,314.0,132137600,AMAR,2021-08-06,,,278.4,301.4,313.81156289398996
71880,350.0,358.0,390.0,344.0,64452500,AMAR,2021-08-09,,,281.93333333333334,309.2,323.63121558421443
72735,358.0,334.0,378.0,334.0,25113600,AMAR,2021-08-10,,,284.73333333333335,314.2,325.9353898988334
73590,338.0,330.0,338.0,312.0,10759400,AMAR,2021-08-12,,,287.46666666666664,319.0,326.83863658798157
74445,334.0,312.0,340.0,308.0,6408500,AMAR,2021-08-13,,,289.6666666666667,322.4,323.5411617906523
75300,312.0,292.0,312.0,292.0,6558100,AMAR,2021-08-16,,,291.2,322.6,316.5320147260629
76155,292.0,282.0,294.0,274.0,5041800,AMAR,2021-08-18,,,292.46666666666664,322.2,308.85823367582674
77010,282.0,300.0,306.0,270.0,13052100,AMAR,2021-08-19,,,294.3333333333333,322.0,306.8897373034208
77865,300.0,290.0,314.0,286.0,18177400,AMAR,2021-08-20,,,296.0,316.4,303.13646234710507
78720,290.0,324.0,324.0,290.0,19760800,AMAR,2021-08-23,,,298.26666666666665,316.6,307.77280404774837
79575,330.0,306.0,332.0,304.0,25864700,AMAR,2021-08-24,,,300.06666666666666,312.8,307.37884759269315
80430,308.0,308.0,330.0,302.0,17072100,AMAR,2021-08-25,,,301.53333333333336,307.8,307.51688146098354
81285,308.0,306.0,320.0,306.0,11895300,AMAR,2021-08-26,,,302.73333333333335,305.0,307.1797966918761
82140,306.0,292.0,306.0,286.0,7216400,AMAR,2021-08-27,,,301.26666666666665,301.2,303.80650853812585
82995,292.0,292.0,304.0,292.0,4817400,AMAR,2021-08-30,,,300.53333333333336,299.2,301.1828399740979
83850,292.0,302.0,308.0,284.0,8426500,AMAR,2021-08-31,281.96,,300.8,300.2,301.364431090965
84705,302.0,302.0,310.0,300.0,4534100,AMAR,2021-09-01,282.1,,301.73333333333335,302.2,301.50566862630615
85561,302.0,306.0,326.0,302.0,15605200,AMAR,2021-09-02,282.34,,302.93333333333334,302.8,302.50440893157145
86417,308.0,308.0,318.0,304.0,7182900,AMAR,2021-09-03,282.48,,303.8,304.6,303.72565139122224
87273,310.0,314.0,322.0,304.0,6590100,AMAR,2021-09-06,282.56,,304.8666666666667,303.6,306.00883997095065
88133,314.0,310.0,320.0,306.0,6857200,AMAR,2021-09-07,282.06,,306.06666666666666,304.0,306.8957644218505
88994,310.0,306.0,316.0,304.0,5261900,AMAR,2021-09-08,281.76,,306.93333333333334,303.8,306.6967056614393
89861,300.0,296.0,308.0,290.0,3034300,AMAR,2021-09-09,281.58,,307.3333333333333,302.8,304.3196599588972
90729,294.0,302.0,308.0,294.0,1827500,AMAR,2021-09-10,281.6,,308.0,303.8,303.8041799680312
91597,302.0,306.0,308.0,302.0,1550500,AMAR,2021-09-13,281.56,,308.93333333333334,305.2,304.29213997513534
92465,306.0,298.0,306.0,298.0,1557200,AMAR,2021-09-14,281.4,,309.2,304.8,302.89388664732746
93333,298.0,302.0,302.0,298.0,1355000,AMAR,2021-09-15,281.28,,309.73333333333335,304.8,302.6952451701436
94201,302.0,294.0,302.0,282.0,2419500,AMAR,2021-09-16,281.16,,309.46666666666664,303.6,300.76296846566726
95069,294.0,300.0,300.0,294.0,2677900,AMAR,2021-09-17,281.14,,307.93333333333334,302.8,300.5934199177412
95937,298.0,296.0,300.0,294.0,1731900,AMAR,2021-09-20,281.1,,307.06666666666666,301.0,299.5726599360209
96805,302.0,296.0,302.0,290.0,1677100,AMAR,2021-09-21,281.08,,305.46666666666664,299.6,298.77873550579403
97674,292.0,296.0,300.0,292.0,901500,AMAR,2021-09-22,281.12,,303.4,298.6,298.1612387267287
98543,296.0,296.0,298.0,294.0,994100,AMAR,2021-09-23,281.24,,302.1333333333333,298.6,297.6809634541223
99412,296.0,286.0,298.0,286.0,3491400,AMAR,2021-09-24,281.38,,300.6666666666667,297.0,295.0851937976507
100281,286.0,280.0,300.0,280.0,2833500,AMAR,2021-09-27,281.42,,299.6,294.4,291.73292850928385
101149,280.0,276.0,286.0,274.0,2276100,AMAR,2021-09-28,281.34,,299.06666666666666,292.2,288.2367221738874
102017,276.0,280.0,292.0,272.0,1793400,AMAR,2021-09-29,281.36,,299.0,290.0,286.4063394685791
102885,288.0,274.0,288.0,274.0,1593200,AMAR,2021-09-30,281.38,,298.1333333333333,288.0,283.6493751422282
103753,274.0,278.0,280.0,274.0,1149700,AMAR,2021-10-01,281.36,,297.73333333333335,285.8,282.3939584439553
104620,278.0,276.0,282.0,272.0,1634300,AMAR,2021-10-04,281.36,,296.1333333333333,283.8,280.973078789743
