,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123616,264.0,264.0,264.0,264.0,7700,AMIN,2020-07-01,,,,,
131037,264.0,264.0,264.0,264.0,1200,AMIN,2020-07-02,,,,,
104711,264.0,264.0,264.0,264.0,1800,AMIN,2020-07-03,,,,,
86570,264.0,296.0,300.0,264.0,3100,AMIN,2020-07-06,,,,,
33799,296.0,280.0,296.0,280.0,3400,AMIN,2020-07-07,,,,,
48645,280.0,280.0,280.0,280.0,300,AMIN,2020-07-08,,,,,
117040,268.0,268.0,268.0,268.0,100,AMIN,2020-07-09,,,,,
23096,268.0,270.0,270.0,268.0,3600,AMIN,2020-07-10,,,,,273.25
14860,254.0,258.0,258.0,254.0,300,AMIN,2020-07-13,,,,,269.8611111111111
31338,246.0,256.0,320.0,240.0,16700,AMIN,2020-07-14,,,,270.0,266.78086419753083
92343,286.0,254.0,286.0,242.0,8900,AMIN,2020-07-15,,,,269.0,263.9406721536351
21451,284.0,270.0,284.0,240.0,17500,AMIN,2020-07-16,,,,269.6,265.2871894528273
107149,280.0,268.0,280.0,268.0,4500,AMIN,2020-07-17,,,,270.0,265.8900362410879
79983,260.0,268.0,268.0,250.0,2100,AMIN,2020-07-20,,,,267.2,266.3589170764017
105520,268.0,250.0,268.0,250.0,11400,AMIN,2020-07-21,,,,264.2,262.72360217053466
96463,250.0,272.0,272.0,250.0,25000,AMIN,2020-07-22,,,,263.4,264.7850239104159
8269,272.0,256.0,272.0,254.0,23300,AMIN,2020-07-23,,,,262.2,262.8327963747679
103898,256.0,256.0,256.0,256.0,100,AMIN,2020-07-24,,,,260.8,261.314397180375
56894,242.0,246.0,246.0,242.0,200,AMIN,2020-07-27,,,,259.6,257.91119780695834
41217,246.0,248.0,248.0,246.0,200,AMIN,2020-07-28,,,,258.8,255.70870940541204
113751,250.0,250.0,250.0,250.0,900,AMIN,2020-07-29,,,,258.4,254.44010731532046
82437,250.0,268.0,268.0,250.0,1100,AMIN,2020-07-30,,,,258.2,257.4534168008048
120337,268.0,252.0,268.0,252.0,1300,AMIN,2020-08-03,,,,256.6,256.24154640062596
6632,244.0,244.0,244.0,244.0,100,AMIN,2020-08-04,,,,254.2,253.5212027560424
55250,244.0,244.0,244.0,244.0,0,AMIN,2020-08-05,,,,253.6,251.40537992136632
71739,242.0,246.0,246.0,242.0,3900,AMIN,2020-08-06,,,,251.0,250.2041843832849
43688,264.0,246.0,264.0,246.0,700,AMIN,2020-08-07,,,,250.0,249.26992118699937
101419,246.0,244.0,246.0,244.0,500,AMIN,2020-08-10,,,,248.8,248.0988275898884
54434,246.0,250.0,250.0,244.0,3100,AMIN,2020-08-11,,,,249.2,248.52131034769099
122800,250.0,246.0,250.0,246.0,1400,AMIN,2020-08-12,,,259.26666666666665,249.0,247.9610191593152
64315,242.0,244.0,246.0,242.0,6600,AMIN,2020-08-13,,,258.6,248.4,247.08079267946738
89886,262.0,260.0,264.0,260.0,1000,AMIN,2020-08-14,,,258.46666666666664,247.6,249.95172763958573
62671,260.0,258.0,260.0,258.0,800,AMIN,2020-08-18,,,258.26666666666665,248.2,251.74023260856669
91527,258.0,258.0,258.0,258.0,300,AMIN,2020-08-19,,,257.0,249.6,253.1312920288852
9917,268.0,266.0,268.0,266.0,200,AMIN,2020-08-24,,,256.53333333333336,251.8,255.99100491135516
131846,260.0,260.0,260.0,260.0,700,AMIN,2020-08-25,,,255.86666666666667,253.2,256.8818927088318
106333,244.0,260.0,264.0,244.0,10800,AMIN,2020-08-26,,,255.6,254.6,257.5748054402025
3337,266.0,264.0,266.0,264.0,500,AMIN,2020-08-27,,,255.4,256.6,259.00262645349085
80796,248.0,266.0,266.0,246.0,400,AMIN,2020-08-28,,,255.66666666666666,258.2,260.5575983527151
27217,264.0,248.0,264.0,248.0,500,AMIN,2020-08-31,,,255.4,258.4,257.7670209410006
34612,264.0,264.0,264.0,264.0,200,AMIN,2020-09-01,,,255.73333333333332,260.4,259.15212739855605
38750,264.0,264.0,264.0,264.0,0,AMIN,2020-09-02,,,255.53333333333333,260.8,260.22943242109915
70087,250.0,250.0,250.0,250.0,200,AMIN,2020-09-03,,,254.93333333333334,260.0,257.9562252164105
12393,246.0,246.0,246.0,246.0,100,AMIN,2020-09-04,,,254.2,258.8,255.29928627943036
26397,244.0,232.0,244.0,232.0,600,AMIN,2020-09-07,,,253.6,255.4,250.1216671062236
110444,232.0,218.0,232.0,218.0,600,AMIN,2020-09-08,,,251.8,251.2,242.98351886039615
124425,218.0,258.0,258.0,218.0,800,AMIN,2020-09-09,,,251.86666666666667,251.0,246.320514669197
7445,258.0,274.0,274.0,258.0,7900,AMIN,2020-09-10,,,252.46666666666667,252.0,252.47151140937544
17322,272.0,264.0,274.0,264.0,27300,AMIN,2020-09-11,,,253.06666666666666,251.8,255.03339776284756
44502,264.0,246.0,264.0,246.0,19500,AMIN,2020-09-14,,,253.0,251.6,253.02597603777033
67609,230.0,230.0,230.0,230.0,4100,AMIN,2020-09-15,,,252.33333333333334,248.2,247.90909247382137
855,230.0,228.0,230.0,214.0,4300,AMIN,2020-09-16,,,251.0,244.6,243.48484970186107
57707,228.0,228.0,228.0,216.0,500,AMIN,2020-09-17,,,250.2,242.4,240.04377199033638
63487,228.0,270.0,270.0,224.0,13700,AMIN,2020-09-18,,,251.06666666666666,244.8,246.7007115480394
73379,270.0,270.0,270.0,256.0,300,AMIN,2020-09-21,,,251.93333333333334,248.6,251.87833120403064
102235,280.0,266.0,280.0,254.0,5500,AMIN,2020-09-22,,,252.6,253.4,255.01647982535718
78332,280.0,260.0,280.0,260.0,1400,AMIN,2020-09-23,,,253.06666666666666,253.6,256.12392875305557
66782,254.0,242.0,254.0,242.0,4400,AMIN,2020-09-24,,,253.0,250.4,252.98527791904323
98937,262.0,240.0,262.0,226.0,7100,AMIN,2020-09-25,,,252.66666666666666,248.0,250.0996606037003
61019,260.0,278.0,278.0,224.0,61900,AMIN,2020-09-28,,,253.73333333333332,251.2,256.29973602510023
15671,272.0,276.0,276.0,260.0,15700,AMIN,2020-09-29,,,254.8,255.8,260.67757246396684
85744,272.0,274.0,274.0,258.0,5600,AMIN,2020-09-30,,,255.26666666666668,260.4,263.63811191641867
93978,256.0,278.0,278.0,256.0,2300,AMIN,2020-10-01,,,255.93333333333334,265.4,266.829642601659
69262,260.0,278.0,278.0,260.0,1100,AMIN,2020-10-02,,,256.6,266.2,269.31194424573476
11568,278.0,278.0,278.0,278.0,0,AMIN,2020-10-05,,,257.0,267.0,271.24262330223814
121975,260.0,278.0,278.0,260.0,600,AMIN,2020-10-06,,,257.6,268.2,272.74426256840746
20626,278.0,278.0,278.0,276.0,800,AMIN,2020-10-07,,,258.2,270.0,273.9122042198725
18970,278.0,290.0,310.0,276.0,11900,AMIN,2020-10-08,,,259.06666666666666,274.8,277.48726994878973
112101,290.0,310.0,320.0,290.0,10700,AMIN,2020-10-09,,,260.53333333333336,281.8,284.7123210712809
28034,310.0,304.0,310.0,290.0,9500,AMIN,2020-10-12,,,262.4,284.4,288.9984719443296
77507,302.0,304.0,304.0,302.0,200,AMIN,2020-10-13,,,263.73333333333335,287.2,292.3321448455897
108790,304.0,290.0,304.0,290.0,2200,AMIN,2020-10-14,,,264.6,288.8,291.8138904354587
14035,290.0,290.0,290.0,290.0,0,AMIN,2020-10-15,,,265.93333333333334,290.0,291.4108036720234
4983,290.0,290.0,290.0,290.0,500,AMIN,2020-10-16,,,267.4,291.2,291.09729174490707
30,270.0,300.0,302.0,270.0,7900,AMIN,2020-10-19,,,269.6666666666667,293.4,293.07567135714993
126906,300.0,300.0,300.0,294.0,300,AMIN,2020-10-20,,,272.4,295.6,294.61441105556105
75857,300.0,296.0,300.0,296.0,300,AMIN,2020-10-21,,,273.6666666666667,297.4,294.9223197098808
29689,296.0,296.0,296.0,296.0,200,AMIN,2020-10-22,,,274.4,298.0,295.1618042187962
32149,296.0,296.0,296.0,296.0,0,AMIN,2020-10-23,,,275.46666666666664,296.6,295.3480699479526
58535,296.0,288.0,296.0,288.0,600,AMIN,2020-10-26,,,276.8666666666667,295.0,293.7151655150742
53609,288.0,300.0,300.0,288.0,500,AMIN,2020-10-27,,,279.2,294.6,295.1117954006133
90702,300.0,290.0,300.0,290.0,300,AMIN,2020-11-02,,,281.26666666666665,294.6,293.9758408671437
84919,272.0,280.0,280.0,272.0,3700,AMIN,2020-11-03,,,283.0,293.6,290.87009845222286
5808,264.0,280.0,280.0,264.0,1700,AMIN,2020-11-04,,,283.3333333333333,292.6,288.45452101839555
18146,264.0,280.0,280.0,264.0,1700,AMIN,2020-11-05,,,283.6666666666667,290.6,286.57573856986323
42030,284.0,298.0,318.0,284.0,1500,AMIN,2020-11-06,,,284.73333333333335,290.4,289.11446333211586
93154,280.0,278.0,280.0,278.0,1400,AMIN,2020-11-09,,,285.3333333333333,288.6,286.64458259164564
1683,260.0,272.0,304.0,260.0,4200,AMIN,2020-11-10,,,286.3333333333333,286.2,283.3902309046133
23907,262.0,276.0,276.0,262.0,2700,AMIN,2020-11-11,,,287.53333333333336,284.2,281.74795737025477
79159,294.0,280.0,294.0,264.0,1600,AMIN,2020-11-12,,,287.6,283.4,281.35952239908704
76682,280.0,280.0,280.0,280.0,3000,AMIN,2020-11-13,,,287.73333333333335,281.4,281.057406310401
75032,280.0,278.0,280.0,276.0,400,AMIN,2020-11-16,,,287.8666666666667,280.2,280.37798268586744
39567,280.0,278.0,308.0,268.0,3900,AMIN,2020-11-17,,,287.8666666666667,280.0,279.849542089008
16497,280.0,280.0,280.0,280.0,500,AMIN,2020-11-18,,,287.93333333333334,280.0,279.8829771803396
68437,280.0,280.0,280.0,280.0,300,AMIN,2020-11-19,,,288.0,280.0,279.9089822513752
81612,264.0,280.0,280.0,264.0,1400,AMIN,2020-11-20,,,288.06666666666666,278.2,279.9292084177363
72554,262.0,276.0,278.0,262.0,1400,AMIN,2020-11-23,,,288.0,278.0,279.05605099157265
114564,280.0,274.0,280.0,274.0,300,AMIN,2020-11-24,,,287.46666666666664,278.2,277.9324841045565
121150,272.0,268.0,272.0,258.0,7200,AMIN,2020-11-25,,,286.06666666666666,277.4,275.7252654146551
60194,252.0,300.0,300.0,252.0,900,AMIN,2020-11-26,268.12,,285.93333333333334,279.4,281.1196508780651
13210,300.0,300.0,300.0,300.0,0,AMIN,2020-11-27,268.48,,285.8,281.4,285.31528401627287
119512,280.0,280.0,280.0,280.0,3200,AMIN,2020-11-30,268.64,,285.46666666666664,281.6,284.1341097904345
116215,264.0,280.0,280.0,264.0,600,AMIN,2020-12-01,268.8,,285.1333333333333,281.8,283.21541872589347
118687,300.0,280.0,300.0,280.0,500,AMIN,2020-12-02,268.64,,284.8,281.8,282.5008812312505
37925,298.0,296.0,298.0,294.0,25200,AMIN,2020-12-03,268.8,,284.6666666666667,283.4,285.5006854020837
30514,296.0,296.0,296.0,296.0,0,AMIN,2020-12-04,268.96,,284.53333333333336,285.0,287.8338664238429
46992,296.0,296.0,296.0,296.0,0,AMIN,2020-12-07,269.24,,284.53333333333336,287.0,289.6485627741
94804,276.0,278.0,278.0,276.0,6400,AMIN,2020-12-08,269.32,,283.93333333333334,287.4,287.05999326874445
128560,278.0,316.0,318.0,278.0,12100,AMIN,2020-12-10,269.9,,284.6,292.2,293.49110587569015
40392,316.0,312.0,316.0,312.0,600,AMIN,2020-12-11,270.46,,285.4,293.4,297.6041934588701
74207,298.0,298.0,298.0,298.0,100,AMIN,2020-12-14,270.9,,285.3333333333333,293.2,297.6921504680101
112926,296.0,280.0,296.0,280.0,200,AMIN,2020-12-15,271.0,,285.0,293.2,293.76056147511895
130213,280.0,270.0,280.0,266.0,6900,AMIN,2020-12-16,271.02,,284.6666666666667,292.2,288.4804367028703
65131,270.0,288.0,288.0,270.0,5800,AMIN,2020-12-17,271.22,,284.93333333333334,293.0,288.37367299112134
100593,288.0,280.0,288.0,280.0,2300,AMIN,2020-12-18,271.52,,284.93333333333334,291.4,286.51285677087213
115389,280.0,266.0,280.0,264.0,2100,AMIN,2020-12-21,271.46,,283.8666666666667,288.4,281.95444415512276
32974,272.0,266.0,272.0,266.0,800,AMIN,2020-12-22,271.56,,283.46666666666664,285.4,278.409012120651
98111,264.0,264.0,264.0,264.0,100,AMIN,2020-12-23,271.64,,283.2,284.0,275.20700942717303
65956,268.0,268.0,272.0,268.0,600,AMIN,2020-12-28,271.86,,282.93333333333334,279.2,273.60545177669013
61845,268.0,256.0,268.0,256.0,600,AMIN,2020-12-29,271.94,,282.1333333333333,273.6,269.69312915964787
129385,256.0,256.0,256.0,256.0,500,AMIN,2020-12-30,272.0,,281.3333333333333,269.4,266.650211568615
4154,256.0,272.0,276.0,256.0,800,AMIN,2021-01-04,272.04,,281.1333333333333,268.6,267.8390534422561
109615,256.0,270.0,282.0,256.0,2700,AMIN,2021-01-05,272.22,,280.8666666666667,268.6,268.31926378842144
126076,270.0,270.0,270.0,270.0,800,AMIN,2021-01-06,272.48,,280.53333333333336,266.8,268.6927607243278
