,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
32,3330.0,3360.0,3360.0,3320.0,1746600,AMOR,2021-04-01,,,,,
872,3370.0,3360.0,3370.0,3340.0,1651900,AMOR,2021-04-05,,,,,
1712,3370.0,3570.0,3600.0,3350.0,3034300,AMOR,2021-04-06,,,,,
2552,3570.0,3600.0,3610.0,3570.0,3781400,AMOR,2021-04-07,,,,,
3394,3610.0,3750.0,3750.0,3600.0,2211000,AMOR,2021-04-08,,,,,
4236,3750.0,3720.0,3750.0,3700.0,1646500,AMOR,2021-04-09,,,,,
5079,3700.0,3780.0,3780.0,3690.0,2693000,AMOR,2021-04-12,,,,,
5923,3780.0,3720.0,3800.0,3710.0,1603800,AMOR,2021-04-13,,,,,3607.5
6767,3720.0,3750.0,3760.0,3680.0,2341800,AMOR,2021-04-14,,,,,3639.1666666666665
7612,3750.0,3730.0,3760.0,3710.0,2054000,AMOR,2021-04-15,,,,3634.0,3659.3518518518517
8457,3740.0,3880.0,3900.0,3730.0,3064900,AMOR,2021-04-16,,,,3686.0,3708.384773662551
9301,3880.0,3740.0,3890.0,3740.0,1448800,AMOR,2021-04-19,,,,3724.0,3715.410379515318
10145,3740.0,3760.0,3770.0,3690.0,2416300,AMOR,2021-04-20,,,,3743.0,3725.3191840674695
10989,3740.0,3790.0,3800.0,3710.0,1493700,AMOR,2021-04-21,,,,3762.0,3739.6926987191428
11833,3770.0,3760.0,3780.0,3750.0,1605800,AMOR,2021-04-22,,,,3763.0,3744.2054323371112
12677,3760.0,3820.0,3820.0,3710.0,2242800,AMOR,2021-04-23,,,,3773.0,3761.048669595531
13521,3820.0,3830.0,3850.0,3820.0,1642400,AMOR,2021-04-26,,,,3778.0,3776.371187463191
14364,3830.0,3790.0,3840.0,3650.0,2058200,AMOR,2021-04-27,,,,3785.0,3779.3998124713708
15207,3790.0,3770.0,3790.0,3730.0,1642400,AMOR,2021-04-28,,,,3787.0,3777.3109652555104
16051,3770.0,3920.0,4000.0,3750.0,3083300,AMOR,2021-04-29,,,,3806.0,3809.0196396431747
16895,3920.0,3980.0,4000.0,3900.0,4653800,AMOR,2021-04-30,,,,3816.0,3847.015275278025
17739,3980.0,4120.0,4170.0,3970.0,6970600,AMOR,2021-05-03,,,,3854.0,3907.6785474384637
18582,4110.0,4180.0,4190.0,4110.0,2311000,AMOR,2021-05-04,,,,3896.0,3968.1944257854716
19425,4160.0,4130.0,4170.0,4120.0,1575200,AMOR,2021-05-05,,,,3930.0,4004.1512200553666
20269,4130.0,4000.0,4130.0,3900.0,2932100,AMOR,2021-05-06,,,,3954.0,4003.2287267097295
21113,4000.0,4010.0,4010.0,3850.0,3696600,AMOR,2021-05-07,,,,3973.0,4004.7334541075675
21957,4010.0,4180.0,4290.0,4000.0,3676400,AMOR,2021-05-10,,,,4008.0,4043.681575416997
22800,4190.0,4310.0,4530.0,4180.0,3551900,AMOR,2021-05-11,,,,4060.0,4102.863447546553
23643,4320.0,4170.0,4320.0,4150.0,3022200,AMOR,2021-05-17,,,,4100.0,4117.782681425097
24483,4170.0,4130.0,4170.0,4110.0,1523800,AMOR,2021-05-18,,,3853.6666666666665,4121.0,4120.497641108408
25323,4130.0,4070.0,4130.0,4070.0,2100200,AMOR,2021-05-19,,,3877.3333333333335,4130.0,4109.275943084317
26165,4070.0,4250.0,4440.0,4060.0,4251500,AMOR,2021-05-20,,,3907.0,4143.0,4140.547955732247
27047,4250.0,4120.0,4250.0,4070.0,2971300,AMOR,2021-05-21,,,3925.3333333333335,4137.0,4135.981743347304
27887,4150.0,4010.0,4150.0,4010.0,2140300,AMOR,2021-05-24,,,3939.0,4125.0,4107.985800381236
28729,4020.0,4090.0,4090.0,4000.0,2934700,AMOR,2021-05-25,,,3950.3333333333335,4134.0,4103.988955852073
29520,4090.0,4160.0,4350.0,4080.0,3188300,AMOR,2021-05-27,,,3965.0,4149.0,4116.4358545516125
30362,4160.0,4110.0,4160.0,4080.0,1665000,AMOR,2021-05-28,,,3976.0,4142.0,4115.005664651254
31204,4110.0,3980.0,4110.0,3970.0,2618600,AMOR,2021-05-31,,,3984.6666666666665,4109.0,4085.0044058398644
32046,4000.0,3950.0,4000.0,3900.0,2274300,AMOR,2021-06-02,,,3991.3333333333335,4087.0,4055.003426764339
32888,3960.0,3950.0,4000.0,3920.0,3474100,AMOR,2021-06-03,,,3998.6666666666665,4069.0,4031.6693319278193
33729,3960.0,3970.0,3970.0,3950.0,1640600,AMOR,2021-06-04,,,4001.6666666666665,4059.0,4017.965035943859
34570,3970.0,3960.0,3980.0,3900.0,1708600,AMOR,2021-06-07,,,4009.0,4030.0,4005.083916845224
35411,3960.0,3810.0,3960.0,3810.0,1527100,AMOR,2021-06-08,,,4010.6666666666665,3999.0,3961.731935324063
36254,3830.0,3690.0,3830.0,3690.0,1473000,AMOR,2021-06-09,,,4007.3333333333335,3967.0,3901.3470608076045
37097,3700.0,3720.0,3900.0,3700.0,3117400,AMOR,2021-06-10,,,4006.0,3930.0,3861.04771396147
37944,3730.0,3690.0,3730.0,3660.0,1696700,AMOR,2021-06-11,,,4001.6666666666665,3883.0,3823.037110858921
38791,3700.0,3630.0,3710.0,3630.0,1902000,AMOR,2021-06-14,,,3995.0,3835.0,3780.139975112494
39638,3640.0,3600.0,3650.0,3550.0,1800700,AMOR,2021-06-15,,,3988.6666666666665,3797.0,3740.10886953194
40485,3610.0,3520.0,3610.0,3520.0,1938600,AMOR,2021-06-16,,,3980.3333333333335,3754.0,3691.195787413731
41332,3530.0,3570.0,3640.0,3520.0,3261200,AMOR,2021-06-17,,,3968.6666666666665,3716.0,3664.2633902106795
42179,3580.0,3570.0,3670.0,3520.0,5014700,AMOR,2021-06-18,,,3955.0,3676.0,3643.315970163862
43026,3550.0,3570.0,3670.0,3520.0,1234900,AMOR,2021-06-21,,,3936.6666666666665,3637.0,3627.0235323496704
43873,3580.0,3600.0,3600.0,3570.0,1730800,AMOR,2021-06-22,,,3917.3333333333335,3616.0,3621.0183029386326
44720,3610.0,3480.0,3620.0,3480.0,1040600,AMOR,2021-06-23,,,3895.6666666666665,3595.0,3589.680902285603
