,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121119,610.0,600.0,615.0,595.0,21393300,ANTM,2020-07-01,,,,,
128540,600.0,610.0,610.0,590.0,41575700,ANTM,2020-07-02,,,,,
102214,615.0,600.0,615.0,600.0,30660200,ANTM,2020-07-03,,,,,
84907,605.0,640.0,640.0,600.0,133412200,ANTM,2020-07-06,,,,,
33804,645.0,650.0,670.0,640.0,234409300,ANTM,2020-07-07,,,,,
47816,650.0,660.0,675.0,645.0,116131400,ANTM,2020-07-08,,,,,
114543,660.0,650.0,670.0,650.0,66422900,ANTM,2020-07-09,,,,,
23101,650.0,645.0,665.0,640.0,44571600,ANTM,2020-07-10,,,,,631.875
14865,645.0,675.0,685.0,645.0,148923800,ANTM,2020-07-13,,,,,641.4583333333334
31343,670.0,660.0,680.0,660.0,77241200,ANTM,2020-07-14,,,,639.0,645.5787037037037
89846,665.0,655.0,675.0,655.0,38423500,ANTM,2020-07-15,,,,644.5,647.6723251028807
21456,655.0,650.0,665.0,650.0,19244200,ANTM,2020-07-16,,,,648.5,648.1895861911294
104652,655.0,660.0,660.0,645.0,21499000,ANTM,2020-07-17,,,,654.5,650.8141225931006
78320,660.0,650.0,665.0,650.0,31533100,ANTM,2020-07-20,,,,655.5,650.6332064613005
103023,655.0,685.0,690.0,650.0,158932500,ANTM,2020-07-21,,,,659.0,658.2702716921226
93966,690.0,685.0,705.0,685.0,192426100,ANTM,2020-07-22,,,,661.5,664.2102113160954
8274,695.0,690.0,705.0,685.0,90668500,ANTM,2020-07-23,,,,665.5,669.9412754680742
101401,705.0,685.0,705.0,685.0,134255200,ANTM,2020-07-24,,,,669.5,673.2876586973911
55231,695.0,725.0,725.0,690.0,197203700,ANTM,2020-07-27,,,,674.5,684.7792900979708
41222,730.0,720.0,755.0,715.0,186698000,ANTM,2020-07-28,,,,680.5,692.6061145206439
111254,720.0,730.0,740.0,710.0,79691500,ANTM,2020-07-29,,,,688.0,700.9158668493898
80774,730.0,730.0,740.0,720.0,68996600,ANTM,2020-07-30,,,,696.0,707.3790075495253
117840,740.0,700.0,750.0,680.0,110870200,ANTM,2020-08-03,,,,700.0,705.7392280940753
6637,700.0,705.0,715.0,700.0,43434000,ANTM,2020-08-04,,,,705.5,705.5749551842808
53587,730.0,750.0,750.0,715.0,182812800,ANTM,2020-08-05,,,,712.0,715.4471873655517
70076,765.0,835.0,840.0,755.0,446658400,ANTM,2020-08-06,,,,727.0,742.0144790620958
43693,840.0,840.0,865.0,835.0,263824700,ANTM,2020-08-07,,,,742.0,763.789039270519
98922,840.0,825.0,840.0,800.0,100818900,ANTM,2020-08-10,,,,756.0,777.3914749881815
52771,825.0,800.0,830.0,790.0,133787400,ANTM,2020-08-11,,,,763.5,782.4155916574745
120303,795.0,770.0,795.0,750.0,188570300,ANTM,2020-08-12,,,696.0,768.5,779.6565712891468
62652,770.0,770.0,790.0,770.0,99028400,ANTM,2020-08-13,,,701.6666666666666,772.5,777.5106665582252
87389,780.0,785.0,805.0,775.0,209371300,ANTM,2020-08-14,,,707.5,778.0,779.1749628786197
61008,800.0,805.0,820.0,795.0,178541000,ANTM,2020-08-18,,,714.3333333333334,788.5,784.9138600167042
89030,810.0,795.0,815.0,795.0,88404200,ANTM,2020-08-19,,,719.5,797.5,787.1552244574366
9922,805.0,780.0,805.0,775.0,116065100,ANTM,2020-08-24,,,723.8333333333334,800.5,785.5651745780062
129349,780.0,790.0,795.0,775.0,69089200,ANTM,2020-08-25,,,728.1666666666666,796.0,786.5506913384493
