,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121123,115.0,98.0,115.0,98.0,17400,APLI,2020-07-01,,,,,
128544,98.0,95.0,105.0,92.0,4100,APLI,2020-07-02,,,,,
102218,95.0,104.0,106.0,89.0,4100,APLI,2020-07-03,,,,,
84911,104.0,100.0,104.0,100.0,9100,APLI,2020-07-06,,,,,
33808,94.0,100.0,100.0,94.0,3200,APLI,2020-07-07,,,,,
47820,100.0,99.0,100.0,99.0,7900,APLI,2020-07-08,,,,,
114547,104.0,110.0,112.0,104.0,22100,APLI,2020-07-09,,,,,
23105,120.0,124.0,125.0,120.0,1800,APLI,2020-07-10,,,,,103.75
14869,124.0,121.0,124.0,119.0,4500,APLI,2020-07-13,,,,,107.58333333333333
31347,121.0,124.0,124.0,118.0,19700,APLI,2020-07-14,,,,107.5,111.23148148148148
89850,124.0,124.0,124.0,124.0,2500,APLI,2020-07-15,,,,110.1,114.06893004115226
21460,120.0,122.0,122.0,116.0,21300,APLI,2020-07-16,,,,112.8,115.8313900320073
104656,122.0,120.0,122.0,114.0,1300,APLI,2020-07-17,,,,114.4,116.75774780267236
78324,120.0,120.0,120.0,120.0,500,APLI,2020-07-20,,,,116.4,117.47824829096739
103027,134.0,120.0,134.0,120.0,700,APLI,2020-07-21,,,,118.4,118.0386375596413
93970,120.0,114.0,120.0,114.0,5200,APLI,2020-07-22,,,,119.9,117.14116254638768
8278,120.0,119.0,128.0,116.0,17800,APLI,2020-07-23,,,,120.8,117.5542375360793
101405,119.0,118.0,121.0,117.0,5500,APLI,2020-07-24,,,,120.2,117.65329586139501
55235,118.0,118.0,118.0,118.0,0,APLI,2020-07-27,,,,119.9,117.73034122552946
41226,118.0,118.0,118.0,118.0,100,APLI,2020-07-28,,,,119.3,117.79026539763402
111258,127.0,122.0,127.0,120.0,25500,APLI,2020-07-29,,,,119.1,118.72576197593757
80778,126.0,117.0,126.0,117.0,39800,APLI,2020-07-30,,,,118.6,118.34225931461812
117844,119.0,116.0,119.0,116.0,700,APLI,2020-08-03,,,,118.2,117.82175724470298
6641,119.0,119.0,119.0,119.0,300,APLI,2020-08-04,,,,118.1,118.08358896810232
53591,112.0,119.0,119.0,112.0,800,APLI,2020-08-05,,,,118.0,118.28723586407958
70080,115.0,119.0,119.0,115.0,1800,APLI,2020-08-06,,,,118.5,118.44562789428412
43697,119.0,119.0,119.0,119.0,100,APLI,2020-08-07,,,,118.5,118.5688216955543
98926,128.0,119.0,128.0,119.0,2100,APLI,2020-08-10,,,,118.6,118.66463909654223
52775,118.0,120.0,127.0,118.0,7900,APLI,2020-08-11,,,,118.8,118.96138596397729
120307,120.0,120.0,120.0,120.0,400,APLI,2020-08-12,,,115.26666666666667,119.0,119.19218908309345
62656,120.0,120.0,120.0,120.0,1600,APLI,2020-08-13,,,116.0,118.8,119.3717026201838
