,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
47271,750.0,755.0,850.0,745.0,374023600,ARCI,2021-06-28,,,,,
48911,735.0,750.0,755.0,730.0,85827700,ARCI,2021-06-30,,,,,
49762,755.0,750.0,760.0,735.0,43984500,ARCI,2021-07-01,,,,,
50613,750.0,750.0,755.0,735.0,41392000,ARCI,2021-07-02,,,,,
51464,750.0,735.0,755.0,730.0,38339300,ARCI,2021-07-05,,,,,
52315,735.0,720.0,735.0,720.0,51811500,ARCI,2021-07-06,,,,,
53977,730.0,720.0,730.0,715.0,39980300,ARCI,2021-07-08,,,,,
54828,720.0,705.0,725.0,700.0,36847100,ARCI,2021-07-09,,,,,735.625
55681,710.0,720.0,725.0,705.0,27965300,ARCI,2021-07-12,,,,,732.1527777777778
56534,720.0,680.0,725.0,670.0,35006200,ARCI,2021-07-13,,,,728.5,720.5632716049383
57387,675.0,635.0,685.0,635.0,30342000,ARCI,2021-07-14,,,,716.5,701.5492112482854
58240,640.0,650.0,685.0,620.0,32712300,ARCI,2021-07-15,,,,706.5,690.0938309708886
59093,650.0,645.0,660.0,640.0,11152000,ARCI,2021-07-16,,,,696.0,680.0729796440245
59946,650.0,635.0,650.0,630.0,17407600,ARCI,2021-07-19,,,,684.5,670.0567619453524
60798,635.0,665.0,675.0,635.0,39763100,ARCI,2021-07-21,,,,677.5,668.9330370686074
61650,660.0,690.0,695.0,660.0,49715300,ARCI,2021-07-22,,,,674.5,673.6145843866947
62502,685.0,690.0,700.0,680.0,20208400,ARCI,2021-07-23,,,,671.5,677.2557878563181
63354,690.0,710.0,710.0,690.0,32639700,ARCI,2021-07-26,,,,672.0,684.532279443803
64206,710.0,690.0,715.0,680.0,19992500,ARCI,2021-07-27,,,,669.0,685.7473284562911
65060,690.0,645.0,695.0,645.0,17306500,ARCI,2021-07-28,,,,665.5,676.6923665771153
65914,645.0,650.0,655.0,640.0,4830300,ARCI,2021-07-29,,,,667.0,670.7607295599786
66768,650.0,650.0,665.0,635.0,4335400,ARCI,2021-07-30,,,,667.0,666.1472341022055
67622,650.0,650.0,665.0,640.0,15132100,ARCI,2021-08-02,,,,667.5,662.5589598572709
68476,655.0,650.0,660.0,645.0,15063400,ARCI,2021-08-03,,,,669.0,659.7680798889885
69330,655.0,640.0,665.0,640.0,24193800,ARCI,2021-08-04,,,,666.5,655.375173246991
70184,640.0,635.0,650.0,625.0,18447800,ARCI,2021-08-05,,,,661.0,650.847356969882
71038,635.0,620.0,645.0,615.0,17537200,ARCI,2021-08-06,,,,654.0,643.9923887543526
71893,615.0,610.0,620.0,580.0,23008100,ARCI,2021-08-09,,,,644.0,636.4385245867187
72748,580.0,595.0,610.0,580.0,10191400,ARCI,2021-08-10,,,,634.5,627.2299635674478
73603,590.0,580.0,595.0,575.0,9403600,ARCI,2021-08-12,,,674.0,628.0,616.734416108015
74458,580.0,570.0,585.0,550.0,21707600,ARCI,2021-08-13,,,667.8333333333334,620.0,606.3489903062339
75313,570.0,590.0,590.0,555.0,28227100,ARCI,2021-08-16,,,662.5,614.0,602.715881349293
76168,595.0,615.0,620.0,580.0,32481100,ARCI,2021-08-18,,,658.0,610.5,605.4456854938945
77023,620.0,625.0,625.0,600.0,29110500,ARCI,2021-08-19,,,653.8333333333334,608.0,609.7910887174735
77878,630.0,625.0,630.0,605.0,23225500,ARCI,2021-08-20,,,650.1666666666666,606.5,613.1708467802572
78733,625.0,620.0,630.0,615.0,21843500,ARCI,2021-08-23,,,646.8333333333334,605.0,614.6884363846444
79588,620.0,610.0,620.0,595.0,18888900,ARCI,2021-08-24,,,643.1666666666666,604.0,613.6465616325012
80443,605.0,600.0,605.0,590.0,18712800,ARCI,2021-08-25,,,639.6666666666666,603.0,610.6139923808342
81298,600.0,605.0,610.0,590.0,13951100,ARCI,2021-08-26,,,635.8333333333334,604.0,609.3664385184267
82153,605.0,610.0,610.0,590.0,18258900,ARCI,2021-08-27,,,633.5,607.0,609.5072299587763
83008,610.0,620.0,620.0,600.0,17169700,ARCI,2021-08-30,,,633.0,612.0,611.8389566346037
83863,620.0,615.0,625.0,600.0,16254800,ARCI,2021-08-31,,,631.8333333333334,614.5,612.541410715803
84718,615.0,610.0,615.0,595.0,18557600,ARCI,2021-09-01,,,630.6666666666666,614.0,611.9766527789578
85574,610.0,605.0,610.0,595.0,19830300,ARCI,2021-09-02,,,629.6666666666666,612.0,610.426285494745
86430,600.0,595.0,600.0,590.0,17211400,ARCI,2021-09-03,,,627.3333333333334,609.0,606.9982220514684
87286,595.0,595.0,600.0,590.0,4165100,ARCI,2021-09-06,,,624.1666666666666,606.5,604.3319504844754
88146,595.0,585.0,595.0,585.0,18337700,ARCI,2021-09-07,,,620.6666666666666,604.0,600.0359614879253
89007,585.0,585.0,590.0,580.0,15226700,ARCI,2021-09-08,,,616.5,602.5,596.6946367128307
89874,590.0,590.0,590.0,575.0,15741600,ARCI,2021-09-09,,,613.1666666666666,601.0,595.2069396655351
90742,590.0,585.0,590.0,580.0,9204800,ARCI,2021-09-10,,,611.1666666666666,598.5,592.9387308509718
91610,585.0,580.0,585.0,575.0,14078400,ARCI,2021-09-13,,,608.8333333333334,594.5,590.0634573285336
92478,580.0,570.0,580.0,565.0,11475000,ARCI,2021-09-14,,,606.1666666666666,590.0,585.6049112555261
93346,565.0,570.0,570.0,560.0,15687300,ARCI,2021-09-15,,,603.5,586.0,582.1371531987425
94214,575.0,570.0,575.0,555.0,18081100,ARCI,2021-09-16,,,600.8333333333334,582.5,579.4400080434664
95082,570.0,570.0,575.0,555.0,14217400,ARCI,2021-09-17,,,598.5,580.0,577.3422284782516
95950,570.0,550.0,570.0,550.0,15539000,ARCI,2021-09-20,,,595.6666666666666,575.5,571.2661777053069
96818,545.0,550.0,555.0,535.0,12091000,ARCI,2021-09-21,,,593.3333333333334,572.0,566.5403604374609
97687,550.0,550.0,555.0,535.0,15614900,ARCI,2021-09-22,,,591.3333333333334,568.5,562.8647247846918
98556,550.0,565.0,570.0,545.0,17416600,ARCI,2021-09-23,,,590.3333333333334,566.0,563.3392303880936
99425,565.0,580.0,580.0,550.0,17572700,ARCI,2021-09-24,,,590.3333333333334,565.5,567.0416236351839
100294,580.0,585.0,595.0,570.0,17582200,ARCI,2021-09-27,,,590.8333333333334,566.0,571.0323739384763
101162,580.0,570.0,585.0,560.0,10113900,ARCI,2021-09-28,,,590.1666666666666,566.0,570.8029575077038
102030,570.0,565.0,570.0,560.0,13833500,ARCI,2021-09-29,,,588.5,565.5,569.5134113948808
102898,565.0,565.0,565.0,560.0,9560600,ARCI,2021-09-30,,,586.5,565.0,568.5104310849073
103766,565.0,560.0,570.0,550.0,12220500,ARCI,2021-10-01,,,584.3333333333334,564.0,566.6192241771502
104633,560.0,575.0,580.0,560.0,7852100,ARCI,2021-10-04,,,582.8333333333334,566.5,568.4816188044501
105500,575.0,580.0,585.0,565.0,2942900,ARCI,2021-10-05,,,581.8333333333334,569.5,571.0412590701279
106367,595.0,600.0,605.0,580.0,10134900,ARCI,2021-10-06,,,581.8333333333334,574.5,577.4765348323217
107234,605.0,635.0,700.0,590.0,45492800,ARCI,2021-10-07,,,582.8333333333334,581.5,590.2595270918058
108101,660.0,710.0,710.0,650.0,67155200,ARCI,2021-10-08,,,586.1666666666666,594.5,616.8685210714045
108968,740.0,690.0,765.0,685.0,58792300,ARCI,2021-10-11,,,588.5,605.0,633.1199608333146
109834,670.0,645.0,700.0,645.0,37665600,ARCI,2021-10-12,,,589.5,612.5,635.7599695370225
110700,665.0,605.0,665.0,600.0,26726700,ARCI,2021-10-13,,,589.3333333333334,616.5,628.9244207510175
111566,615.0,615.0,650.0,600.0,15937100,ARCI,2021-10-14,,,589.6666666666666,621.5,625.8301050285692
112432,640.0,635.0,640.0,610.0,7852600,ARCI,2021-10-15,,,591.0,629.0,627.8678594666649
113298,635.0,665.0,680.0,615.0,28289400,ARCI,2021-10-18,,,593.3333333333334,638.0,636.1194462518505
114164,665.0,650.0,675.0,650.0,7661600,ARCI,2021-10-19,,,595.5,645.0,639.2040137514392
115030,650.0,650.0,660.0,635.0,6936700,ARCI,2021-10-21,,,597.6666666666666,650.0,641.603121806675
115895,645.0,655.0,665.0,615.0,15073100,ARCI,2021-10-22,,,599.8333333333334,652.0,644.5802058496361
116760,655.0,645.0,655.0,630.0,3299600,ARCI,2021-10-25,,,601.8333333333334,645.5,644.6734934386059
117628,645.0,625.0,645.0,625.0,4031700,ARCI,2021-10-26,,,603.3333333333334,639.0,640.3016060078046
118496,625.0,630.0,695.0,620.0,44206300,ARCI,2021-10-27,,,605.3333333333334,637.5,638.0123602282924
119364,635.0,610.0,640.0,600.0,10049800,ARCI,2021-10-28,,,606.6666666666666,638.0,631.7873912886719
120232,610.0,610.0,630.0,600.0,4103500,ARCI,2021-10-29,,,608.0,637.5,626.9457487800781
121100,615.0,615.0,620.0,610.0,3634200,ARCI,2021-11-01,,,609.5,635.5,624.2911379400608
121967,615.0,605.0,620.0,600.0,3642000,ARCI,2021-11-02,,,611.3333333333334,629.5,620.0042183978251
122834,605.0,600.0,615.0,600.0,3102200,ARCI,2021-11-03,,,613.0,624.5,615.5588365316418
123701,610.0,595.0,615.0,590.0,6337100,ARCI,2021-11-04,,,614.5,619.0,610.9902061912769
124568,590.0,600.0,610.0,585.0,5033800,ARCI,2021-11-05,,,615.6666666666666,613.5,608.547938148771
125435,600.0,600.0,615.0,600.0,5212400,ARCI,2021-11-08,,,616.3333333333334,609.0,606.648396337933
126302,610.0,615.0,615.0,595.0,4237800,ARCI,2021-11-09,,,617.3333333333334,608.0,608.5043082628368
127168,615.0,605.0,615.0,595.0,3919600,ARCI,2021-11-10,,,618.5,605.5,607.7255730933175
128034,610.0,605.0,615.0,605.0,2094600,ARCI,2021-11-11,,,619.8333333333334,605.0,607.1198901836914
128900,610.0,590.0,615.0,590.0,17958700,ARCI,2021-11-12,,,620.6666666666666,603.0,603.315470142871
129767,590.0,590.0,605.0,585.0,11213600,ARCI,2021-11-15,,,621.6666666666666,600.5,600.3564767777885
