,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123629,430.0,400.0,460.0,400.0,3000,ARKA,2020-07-01,,,,,
131050,390.0,372.0,390.0,372.0,1200,ARKA,2020-07-02,,,,,
104724,360.0,346.0,360.0,346.0,55100,ARKA,2020-07-03,,,,,
86583,350.0,400.0,432.0,350.0,16700,ARKA,2020-07-06,,,,,
33812,400.0,374.0,400.0,374.0,18600,ARKA,2020-07-07,,,,,
48658,350.0,350.0,350.0,350.0,29900,ARKA,2020-07-08,,,,,
117053,330.0,330.0,330.0,326.0,22600,ARKA,2020-07-09,,,,,
23109,330.0,330.0,330.0,330.0,0,ARKA,2020-07-10,,,,,362.75
14873,330.0,308.0,330.0,308.0,64800,ARKA,2020-07-13,,,,,350.5833333333333
31351,310.0,288.0,310.0,288.0,49300,ARKA,2020-07-14,,,,349.8,336.6759259259259
92356,288.0,288.0,288.0,288.0,0,ARKA,2020-07-15,,,,338.6,325.8590534979424
21464,288.0,288.0,288.0,288.0,0,ARKA,2020-07-16,,,,330.2,317.44593049839966
107162,288.0,288.0,288.0,288.0,0,ARKA,2020-07-17,,,,324.4,310.9023903876442
79996,288.0,288.0,288.0,288.0,0,ARKA,2020-07-20,,,,313.2,305.812970301501
105533,288.0,288.0,288.0,288.0,0,ARKA,2020-07-21,,,,304.6,301.854532456723
96476,288.0,288.0,288.0,288.0,0,ARKA,2020-07-22,,,,298.4,298.77574746634014
8282,288.0,288.0,288.0,288.0,0,ARKA,2020-07-23,,,,294.2,296.38113691826453
103911,288.0,288.0,288.0,288.0,0,ARKA,2020-07-24,,,,290.0,294.51866204753907
56907,288.0,288.0,288.0,288.0,0,ARKA,2020-07-27,,,,288.0,293.0700704814193
41230,288.0,288.0,288.0,288.0,0,ARKA,2020-07-28,,,,288.0,291.943388152215
113764,288.0,288.0,288.0,288.0,0,ARKA,2020-07-29,,,,288.0,291.067079673945
82450,288.0,288.0,288.0,288.0,0,ARKA,2020-07-30,,,,288.0,290.3855064130683
120350,288.0,288.0,288.0,288.0,0,ARKA,2020-08-03,,,,288.0,289.8553938768309
6645,288.0,288.0,288.0,288.0,0,ARKA,2020-08-04,,,,288.0,289.443084126424
55263,288.0,288.0,288.0,288.0,0,ARKA,2020-08-05,,,,288.0,289.1223987649965
71752,288.0,288.0,288.0,288.0,0,ARKA,2020-08-06,,,,288.0,288.87297681721947
43701,288.0,288.0,288.0,288.0,0,ARKA,2020-08-07,,,,288.0,288.67898196894845
101432,288.0,288.0,288.0,288.0,0,ARKA,2020-08-10,,,,288.0,288.5280970869599
54447,288.0,288.0,288.0,288.0,0,ARKA,2020-08-11,,,,288.0,288.4107421787466
122813,288.0,288.0,288.0,288.0,0,ARKA,2020-08-12,,,308.6,288.0,288.3194661390251
64328,288.0,288.0,288.0,288.0,0,ARKA,2020-08-13,,,304.8666666666667,288.0,288.2484736636862
89899,288.0,340.0,360.0,268.0,2205700,ARKA,2020-08-14,,,303.8,293.2,299.7488128495337
62684,340.0,318.0,340.0,318.0,1221700,ARKA,2020-08-18,,,302.8666666666667,296.2,303.80463221630396
91540,296.0,296.0,296.0,296.0,5305500,ARKA,2020-08-19,,,299.4,297.0,302.0702695015697
9930,276.0,276.0,276.0,276.0,21100,ARKA,2020-08-24,,,296.1333333333333,295.8,296.27687627899866
131859,258.0,258.0,258.0,258.0,31500,ARKA,2020-08-25,,,293.06666666666666,292.8,287.7709037725545
106346,240.0,240.0,240.0,240.0,9600,ARKA,2020-08-26,,,290.06666666666666,288.0,277.1551473786535
3350,224.0,224.0,224.0,224.0,3600,ARKA,2020-08-27,,,286.53333333333336,281.6,265.3428924056194
80809,210.0,210.0,210.0,210.0,45200,ARKA,2020-08-28,,,283.26666666666665,273.8,253.04447187103733
27230,196.0,196.0,196.0,196.0,14800,ARKA,2020-08-31,,,280.2,264.6,240.36792256636238
34625,195.0,183.0,195.0,183.0,12700,ARKA,2020-09-01,,,276.7,254.1,227.61949532939298
38763,177.0,172.0,185.0,171.0,11896700,ARKA,2020-09-02,,,272.8333333333333,237.3,215.25960747841677
70100,160.0,160.0,163.0,160.0,917500,ARKA,2020-09-03,,,268.56666666666666,221.5,202.97969470543526
12406,149.0,158.0,160.0,149.0,7246500,ARKA,2020-09-04,,,264.23333333333335,207.7,192.98420699311632
26410,147.0,147.0,156.0,147.0,8742700,ARKA,2020-09-07,,,259.53333333333336,194.8,182.76549432797935
110457,137.0,138.0,146.0,137.0,8173500,ARKA,2020-09-08,,,254.53333333333333,182.8,172.8176066995395
124438,129.0,129.0,132.0,129.0,4553900,ARKA,2020-09-09,,,249.23333333333332,171.7,163.0803607663085
7458,120.0,120.0,122.0,120.0,949000,ARKA,2020-09-10,,,243.63333333333333,161.3,153.50694726268438
17335,114.0,112.0,114.0,112.0,3358700,ARKA,2020-09-11,,,237.76666666666668,151.5,144.28318120431007
44515,108.0,120.0,150.0,105.0,8498800,ARKA,2020-09-14,,,232.16666666666666,143.9,138.88691871446338
67622,115.0,120.0,129.0,112.0,9354600,ARKA,2020-09-15,,,226.56666666666666,137.6,134.68982566680484
868,115.0,112.0,121.0,112.0,15400900,ARKA,2020-09-16,,,220.7,131.6,129.64764218529265
57720,109.0,109.0,114.0,105.0,8734000,ARKA,2020-09-17,,,214.73333333333332,126.5,125.05927725522761
63500,102.0,102.0,109.0,102.0,29293500,ARKA,2020-09-18,,,208.53333333333333,120.9,119.93499342073258
73392,95.0,99.0,104.0,95.0,3194000,ARKA,2020-09-21,,,202.23333333333332,116.1,115.28277266056979
102248,95.0,102.0,104.0,95.0,6393200,ARKA,2020-09-22,,,196.03333333333333,112.5,112.3310454026654
78345,101.0,98.0,104.0,98.0,5139800,ARKA,2020-09-23,,,189.7,109.4,109.14636864651753
66795,96.0,98.0,99.0,95.0,14411500,ARKA,2020-09-24,,,183.36666666666667,107.2,106.6693978361803
98950,98.0,96.0,103.0,95.0,11425100,ARKA,2020-09-25,,,176.96666666666667,105.6,104.29842053925134
61032,96.0,99.0,101.0,94.0,14587000,ARKA,2020-09-28,,,170.66666666666666,103.5,103.12099375275105
15684,99.0,95.0,102.0,94.0,10253300,ARKA,2020-09-29,,,164.23333333333332,101.0,101.31632847436192
85757,89.0,96.0,98.0,89.0,9718100,ARKA,2020-09-30,,,156.1,99.4,100.13492214672594
93991,96.0,93.0,98.0,90.0,8864400,ARKA,2020-10-01,,,148.6,97.8,98.54938389189796
69275,93.0,89.0,94.0,87.0,3987100,ARKA,2020-10-02,,,141.7,96.5,96.4272985825873
11581,89.0,87.0,90.0,85.0,1263100,ARKA,2020-10-05,,,135.4,95.3,94.33234334201234
121988,87.0,110.0,117.0,87.0,34032600,ARKA,2020-10-06,,,130.46666666666667,96.1,97.81404482156515
