,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123630,50.0,50.0,50.0,50.0,0,ARMY,2020-07-01,,,,,
131051,50.0,50.0,50.0,50.0,0,ARMY,2020-07-02,,,,,
104725,50.0,50.0,50.0,50.0,0,ARMY,2020-07-03,,,,,
86584,50.0,50.0,50.0,50.0,0,ARMY,2020-07-06,,,,,
33813,50.0,50.0,50.0,50.0,0,ARMY,2020-07-07,,,,,
48659,50.0,50.0,50.0,50.0,0,ARMY,2020-07-08,,,,,
117054,50.0,50.0,50.0,50.0,0,ARMY,2020-07-09,,,,,
23110,50.0,50.0,50.0,50.0,0,ARMY,2020-07-10,,,,,50.0
14874,50.0,50.0,50.0,50.0,0,ARMY,2020-07-13,,,,,50.0
31352,50.0,50.0,50.0,50.0,0,ARMY,2020-07-14,,,,50.0,50.0
92357,50.0,50.0,50.0,50.0,0,ARMY,2020-07-15,,,,50.0,50.0
21465,50.0,50.0,50.0,50.0,0,ARMY,2020-07-16,,,,50.0,50.0
107163,50.0,50.0,50.0,50.0,0,ARMY,2020-07-17,,,,50.0,50.0
79997,50.0,50.0,50.0,50.0,0,ARMY,2020-07-20,,,,50.0,50.0
105534,50.0,50.0,50.0,50.0,0,ARMY,2020-07-21,,,,50.0,50.0
96477,50.0,50.0,50.0,50.0,0,ARMY,2020-07-22,,,,50.0,50.0
8283,50.0,50.0,50.0,50.0,0,ARMY,2020-07-23,,,,50.0,50.0
103912,50.0,50.0,50.0,50.0,0,ARMY,2020-07-24,,,,50.0,50.0
56908,50.0,50.0,50.0,50.0,0,ARMY,2020-07-27,,,,50.0,50.0
41231,50.0,50.0,50.0,50.0,0,ARMY,2020-07-28,,,,50.0,50.0
113765,50.0,50.0,50.0,50.0,0,ARMY,2020-07-29,,,,50.0,50.0
82451,50.0,50.0,50.0,50.0,0,ARMY,2020-07-30,,,,50.0,50.0
120351,50.0,50.0,50.0,50.0,0,ARMY,2020-08-03,,,,50.0,50.0
6646,50.0,50.0,50.0,50.0,0,ARMY,2020-08-04,,,,50.0,50.0
55264,50.0,50.0,50.0,50.0,0,ARMY,2020-08-05,,,,50.0,50.0
71753,50.0,50.0,50.0,50.0,0,ARMY,2020-08-06,,,,50.0,50.0
43702,50.0,50.0,50.0,50.0,0,ARMY,2020-08-07,,,,50.0,50.0
101433,50.0,50.0,50.0,50.0,0,ARMY,2020-08-10,,,,50.0,50.0
54448,50.0,50.0,50.0,50.0,0,ARMY,2020-08-11,,,,50.0,50.0
122814,50.0,50.0,50.0,50.0,0,ARMY,2020-08-12,,,50.0,50.0,50.0
64329,50.0,50.0,50.0,50.0,0,ARMY,2020-08-13,,,50.0,50.0,50.0
89900,50.0,50.0,50.0,50.0,0,ARMY,2020-08-14,,,50.0,50.0,50.0
62685,50.0,50.0,50.0,50.0,0,ARMY,2020-08-18,,,50.0,50.0,50.0
91541,50.0,50.0,50.0,50.0,0,ARMY,2020-08-19,,,50.0,50.0,50.0
