,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
47,266.0,270.0,270.0,266.0,11000,ARTA,2021-04-01,,,,,
887,270.0,270.0,270.0,262.0,6000,ARTA,2021-04-05,,,,,
1727,270.0,266.0,270.0,264.0,1000,ARTA,2021-04-06,,,,,
2567,252.0,278.0,278.0,252.0,2700,ARTA,2021-04-07,,,,,
3409,268.0,278.0,278.0,268.0,1700,ARTA,2021-04-08,,,,,
4251,272.0,272.0,280.0,272.0,8100,ARTA,2021-04-09,,,,,
5094,272.0,270.0,276.0,270.0,1800,ARTA,2021-04-12,,,,,
5938,260.0,264.0,264.0,254.0,2500,ARTA,2021-04-13,,,,,271.0
6782,264.0,270.0,270.0,264.0,2800,ARTA,2021-04-14,,,,,270.77777777777777
7627,276.0,270.0,276.0,266.0,22600,ARTA,2021-04-15,,,,270.8,270.6049382716049
8472,270.0,264.0,274.0,252.0,13000,ARTA,2021-04-16,,,,270.2,269.13717421124824
9316,264.0,262.0,264.0,260.0,1500,ARTA,2021-04-19,,,,269.4,267.5511354976375
10160,248.0,288.0,296.0,246.0,63000,ARTA,2021-04-20,,,,271.6,272.0953276092736
11004,280.0,280.0,284.0,268.0,5900,ARTA,2021-04-21,,,,271.8,273.8519214738795
11848,280.0,280.0,280.0,280.0,100,ARTA,2021-04-22,,,,272.0,275.2181611463507
12692,280.0,280.0,280.0,280.0,100,ARTA,2021-04-23,,,,272.8,276.28079200271725
13536,280.0,280.0,280.0,280.0,0,ARTA,2021-04-26,,,,273.8,277.1072826687801
14379,280.0,280.0,280.0,280.0,0,ARTA,2021-04-27,,,,275.4,277.7501087423845
15222,262.0,264.0,264.0,262.0,10500,ARTA,2021-04-28,,,,274.8,274.69452902185463
16066,264.0,274.0,278.0,264.0,2100,ARTA,2021-04-29,,,,275.2,274.5401892392203
16910,272.0,272.0,272.0,258.0,1100,ARTA,2021-04-30,,,,276.0,273.9757027416158
17754,272.0,272.0,272.0,272.0,0,ARTA,2021-05-03,,,,277.0,273.5366576879234
18597,272.0,262.0,272.0,256.0,3300,ARTA,2021-05-04,,,,274.4,270.972955979496
19440,262.0,262.0,262.0,262.0,8300,ARTA,2021-05-05,,,,272.6,268.97896576183024
20284,262.0,262.0,262.0,262.0,800,ARTA,2021-05-06,,,,270.8,267.4280844814235
21128,262.0,262.0,262.0,262.0,0,ARTA,2021-05-07,,,,269.0,266.22184348555163
21972,284.0,276.0,284.0,276.0,700,ARTA,2021-05-10,,,,268.6,268.39476715542907
22815,262.0,262.0,262.0,262.0,300,ARTA,2021-05-11,,,,266.8,266.97370778755595
23658,262.0,264.0,264.0,262.0,900,ARTA,2021-05-17,,,,266.8,266.3128838347657
24498,264.0,260.0,264.0,260.0,300,ARTA,2021-05-18,,,270.46666666666664,265.4,264.91002076037336
25338,260.0,258.0,260.0,258.0,300,ARTA,2021-05-19,,,270.06666666666666,264.0,263.3744605914015
26181,258.0,260.0,260.0,258.0,400,ARTA,2021-05-20,,,269.73333333333335,262.8,262.6245804599789
27062,250.0,260.0,260.0,250.0,1900,ARTA,2021-05-21,,,269.53333333333336,262.6,262.0413403577614
27902,260.0,260.0,260.0,252.0,400,ARTA,2021-05-24,,,268.93333333333334,262.4,261.58770916714775
28744,260.0,258.0,260.0,252.0,600,ARTA,2021-05-25,,,268.26666666666665,262.0,260.7904404633371
29535,256.0,258.0,258.0,256.0,5400,ARTA,2021-05-27,,,267.8,261.6,260.17034258259554
30377,258.0,258.0,274.0,258.0,600,ARTA,2021-05-28,,,267.4,259.8,259.6880442309076
31219,274.0,254.0,274.0,254.0,2900,ARTA,2021-05-31,,,267.06666666666666,259.0,258.42403440181704
32061,252.0,258.0,258.0,252.0,1400,ARTA,2021-06-02,,,266.6666666666667,258.4,258.3298045347466
32903,258.0,256.0,258.0,254.0,1300,ARTA,2021-06-03,,,266.2,258.0,257.8120701936918
33744,258.0,256.0,258.0,256.0,500,ARTA,2021-06-04,,,265.93333333333334,257.8,257.40938792842695
34585,260.0,320.0,320.0,260.0,598200,ARTA,2021-06-07,,,267.8666666666667,263.8,271.318412833221
35426,330.0,400.0,400.0,330.0,293700,ARTA,2021-06-08,,,271.6,277.8,299.9143210925052
36269,460.0,500.0,500.0,460.0,337000,ARTA,2021-06-09,,,278.93333333333334,301.8,344.3778052941707
37112,550.0,625.0,625.0,510.0,286500,ARTA,2021-06-10,,,290.43333333333334,338.5,406.7382930065772
37959,670.0,585.0,780.0,585.0,994600,ARTA,2021-06-11,,,300.6,371.2,446.35200567178225
38806,585.0,580.0,730.0,545.0,585000,ARTA,2021-06-14,,,310.6,403.4,476.05155996694174
39653,580.0,540.0,580.0,540.0,20100,ARTA,2021-06-15,,,319.26666666666665,432.0,490.2623244187325
40500,540.0,505.0,540.0,505.0,21600,ARTA,2021-06-16,,,327.3,456.7,493.5373634367919
41347,505.0,470.0,575.0,470.0,749600,ARTA,2021-06-17,,,333.8333333333333,478.1,488.3068382286159
42194,470.0,438.0,472.0,438.0,100600,ARTA,2021-06-18,,,339.3666666666667,496.3,477.12754084447903
43041,438.0,408.0,438.0,408.0,181100,ARTA,2021-06-21,,,343.9,505.1,461.76586510126145
43888,408.0,510.0,510.0,380.0,334300,ARTA,2021-06-22,,,352.1666666666667,516.1,472.4845617454256
44735,560.0,635.0,635.0,535.0,558400,ARTA,2021-06-23,,,364.6,529.6,508.5991035797755
45582,705.0,595.0,790.0,595.0,1659700,ARTA,2021-06-24,,,375.7,526.6,527.7993027842698
46429,595.0,555.0,595.0,555.0,21500,ARTA,2021-06-25,,,385.46666666666664,523.6,533.8439021655432
47277,555.0,520.0,555.0,520.0,41800,ARTA,2021-06-28,,,393.6,517.6,530.7674794620892
48123,520.0,488.0,560.0,484.0,314300,ARTA,2021-06-29,,,401.1333333333333,512.4,521.2635951371805
48917,488.0,486.0,550.0,460.0,98400,ARTA,2021-06-30,,,408.53333333333336,510.5,513.4272406622515
49768,466.0,452.0,505.0,452.0,98100,ARTA,2021-07-01,,,414.93333333333334,508.7,499.77674273730673
50619,456.0,470.0,498.0,454.0,68300,ARTA,2021-07-02,,,422.0,511.9,493.159688795683
51470,476.0,456.0,500.0,450.0,93000,ARTA,2021-07-05,,,428.53333333333336,516.7,484.9019801744201
52321,460.0,450.0,490.0,448.0,24900,ARTA,2021-07-06,,,434.8666666666667,510.7,477.14598458010454
53171,440.0,458.0,462.0,420.0,23100,ARTA,2021-07-07,,,441.46666666666664,493.0,472.89132134008133
53983,458.0,448.0,458.0,430.0,137400,ARTA,2021-07-08,,,447.8,478.3,467.35991659784105
54834,448.0,444.0,488.0,440.0,37300,ARTA,2021-07-09,,,454.0,467.2,462.168824020543
55687,446.0,468.0,550.0,446.0,335300,ARTA,2021-07-12,,,461.0,462.0,463.46464090486677
56540,454.0,585.0,585.0,454.0,452200,ARTA,2021-07-13,,,472.03333333333336,471.7,490.47249848156304
57393,600.0,545.0,730.0,545.0,4407300,ARTA,2021-07-14,,,481.6,477.6,502.5897210412157
58246,510.0,510.0,510.0,510.0,68500,ARTA,2021-07-15,,,490.06666666666666,483.4,504.23644969872333
59099,476.0,498.0,520.0,476.0,569600,ARTA,2021-07-16,,,498.1333333333333,486.2,502.85057198789593
59952,498.0,480.0,520.0,466.0,133300,ARTA,2021-07-19,,,503.46666666666664,488.6,497.7726671016968
60804,484.0,476.0,490.0,450.0,85700,ARTA,2021-07-21,,,506.0,491.2,492.9342966346531
61656,466.0,490.0,500.0,454.0,81300,ARTA,2021-07-22,,,505.6666666666667,494.4,492.2822307158413
62508,472.0,470.0,540.0,470.0,88300,ARTA,2021-07-23,,,500.5,496.6,487.3306238900988
63360,470.0,482.0,500.0,452.0,29900,ARTA,2021-07-26,,,497.06666666666666,500.4,486.1460408034102
64212,482.0,498.0,500.0,470.0,111500,ARTA,2021-07-27,,,494.3333333333333,503.4,488.78025395820794
65066,500.0,482.0,505.0,474.0,98000,ARTA,2021-07-28,,,492.4,493.1,487.27353085638396
65920,484.0,480.0,530.0,478.0,78100,ARTA,2021-07-29,,,491.56666666666666,486.6,485.6571906660764
66774,480.0,470.0,488.0,470.0,19900,ARTA,2021-07-30,,,491.56666666666666,482.6,482.1778149625039
67628,470.0,452.0,500.0,440.0,22700,ARTA,2021-08-02,,,492.03333333333336,478.0,475.4716338597252
68482,450.0,460.0,468.0,450.0,49700,ARTA,2021-08-03,,,493.76666666666665,476.0,472.0334930020085
69336,460.0,478.0,480.0,428.0,170200,ARTA,2021-08-04,,,492.7,476.2,473.35938344600663
70190,478.0,520.0,545.0,458.0,291700,ARTA,2021-08-05,,,488.8666666666667,479.2,483.7239649024496
71044,520.0,540.0,550.0,492.0,134000,ARTA,2021-08-06,,,487.03333333333336,486.2,496.22975047968305
71899,535.0,635.0,670.0,535.0,338000,ARTA,2021-08-09,,,489.7,501.5,527.0675837064201
72754,650.0,790.0,790.0,645.0,1630800,ARTA,2021-08-10,,,498.7,530.7,585.4970095494378
73609,830.0,870.0,985.0,780.0,2005000,ARTA,2021-08-12,,,511.43333333333334,569.5,648.7198963162294
74464,885.0,850.0,900.0,815.0,362700,ARTA,2021-08-13,,,523.5666666666667,606.5,693.4488082459562
75319,850.0,895.0,945.0,820.0,221300,ARTA,2021-08-16,,,538.3333333333334,649.0,738.2379619690771
76174,905.0,980.0,1035.0,870.0,959800,ARTA,2021-08-18,,,555.3333333333334,701.8,791.9628593092822
77029,980.0,970.0,1010.0,960.0,446700,ARTA,2021-08-19,,,572.4666666666667,752.8,831.526668351664
77884,970.0,970.0,970.0,950.0,81000,ARTA,2021-08-20,,,589.8,802.0,862.298519829072
78739,970.0,975.0,975.0,950.0,41100,ARTA,2021-08-23,,,607.0333333333333,847.5,887.3432932003893
79594,970.0,960.0,970.0,950.0,10700,ARTA,2021-08-24,,,624.1,889.5,903.4892280447473
80449,965.0,1025.0,1030.0,960.0,242500,ARTA,2021-08-25,,,643.4666666666667,928.5,930.4916218125812
81304,1030.0,1010.0,1030.0,995.0,52200,ARTA,2021-08-26,,,661.5333333333333,950.5,948.1601502986742
