,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126140,4800.0,4810.0,4860.0,4770.0,22586000,ASII,2020-07-01,,,,,
133561,4830.0,4870.0,4890.0,4810.0,26575000,ASII,2020-07-02,,,,,
107235,4880.0,4850.0,4910.0,4840.0,20400200,ASII,2020-07-03,,,,,
89094,4860.0,4840.0,4900.0,4840.0,17783800,ASII,2020-07-06,,,,,
33821,4900.0,4830.0,4910.0,4800.0,46178600,ASII,2020-07-07,,,,,
51169,4840.0,4910.0,4930.0,4770.0,45246000,ASII,2020-07-08,,,,,
119564,4930.0,4900.0,5000.0,4880.0,33377800,ASII,2020-07-09,,,,,
23118,4880.0,4830.0,4920.0,4830.0,23181700,ASII,2020-07-10,,,,,4855.0
14882,4850.0,4900.0,4910.0,4850.0,22481400,ASII,2020-07-13,,,,,4865.0
31360,4900.0,4950.0,4950.0,4880.0,22418400,ASII,2020-07-14,,,,4869.0,4883.888888888889
94867,4990.0,5150.0,5200.0,4970.0,64249400,ASII,2020-07-15,,,,4903.0,4943.024691358025
21473,5150.0,5250.0,5350.0,5150.0,72113500,ASII,2020-07-16,,,,4941.0,5011.241426611798
109673,5300.0,5200.0,5300.0,5200.0,46235300,ASII,2020-07-17,,,,4976.0,5053.1877762536205
82507,5200.0,5100.0,5225.0,5025.0,24829000,ASII,2020-07-20,,,,5002.0,5063.590492641705
108044,5100.0,5375.0,5450.0,5100.0,51878900,ASII,2020-07-21,,,,5056.5,5132.792605387993
98987,5375.0,5300.0,5400.0,5200.0,29493500,ASII,2020-07-22,,,,5095.5,5169.949804190661
8291,5300.0,5175.0,5325.0,5125.0,27787400,ASII,2020-07-23,,,,5123.0,5171.072069926069
106422,5175.0,5050.0,5175.0,5000.0,32338100,ASII,2020-07-24,,,,5145.0,5144.167165498054
59418,5075.0,5125.0,5150.0,5025.0,17645200,ASII,2020-07-27,,,,5167.5,5139.907795387375
42907,5175.0,5175.0,5225.0,5100.0,30210400,ASII,2020-07-28,,,,5190.0,5147.706063079069
116275,5175.0,5075.0,5225.0,5050.0,32010100,ASII,2020-07-29,,,,5182.5,5131.54916017261
84961,5025.0,5150.0,5225.0,5000.0,32720500,ASII,2020-07-30,,,,5172.5,5135.6493468009185
122861,5100.0,4880.0,5150.0,4860.0,66053200,ASII,2020-08-03,,,,5140.5,5078.838380845159
