,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
54,254.0,248.0,254.0,248.0,79800,ASJT,2021-04-01,,,,,
894,248.0,246.0,256.0,246.0,76200,ASJT,2021-04-05,,,,,
1734,246.0,242.0,254.0,242.0,127100,ASJT,2021-04-06,,,,,
2574,242.0,250.0,250.0,242.0,58800,ASJT,2021-04-07,,,,,
3416,250.0,242.0,250.0,234.0,405700,ASJT,2021-04-08,,,,,
4258,242.0,242.0,246.0,242.0,60700,ASJT,2021-04-09,,,,,
5101,246.0,242.0,246.0,240.0,81500,ASJT,2021-04-12,,,,,
5945,236.0,242.0,244.0,236.0,17300,ASJT,2021-04-13,,,,,244.25
6789,242.0,244.0,248.0,242.0,99100,ASJT,2021-04-14,,,,,244.19444444444446
7634,246.0,244.0,252.0,244.0,86000,ASJT,2021-04-15,,,,244.2,244.15123456790124
8479,244.0,246.0,248.0,242.0,91500,ASJT,2021-04-16,,,,244.0,244.56207133058984
9323,248.0,252.0,252.0,248.0,202500,ASJT,2021-04-19,,,,244.6,246.21494436823656
10167,252.0,250.0,252.0,248.0,65500,ASJT,2021-04-20,,,,245.4,247.05606784196178
11011,250.0,250.0,252.0,242.0,141000,ASJT,2021-04-21,,,,245.4,247.71027498819248
11855,250.0,250.0,250.0,244.0,53300,ASJT,2021-04-22,,,,246.2,248.21910276859415
12699,244.0,246.0,246.0,244.0,4400,ASJT,2021-04-23,,,,246.6,247.72596882001767
13543,246.0,250.0,250.0,240.0,143200,ASJT,2021-04-26,,,,247.4,248.23130908223595
14386,250.0,236.0,250.0,234.0,282700,ASJT,2021-04-27,,,,246.8,245.51324039729462
15229,236.0,236.0,238.0,234.0,67900,ASJT,2021-04-28,,,,246.0,243.3991869756736
16073,236.0,236.0,240.0,234.0,39900,ASJT,2021-04-29,,,,245.2,241.75492320330167
16917,236.0,240.0,240.0,234.0,61800,ASJT,2021-04-30,,,,244.6,241.36494026923464
17761,240.0,242.0,244.0,240.0,210900,ASJT,2021-05-03,,,,243.6,241.50606465384917
18604,242.0,234.0,242.0,234.0,506300,ASJT,2021-05-04,,,,242.0,239.83805028632713
19447,234.0,230.0,234.0,230.0,215600,ASJT,2021-05-05,,,,240.0,237.65181688936553
20291,230.0,230.0,234.0,228.0,93200,ASJT,2021-05-06,,,,238.0,235.9514131361732
21135,230.0,230.0,230.0,228.0,123300,ASJT,2021-05-07,,,,236.4,234.62887688369025
21979,230.0,232.0,232.0,228.0,57800,ASJT,2021-05-10,,,,234.6,234.04468202064797
22822,230.0,232.0,238.0,226.0,200600,ASJT,2021-05-11,,,,234.2,233.59030823828175
23665,232.0,232.0,236.0,216.0,121600,ASJT,2021-05-17,,,,233.8,233.23690640755248
24505,228.0,230.0,232.0,228.0,9600,ASJT,2021-05-18,,,240.86666666666667,233.2,232.51759387254083
25345,236.0,230.0,236.0,230.0,83900,ASJT,2021-05-19,,,240.26666666666668,232.2,231.95812856753176
26188,228.0,226.0,230.0,222.0,103400,ASJT,2021-05-20,,,239.6,230.6,230.63409999696916
27069,226.0,224.0,226.0,218.0,96100,ASJT,2021-05-21,,,239.0,229.6,229.15985555319824
27909,224.0,222.0,224.0,220.0,15500,ASJT,2021-05-24,,,238.06666666666666,228.8,227.56877654137642
28751,218.0,226.0,226.0,218.0,72600,ASJT,2021-05-25,,,237.53333333333333,228.4,227.22015953218167
29542,226.0,220.0,226.0,220.0,42200,ASJT,2021-05-27,,,236.8,227.4,225.6156796361413
30384,220.0,226.0,226.0,220.0,37500,ASJT,2021-05-28,,,236.26666666666668,226.8,225.70108416144322
31226,220.0,218.0,228.0,216.0,135900,ASJT,2021-05-31,,,235.46666666666667,225.4,223.98973212556695
32068,218.0,228.0,228.0,216.0,228800,ASJT,2021-06-02,,,234.93333333333334,225.0,224.88090276432985
32910,230.0,226.0,232.0,224.0,53800,ASJT,2021-06-03,,,234.33333333333334,224.6,225.12959103892322
33751,226.0,226.0,226.0,218.0,374200,ASJT,2021-06-04,,,233.66666666666666,224.2,225.32301525249585
34592,226.0,226.0,226.0,216.0,237200,ASJT,2021-06-07,,,232.8,224.2,225.47345630749678
35433,226.0,224.0,226.0,224.0,215100,ASJT,2021-06-08,,,231.93333333333334,224.2,225.1460215724975
36276,216.0,222.0,224.0,216.0,347300,ASJT,2021-06-09,,,231.0,224.2,224.44690566749804
37119,222.0,220.0,222.0,218.0,296900,ASJT,2021-06-10,,,230.0,223.6,223.45870440805405
37966,218.0,226.0,226.0,218.0,336200,ASJT,2021-06-11,,,229.33333333333334,224.2,224.02343676181982
38813,228.0,226.0,248.0,224.0,840300,ASJT,2021-06-14,,,228.53333333333333,224.2,224.46267303697098
39660,226.0,216.0,230.0,216.0,272100,ASJT,2021-06-15,,,227.86666666666667,224.0,222.5820790287552
40507,216.0,226.0,226.0,216.0,169100,ASJT,2021-06-16,,,227.53333333333333,223.8,223.34161702236517
41354,220.0,226.0,228.0,220.0,57500,ASJT,2021-06-17,,,227.2,223.8,223.93236879517292
42201,228.0,222.0,228.0,212.0,641700,ASJT,2021-06-18,,,226.6,223.4,223.50295350735672
43048,218.0,224.0,224.0,218.0,64200,ASJT,2021-06-21,,,226.0,223.2,223.61340828349967
43895,224.0,226.0,226.0,222.0,71500,ASJT,2021-06-22,,,225.73333333333332,223.4,224.1437619982775
44742,226.0,224.0,226.0,220.0,80100,ASJT,2021-06-23,,,225.53333333333333,223.6,224.11181488754917
45589,224.0,226.0,230.0,218.0,147000,ASJT,2021-06-24,,,225.4,224.2,224.5314115792049
46436,220.0,218.0,226.0,218.0,48800,ASJT,2021-06-25,,,225.0,223.4,223.07998678382603
47284,218.0,222.0,226.0,218.0,104900,ASJT,2021-06-28,,,224.66666666666666,223.0,222.83998972075358
48130,228.0,224.0,228.0,220.0,39600,ASJT,2021-06-29,,,224.4,223.8,223.09776978280834
48924,224.0,224.0,224.0,216.0,78500,ASJT,2021-06-30,,,224.13333333333333,223.6,223.2982653866287
49775,220.0,224.0,224.0,220.0,96400,ASJT,2021-07-01,,,223.93333333333334,223.4,223.45420641182233
50626,230.0,224.0,230.0,222.0,200300,ASJT,2021-07-02,,,223.73333333333332,223.6,223.5754938758618
51477,224.0,228.0,230.0,224.0,1600,ASJT,2021-07-05,,,223.8,224.0,224.55871745900362
52328,228.0,230.0,230.0,222.0,193000,ASJT,2021-07-06,,,224.0,224.4,225.7678913570028
53178,230.0,228.0,230.0,222.0,11500,ASJT,2021-07-07,,,224.2,224.8,226.26391549989108
53990,230.0,228.0,230.0,222.0,1100,ASJT,2021-07-08,,,224.26666666666668,225.0,226.64971205547084
54841,228.0,228.0,228.0,218.0,106900,ASJT,2021-07-09,,,224.53333333333333,226.0,226.949776043144
55694,228.0,224.0,228.0,218.0,26600,ASJT,2021-07-12,,,224.46666666666667,226.2,226.29427025577866
56547,224.0,224.0,224.0,224.0,300,ASJT,2021-07-13,,,224.66666666666666,226.2,225.78443242116117
57400,220.0,226.0,226.0,220.0,7400,ASJT,2021-07-14,,,224.6,226.4,225.8323363275698
58253,220.0,226.0,226.0,220.0,1100,ASJT,2021-07-15,,,224.6,226.6,225.8695949214432
59106,228.0,224.0,228.0,220.0,13200,ASJT,2021-07-16,,,224.53333333333333,226.6,225.4541293833447
59959,222.0,220.0,222.0,218.0,72800,ASJT,2021-07-19,,,224.33333333333334,225.8,224.24210063149033
60811,220.0,224.0,224.0,220.0,40700,ASJT,2021-07-21,,,224.33333333333334,225.2,224.18830049115914
61663,220.0,224.0,224.0,220.0,10700,ASJT,2021-07-22,,,224.4,224.8,224.14645593756822
62515,220.0,220.0,224.0,220.0,90000,ASJT,2021-07-23,,,224.4,224.0,223.2250212847753
63367,220.0,228.0,228.0,220.0,102200,ASJT,2021-07-26,,,224.46666666666667,224.0,224.28612766593633
64219,228.0,226.0,228.0,218.0,33900,ASJT,2021-07-27,,,224.46666666666667,224.2,224.66698818461714
65073,220.0,224.0,228.0,218.0,41600,ASJT,2021-07-28,,,224.73333333333332,224.2,224.51876858803556
65927,220.0,224.0,224.0,220.0,24300,ASJT,2021-07-29,,,224.66666666666666,224.0,224.4034866795832
66781,228.0,224.0,228.0,222.0,3700,ASJT,2021-07-30,,,224.6,223.8,224.31382297300917
67635,218.0,228.0,228.0,218.0,31700,ASJT,2021-08-02,,,224.8,224.2,225.13297342345157
68489,226.0,224.0,226.0,218.0,68900,ASJT,2021-08-03,,,224.8,224.6,224.88120155157344
69343,240.0,236.0,280.0,226.0,15819000,ASJT,2021-08-04,,,225.13333333333333,225.8,227.3520456512238
70197,236.0,246.0,256.0,236.0,2475000,ASJT,2021-08-05,,,225.86666666666667,228.0,231.49603550650738
71051,248.0,230.0,250.0,230.0,2610200,ASJT,2021-08-06,,,226.0,229.0,231.16358317172796
71906,230.0,220.0,230.0,220.0,2215700,ASJT,2021-08-09,,,226.06666666666666,228.2,228.68278691134398
72761,224.0,212.0,224.0,206.0,2770300,ASJT,2021-08-10,,,225.73333333333332,226.8,224.97550093104533
73616,151.0,159.0,180.0,151.0,2045100,ASJT,2021-08-12,,,223.56666666666666,220.3,210.31427850192415
74471,158.0,159.0,165.0,158.0,375400,ASJT,2021-08-13,,,221.4,213.8,198.91110550149656
75326,160.0,151.0,160.0,148.0,345100,ASJT,2021-08-16,,,218.96666666666667,206.5,188.26419316783065
76181,150.0,141.0,151.0,141.0,2602500,ASJT,2021-08-18,,,216.2,197.8,177.76103913053495
77036,141.0,132.0,141.0,132.0,2461500,ASJT,2021-08-19,,,213.0,188.6,167.5919193237494
77891,132.0,142.0,145.0,127.0,7674800,ASJT,2021-08-20,,,210.06666666666666,179.2,161.90482614069398
78746,151.0,140.0,156.0,134.0,11345700,ASJT,2021-08-23,,,207.13333333333333,168.6,157.03708699831753
79601,140.0,143.0,150.0,137.0,12723900,ASJT,2021-08-24,,,204.3,159.9,153.91773433202474
80456,145.0,135.0,145.0,135.0,5305800,ASJT,2021-08-25,,,201.2,151.4,149.71379336935257
81311,135.0,128.0,136.0,126.0,7823800,ASJT,2021-08-26,,,198.0,143.0,144.8885059539409
82166,129.0,134.0,139.0,129.0,12708600,ASJT,2021-08-27,,,195.0,140.5,142.46883796417626
83021,135.0,130.0,135.0,129.0,1089300,ASJT,2021-08-30,,,191.8,137.6,139.6979850832482
83876,130.0,130.0,135.0,128.0,1750900,ASJT,2021-08-31,218.68,,188.6,135.5,137.54287728697082
84731,130.0,131.0,137.0,129.0,2319000,ASJT,2021-09-01,217.51,,185.5,134.5,136.08890455653287
85587,129.0,129.0,132.0,129.0,1621400,ASJT,2021-09-02,216.34,,182.46666666666667,134.2,134.5135924328589
86443,129.0,134.0,135.0,128.0,6731700,ASJT,2021-09-03,215.26,,179.46666666666667,133.4,134.39946078111248
87299,137.0,134.0,137.0,132.0,2367300,ASJT,2021-09-06,214.1,,176.46666666666667,132.8,134.31069171864303
88159,134.0,133.0,134.0,130.0,1554400,ASJT,2021-09-07,213.01,,173.56666666666666,131.8,134.01942689227792
89020,134.0,138.0,138.0,131.0,4703400,ASJT,2021-09-08,211.97,,170.56666666666666,132.1,134.90399869399394
89887,138.0,153.0,158.0,137.0,26828800,ASJT,2021-09-09,211.08,,168.13333333333333,134.6,138.92533231755084
90755,155.0,149.0,169.0,147.0,40358200,ASJT,2021-09-10,210.15,,165.63333333333333,136.1,141.1641473580951
91623,149.0,156.0,157.0,143.0,6809400,ASJT,2021-09-13,209.27,,163.36666666666667,138.7,144.46100350074065
92491,157.0,156.0,163.0,153.0,6515600,ASJT,2021-09-14,208.39,,161.1,141.3,147.0252249450205
93359,158.0,155.0,160.0,151.0,2484800,ASJT,2021-09-15,207.48,,158.66666666666666,143.7,148.7973971794604
94227,155.0,156.0,161.0,153.0,4171300,ASJT,2021-09-16,206.52,,156.4,146.4,150.39797558402475
95095,156.0,162.0,169.0,155.0,21124300,ASJT,2021-09-17,205.64,,153.93333333333334,149.2,152.97620323201926
95963,162.0,160.0,165.0,157.0,6067500,ASJT,2021-09-20,204.74,,151.06666666666666,151.8,154.5370469582372
96831,161.0,167.0,182.0,159.0,32528600,ASJT,2021-09-21,203.91,,148.96666666666667,155.2,157.30659207862894
97700,170.0,162.0,174.0,160.0,6782100,ASJT,2021-09-22,203.07,,147.03333333333333,157.6,158.3495716167114
98569,162.0,151.0,167.0,151.0,4499500,ASJT,2021-09-23,202.08,,145.0,157.4,156.7163334796644
99438,151.0,157.0,163.0,143.0,17829000,ASJT,2021-09-24,201.29,,144.93333333333334,158.2,156.77937048418343
100307,157.0,153.0,158.0,151.0,2627900,ASJT,2021-09-27,200.46,,144.73333333333332,157.9,155.93951037658712
101175,153.0,152.0,153.0,144.0,3780000,ASJT,2021-09-28,199.62,,144.76666666666668,157.5,155.06406362623443
102043,145.0,156.0,158.0,145.0,4428200,ASJT,2021-09-29,198.78,,145.26666666666668,157.6,155.27204948707123
102911,156.0,151.0,156.0,149.0,1234800,ASJT,2021-09-30,197.87,,145.9,157.1,154.32270515661097
103779,151.0,150.0,151.0,147.0,2132600,ASJT,2021-10-01,197.03,,146.16666666666666,155.9,153.3621040106974
104646,150.0,152.0,152.0,148.0,1282700,ASJT,2021-10-04,196.25,,146.56666666666666,155.1,153.05941423054242
105513,152.0,152.0,154.0,150.0,697200,ASJT,2021-10-05,195.47,,146.86666666666667,153.6,152.82398884597742
106380,150.0,148.0,154.0,146.0,1198400,ASJT,2021-10-06,194.65,,147.3,152.2,151.7519913246491
107247,148.0,146.0,149.0,146.0,2337600,ASJT,2021-10-07,193.79,,147.9,151.7,150.47377103028265
108114,147.0,143.0,150.0,143.0,1052800,ASJT,2021-10-08,192.9,,148.2,150.3,148.81293302355317
108981,145.0,146.0,150.0,143.0,1687400,ASJT,2021-10-11,192.04,,148.73333333333332,149.6,148.18783679609692
109847,146.0,146.0,148.0,142.0,577100,ASJT,2021-10-12,191.2,,149.26666666666668,149.0,147.7016508414087
110713,145.0,146.0,146.0,142.0,208800,ASJT,2021-10-13,190.36,,149.76666666666668,148.0,147.32350620998454
