,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120304,1225.0,1215.0,1225.0,1215.0,5200,ASMI,2020-07-01,,,,,
127725,1215.0,1200.0,1215.0,1200.0,27700,ASMI,2020-07-02,,,,,
101399,1200.0,1205.0,1210.0,1200.0,45600,ASMI,2020-07-03,,,,,
84092,1205.0,1215.0,1220.0,1205.0,26200,ASMI,2020-07-06,,,,,
33823,1215.0,1215.0,1225.0,1205.0,61900,ASMI,2020-07-07,,,,,
47001,1215.0,1220.0,1230.0,1215.0,65900,ASMI,2020-07-08,,,,,
113728,1225.0,1220.0,1230.0,1220.0,54600,ASMI,2020-07-09,,,,,
23120,1220.0,1215.0,1220.0,1205.0,54900,ASMI,2020-07-10,,,,,1213.125
14884,1220.0,1220.0,1225.0,1220.0,65000,ASMI,2020-07-13,,,,,1214.6527777777778
31362,1215.0,1180.0,1220.0,1180.0,93200,ASMI,2020-07-14,,,,1210.5,1206.9521604938273
89031,1180.0,1170.0,1180.0,1165.0,30200,ASMI,2020-07-15,,,,1206.0,1198.7405692729767
21475,1170.0,1150.0,1175.0,1150.0,32100,ASMI,2020-07-16,,,,1201.0,1187.9093316567596
103837,1150.0,1150.0,1150.0,1150.0,6600,ASMI,2020-07-17,,,,1195.5,1179.4850357330351
77505,1150.0,1145.0,1150.0,1140.0,22100,ASMI,2020-07-20,,,,1188.5,1171.8216944590274
102208,1150.0,1160.0,1160.0,1150.0,45600,ASMI,2020-07-21,,,,1183.0,1169.19465124591
93151,1160.0,1160.0,1165.0,1160.0,30700,ASMI,2020-07-22,,,,1177.0,1167.1513954134857
8293,1160.0,1165.0,1165.0,1160.0,33100,ASMI,2020-07-23,,,,1171.5,1166.6733075438221
100586,1160.0,1155.0,1160.0,1150.0,42900,ASMI,2020-07-24,,,,1165.5,1164.0792392007506
54416,1155.0,1165.0,1165.0,1155.0,35800,ASMI,2020-07-27,,,,1160.0,1164.2838527116949
41241,1165.0,1160.0,1165.0,1160.0,31800,ASMI,2020-07-28,,,,1158.0,1163.3318854424294
110439,1155.0,1155.0,1160.0,1150.0,25700,ASMI,2020-07-29,,,,1156.5,1161.4803553441118
79959,1150.0,1170.0,1170.0,1145.0,50000,ASMI,2020-07-30,,,,1158.5,1163.373609712087
117025,1165.0,1160.0,1165.0,1160.0,30300,ASMI,2020-08-03,,,,1159.5,1162.6239186649566
6656,1160.0,1165.0,1165.0,1155.0,47500,ASMI,2020-08-04,,,,1161.5,1163.1519367394108
52772,1165.0,1170.0,1170.0,1150.0,27900,ASMI,2020-08-05,,,,1162.5,1164.6737285750974
69261,1170.0,1185.0,1185.0,1170.0,43200,ASMI,2020-08-06,,,,1165.0,1169.1906777806312
42878,1185.0,1170.0,1185.0,1170.0,36400,ASMI,2020-08-07,,,,1165.5,1169.3705271627132
98107,1170.0,1175.0,1175.0,1165.0,34700,ASMI,2020-08-10,,,,1167.5,1170.6215211265546
51956,1180.0,1180.0,1185.0,1180.0,16500,ASMI,2020-08-11,,,,1169.0,1172.7056275428758
119488,1180.0,1185.0,1190.0,1180.0,21600,ASMI,2020-08-12,,,1180.0,1171.5,1175.4377103111256
61837,1185.0,1185.0,1190.0,1185.0,20800,ASMI,2020-08-13,,,1179.0,1174.5,1177.56266357532
86574,1180.0,1185.0,1190.0,1175.0,22300,ASMI,2020-08-14,,,1178.5,1176.0,1179.2154050030265
60193,1175.0,1170.0,1175.0,1170.0,5400,ASMI,2020-08-18,,,1177.3333333333333,1177.0,1177.167537224576
88215,1165.0,1155.0,1165.0,1155.0,8200,ASMI,2020-08-19,,,1175.3333333333333,1176.0,1172.241417841337
9941,1150.0,1140.0,1150.0,1140.0,3900,ASMI,2020-08-24,,,1172.8333333333333,1173.0,1165.0766583210398
128534,1140.0,1140.0,1145.0,1135.0,11600,ASMI,2020-08-25,,,1170.1666666666667,1168.5,1159.504067583031
103021,1140.0,1125.0,1160.0,1125.0,20200,ASMI,2020-08-26,,,1167.0,1164.0,1151.836497009024
3361,1125.0,1155.0,1155.0,1120.0,17100,ASMI,2020-08-27,,,1165.0,1162.0,1152.5394976736854
78318,1150.0,1145.0,1150.0,1145.0,6800,ASMI,2020-08-28,,,1162.5,1158.5,1150.8640537461997
27241,1145.0,1140.0,1145.0,1140.0,4500,ASMI,2020-08-31,,,1161.1666666666667,1154.0,1148.4498195803776
34636,1140.0,1110.0,1140.0,1110.0,9400,ASMI,2020-09-01,,,1159.1666666666667,1146.5,1139.9054152291826
38774,1105.0,1100.0,1105.0,1100.0,9700,ASMI,2020-09-02,,,1157.5,1138.0,1131.0375451782531
67609,1095.0,1095.0,1095.0,1095.0,8100,ASMI,2020-09-03,,,1155.6666666666667,1130.5,1123.029201805308
12417,1090.0,1085.0,1090.0,1085.0,8400,ASMI,2020-09-04,,,1153.6666666666667,1123.5,1114.578268070795
26421,1080.0,1080.0,1080.0,1075.0,11900,ASMI,2020-09-07,,,1151.0,1117.5,1106.8942084995072
107132,1080.0,1070.0,1080.0,1070.0,12900,ASMI,2020-09-08,,,1148.0,1110.5,1098.6954954996168
121113,1065.0,1050.0,1065.0,1050.0,11400,ASMI,2020-09-09,,,1144.1666666666667,1103.0,1087.8742742774798
7469,1050.0,1035.0,1050.0,1035.0,4400,ASMI,2020-09-10,,,1140.1666666666667,1091.0,1076.124435549151
17346,1025.0,1040.0,1040.0,1010.0,8700,ASMI,2020-09-11,,,1136.0,1080.5,1068.0967832048952
43692,1035.0,1050.0,1050.0,1035.0,6900,ASMI,2020-09-14,,,1132.3333333333333,1071.5,1064.0752758260296
65131,1050.0,1040.0,1050.0,1040.0,12600,ASMI,2020-09-15,,,1128.5,1064.5,1058.7252145313564
879,1040.0,1040.0,1040.0,1035.0,12300,ASMI,2020-09-16,,,1124.1666666666667,1058.5,1054.5640557466106
55229,1040.0,1040.0,1040.0,1040.0,0,ASMI,2020-09-17,,,1120.1666666666667,1053.0,1051.3275989140304
61009,1040.0,1040.0,1040.0,1040.0,0,ASMI,2020-09-18,,,1116.0,1048.5,1048.8103547109126
70901,1040.0,1040.0,1040.0,1040.0,0,ASMI,2020-09-21,,,1111.6666666666667,1044.5,1046.8524981084877
98923,1040.0,1040.0,1040.0,1040.0,0,ASMI,2020-09-22,,,1106.8333333333333,1041.5,1045.329720751046
75854,1040.0,1040.0,1040.0,1040.0,0,ASMI,2020-09-23,,,1102.5,1040.5,1044.1453383619246
64304,1035.0,1035.0,1035.0,1035.0,2500,ASMI,2020-09-24,,,1097.8333333333333,1040.5,1042.1130409481636
95625,1035.0,1035.0,1035.0,1035.0,0,ASMI,2020-09-25,,,1093.0,1040.0,1040.532365181905
