,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121142,1980.0,1875.0,1980.0,1875.0,12500,ASRM,2020-07-01,,,,,
128563,1985.0,1985.0,1985.0,1980.0,4000,ASRM,2020-07-02,,,,,
102237,1980.0,1985.0,2000.0,1970.0,3100,ASRM,2020-07-03,,,,,
84930,1980.0,1995.0,1995.0,1960.0,1200,ASRM,2020-07-06,,,,,
33827,1995.0,1995.0,1995.0,1995.0,5100,ASRM,2020-07-07,,,,,
47839,1990.0,1990.0,1990.0,1990.0,500,ASRM,2020-07-08,,,,,
114566,1990.0,1990.0,2000.0,1990.0,17400,ASRM,2020-07-09,,,,,
23124,1990.0,1990.0,1990.0,1990.0,0,ASRM,2020-07-10,,,,,1975.625
14888,1990.0,1990.0,1990.0,1990.0,0,ASRM,2020-07-13,,,,,1978.8194444444443
31366,1960.0,2000.0,2000.0,1960.0,1000,ASRM,2020-07-14,,,,1979.5,1983.5262345679012
89869,2000.0,2000.0,2000.0,1960.0,1500,ASRM,2020-07-15,,,,1992.0,1987.1870713305898
21479,2030.0,2020.0,2030.0,2000.0,2900,ASRM,2020-07-16,,,,1995.5,1994.4788332571254
104675,2010.0,2010.0,2010.0,2010.0,1700,ASRM,2020-07-17,,,,1998.0,1997.9279814222086
78343,2000.0,1990.0,2000.0,1990.0,1500,ASRM,2020-07-20,,,,1997.5,1996.166207772829
103046,1990.0,1990.0,1990.0,1990.0,0,ASRM,2020-07-21,,,,1997.0,1994.795939378867
93989,1990.0,1990.0,1990.0,1990.0,0,ASRM,2020-07-22,,,,1997.0,1993.730175072452
8297,1990.0,1990.0,1990.0,1990.0,1000,ASRM,2020-07-23,,,,1997.0,1992.901247278574
101424,1990.0,1990.0,2000.0,1990.0,4500,ASRM,2020-07-24,,,,1997.0,1992.256525661113
55254,1990.0,1990.0,1990.0,1990.0,3300,ASRM,2020-07-27,,,,1997.0,1991.755075514199
41245,1990.0,1990.0,1990.0,1990.0,0,ASRM,2020-07-28,,,,1996.0,1991.3650587332659
111277,1990.0,1990.0,1990.0,1990.0,700,ASRM,2020-07-29,,,,1995.0,1991.0617123480956
80797,1990.0,1990.0,2000.0,1990.0,13800,ASRM,2020-07-30,,,,1992.0,1990.825776270741
117863,2000.0,2000.0,2000.0,2000.0,2000,ASRM,2020-08-03,,,,1991.0,1992.8644926550207
6660,1990.0,1860.0,1990.0,1860.0,3000,ASRM,2020-08-04,,,,1978.0,1963.3390498427939
53610,1900.0,1990.0,2000.0,1900.0,2300,ASRM,2020-08-05,,,,1978.0,1969.263705433284
70099,1990.0,1990.0,1990.0,1990.0,1700,ASRM,2020-08-06,,,,1978.0,1973.8717708925542
43716,1990.0,2150.0,2200.0,1990.0,74400,ASRM,2020-08-07,,,,1994.0,2013.0113773608755
98945,2150.0,2150.0,2190.0,2050.0,27600,ASRM,2020-08-10,,,,2010.0,2043.453293502903
52794,2050.0,2150.0,2190.0,2000.0,5900,ASRM,2020-08-11,,,,2026.0,2067.1303393911467
120326,2050.0,2090.0,2150.0,2050.0,6500,ASRM,2020-08-12,,,2003.8333333333333,2036.0,2072.2124861931143
62675,2050.0,2060.0,2150.0,2050.0,16900,ASRM,2020-08-13,,,2010.0,2043.0,2069.498600372422
87412,2080.0,2060.0,2080.0,2050.0,3800,ASRM,2020-08-14,,,2012.5,2050.0,2067.3878002896618
61031,2000.0,2050.0,2050.0,2000.0,200,ASRM,2020-08-18,,,2014.6666666666667,2055.0,2063.5238446697367
89053,2100.0,2100.0,2100.0,2090.0,700,ASRM,2020-08-19,,,2018.1666666666667,2079.0,2071.629656965351
9945,2100.0,2100.0,2100.0,2100.0,1000,ASRM,2020-08-24,,,2021.6666666666667,2090.0,2077.9341776397173
129372,2100.0,2100.0,2100.0,2100.0,0,ASRM,2020-08-25,,,2025.3333333333333,2101.0,2082.83769371978
103859,2100.0,2100.0,2100.0,2100.0,16000,ASRM,2020-08-26,,,2029.0,2096.0,2086.651539559829
3365,2100.0,2110.0,2110.0,2000.0,6200,ASRM,2020-08-27,,,2033.0,2092.0,2091.8400863243114
79156,1630.0,1705.0,1800.0,1630.0,27600,ASRM,2020-08-28,,,2023.5,2047.5,2005.8756226966866
27245,1705.0,1790.0,1790.0,1665.0,6900,ASRM,2020-08-31,,,2016.5,2017.5,1957.9032620974228
34640,1785.0,1790.0,1790.0,1785.0,800,ASRM,2020-09-01,,,2009.5,1990.5,1920.5914260757734
38778,1790.0,1790.0,1790.0,1790.0,100,ASRM,2020-09-02,,,2001.8333333333333,1963.5,1891.571109170046
68447,1790.0,1790.0,1790.0,1790.0,400,ASRM,2020-09-03,,,1994.5,1937.5,1868.9997515767025
12421,1785.0,1785.0,1785.0,1785.0,100,ASRM,2020-09-04,,,1987.6666666666667,1906.0,1850.333140115213
26425,1760.0,1765.0,1770.0,1715.0,2600,ASRM,2020-09-07,,,1980.1666666666667,1872.5,1831.37022008961
107970,1770.0,1750.0,1790.0,1750.0,5800,ASRM,2020-09-08,,,1972.1666666666667,1837.5,1813.2879489585855
121951,1735.0,1735.0,1735.0,1735.0,300,ASRM,2020-09-09,,,1963.6666666666667,1801.0,1795.8906269677886
7473,1730.0,1730.0,1730.0,1730.0,900,ASRM,2020-09-10,,,1955.0,1763.0,1781.2482654193911
17350,1690.0,1730.0,1730.0,1620.0,400,ASRM,2020-09-11,,,1946.3333333333333,1765.5,1769.8597619928598
44530,1730.0,1730.0,1750.0,1700.0,50300,ASRM,2020-09-14,,,1937.6666666666667,1759.5,1761.0020371055577
65969,1730.0,1730.0,1730.0,1725.0,12200,ASRM,2020-09-15,,,1929.0,1753.5,1754.112695526545
883,1730.0,1730.0,1730.0,1730.0,6000,ASRM,2020-09-16,,,1920.3333333333333,1747.5,1748.7543187428682
56067,1725.0,1725.0,1750.0,1725.0,25400,ASRM,2020-09-17,,,1911.1666666666667,1741.0,1743.475581244453
61847,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-18,,,1906.6666666666667,1735.0,1739.3698965234635
71739,1725.0,1725.0,1725.0,1725.0,200,ASRM,2020-09-21,,,1897.8333333333333,1731.0,1736.176586184916
99761,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-22,,,1889.0,1728.5,1733.6929003660457
76692,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-23,,,1874.8333333333333,1727.5,1731.7611447291467
65142,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-24,,,1860.6666666666667,1727.0,1730.2586681226696
96463,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-25,,,1846.5,1726.5,1729.0900752065209
59379,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-28,,,1834.3333333333333,1726.0,1728.1811696050718
15699,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-29,,,1823.1666666666667,1725.5,1727.474243026167
84104,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-09-30,,,1812.0,1725.0,1726.9244112425743
91504,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-01,,,1801.1666666666667,1725.0,1726.49676429978
67622,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-02,,,1788.6666666666667,1725.0,1726.16415001094
11596,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-05,,,1776.1666666666667,1725.0,1725.9054500085088
119501,1725.0,1725.0,1725.0,1725.0,1600,ASRM,2020-10-06,,,1763.6666666666667,1725.0,1725.7042388955067
20654,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-07,,,1751.1666666666667,1725.0,1725.5477413631718
18998,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-08,,,1738.3333333333333,1725.0,1725.4260210602447
109627,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-09,,,1739.0,1725.0,1725.3313497135237
28062,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-12,,,1736.8333333333333,1725.0,1725.2577164438517
75867,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-13,,,1734.6666666666667,1725.0,1725.2004461229958
106316,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-14,,,1732.5,1725.0,1725.155902540108
14063,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-15,,,1730.3333333333333,1725.0,1725.1212575311952
5011,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-16,,,1728.3333333333333,1725.0,1725.094311413152
58,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-19,,,1727.0,1725.0,1725.0733533213404
124432,1715.0,1715.0,1715.0,1715.0,200,ASRM,2020-10-20,,,1725.8333333333333,1724.0,1722.8348303610426
74217,1725.0,1725.0,1725.0,1725.0,100,ASRM,2020-10-21,,,1725.5,1724.0,1723.3159791696999
29717,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-22,,,1725.3333333333333,1724.0,1723.6902060208777
32177,1725.0,1725.0,1725.0,1725.0,1200,ASRM,2020-10-23,,,1725.1666666666667,1724.0,1723.9812713495714
56895,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-10-26,,,1725.0,1724.0,1724.2076554941111
51969,1700.0,1700.0,1700.0,1700.0,1000,ASRM,2020-10-27,,,1724.0,1721.5,1718.8281764954197
88228,1690.0,1730.0,1730.0,1690.0,200,ASRM,2020-11-02,,,1724.0,1722.0,1721.310803940882
83279,1725.0,1725.0,1725.0,1725.0,900,ASRM,2020-11-03,,,1724.0,1722.0,1722.1306252873526
5836,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-11-04,,,1724.0,1722.0,1722.7682641123854
18174,1725.0,1725.0,1725.0,1725.0,0,ASRM,2020-11-05,,,1724.0,1722.0,1723.2642054207442
42058,1730.0,1730.0,1730.0,1730.0,400,ASRM,2020-11-06,,,1724.1666666666667,1723.5,1724.7610486605788
90680,1700.0,1780.0,1800.0,1690.0,4300,ASRM,2020-11-09,,,1726.0,1729.0,1737.0363711804503
1711,1780.0,1780.0,1780.0,1780.0,100,ASRM,2020-11-10,,,1727.8333333333333,1734.5,1746.5838442514614
23935,1780.0,1780.0,1780.0,1780.0,0,ASRM,2020-11-11,,,1729.6666666666667,1740.0,1754.0096566400255
77519,1780.0,1780.0,1780.0,1780.0,0,ASRM,2020-11-12,,,1731.5,1745.5,1759.7852884977976
75042,1780.0,1780.0,1780.0,1780.0,0,ASRM,2020-11-13,,,1733.3333333333333,1753.5,1764.277446609398
73392,1770.0,1695.0,1770.0,1670.0,2300,ASRM,2020-11-16,,,1732.3333333333333,1750.0,1748.8824584739764
39595,1695.0,1690.0,1695.0,1690.0,1700,ASRM,2020-11-17,,,1731.1666666666667,1746.5,1735.7974677019815
16525,1640.0,1740.0,2110.0,1590.0,16400,ASRM,2020-11-18,,,1731.6666666666667,1748.0,1736.7313637682078
66797,1740.0,1720.0,1755.0,1675.0,5700,ASRM,2020-11-19,,,1731.5,1747.5,1733.0132829308282
79972,1720.0,1710.0,1720.0,1670.0,12100,ASRM,2020-11-20,,,1731.0,1745.5,1727.8992200573107
