,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120315,31.0,31.0,31.0,31.0,0,BABP-W3,2020-07-01,,,,,
127736,31.0,31.0,31.0,31.0,0,BABP-W3,2020-07-02,,,,,
101410,31.0,31.0,31.0,31.0,0,BABP-W3,2020-07-03,,,,,
84103,27.0,38.0,38.0,27.0,1300,BABP-W3,2020-07-06,,,,,
33834,38.0,38.0,38.0,38.0,0,BABP-W3,2020-07-07,,,,,
47012,38.0,38.0,38.0,38.0,0,BABP-W3,2020-07-08,,,,,
113739,38.0,38.0,38.0,38.0,0,BABP-W3,2020-07-09,,,,,
23131,38.0,38.0,38.0,38.0,0,BABP-W3,2020-07-10,,,,,35.375
14895,17.0,17.0,17.0,17.0,100,BABP-W3,2020-07-13,,,,,31.291666666666668
31373,26.0,25.0,35.0,25.0,17500,BABP-W3,2020-07-14,,,,32.5,29.89351851851852
89042,38.0,33.0,38.0,33.0,31900,BABP-W3,2020-07-15,,,,32.7,30.583847736625515
21486,33.0,30.0,33.0,30.0,6300,BABP-W3,2020-07-16,,,,32.6,30.454103795153177
103848,17.0,20.0,20.0,17.0,1900,BABP-W3,2020-07-17,,,,31.5,28.130969618452472
77516,20.0,20.0,20.0,20.0,0,BABP-W3,2020-07-20,,,,29.7,26.32408748101859
102219,20.0,20.0,20.0,20.0,0,BABP-W3,2020-07-21,,,,27.9,24.918734707458903
93162,20.0,21.0,21.0,20.0,1200,BABP-W3,2020-07-22,,,,26.2,24.047904772468037
8304,22.0,22.0,22.0,22.0,3000,BABP-W3,2020-07-23,,,,24.6,23.592814823030697
100597,22.0,22.0,22.0,22.0,0,BABP-W3,2020-07-24,,,,23.0,23.23885597346832
54427,24.0,25.0,25.0,24.0,600,BABP-W3,2020-07-27,,,,23.8,23.630221312697582
41252,18.0,18.0,18.0,18.0,100,BABP-W3,2020-07-28,,,,23.1,22.37906102098701
110450,18.0,18.0,18.0,18.0,0,BABP-W3,2020-07-29,,,,21.6,21.405936349656564
79970,21.0,23.0,47.0,21.0,92500,BABP-W3,2020-07-30,,,,20.9,21.76017271639955
117036,48.0,27.0,48.0,24.0,24100,BABP-W3,2020-08-03,,,,21.6,22.92457877942187
6667,28.0,27.0,28.0,27.0,3200,BABP-W3,2020-08-04,,,,22.3,23.830227939550344
52783,27.0,29.0,29.0,27.0,6400,BABP-W3,2020-08-05,,,,23.2,24.979066175205823
69272,28.0,28.0,30.0,28.0,10000,BABP-W3,2020-08-06,,,,23.9,25.65038480293786
42889,30.0,31.0,48.0,30.0,104100,BABP-W3,2020-08-07,,,,24.8,26.83918818006278
98118,32.0,34.0,44.0,32.0,1600,BABP-W3,2020-08-10,,,,26.0,28.430479695604383
51967,47.0,47.0,47.0,47.0,400,BABP-W3,2020-08-11,,,,28.2,32.55703976324785
119499,22.0,23.0,47.0,22.0,300,BABP-W3,2020-08-12,,,28.1,28.7,30.433253149192772
61848,27.0,28.0,47.0,27.0,11400,BABP-W3,2020-08-13,,,28.0,29.7,29.892530227149933
86585,45.0,29.0,45.0,29.0,5000,BABP-W3,2020-08-14,,,27.933333333333334,30.3,29.69419017667217
60204,31.0,31.0,31.0,31.0,1200,BABP-W3,2020-08-18,,,27.933333333333334,30.7,29.984370137411688
