,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121152,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-01,,,,,
128573,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-02,,,,,
102247,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-03,,,,,
84940,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-06,,,,,
33837,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-07,,,,,
47849,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-08,,,,,
114576,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-09,,,,,
23134,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-10,,,,,100.0
14898,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-13,,,,,100.0
31376,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-14,,,,100.0,100.0
89879,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-15,,,,100.0,100.0
21489,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-16,,,,100.0,100.0
104685,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-17,,,,100.0,100.0
78353,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-20,,,,100.0,100.0
103056,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-21,,,,100.0,100.0
93999,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-22,,,,100.0,100.0
8307,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-23,,,,100.0,100.0
101434,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-24,,,,100.0,100.0
55264,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-27,,,,100.0,100.0
41255,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-28,,,,100.0,100.0
111287,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-29,,,,100.0,100.0
80807,100.0,100.0,100.0,100.0,0,BACA-W2,2020-07-30,,,,100.0,100.0
