,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121154,795.0,895.0,895.0,795.0,1300,BALI,2020-07-01,,,,,
128575,840.0,840.0,890.0,835.0,6000,BALI,2020-07-02,,,,,
102249,890.0,840.0,890.0,840.0,200,BALI,2020-07-03,,,,,
84942,840.0,835.0,870.0,835.0,10800,BALI,2020-07-06,,,,,
33839,840.0,890.0,890.0,840.0,3500,BALI,2020-07-07,,,,,
47851,890.0,890.0,890.0,890.0,300,BALI,2020-07-08,,,,,
114578,890.0,890.0,890.0,890.0,0,BALI,2020-07-09,,,,,
23136,840.0,890.0,890.0,840.0,1000,BALI,2020-07-10,,,,,871.25
14900,890.0,830.0,890.0,830.0,11400,BALI,2020-07-13,,,,,862.0833333333334
31378,830.0,830.0,830.0,830.0,600,BALI,2020-07-14,,,,863.0,854.9537037037037
89881,890.0,890.0,890.0,890.0,700,BALI,2020-07-15,,,,862.5,862.7417695473251
21491,890.0,890.0,890.0,890.0,0,BALI,2020-07-16,,,,867.5,868.799154092364
104687,840.0,830.0,845.0,830.0,33300,BALI,2020-07-17,,,,866.5,860.1771198496165
78355,860.0,850.0,860.0,835.0,1900,BALI,2020-07-20,,,,868.0,857.9155376608128
103058,840.0,810.0,840.0,795.0,10300,BALI,2020-07-21,,,,860.0,847.2676404028543
94001,810.0,850.0,850.0,810.0,5300,BALI,2020-07-22,,,,856.0,847.8748314244423
8309,850.0,850.0,850.0,805.0,1200,BALI,2020-07-23,,,,852.0,848.3470911078996
101436,810.0,850.0,850.0,810.0,1100,BALI,2020-07-24,,,,848.0,848.714404195033
55266,850.0,850.0,850.0,850.0,0,BALI,2020-07-27,,,,850.0,849.0000921516923
41257,805.0,850.0,850.0,805.0,1500,BALI,2020-07-28,,,,852.0,849.2222938957607
111289,850.0,850.0,850.0,850.0,0,BALI,2020-07-29,,,,848.0,849.3951174744806
80809,890.0,890.0,890.0,890.0,16100,BALI,2020-07-30,,,,848.0,858.4184247023737
117875,890.0,830.0,890.0,830.0,7900,BALI,2020-08-03,,,,848.0,852.1032192129574
6672,835.0,890.0,890.0,830.0,7900,BALI,2020-08-04,,,,852.0,860.5247260545224
53622,880.0,880.0,880.0,880.0,6100,BALI,2020-08-05,,,,859.0,864.8525647090729
70111,880.0,880.0,880.0,880.0,8300,BALI,2020-08-06,,,,862.0,868.2186614403901
43728,880.0,880.0,880.0,880.0,0,BALI,2020-08-07,,,,865.0,870.8367366758589
98957,880.0,880.0,880.0,880.0,500,BALI,2020-08-10,,,,868.0,872.8730174145569
52806,880.0,880.0,880.0,880.0,0,BALI,2020-08-11,,,,871.0,874.4567913224331
120338,855.0,855.0,855.0,855.0,100,BALI,2020-08-12,,,862.1666666666666,871.5,870.133059917448
62687,855.0,890.0,890.0,855.0,1800,BALI,2020-08-13,,,862.0,875.5,874.5479354913484
87424,855.0,855.0,855.0,855.0,200,BALI,2020-08-14,,,862.5,872.0,870.2039498266043
61043,830.0,855.0,855.0,820.0,4900,BALI,2020-08-18,,,863.0,874.5,866.8252943095812
89065,855.0,820.0,855.0,820.0,200,BALI,2020-08-19,,,862.5,867.5,856.4196733518964
9957,820.0,820.0,820.0,820.0,0,BALI,2020-08-24,,,860.1666666666666,861.5,848.3264126070305
129384,820.0,895.0,895.0,800.0,5800,BALI,2020-08-25,,,860.3333333333334,863.0,858.6983209165793
103871,895.0,895.0,895.0,895.0,0,BALI,2020-08-26,,,860.5,864.5,866.765360712895
3377,895.0,895.0,895.0,895.0,0,BALI,2020-08-27,,,860.6666666666666,866.0,873.0397249989184
79168,895.0,895.0,895.0,895.0,0,BALI,2020-08-28,,,862.8333333333334,867.5,877.9197861102698
27257,890.0,900.0,900.0,890.0,5700,BALI,2020-08-31,,,865.1666666666666,872.0,882.8265003079877
34652,895.0,850.0,895.0,845.0,1000,BALI,2020-09-01,,,863.8333333333334,868.0,875.5317224617681
38790,850.0,850.0,850.0,850.0,0,BALI,2020-09-02,,,862.5,867.5,869.858006359153
68459,885.0,885.0,885.0,885.0,100,BALI,2020-09-03,,,864.3333333333334,870.5,873.2228938348968
12433,885.0,885.0,885.0,885.0,0,BALI,2020-09-04,,,865.5,877.0,875.840028538253
26437,885.0,885.0,885.0,885.0,0,BALI,2020-09-07,,,868.0,883.5,877.8755777519746
107982,885.0,885.0,885.0,885.0,0,BALI,2020-09-08,,,869.1666666666666,882.5,879.4587826959802
121963,885.0,885.0,885.0,885.0,0,BALI,2020-09-09,,,870.3333333333334,881.5,880.6901643190957
7485,830.0,875.0,875.0,830.0,600,BALI,2020-09-10,,,871.1666666666666,879.5,879.4256833592967
17362,875.0,875.0,875.0,875.0,0,BALI,2020-09-11,,,872.0,877.5,878.4421981683419
44542,875.0,875.0,875.0,875.0,0,BALI,2020-09-14,,,872.8333333333334,875.0,877.6772652420436
65981,875.0,875.0,875.0,875.0,0,BALI,2020-09-15,,,873.6666666666666,877.5,877.0823174104784
895,875.0,875.0,875.0,875.0,0,BALI,2020-09-16,,,873.1666666666666,880.0,876.6195802081498
56079,875.0,875.0,875.0,875.0,0,BALI,2020-09-17,,,874.6666666666666,879.0,876.2596734952276
61859,875.0,875.0,875.0,875.0,0,BALI,2020-09-18,,,874.1666666666666,878.0,875.9797460518437
