,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
72,2650.0,2650.0,2650.0,2650.0,0,BANK,2021-04-01,,,,,
912,2650.0,2650.0,2650.0,2650.0,0,BANK,2021-04-05,,,,,
1752,2600.0,2610.0,2720.0,2470.0,83273500,BANK,2021-04-06,,,,,
2592,2650.0,2700.0,2800.0,2610.0,57318500,BANK,2021-04-07,,,,,
3434,2700.0,2720.0,2800.0,2700.0,24803300,BANK,2021-04-08,,,,,
4276,2750.0,2890.0,3070.0,2730.0,108399700,BANK,2021-04-09,,,,,
5119,2980.0,3060.0,3110.0,2910.0,65251500,BANK,2021-04-12,,,,,
5963,3100.0,3370.0,3390.0,3090.0,90445500,BANK,2021-04-13,,,,,2831.25
6807,3470.0,3600.0,3900.0,3420.0,128759000,BANK,2021-04-14,,,,,3002.0833333333335
7652,3650.0,3810.0,3850.0,3350.0,101728400,BANK,2021-04-15,,,,3006.0,3181.6203703703704
8497,3850.0,3790.0,3900.0,3710.0,38743800,BANK,2021-04-16,,,,3120.0,3316.8158436213994
9341,3800.0,3600.0,3810.0,3560.0,35356300,BANK,2021-04-19,,,,3215.0,3379.745656149977
10185,3600.0,3550.0,3700.0,3410.0,30427300,BANK,2021-04-20,,,,3309.0,3417.5799547833153
11029,3480.0,3700.0,3700.0,3470.0,35124600,BANK,2021-04-21,,,,3409.0,3480.3399648314676
11873,3800.0,3730.0,3830.0,3670.0,29182700,BANK,2021-04-22,,,,3510.0,3535.819972646697
12717,3720.0,3610.0,3730.0,3610.0,8861800,BANK,2021-04-23,,,,3582.0,3552.304423169653
13561,3600.0,3420.0,3670.0,3380.0,22094000,BANK,2021-04-26,,,,3618.0,3522.9034402430634
14404,3420.0,3310.0,3420.0,3270.0,26432600,BANK,2021-04-27,,,,3612.0,3475.591564633494
15247,3290.0,3550.0,3550.0,3160.0,51683200,BANK,2021-04-28,,,,3607.0,3492.1267724927175
16091,3590.0,3670.0,3810.0,3560.0,62009400,BANK,2021-04-29,,,,3593.0,3531.6541563832247
16935,3550.0,3420.0,3590.0,3420.0,17242600,BANK,2021-04-30,,,,3556.0,3506.842121631397
17779,3190.0,3460.0,3500.0,3190.0,86715400,BANK,2021-05-03,,,,3542.0,3496.4327612688644
18622,3470.0,3330.0,3470.0,3330.0,26422700,BANK,2021-05-04,,,,3520.0,3459.4477032091168
19465,3330.0,3340.0,3410.0,3300.0,24503300,BANK,2021-05-05,,,,3484.0,3432.9037691626463
20309,3340.0,3360.0,3390.0,3290.0,32019000,BANK,2021-05-06,,,,3447.0,3416.702931570947
21153,3370.0,3370.0,3410.0,3360.0,32965800,BANK,2021-05-07,,,,3423.0,3406.3245023329587
21997,3370.0,3340.0,3390.0,3330.0,27075400,BANK,2021-05-10,,,,3415.0,3391.5857240367454
22840,3340.0,3280.0,3350.0,3270.0,26678300,BANK,2021-05-11,,,,3412.0,3366.788896473024
23683,3280.0,3100.0,3300.0,3060.0,26599600,BANK,2021-05-17,,,,3367.0,3307.502475034574
24523,3120.0,3210.0,3210.0,2910.0,34822500,BANK,2021-05-18,,,3306.6666666666665,3321.0,3285.8352583602245
25363,3210.0,3100.0,3210.0,3090.0,30201400,BANK,2021-05-19,,,3321.6666666666665,3289.0,3244.5385342801746
26207,3080.0,3100.0,3160.0,3070.0,43565100,BANK,2021-05-20,,,3336.6666666666665,3253.0,3212.4188599956915
27087,3100.0,3100.0,3160.0,3100.0,32448500,BANK,2021-05-21,,,3353.0,3230.0,3187.43689110776
27927,3100.0,3210.0,3240.0,3100.0,46603600,BANK,2021-05-24,,,3370.0,3217.0,3192.4509153060353
28769,3220.0,3240.0,3310.0,3200.0,43256400,BANK,2021-05-25,,,3387.3333333333335,3205.0,3203.017378571361
29560,3250.0,3280.0,3310.0,3230.0,42488200,BANK,2021-05-27,,,3400.3333333333335,3196.0,3220.124627777725
30402,3280.0,3220.0,3300.0,3220.0,32837600,BANK,2021-05-28,,,3405.6666666666665,3184.0,3220.0969327160083
31244,3220.0,3180.0,3230.0,3170.0,29960700,BANK,2021-05-31,,,3399.3333333333335,3174.0,3211.186503223562
32086,3250.0,3150.0,3250.0,3140.0,55560100,BANK,2021-06-02,,,3384.3333333333335,3179.0,3197.589502507215
32928,3160.0,3120.0,3180.0,3110.0,20649600,BANK,2021-06-03,,,3361.3333333333335,3170.0,3180.347390838945
33769,3130.0,3040.0,3150.0,3000.0,35168000,BANK,2021-06-04,,,3336.3333333333335,3164.0,3149.159081763624
34610,3050.0,3140.0,3140.0,2960.0,47289500,BANK,2021-06-07,,,3321.0,3168.0,3147.1237302605964
35451,3170.0,2960.0,3200.0,2960.0,53136400,BANK,2021-06-08,,,3301.3333333333335,3154.0,3105.540679091575
36294,2960.0,2900.0,2970.0,2810.0,87825700,BANK,2021-06-09,,,3274.6666666666665,3123.0,3059.8649726267804
37137,2910.0,2970.0,3050.0,2900.0,86181900,BANK,2021-06-10,,,3249.3333333333335,3096.0,3039.894978709718
37984,2980.0,3010.0,3010.0,2930.0,33039900,BANK,2021-06-11,,,3229.3333333333335,3069.0,3033.2516501075584
38831,3010.0,2930.0,3020.0,2930.0,25517300,BANK,2021-06-14,,,3213.0,3040.0,3010.3068389725454
39678,2930.0,2990.0,3040.0,2920.0,54589200,BANK,2021-06-15,,,3202.3333333333335,3021.0,3005.7942080897574
40525,2990.0,2970.0,3000.0,2920.0,37808500,BANK,2021-06-16,,,3183.0,3003.0,2997.8399396253667
41372,2970.0,3020.0,3080.0,2930.0,67781200,BANK,2021-06-17,,,3161.3333333333335,2993.0,3002.7643974863963
42219,3030.0,2980.0,3080.0,2950.0,48841800,BANK,2021-06-18,,,3146.6666666666665,2987.0,2997.7056424894195
43066,2960.0,2960.0,3000.0,2830.0,42955400,BANK,2021-06-21,,,3130.0,2969.0,2989.326610825104
43913,2970.0,3270.0,3330.0,2910.0,112726000,BANK,2021-06-22,,,3128.0,3000.0,3051.698475086192
44760,3280.0,3450.0,3520.0,3220.0,104189600,BANK,2021-06-23,,,3131.6666666666665,3055.0,3140.209925067038
45607,3460.0,3310.0,3490.0,3300.0,37573400,BANK,2021-06-24,,,3130.0,3089.0,3177.9410528299186
46454,3310.0,3250.0,3350.0,3250.0,34669000,BANK,2021-06-25,,,3126.0,3113.0,3193.9541522010477
47302,3260.0,3150.0,3310.0,3150.0,38353700,BANK,2021-06-28,,,3119.6666666666665,3135.0,3184.186562823037
48148,3160.0,3070.0,3210.0,3010.0,53429000,BANK,2021-06-29,,,3112.6666666666665,3143.0,3158.8117710845845
48942,3070.0,3210.0,3350.0,3060.0,69072100,BANK,2021-06-30,,,3116.3333333333335,3167.0,3170.186933065788
49793,3220.0,3160.0,3240.0,3070.0,47371300,BANK,2021-07-01,,,3114.6666666666665,3181.0,3167.9231701622793
50644,3170.0,3200.0,3200.0,3150.0,30075500,BANK,2021-07-02,,,3118.0,3203.0,3175.0513545706617
51495,3210.0,3420.0,3460.0,3170.0,88668000,BANK,2021-07-05,,,3128.6666666666665,3249.0,3229.4843868882926
52346,3430.0,3650.0,3700.0,3430.0,81144200,BANK,2021-07-06,,,3147.0,3287.0,3322.9323009131167
