,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123659,3.0,3.0,3.0,2.0,1535500,BAPI-W,2020-07-01,,,,,
131080,3.0,3.0,3.0,2.0,838000,BAPI-W,2020-07-02,,,,,
104754,2.0,2.0,3.0,2.0,889500,BAPI-W,2020-07-03,,,,,
86613,2.0,3.0,3.0,2.0,2659200,BAPI-W,2020-07-06,,,,,
33842,3.0,3.0,3.0,2.0,36529300,BAPI-W,2020-07-07,,,,,
48688,2.0,3.0,3.0,2.0,16489400,BAPI-W,2020-07-08,,,,,
117083,3.0,2.0,3.0,2.0,6449600,BAPI-W,2020-07-09,,,,,
23139,2.0,3.0,3.0,2.0,6290800,BAPI-W,2020-07-10,,,,,2.75
14903,3.0,2.0,3.0,2.0,1219300,BAPI-W,2020-07-13,,,,,2.5833333333333335
31381,3.0,3.0,3.0,2.0,3806600,BAPI-W,2020-07-14,,,,2.7,2.675925925925926
92386,3.0,3.0,3.0,2.0,4810300,BAPI-W,2020-07-15,,,,2.7,2.747942386831276
21494,3.0,3.0,3.0,2.0,1936500,BAPI-W,2020-07-16,,,,2.7,2.803955189757659
107192,3.0,3.0,3.0,2.0,2567000,BAPI-W,2020-07-17,,,,2.8,2.847520703144846
80026,3.0,3.0,3.0,2.0,2189300,BAPI-W,2020-07-20,,,,2.8,2.8814049913348803
105563,3.0,3.0,3.0,2.0,1673300,BAPI-W,2020-07-21,,,,2.8,2.907759437704907
96506,2.0,3.0,3.0,2.0,5914800,BAPI-W,2020-07-22,,,,2.8,2.92825734043715
8312,3.0,3.0,3.0,2.0,6482300,BAPI-W,2020-07-23,,,,2.9,2.944200153673339
103941,3.0,3.0,3.0,2.0,3599400,BAPI-W,2020-07-24,,,,2.9,2.956600119523708
56937,3.0,3.0,3.0,2.0,2762800,BAPI-W,2020-07-27,,,,3.0,2.9662445374073285
41260,2.0,2.0,3.0,2.0,1672700,BAPI-W,2020-07-28,,,,2.9,2.7515235290945887
113794,2.0,3.0,3.0,2.0,4160800,BAPI-W,2020-07-29,,,,2.9,2.8067405226291244
82480,2.0,3.0,3.0,2.0,5253100,BAPI-W,2020-07-30,,,,2.9,2.8496870731559856
120380,3.0,2.0,3.0,2.0,9501700,BAPI-W,2020-08-03,,,,2.8,2.6608677235657665
6675,3.0,2.0,3.0,2.0,5783200,BAPI-W,2020-08-04,,,,2.7,2.5140082294400408
55293,2.0,3.0,3.0,2.0,5774700,BAPI-W,2020-08-05,,,,2.7,2.622006400675587
71782,3.0,3.0,3.0,2.0,2915600,BAPI-W,2020-08-06,,,,2.7,2.7060049783032345
43731,3.0,3.0,3.0,2.0,2093900,BAPI-W,2020-08-07,,,,2.7,2.7713372053469603
101462,2.0,2.0,3.0,2.0,2679700,BAPI-W,2020-08-10,,,,2.6,2.59992893749208
54477,3.0,3.0,3.0,2.0,4758500,BAPI-W,2020-08-11,,,,2.6,2.688833618049396
122843,3.0,3.0,3.0,2.0,3491100,BAPI-W,2020-08-12,,,2.7666666666666666,2.7,2.757981702927308
64358,3.0,3.0,3.0,2.0,18653200,BAPI-W,2020-08-13,,,2.7666666666666666,2.7,2.8117635467212394
