,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
77,750.0,700.0,750.0,680.0,1400,BATA,2021-04-01,,,,,
917,700.0,700.0,700.0,700.0,700,BATA,2021-04-05,,,,,
1757,700.0,700.0,700.0,670.0,35100,BATA,2021-04-06,,,,,
2597,700.0,830.0,845.0,700.0,10300,BATA,2021-04-07,,,,,
3439,830.0,775.0,830.0,775.0,42600,BATA,2021-04-08,,,,,
4281,775.0,725.0,775.0,725.0,34900,BATA,2021-04-09,,,,,
5124,725.0,700.0,725.0,690.0,85800,BATA,2021-04-12,,,,,
5968,700.0,690.0,725.0,690.0,27000,BATA,2021-04-13,,,,,727.5
6812,700.0,690.0,700.0,690.0,19500,BATA,2021-04-14,,,,,719.1666666666666
7657,700.0,690.0,725.0,690.0,2000,BATA,2021-04-15,,,,720.0,712.6851851851851
8502,690.0,690.0,700.0,690.0,12600,BATA,2021-04-16,,,,719.0,707.6440329218107
9346,685.0,680.0,685.0,680.0,1100,BATA,2021-04-19,,,,717.0,701.5009144947417
10190,675.0,675.0,675.0,660.0,6600,BATA,2021-04-20,,,,714.5,695.6118223847991
11034,670.0,670.0,670.0,670.0,3800,BATA,2021-04-21,,,,698.5,689.9203062992882
11878,670.0,680.0,680.0,625.0,11300,BATA,2021-04-22,,,,689.0,687.7157937883353
12722,680.0,680.0,680.0,680.0,100,BATA,2021-04-23,,,,684.5,686.001172946483
13566,680.0,680.0,680.0,680.0,4000,BATA,2021-04-26,,,,682.5,684.6675789583757
14409,675.0,680.0,680.0,675.0,900,BATA,2021-04-27,,,,681.5,683.6303391898477
15252,680.0,680.0,680.0,680.0,500,BATA,2021-04-28,,,,680.5,682.8235971476594
16096,675.0,680.0,680.0,675.0,600,BATA,2021-04-29,,,,679.5,682.1961311148461
16940,675.0,680.0,680.0,675.0,3200,BATA,2021-04-30,,,,678.5,681.7081019782137
17784,675.0,690.0,690.0,670.0,600,BATA,2021-05-03,,,,679.5,683.5507459830551
18627,690.0,690.0,690.0,690.0,200,BATA,2021-05-04,,,,681.0,684.9839135423762
19470,690.0,690.0,690.0,690.0,200,BATA,2021-05-05,,,,683.0,686.0985994218481
20314,690.0,690.0,690.0,690.0,800,BATA,2021-05-06,,,,684.0,686.9655773281041
21158,690.0,690.0,690.0,690.0,100,BATA,2021-05-07,,,,685.0,687.6398934774144
22002,690.0,690.0,690.0,690.0,100,BATA,2021-05-10,,,,686.0,688.1643615935445
22845,670.0,690.0,690.0,670.0,600,BATA,2021-05-11,,,,687.0,688.5722812394235
23688,690.0,690.0,690.0,690.0,300,BATA,2021-05-17,,,,688.0,688.8895520751072
24528,690.0,690.0,690.0,690.0,0,BATA,2021-05-18,,,696.1666666666666,689.0,689.1363182806389
25368,690.0,690.0,690.0,690.0,0,BATA,2021-05-19,,,695.8333333333334,690.0,689.328247551608
26212,690.0,690.0,690.0,685.0,2400,BATA,2021-05-20,,,695.5,690.0,689.4775258734729
27092,690.0,690.0,690.0,680.0,1300,BATA,2021-05-21,,,695.1666666666666,690.0,689.5936312349234
27932,690.0,645.0,690.0,645.0,2200,BATA,2021-05-24,,,689.0,685.5,679.6839354049404
28774,645.0,685.0,695.0,645.0,7100,BATA,2021-05-25,,,686.0,685.0,680.8652830927314
29565,685.0,685.0,685.0,640.0,400,BATA,2021-05-27,,,684.6666666666666,684.5,681.7841090721244
30407,685.0,685.0,685.0,685.0,0,BATA,2021-05-28,,,684.1666666666666,684.0,682.4987515005412
31249,685.0,685.0,685.0,685.0,800,BATA,2021-05-31,,,684.0,683.5,683.0545845004209
32091,685.0,685.0,685.0,685.0,100,BATA,2021-06-02,,,683.8333333333334,683.0,683.4868990558829
32933,685.0,685.0,685.0,685.0,100,BATA,2021-06-03,,,683.6666666666666,682.5,683.8231437101311
33774,685.0,685.0,685.0,685.0,0,BATA,2021-06-04,,,683.5,682.0,684.084667330102
34615,685.0,685.0,685.0,685.0,0,BATA,2021-06-07,,,683.6666666666666,681.5,684.2880745900793
35456,685.0,685.0,685.0,685.0,0,BATA,2021-06-08,,,684.0,681.0,684.4462802367284
36299,640.0,640.0,640.0,640.0,200,BATA,2021-06-09,,,683.0,680.5,674.569329073011
37142,640.0,680.0,680.0,640.0,400,BATA,2021-06-10,,,683.0,680.0,675.7761448345641
37989,635.0,680.0,680.0,635.0,700,BATA,2021-06-11,,,683.0,679.5,676.714779315772
38836,680.0,680.0,680.0,680.0,0,BATA,2021-06-14,,,683.0,679.0,677.4448283567116
39683,680.0,680.0,680.0,680.0,0,BATA,2021-06-15,,,683.0,678.5,678.0126442774423
40530,680.0,680.0,680.0,680.0,0,BATA,2021-06-16,,,683.0,678.0,678.4542788824551
41377,680.0,680.0,680.0,680.0,0,BATA,2021-06-17,,,683.0,677.5,678.7977724641318
42224,680.0,680.0,680.0,680.0,0,BATA,2021-06-18,,,683.0,677.0,679.0649341387691
43071,680.0,680.0,680.0,680.0,100,BATA,2021-06-21,,,682.6666666666666,676.5,679.272726552376
43918,680.0,680.0,680.0,680.0,500,BATA,2021-06-22,,,682.3333333333334,676.0,679.4343428740702
44765,680.0,680.0,680.0,680.0,600,BATA,2021-06-23,,,682.0,680.0,679.5600444576102
45612,680.0,680.0,680.0,680.0,0,BATA,2021-06-24,,,681.6666666666666,680.0,679.657812355919
46459,680.0,680.0,680.0,680.0,0,BATA,2021-06-25,,,681.3333333333334,680.0,679.7338540546036
47307,680.0,680.0,680.0,680.0,1000,BATA,2021-06-28,,,681.0,680.0,679.7929975980251
48153,670.0,670.0,670.0,670.0,500,BATA,2021-06-29,,,680.3333333333334,679.0,677.616775909575
48947,670.0,670.0,670.0,670.0,0,BATA,2021-06-30,,,679.6666666666666,678.0,675.9241590407806
49798,670.0,670.0,670.0,670.0,0,BATA,2021-07-01,,,679.0,677.0,674.6076792539405
50649,670.0,670.0,670.0,670.0,300,BATA,2021-07-02,,,678.3333333333334,676.0,673.5837505308426
51500,625.0,665.0,665.0,625.0,500,BATA,2021-07-05,,,677.5,674.5,671.6762504128776
52351,665.0,665.0,665.0,665.0,0,BATA,2021-07-06,,,676.6666666666666,673.0,670.192639210016
53199,625.0,660.0,660.0,625.0,2000,BATA,2021-07-07,,,677.1666666666666,671.0,667.9276082744568
54013,660.0,660.0,660.0,660.0,0,BATA,2021-07-08,,,676.3333333333334,669.0,666.1659175467997
54864,660.0,660.0,660.0,660.0,100,BATA,2021-07-09,,,675.5,667.0,664.7957136475109
55717,660.0,660.0,660.0,660.0,100,BATA,2021-07-12,,,674.6666666666666,665.0,663.7299995036195
56570,660.0,660.0,660.0,660.0,0,BATA,2021-07-13,,,673.8333333333334,664.0,662.9011107250374
57423,660.0,660.0,660.0,660.0,0,BATA,2021-07-14,,,673.0,663.0,662.2564194528069
58276,660.0,660.0,660.0,660.0,0,BATA,2021-07-15,,,672.1666666666666,662.0,661.7549929077387
59129,710.0,685.0,770.0,625.0,11000,BATA,2021-07-16,,,672.1666666666666,663.5,666.9205500393523
59982,685.0,685.0,685.0,685.0,1600,BATA,2021-07-19,,,672.1666666666666,665.5,670.9382055861629
60834,640.0,640.0,680.0,640.0,1400,BATA,2021-07-21,,,670.6666666666666,663.0,664.0630487892378
61686,600.0,680.0,685.0,600.0,9500,BATA,2021-07-22,,,672.0,665.0,667.6045935027405
62538,680.0,680.0,680.0,680.0,0,BATA,2021-07-23,,,672.0,667.0,670.3591282799093
63390,635.0,675.0,675.0,635.0,1900,BATA,2021-07-26,,,671.8333333333334,668.5,671.3904331065961
64242,675.0,675.0,675.0,675.0,100,BATA,2021-07-27,,,671.6666666666666,670.0,672.1925590829081
65096,675.0,675.0,675.0,630.0,6900,BATA,2021-07-28,,,671.5,671.5,672.8164348422619
65950,660.0,675.0,675.0,640.0,600,BATA,2021-07-29,,,671.3333333333334,673.0,673.3016715439815
66804,630.0,650.0,675.0,630.0,2100,BATA,2021-07-30,,,670.3333333333334,672.0,668.1235223119855
67658,650.0,650.0,680.0,620.0,23800,BATA,2021-08-02,,,669.3333333333334,668.5,664.0960729093221
68512,650.0,670.0,670.0,630.0,700,BATA,2021-08-03,,,669.0,667.0,665.4080567072505
69366,670.0,665.0,670.0,625.0,12300,BATA,2021-08-04,,,668.5,669.5,665.3173774389726
70220,670.0,665.0,670.0,665.0,300,BATA,2021-08-05,,,668.0,668.0,665.2468491192009
71074,630.0,665.0,665.0,630.0,500,BATA,2021-08-06,,,667.5,666.5,665.1919937593784
71929,665.0,665.0,665.0,665.0,100,BATA,2021-08-09,,,667.0,665.5,665.1493284795165
72784,665.0,665.0,665.0,665.0,100,BATA,2021-08-10,,,666.5,664.5,665.1161443729573
73639,665.0,665.0,665.0,665.0,0,BATA,2021-08-12,,,666.3333333333334,663.5,665.0903345123
