,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
78,1080.0,1080.0,1080.0,1080.0,0,BAYU,2021-04-01,,,,,
918,1080.0,1080.0,1080.0,1080.0,200,BAYU,2021-04-05,,,,,
1758,1080.0,1080.0,1080.0,1080.0,0,BAYU,2021-04-06,,,,,
2598,1080.0,1080.0,1080.0,1080.0,100,BAYU,2021-04-07,,,,,
3440,1100.0,1100.0,1100.0,1100.0,1500,BAYU,2021-04-08,,,,,
4282,1100.0,1100.0,1100.0,1100.0,0,BAYU,2021-04-09,,,,,
5125,1095.0,1095.0,1095.0,1095.0,600,BAYU,2021-04-12,,,,,
5969,1090.0,1060.0,1090.0,1060.0,1300,BAYU,2021-04-13,,,,,1084.375
6813,1060.0,1050.0,1060.0,1050.0,200,BAYU,2021-04-14,,,,,1076.736111111111
7658,1050.0,1050.0,1050.0,1050.0,700,BAYU,2021-04-15,,,,1077.5,1070.7947530864196
8503,1050.0,1050.0,1050.0,1050.0,100,BAYU,2021-04-16,,,,1074.5,1066.173696844993
9347,1075.0,1045.0,1075.0,1045.0,3500,BAYU,2021-04-19,,,,1071.0,1061.468430879439
10191,1040.0,1040.0,1040.0,1040.0,100,BAYU,2021-04-20,,,,1067.0,1056.697668461786
11035,970.0,1040.0,1040.0,970.0,1100,BAYU,2021-04-21,,,,1063.0,1052.987075470278
11879,1040.0,1040.0,1055.0,1040.0,900,BAYU,2021-04-22,,,,1057.0,1050.1010586991051
12723,1050.0,1040.0,1060.0,1040.0,1500,BAYU,2021-04-23,,,,1051.0,1047.8563789881928
13567,1040.0,1035.0,1040.0,1035.0,300,BAYU,2021-04-26,,,,1045.0,1044.9994058797056
14410,985.0,1040.0,1040.0,985.0,1900,BAYU,2021-04-27,,,,1043.0,1043.8884267953265
15253,1040.0,1040.0,1040.0,1040.0,0,BAYU,2021-04-28,,,,1042.0,1043.0243319519207
16097,1000.0,1085.0,1085.0,1000.0,200,BAYU,2021-04-29,,,,1045.5,1052.3522581848272
16941,1085.0,1085.0,1085.0,1085.0,0,BAYU,2021-04-30,,,,1049.0,1059.6073119215323
17785,1085.0,1085.0,1085.0,1085.0,0,BAYU,2021-05-03,,,,1053.0,1065.250131494525
18628,1085.0,1085.0,1085.0,1085.0,0,BAYU,2021-05-04,,,,1057.5,1069.6389911624083
19471,1085.0,1085.0,1085.0,1085.0,0,BAYU,2021-05-05,,,,1062.0,1073.052548681873
20315,1010.0,1010.0,1010.0,1010.0,300,BAYU,2021-05-06,,,,1059.0,1059.0408711970124
21159,1040.0,1065.0,1075.0,1010.0,11200,BAYU,2021-05-07,,,,1061.5,1060.3651220421207
22003,1070.0,1060.0,1070.0,1060.0,1300,BAYU,2021-05-10,,,,1064.0,1060.2839838105383
22846,1060.0,1060.0,1060.0,1060.0,2100,BAYU,2021-05-11,,,,1066.0,1060.2208762970854
23689,1060.0,1060.0,1060.0,1060.0,2500,BAYU,2021-05-17,,,,1068.0,1060.171792675511
24529,1045.0,1045.0,1045.0,1045.0,500,BAYU,2021-05-18,,,1062.3333333333333,1064.0,1056.800283192064
25369,1045.0,1045.0,1045.0,1045.0,0,BAYU,2021-05-19,,,1061.1666666666667,1060.0,1054.1779980382719
26213,1045.0,1045.0,1045.0,1045.0,0,BAYU,2021-05-20,,,1060.0,1056.0,1052.138442918656
27093,1000.0,1000.0,1000.0,1000.0,100,BAYU,2021-05-21,,,1057.3333333333333,1047.5,1040.5521222700659
27933,1000.0,1000.0,1000.0,1000.0,1000,BAYU,2021-05-24,,,1054.6666666666667,1039.0,1031.5405395433845
28775,1105.0,1105.0,1105.0,1105.0,100,BAYU,2021-05-25,,,1054.8333333333333,1048.5,1047.864864089299
29566,1100.0,1100.0,1100.0,1100.0,1200,BAYU,2021-05-27,,,1054.8333333333333,1052.0,1059.4504498472327
30408,1060.0,1060.0,1060.0,1060.0,200,BAYU,2021-05-28,,,1053.6666666666667,1052.0,1059.5725721034032
31250,1065.0,1065.0,1065.0,1065.0,200,BAYU,2021-05-31,,,1053.8333333333333,1052.5,1060.7786671915358
32092,1080.0,1130.0,1130.0,1080.0,4100,BAYU,2021-06-02,,,1056.5,1059.5,1076.1611855934168
