,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120326,28500.0,29000.0,29000.0,28375.0,12791800,BBCA,2020-07-01,,,,,
127747,28875.0,29350.0,29350.0,28800.0,15117100,BBCA,2020-07-02,,,,,
101421,29350.0,29350.0,29525.0,29200.0,10443800,BBCA,2020-07-03,,,,,
84114,29300.0,29675.0,29675.0,29250.0,13560000,BBCA,2020-07-06,,,,,
33845,29700.0,29950.0,29975.0,29500.0,14833600,BBCA,2020-07-07,,,,,
47023,29950.0,31000.0,31325.0,29900.0,21288900,BBCA,2020-07-08,,,,,
113750,31050.0,30500.0,31200.0,30150.0,18708700,BBCA,2020-07-09,,,,,
23142,30500.0,31000.0,31200.0,30400.0,13444800,BBCA,2020-07-10,,,,,29978.125
14906,31150.0,30875.0,31200.0,30700.0,17201200,BBCA,2020-07-13,,,,,30177.430555555555
31384,30875.0,31000.0,31000.0,30550.0,9123300,BBCA,2020-07-14,,,,30170.0,30360.2237654321
89053,31000.0,30750.0,31200.0,30750.0,12293600,BBCA,2020-07-15,,,,30345.0,30446.84070644719
21497,30750.0,30900.0,31000.0,30700.0,13304100,BBCA,2020-07-16,,,,30500.0,30547.542771681146
103859,30675.0,30600.0,30900.0,30200.0,14669600,BBCA,2020-07-17,,,,30625.0,30559.19993352978
77527,30600.0,30700.0,30800.0,30300.0,11958900,BBCA,2020-07-20,,,,30727.5,30590.48883718983
102230,30500.0,31000.0,31175.0,30500.0,16831900,BBCA,2020-07-21,,,,30832.5,30681.491317814314
93173,31050.0,30900.0,31250.0,30650.0,8945100,BBCA,2020-07-22,,,,30822.5,30730.048802744466
8315,30900.0,31000.0,31075.0,30700.0,16805300,BBCA,2020-07-23,,,,30872.5,30790.03795769014
100608,31000.0,30500.0,31000.0,30500.0,11673300,BBCA,2020-07-24,,,,30822.5,30725.585078203443
54438,30500.0,30500.0,30700.0,30000.0,8394500,BBCA,2020-07-27,,,,30785.0,30675.4550608249
41263,30600.0,30925.0,31000.0,30300.0,13055800,BBCA,2020-07-28,,,,30777.5,30730.9094917527
110461,30925.0,30675.0,30925.0,30500.0,10052500,BBCA,2020-07-29,,,,30770.0,30718.4851602521
79981,30675.0,31200.0,31200.0,30275.0,16106700,BBCA,2020-07-30,,,,30800.0,30825.488457973857
117047,31100.0,30650.0,31175.0,29125.0,27415800,BBCA,2020-08-03,,,,30805.0,30786.491022868555
6678,30775.0,31050.0,31100.0,30650.0,15871400,BBCA,2020-08-04,,,,30840.0,30845.04857334221
52794,31000.0,31025.0,31100.0,30500.0,9878600,BBCA,2020-08-05,,,,30842.5,30885.037779266164
69283,31075.0,31300.0,31475.0,30925.0,11051700,BBCA,2020-08-06,,,,30882.5,30977.251606095906
