,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
80,1095.0,1045.0,1100.0,1045.0,2645600,BBHI,2021-04-01,,,,,
920,1000.0,975.0,1020.0,975.0,6321700,BBHI,2021-04-05,,,,,
1760,975.0,930.0,980.0,910.0,7198700,BBHI,2021-04-06,,,,,
2600,930.0,1160.0,1160.0,930.0,20528000,BBHI,2021-04-07,,,,,
3442,1260.0,1450.0,1450.0,1260.0,21280800,BBHI,2021-04-08,,,,,
4284,1550.0,1490.0,1740.0,1350.0,37372000,BBHI,2021-04-09,,,,,
5127,1490.0,1410.0,1600.0,1390.0,7905600,BBHI,2021-04-12,,,,,
5971,1430.0,1455.0,1520.0,1400.0,6623100,BBHI,2021-04-13,,,,,1239.375
6815,1475.0,1355.0,1500.0,1355.0,5727400,BBHI,2021-04-14,,,,,1265.0694444444443
7660,1355.0,1265.0,1375.0,1265.0,3057200,BBHI,2021-04-15,,,,1253.5,1265.054012345679
8505,1265.0,1345.0,1525.0,1185.0,14736400,BBHI,2021-04-16,,,,1283.5,1282.8197873799725
9349,1350.0,1425.0,1445.0,1320.0,4297600,BBHI,2021-04-19,,,,1328.5,1314.4153901844231
10193,1435.0,1530.0,1610.0,1435.0,22475400,BBHI,2021-04-20,,,,1388.5,1362.3230812545514
11037,1550.0,1520.0,1665.0,1475.0,10925500,BBHI,2021-04-21,,,,1424.5,1397.3623965313177
11881,1550.0,1415.0,1580.0,1415.0,4684600,BBHI,2021-04-22,,,,1421.0,1401.2818639688026
12725,1415.0,1320.0,1415.0,1320.0,6488800,BBHI,2021-04-23,,,,1404.0,1383.219227531291
13569,1320.0,1235.0,1330.0,1230.0,2731600,BBHI,2021-04-26,,,,1386.5,1350.2816214132263
14412,1235.0,1330.0,1380.0,1155.0,6385200,BBHI,2021-04-27,,,,1374.0,1345.7745944325093
15255,1370.0,1285.0,1380.0,1280.0,2074700,BBHI,2021-04-28,,,,1367.0,1332.2691290030627
16099,1290.0,1270.0,1325.0,1240.0,2798600,BBHI,2021-04-29,,,,1367.5,1318.4315447801598
16943,1270.0,1300.0,1325.0,1240.0,2837000,BBHI,2021-04-30,,,,1363.0,1314.3356459401243
17787,1300.0,1260.0,1330.0,1210.0,3440400,BBHI,2021-05-03,,,,1346.5,1302.26105795343
18630,1265.0,1305.0,1340.0,1260.0,4660100,BBHI,2021-05-04,,,,1324.0,1302.8697117415568
19473,1315.0,1340.0,1385.0,1315.0,4302000,BBHI,2021-05-05,,,,1306.0,1311.1208869100997
20317,1340.0,1340.0,1360.0,1295.0,1529900,BBHI,2021-05-06,,,,1298.5,1317.538467596744
21161,1360.0,1310.0,1370.0,1305.0,1916900,BBHI,2021-05-07,,,,1297.5,1315.8632525752455
22005,1305.0,1285.0,1340.0,1280.0,1518100,BBHI,2021-05-10,,,,1302.5,1309.0047520029686
22848,1285.0,1295.0,1330.0,1280.0,1724000,BBHI,2021-05-11,,,,1299.0,1305.8925848911979
23691,1300.0,1205.0,1330.0,1205.0,2558200,BBHI,2021-05-17,,,,1291.0,1283.4720104709318
24531,1205.0,1125.0,1205.0,1125.0,3011100,BBHI,2021-05-18,,,1299.1666666666667,1276.5,1248.2560081440581
25371,1125.0,1065.0,1125.0,1060.0,1446800,BBHI,2021-05-19,,,1299.8333333333333,1253.0,1207.5324507787118
26215,1095.0,1040.0,1095.0,1005.0,845200,BBHI,2021-05-20,,,1302.0,1231.0,1170.3030172723313
27095,1040.0,1300.0,1300.0,1040.0,8470800,BBHI,2021-05-21,,,1314.3333333333333,1230.5,1199.1245689895911
27935,1345.0,1370.0,1450.0,1220.0,12305700,BBHI,2021-05-24,,,1321.3333333333333,1233.5,1237.0968869919043
28777,1370.0,1305.0,1400.0,1285.0,3486200,BBHI,2021-05-25,,,1316.5,1230.0,1252.18646766037
29568,1305.0,1310.0,1380.0,1290.0,1756900,BBHI,2021-05-27,,,1310.5,1230.0,1265.033919291399
30410,1320.0,1310.0,1360.0,1280.0,4865000,BBHI,2021-05-28,,,1307.1666666666667,1232.5,1275.026381671088
31252,1325.0,1360.0,1380.0,1265.0,3313500,BBHI,2021-05-31,,,1304.0,1239.0,1293.909407966402
32094,1370.0,1320.0,1380.0,1300.0,1738500,BBHI,2021-06-02,,,1302.8333333333333,1250.5,1299.7073173072015
