,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126167,370.0,370.0,370.0,370.0,100,BBLD,2020-07-01,,,,,
133588,370.0,370.0,370.0,370.0,0,BBLD,2020-07-02,,,,,
107262,372.0,352.0,372.0,350.0,4500,BBLD,2020-07-03,,,,,
89121,336.0,382.0,382.0,332.0,4100,BBLD,2020-07-06,,,,,
33848,362.0,378.0,390.0,362.0,4100,BBLD,2020-07-07,,,,,
51196,378.0,378.0,378.0,378.0,0,BBLD,2020-07-08,,,,,
119591,394.0,394.0,394.0,380.0,10100,BBLD,2020-07-09,,,,,
23145,394.0,394.0,394.0,394.0,0,BBLD,2020-07-10,,,,,377.25
14909,394.0,394.0,394.0,394.0,0,BBLD,2020-07-13,,,,,380.97222222222223
31387,392.0,392.0,392.0,392.0,100,BBLD,2020-07-14,,,,380.4,383.42283950617286
94894,380.0,388.0,388.0,380.0,1400,BBLD,2020-07-15,,,,382.2,384.4399862825789
21500,388.0,386.0,388.0,382.0,2700,BBLD,2020-07-16,,,,383.8,384.78665599756135
109700,370.0,370.0,370.0,360.0,46100,BBLD,2020-07-17,,,,385.6,381.5007324425477
82534,366.0,370.0,370.0,366.0,1352300,BBLD,2020-07-20,,,,384.4,378.94501412198156
108071,374.0,384.0,386.0,374.0,3700,BBLD,2020-07-21,,,,385.0,380.0683443170968
99014,380.0,382.0,382.0,380.0,3000,BBLD,2020-07-22,,,,385.4,380.4976011355197
8318,382.0,382.0,382.0,382.0,0,BBLD,2020-07-23,,,,384.2,380.83146754984864
106449,382.0,382.0,382.0,382.0,5000,BBLD,2020-07-24,,,,383.0,381.09114142766003
59445,382.0,382.0,382.0,382.0,0,BBLD,2020-07-27,,,,381.8,381.2931099992911
42934,382.0,382.0,382.0,382.0,0,BBLD,2020-07-28,,,,380.8,381.4501966661153
116302,382.0,382.0,382.0,382.0,0,BBLD,2020-07-29,,,,380.2,381.5723751847563
84988,382.0,382.0,382.0,382.0,0,BBLD,2020-07-30,,,,379.8,381.6674029214771
122888,382.0,382.0,382.0,382.0,100,BBLD,2020-08-03,,,,381.0,381.7413133833711
6681,380.0,380.0,380.0,380.0,200,BBLD,2020-08-04,,,,382.0,381.35435485373307
57801,370.0,368.0,370.0,368.0,3900,BBLD,2020-08-05,,,,380.4,378.38672044179236
74290,382.0,352.0,382.0,352.0,1300,BBLD,2020-08-06,,,,377.4,372.52300478806075
46239,360.0,382.0,382.0,360.0,1300,BBLD,2020-08-07,,,,377.4,374.62900372404727
103970,382.0,382.0,382.0,382.0,300,BBLD,2020-08-10,,,,377.4,376.2670028964812
56985,382.0,382.0,382.0,382.0,100,BBLD,2020-08-11,,,,377.4,377.5410022528187
125351,362.0,450.0,450.0,362.0,1341200,BBLD,2020-08-12,,,381.8,384.2,393.64300175219233
66866,450.0,420.0,454.0,420.0,5000,BBLD,2020-08-13,,,383.46666666666664,388.0,399.50011247392735
92437,420.0,392.0,420.0,392.0,8800,BBLD,2020-08-14,,,384.2,389.0,397.8334208130546
65222,384.0,370.0,390.0,366.0,12600,BBLD,2020-08-18,,,384.8,387.8,391.6482161879314
