,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121164,1260.0,1310.0,1320.0,1260.0,4200,BBMD,2020-07-01,,,,,
128585,1320.0,1400.0,1400.0,1320.0,6900,BBMD,2020-07-02,,,,,
102259,1410.0,1475.0,1495.0,1410.0,9800,BBMD,2020-07-03,,,,,
84952,1495.0,1570.0,1600.0,1495.0,10100,BBMD,2020-07-06,,,,,
33849,1570.0,1590.0,1600.0,1545.0,3600,BBMD,2020-07-07,,,,,
47861,1595.0,1605.0,1650.0,1570.0,2000,BBMD,2020-07-08,,,,,
114588,1605.0,1495.0,1650.0,1495.0,3900,BBMD,2020-07-09,,,,,
23146,1495.0,1470.0,1495.0,1395.0,4800,BBMD,2020-07-10,,,,,1489.375
14910,1500.0,1540.0,1540.0,1500.0,2000,BBMD,2020-07-13,,,,,1500.625
31388,1535.0,1535.0,1535.0,1535.0,200,BBMD,2020-07-14,,,,1499.0,1508.263888888889
89891,1535.0,1440.0,1535.0,1430.0,6400,BBMD,2020-07-15,,,,1512.0,1493.094135802469
21501,1390.0,1360.0,1400.0,1360.0,2800,BBMD,2020-07-16,,,,1508.0,1463.517661179698
104697,1400.0,1380.0,1460.0,1380.0,7400,BBMD,2020-07-17,,,,1498.5,1444.958180917543
78365,1420.0,1430.0,1460.0,1420.0,5600,BBMD,2020-07-20,,,,1484.5,1441.6341407136445
103068,1430.0,1430.0,1430.0,1430.0,0,BBMD,2020-07-21,,,,1468.5,1439.0487761106124
94011,1365.0,1410.0,1410.0,1360.0,2200,BBMD,2020-07-22,,,,1449.0,1432.5934925304764
8319,1500.0,1450.0,1500.0,1450.0,1100,BBMD,2020-07-23,,,,1444.5,1436.4616053014815
101446,1350.0,1350.0,1350.0,1350.0,100,BBMD,2020-07-24,,,,1432.5,1417.2479152344856
55276,1350.0,1460.0,1460.0,1350.0,7600,BBMD,2020-07-27,,,,1424.5,1426.748378515711
41267,1460.0,1460.0,1460.0,1460.0,0,BBMD,2020-07-28,,,,1417.0,1434.1376277344418
111299,1460.0,1460.0,1460.0,1460.0,0,BBMD,2020-07-29,,,,1419.0,1439.8848215712326
80819,1460.0,1455.0,1460.0,1455.0,700,BBMD,2020-07-30,,,,1428.5,1443.2437501109587
117885,1525.0,1500.0,1530.0,1465.0,3700,BBMD,2020-08-03,,,,1440.5,1455.856250086301
6682,1500.0,1500.0,1500.0,1500.0,0,BBMD,2020-08-04,,,,1447.5,1465.6659722893453
53632,1500.0,1500.0,1500.0,1500.0,0,BBMD,2020-08-05,,,,1454.5,1473.2957562250463
70121,1500.0,1500.0,1500.0,1500.0,0,BBMD,2020-08-06,,,,1463.5,1479.2300326194804
43738,1465.0,1400.0,1550.0,1400.0,4800,BBMD,2020-08-07,,,,1458.5,1461.6233587040404
98967,1400.0,1400.0,1400.0,1400.0,600,BBMD,2020-08-10,,,,1463.5,1447.9292789920314
52816,1400.0,1400.0,1400.0,1400.0,200,BBMD,2020-08-11,,,,1457.5,1437.2783281049133
120348,1400.0,1400.0,1400.0,1400.0,100,BBMD,2020-08-12,,,1455.8333333333333,1451.5,1428.9942551927104
62697,1395.0,1500.0,1550.0,1350.0,15900,BBMD,2020-08-13,,,1462.1666666666667,1455.5,1444.7733095943304
87434,1500.0,1580.0,1600.0,1500.0,12200,BBMD,2020-08-14,,,1468.1666666666667,1468.0,1474.8236852400348
61053,1580.0,1600.0,1600.0,1580.0,400,BBMD,2020-08-18,,,1472.3333333333333,1478.0,1502.6406440755827
89075,1500.0,1500.0,1500.0,1500.0,200,BBMD,2020-08-19,,,1470.0,1478.0,1502.0538342810087
9967,1480.0,1550.0,1585.0,1400.0,7900,BBMD,2020-08-24,,,1468.6666666666667,1483.0,1512.7085377741178
129394,1550.0,1690.0,1690.0,1450.0,15900,BBMD,2020-08-25,,,1471.5,1502.0,1552.1066404909805
103881,1690.0,1670.0,1690.0,1660.0,11500,BBMD,2020-08-26,,,1477.3333333333333,1529.0,1578.305164826318
3387,1660.0,1660.0,1660.0,1660.0,100,BBMD,2020-08-27,,,1483.6666666666667,1555.0,1596.459572642692
79178,1635.0,1635.0,1635.0,1635.0,100,BBMD,2020-08-28,,,1486.8333333333333,1578.5,1605.024112055427
27267,1635.0,1635.0,1635.0,1635.0,0,BBMD,2020-08-31,,,1490.1666666666667,1602.0,1611.6854204875542
34662,1635.0,1635.0,1635.0,1635.0,0,BBMD,2020-09-01,,,1496.6666666666667,1615.5,1616.8664381569865
38800,1635.0,1635.0,1635.0,1635.0,0,BBMD,2020-09-02,,,1505.8333333333333,1621.0,1620.896118566545
68469,1600.0,1580.0,1600.0,1580.0,1300,BBMD,2020-09-03,,,1512.5,1619.0,1611.808092218424
12443,1570.0,1570.0,1570.0,1570.0,1000,BBMD,2020-09-04,,,1517.1666666666667,1626.0,1602.5174050587743
26447,1550.0,1495.0,1550.0,1495.0,1300,BBMD,2020-09-07,,,1519.3333333333333,1620.5,1578.6246483790467
