,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
84,5725.0,5675.0,5825.0,5625.0,21304900,BBNI,2021-04-01,,,,,
924,5775.0,5750.0,5800.0,5675.0,14929300,BBNI,2021-04-05,,,,,
1764,5800.0,5825.0,5900.0,5750.0,18007500,BBNI,2021-04-06,,,,,
2604,5900.0,5775.0,5900.0,5725.0,17585000,BBNI,2021-04-07,,,,,
3446,5750.0,5800.0,5825.0,5725.0,16236500,BBNI,2021-04-08,,,,,
4288,5850.0,6000.0,6100.0,5825.0,49636200,BBNI,2021-04-09,,,,,
5131,6025.0,5850.0,6050.0,5825.0,21854400,BBNI,2021-04-12,,,,,
5975,5850.0,5800.0,5875.0,5725.0,18308500,BBNI,2021-04-13,,,,,5809.375
6819,5825.0,5900.0,5950.0,5800.0,21324800,BBNI,2021-04-14,,,,,5829.513888888889
7664,5950.0,5975.0,6025.0,5900.0,17975900,BBNI,2021-04-15,,,,5835.0,5861.844135802469
8509,6025.0,5950.0,6050.0,5875.0,17665900,BBNI,2021-04-16,,,,5862.5,5881.434327846365
9353,5900.0,5875.0,5975.0,5825.0,11917800,BBNI,2021-04-19,,,,5875.0,5880.004477213839
10197,5875.0,5925.0,5925.0,5800.0,8272500,BBNI,2021-04-20,,,,5885.0,5890.0034822774305
11041,5875.0,5775.0,5875.0,5750.0,13227700,BBNI,2021-04-21,,,,5885.0,5864.447152882446
11885,5800.0,5675.0,5825.0,5650.0,28608300,BBNI,2021-04-22,,,,5872.5,5822.347785575236
12729,5675.0,5775.0,5800.0,5675.0,18785800,BBNI,2021-04-23,,,,5850.0,5811.826055447406
13573,5850.0,5725.0,5850.0,5700.0,14881100,BBNI,2021-04-26,,,,5837.5,5792.531376459094
14416,5800.0,5900.0,5900.0,5750.0,30800700,BBNI,2021-04-27,,,,5847.5,5816.413292801517
15259,5900.0,5825.0,5900.0,5800.0,17430900,BBNI,2021-04-28,,,,5840.0,5818.321449956736
16103,5875.0,5875.0,5925.0,5825.0,11297100,BBNI,2021-04-29,,,,5830.0,5830.916683299683
16947,5875.0,5700.0,5875.0,5650.0,25905700,BBNI,2021-04-30,,,,5805.0,5801.824087010865
17791,5700.0,5575.0,5725.0,5550.0,23712200,BBNI,2021-05-03,,,,5775.0,5751.418734341783
18634,5575.0,5625.0,5625.0,5525.0,17240600,BBNI,2021-05-04,,,,5745.0,5723.325682265831
19477,5650.0,5675.0,5725.0,5600.0,19015900,BBNI,2021-05-05,,,,5735.0,5712.586641762313
20321,5750.0,5700.0,5775.0,5675.0,15392600,BBNI,2021-05-06,,,,5737.5,5709.789610259577
21165,5750.0,5600.0,5750.0,5600.0,14552500,BBNI,2021-05-07,,,,5720.0,5685.391919090782
22009,5600.0,5575.0,5650.0,5550.0,14191000,BBNI,2021-05-10,,,,5705.0,5660.860381515053
22852,5575.0,5525.0,5575.0,5500.0,12561400,BBNI,2021-05-11,,,,5667.5,5630.669185622819
23695,5575.0,5500.0,5650.0,5450.0,26889300,BBNI,2021-05-17,,,,5635.0,5601.631588817748
24535,5500.0,5450.0,5550.0,5400.0,13030600,BBNI,2021-05-18,,,5752.5,5592.5,5567.935680191582
25375,5400.0,5250.0,5425.0,5200.0,29198100,BBNI,2021-05-19,,,5738.333333333333,5547.5,5497.283306815675
26219,5200.0,5250.0,5325.0,5175.0,23664700,BBNI,2021-05-20,,,5721.666666666667,5515.0,5442.331460856636
27099,5300.0,5325.0,5400.0,5250.0,25857300,BBNI,2021-05-21,,,5705.0,5485.0,5416.257802888495
27939,5375.0,5300.0,5375.0,5300.0,14545100,BBNI,2021-05-24,,,5689.166666666667,5447.5,5390.42273557994
28781,5300.0,5325.0,5500.0,5300.0,23942300,BBNI,2021-05-25,,,5673.333333333333,5410.0,5375.884349895509
29572,5375.0,5150.0,5500.0,5150.0,80849500,BBNI,2021-05-27,,,5645.0,5365.0,5325.687827696507
30414,5275.0,5200.0,5300.0,5200.0,21585600,BBNI,2021-05-28,,,5623.333333333333,5327.5,5297.757199319505
31256,5225.0,5400.0,5500.0,5200.0,34768100,BBNI,2021-05-31,,,5610.0,5315.0,5320.477821692948
32098,5500.0,5550.0,5575.0,5425.0,38318100,BBNI,2021-06-02,,,5598.333333333333,5320.0,5371.482750205626
32940,5575.0,5750.0,5750.0,5475.0,27426300,BBNI,2021-06-03,,,5590.833333333333,5350.0,5455.597694604376
33781,5700.0,5625.0,5750.0,5600.0,30124500,BBNI,2021-06-04,,,5580.0,5387.5,5493.242651358959
