,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
26451,600.0,600.0,600.0,500.0,27048900,BBSI,2020-09-07,,,,,
110498,650.0,750.0,750.0,650.0,17624900,BBSI,2020-09-08,,,,,
124479,800.0,835.0,935.0,750.0,30489400,BBSI,2020-09-09,,,,,
7499,835.0,780.0,870.0,780.0,962900,BBSI,2020-09-10,,,,,
17376,730.0,730.0,730.0,730.0,458600,BBSI,2020-09-11,,,,,
44556,680.0,720.0,840.0,680.0,8842700,BBSI,2020-09-14,,,,,
67663,720.0,670.0,730.0,670.0,1929300,BBSI,2020-09-15,,,,,
909,690.0,625.0,690.0,625.0,851300,BBSI,2020-09-16,,,,,713.75
57761,605.0,625.0,630.0,585.0,1593300,BBSI,2020-09-17,,,,,694.0277777777778
63541,585.0,585.0,625.0,585.0,671100,BBSI,2020-09-18,,,,692.0,669.7993827160494
73433,585.0,555.0,595.0,545.0,1405500,BBSI,2020-09-21,,,,687.5,644.2884087791496
102289,555.0,570.0,570.0,520.0,1237100,BBSI,2020-09-22,,,,669.5,627.7798734948941
78386,570.0,600.0,620.0,550.0,697200,BBSI,2020-09-23,,,,646.0,621.6065682738065
66836,600.0,610.0,610.0,570.0,391600,BBSI,2020-09-24,,,,629.0,619.0273308796272
98991,610.0,620.0,620.0,570.0,510200,BBSI,2020-09-25,,,,618.0,619.2434795730434
61073,620.0,640.0,640.0,600.0,889700,BBSI,2020-09-28,,,,610.0,623.8560396679226
15725,630.0,660.0,660.0,625.0,303700,BBSI,2020-09-29,,,,609.0,631.8880308528287
85798,660.0,695.0,700.0,650.0,419800,BBSI,2020-09-30,,,,616.0,645.9129128855334
94032,695.0,680.0,700.0,680.0,275100,BBSI,2020-10-01,,,,621.5,653.4878211331926
69316,680.0,695.0,695.0,665.0,254400,BBSI,2020-10-02,,,,632.5,662.7127497702609
11622,705.0,695.0,710.0,690.0,171300,BBSI,2020-10-05,,,,646.5,669.8876942657585
122029,680.0,695.0,695.0,665.0,246100,BBSI,2020-10-06,,,,659.0,675.4682066511455
20680,695.0,705.0,710.0,675.0,178500,BBSI,2020-10-07,,,,669.5,682.0308273953353
19024,705.0,710.0,710.0,685.0,291000,BBSI,2020-10-08,,,,679.5,688.2461990852609
112155,710.0,720.0,750.0,695.0,121500,BBSI,2020-10-09,,,,689.5,695.3025992885363
28088,700.0,730.0,780.0,700.0,371100,BBSI,2020-10-12,,,,698.5,703.0131327799727
77561,730.0,725.0,750.0,715.0,171200,BBSI,2020-10-13,,,,705.0,707.8991032733121
108844,725.0,695.0,725.0,680.0,481300,BBSI,2020-10-14,,,,705.0,705.0326358792428
14089,695.0,680.0,695.0,655.0,280700,BBSI,2020-10-15,,,,705.0,699.4698279060777
5037,695.0,665.0,695.0,645.0,153700,BBSI,2020-10-16,,,675.5,702.0,691.8098661491716
84,705.0,690.0,705.0,675.0,123000,BBSI,2020-10-19,,,678.5,701.5,691.407673671578
126960,690.0,690.0,700.0,680.0,251600,BBSI,2020-10-20,,,676.5,701.0,691.0948573001162
75911,700.0,700.0,700.0,675.0,217200,BBSI,2020-10-21,,,672.0,700.5,693.0737779000904
29743,700.0,715.0,715.0,690.0,135700,BBSI,2020-10-22,,,669.8333333333334,701.0,697.9462717000703
32203,715.0,720.0,720.0,700.0,413000,BBSI,2020-10-23,,,669.5,701.0,702.8471002111658
58589,705.0,730.0,740.0,705.0,139900,BBSI,2020-10-26,,,669.8333333333334,701.0,708.8810779420178
53663,735.0,750.0,750.0,730.0,346600,BBSI,2020-10-27,,,672.5,703.5,718.018616177125
90756,750.0,735.0,750.0,735.0,165700,BBSI,2020-11-02,,,676.1666666666666,707.5,721.7922570266527
84973,735.0,740.0,800.0,735.0,236500,BBSI,2020-11-03,,,680.0,713.5,725.838422131841
5862,750.0,740.0,770.0,730.0,109300,BBSI,2020-11-04,,,685.1666666666666,721.0,728.9854394358763
18200,770.0,760.0,800.0,735.0,203600,BBSI,2020-11-05,,,692.0,728.0,735.8775640056815
42084,760.0,760.0,780.0,740.0,330100,BBSI,2020-11-06,,,698.3333333333334,735.0,741.2381053377522
93208,750.0,755.0,775.0,750.0,92300,BBSI,2020-11-09,,,703.5,740.5,744.2963041515851
1737,765.0,760.0,775.0,740.0,95100,BBSI,2020-11-10,,,708.5,745.0,747.7860143401217
23961,740.0,760.0,770.0,740.0,174900,BBSI,2020-11-11,,,713.1666666666666,749.0,750.5002333756502
79213,770.0,750.0,775.0,745.0,192800,BBSI,2020-11-12,,,716.8333333333334,751.0,750.3890704032834
76736,750.0,760.0,765.0,745.0,73800,BBSI,2020-11-13,,,720.1666666666666,752.0,752.5248325358871
75086,760.0,775.0,775.0,750.0,158600,BBSI,2020-11-16,,,722.8333333333334,756.0,757.5193141945788
39621,770.0,760.0,770.0,750.0,399500,BBSI,2020-11-17,,,725.5,758.0,758.0705777068946
16551,760.0,760.0,760.0,750.0,49400,BBSI,2020-11-18,,,727.6666666666666,760.0,758.4993382164736
68491,750.0,770.0,770.0,750.0,31500,BBSI,2020-11-19,,,730.1666666666666,761.0,761.055040835035
81666,775.0,770.0,780.0,755.0,43800,BBSI,2020-11-20,,,732.6666666666666,762.0,763.0428095383605
72608,760.0,755.0,760.0,755.0,47300,BBSI,2020-11-23,,,734.3333333333334,762.0,761.255518529836
114618,755.0,755.0,760.0,755.0,18400,BBSI,2020-11-24,,,735.8333333333334,761.5,759.8654033009835
121204,780.0,760.0,780.0,745.0,96300,BBSI,2020-11-25,,,737.1666666666666,761.5,759.8953136785427
60248,750.0,760.0,760.0,750.0,74100,BBSI,2020-11-26,,,738.1666666666666,762.5,759.9185773055332
13264,755.0,760.0,760.0,745.0,124300,BBSI,2020-11-27,,,739.3333333333334,762.5,759.9366712376369
119566,755.0,775.0,775.0,730.0,165200,BBSI,2020-11-30,,,742.0,762.5,763.2840776292732
116269,770.0,780.0,780.0,740.0,248400,BBSI,2020-12-01,,,745.3333333333334,764.5,766.9987270449902
118741,780.0,780.0,780.0,770.0,83100,BBSI,2020-12-02,,,749.1666666666666,766.5,769.8878988127702
37979,780.0,755.0,780.0,755.0,217100,BBSI,2020-12-03,,,751.3333333333334,765.0,766.5794768543768
30568,755.0,775.0,775.0,755.0,96000,BBSI,2020-12-04,,,754.1666666666666,765.5,768.4507042200709
47046,775.0,810.0,820.0,775.0,545000,BBSI,2020-12-07,,,757.8333333333334,771.0,777.6838810600551
94858,805.0,810.0,810.0,770.0,217800,BBSI,2020-12-08,,,761.0,776.5,784.8652408244873
128614,790.0,790.0,810.0,790.0,44700,BBSI,2020-12-10,,,763.3333333333334,779.5,786.0062984190456
40447,790.0,815.0,835.0,790.0,81300,BBSI,2020-12-11,,,766.1666666666666,785.0,792.4493432148132
74262,825.0,805.0,890.0,805.0,57800,BBSI,2020-12-14,,,768.0,789.5,795.2383780559659
112981,805.0,800.0,885.0,750.0,358600,BBSI,2020-12-15,,,770.1666666666666,792.0,796.2965162657513
130268,800.0,780.0,800.0,750.0,304600,BBSI,2020-12-16,,,771.5,792.0,792.6750682066954
65186,770.0,795.0,800.0,760.0,133100,BBSI,2020-12-17,,,773.3333333333334,793.5,793.1917197163186
100648,800.0,795.0,800.0,780.0,83900,BBSI,2020-12-18,,,774.5,797.5,793.5935597793589
115444,780.0,795.0,850.0,780.0,126800,BBSI,2020-12-21,,,775.6666666666666,799.5,793.9061020506125
33029,795.0,790.0,810.0,775.0,139800,BBSI,2020-12-22,,,776.8333333333334,797.5,793.0380793726986
98166,790.0,800.0,800.0,780.0,172400,BBSI,2020-12-23,,,778.1666666666666,796.5,794.5851728454322
66011,810.0,800.0,820.0,800.0,39800,BBSI,2020-12-28,,,779.5,797.5,795.7884677686695
61900,805.0,805.0,845.0,795.0,88600,BBSI,2020-12-29,,,781.3333333333334,796.5,797.8354749311874
129440,805.0,830.0,835.0,795.0,106600,BBSI,2020-12-30,,,783.6666666666666,799.0,804.9831471687013
4209,830.0,850.0,850.0,805.0,71300,BBSI,2021-01-04,,,786.1666666666666,804.0,814.9868922423233
109670,860.0,820.0,860.0,810.0,28900,BBSI,2021-01-05,,,788.1666666666666,808.0,816.1009161884737
126131,815.0,820.0,820.0,810.0,49500,BBSI,2021-01-06,,,790.1666666666666,810.5,816.9673792577017
28914,820.0,835.0,840.0,810.0,106000,BBSI,2021-01-07,,,792.3333333333334,814.5,820.9746283115458
47871,835.0,840.0,850.0,815.0,70800,BBSI,2021-01-08,,,794.6666666666666,819.0,825.2024886867578
125302,840.0,850.0,850.0,815.0,67400,BBSI,2021-01-11,,,797.8333333333334,825.0,830.7130467563671
50346,855.0,850.0,855.0,840.0,29000,BBSI,2021-01-12,,,801.0,830.0,834.9990363660634
51175,850.0,850.0,850.0,840.0,34400,BBSI,2021-01-13,,,804.0,835.0,838.3325838402715
127786,850.0,850.0,850.0,830.0,148700,BBSI,2021-01-14,,,807.0,839.5,840.9253429868778
35484,830.0,860.0,860.0,815.0,128600,BBSI,2021-01-15,,,810.3333333333334,842.5,845.1641556564605
36314,860.0,860.0,860.0,845.0,57700,BBSI,2021-01-18,,,813.1666666666666,843.5,848.4610099550248
108015,860.0,860.0,870.0,840.0,116300,BBSI,2021-01-19,,,815.8333333333334,847.5,851.0252299650193
52004,840.0,900.0,900.0,840.0,134200,BBSI,2021-01-20,,,819.8333333333334,855.5,861.9085121950151
52834,905.0,900.0,905.0,860.0,83100,BBSI,2021-01-21,,,824.6666666666666,862.0,870.3732872627895
2562,900.0,895.0,900.0,870.0,28000,BBSI,2021-01-22,,,828.6666666666666,867.5,875.8458900932808
99818,895.0,900.0,900.0,870.0,145800,BBSI,2021-01-25,,,831.6666666666666,872.5,881.2134700725517
46217,900.0,895.0,900.0,880.0,134600,BBSI,2021-01-26,,,834.5,877.0,884.2771433897624
19851,890.0,895.0,895.0,875.0,97300,BBSI,2021-01-27,,,838.0,881.5,886.6600004142597
24787,895.0,900.0,900.0,890.0,81600,BBSI,2021-01-28,,,840.8333333333334,886.5,889.6244447666464
56119,900.0,915.0,915.0,895.0,106300,BBSI,2021-01-29,,,844.5,892.0,895.263457040725
95687,950.0,1140.0,1140.0,900.0,155800,BBSI,2021-02-01,,,855.8333333333334,920.0,949.6493554761195
25620,1200.0,1425.0,1425.0,1200.0,938200,BBSI,2021-02-02,,,877.3333333333334,976.5,1055.2828320369817
9140,1475.0,1400.0,1780.0,1330.0,1607300,BBSI,2021-02-03,776.0,,897.5,1026.5,1131.8866471398746
117910,1400.0,1305.0,1405.0,1305.0,238200,BBSI,2021-02-04,783.05,,914.5,1067.0,1170.3562811087913
10791,1305.0,1215.0,1305.0,1215.0,78800,BBSI,2021-02-05,787.7,,928.5,1099.0,1180.27710752906
37147,1215.0,1130.0,1215.0,1130.0,72100,BBSI,2021-02-08,790.65,,939.8333333333334,1122.0,1169.1044169670467
88274,1100.0,1170.0,1220.0,1055.0,245800,BBSI,2021-02-09,794.55,,952.1666666666666,1149.5,1169.3034354188142
87438,1155.0,1160.0,1240.0,1120.0,110400,BBSI,2021-02-10,798.85,,964.1666666666666,1176.0,1167.2360053257444
84141,1160.0,1190.0,1200.0,1140.0,48800,BBSI,2021-02-11,803.55,,977.0,1205.0,1172.2946708089123
111323,1190.0,1230.0,1250.0,1190.0,68500,BBSI,2021-02-15,809.15,,990.3333333333334,1236.5,1185.1180772958207
103120,1235.0,1235.0,1250.0,1200.0,19300,BBSI,2021-02-16,815.25,,1003.1666666666666,1246.0,1196.2029490078605
97333,1235.0,1250.0,1300.0,1200.0,76000,BBSI,2021-02-17,821.5,,1017.5,1228.5,1208.1578492283359
70961,1250.0,1245.0,1300.0,1205.0,51200,BBSI,2021-02-18,828.1,,1031.6666666666667,1213.0,1216.3449938442611
59417,1205.0,1250.0,1250.0,1170.0,109900,BBSI,2021-02-19,835.05,,1045.5,1207.5,1223.823884101092
83307,1255.0,1275.0,1300.0,1200.0,86200,BBSI,2021-02-22,842.1,,1060.0,1213.5,1235.1963543008494
22319,1280.0,1360.0,1420.0,1280.0,77100,BBSI,2021-02-23,849.7,,1077.0,1236.5,1262.9304977895495
42911,1360.0,1480.0,1485.0,1345.0,101300,BBSI,2021-02-24,858.4,,1098.0,1267.5,1311.1681649474274
49514,1485.0,1850.0,1850.0,1480.0,408800,BBSI,2021-02-25,870.7,,1131.3333333333333,1336.5,1430.908572736888
89109,1890.0,1980.0,2300.0,1835.0,1008900,BBSI,2021-02-26,884.1,,1169.0,1415.5,1552.9288899064684
45385,1985.0,1930.0,2100.0,1850.0,250300,BBSI,2021-03-01,896.8,,1204.6666666666667,1485.5,1636.722469927253
