,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120344,50.0,50.0,50.0,50.0,21300,BEKS,2020-07-01,,,,,
127765,50.0,50.0,50.0,50.0,11400,BEKS,2020-07-02,,,,,
101439,50.0,50.0,50.0,50.0,20000,BEKS,2020-07-03,,,,,
84132,50.0,50.0,50.0,50.0,2100,BEKS,2020-07-06,,,,,
33863,50.0,50.0,50.0,50.0,12700,BEKS,2020-07-07,,,,,
47041,50.0,50.0,50.0,50.0,13300,BEKS,2020-07-08,,,,,
113768,50.0,50.0,50.0,50.0,3100,BEKS,2020-07-09,,,,,
23160,50.0,50.0,50.0,50.0,2155000,BEKS,2020-07-10,,,,,50.0
14924,50.0,50.0,50.0,50.0,1845500,BEKS,2020-07-13,,,,,50.0
31402,50.0,50.0,50.0,50.0,13300,BEKS,2020-07-14,,,,50.0,50.0
89071,50.0,50.0,50.0,50.0,10600,BEKS,2020-07-15,,,,50.0,50.0
21515,50.0,50.0,50.0,50.0,18700,BEKS,2020-07-16,,,,50.0,50.0
103877,50.0,50.0,50.0,50.0,11400,BEKS,2020-07-17,,,,50.0,50.0
77545,50.0,50.0,50.0,50.0,98500,BEKS,2020-07-20,,,,50.0,50.0
102248,50.0,50.0,50.0,50.0,2100,BEKS,2020-07-21,,,,50.0,50.0
93191,50.0,50.0,50.0,50.0,1507600,BEKS,2020-07-22,,,,50.0,50.0
8333,50.0,50.0,50.0,50.0,667800,BEKS,2020-07-23,,,,50.0,50.0
100626,50.0,50.0,50.0,50.0,252900,BEKS,2020-07-24,,,,50.0,50.0
54456,50.0,50.0,50.0,50.0,2265400,BEKS,2020-07-27,,,,50.0,50.0
41281,50.0,50.0,50.0,50.0,57500,BEKS,2020-07-28,,,,50.0,50.0
110479,50.0,50.0,50.0,50.0,54900,BEKS,2020-07-29,,,,50.0,50.0
79999,50.0,50.0,50.0,50.0,17600,BEKS,2020-07-30,,,,50.0,50.0
117065,50.0,50.0,50.0,50.0,52100,BEKS,2020-08-03,,,,50.0,50.0
6696,50.0,50.0,50.0,50.0,6300,BEKS,2020-08-04,,,,50.0,50.0
52812,50.0,50.0,50.0,50.0,101800,BEKS,2020-08-05,,,,50.0,50.0
69301,50.0,50.0,50.0,50.0,55400,BEKS,2020-08-06,,,,50.0,50.0
42918,50.0,50.0,50.0,50.0,104600,BEKS,2020-08-07,,,,50.0,50.0
98147,50.0,50.0,50.0,50.0,1228000,BEKS,2020-08-10,,,,50.0,50.0
51996,50.0,50.0,50.0,50.0,1600,BEKS,2020-08-11,,,,50.0,50.0
119528,50.0,50.0,50.0,50.0,34700,BEKS,2020-08-12,,,50.0,50.0,50.0
61877,50.0,50.0,50.0,50.0,9700,BEKS,2020-08-13,,,50.0,50.0,50.0
86614,50.0,50.0,50.0,50.0,16300,BEKS,2020-08-14,,,50.0,50.0,50.0
60233,50.0,50.0,50.0,50.0,9700,BEKS,2020-08-18,,,50.0,50.0,50.0
88255,50.0,50.0,50.0,50.0,100,BEKS,2020-08-19,,,50.0,50.0,50.0
9981,50.0,50.0,50.0,50.0,9400,BEKS,2020-08-24,,,50.0,50.0,50.0
128574,50.0,50.0,50.0,50.0,303600,BEKS,2020-08-25,,,50.0,50.0,50.0
103061,50.0,50.0,50.0,50.0,10000,BEKS,2020-08-26,,,50.0,50.0,50.0
3401,50.0,50.0,50.0,50.0,747200,BEKS,2020-08-27,,,50.0,50.0,50.0
78358,50.0,50.0,50.0,50.0,88400,BEKS,2020-08-28,,,50.0,50.0,50.0
27281,50.0,50.0,50.0,50.0,34300,BEKS,2020-08-31,,,50.0,50.0,50.0
