,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126184,248.0,230.0,248.0,222.0,171300,BESS,2020-07-01,,,,,
133605,232.0,232.0,236.0,230.0,381500,BESS,2020-07-02,,,,,
107279,234.0,246.0,256.0,234.0,266900,BESS,2020-07-03,,,,,
89138,238.0,246.0,258.0,238.0,420800,BESS,2020-07-06,,,,,
33865,244.0,244.0,258.0,242.0,177100,BESS,2020-07-07,,,,,
51213,250.0,244.0,254.0,240.0,103900,BESS,2020-07-08,,,,,
119608,248.0,246.0,268.0,240.0,134500,BESS,2020-07-09,,,,,
23162,240.0,236.0,252.0,230.0,95000,BESS,2020-07-10,,,,,240.5
14926,236.0,244.0,250.0,236.0,56600,BESS,2020-07-13,,,,,241.27777777777777
31404,234.0,244.0,290.0,232.0,596200,BESS,2020-07-14,,,,241.2,241.8827160493827
94911,244.0,248.0,254.0,240.0,113500,BESS,2020-07-15,,,,243.0,243.24211248285323
21517,246.0,232.0,258.0,232.0,248100,BESS,2020-07-16,,,,243.0,240.7438652644414
109717,230.0,230.0,230.0,218.0,104600,BESS,2020-07-17,,,,241.4,238.3563396501211
82551,230.0,226.0,238.0,226.0,5400,BESS,2020-07-20,,,,239.4,235.61048639453864
108088,226.0,242.0,242.0,226.0,604200,BESS,2020-07-21,,,,239.2,237.03037830686338
99031,242.0,242.0,248.0,240.0,577400,BESS,2020-07-22,,,,239.0,238.13473868311596
8335,242.0,232.0,242.0,232.0,200,BESS,2020-07-23,,,,237.6,236.7714634202013
106466,230.0,232.0,242.0,230.0,438200,BESS,2020-07-24,,,,237.2,235.7111382157121
59462,232.0,240.0,242.0,232.0,1080100,BESS,2020-07-27,,,,236.8,236.66421861222054
42951,238.0,252.0,256.0,238.0,1299800,BESS,2020-07-28,,,,237.6,240.0721700317271
116319,262.0,256.0,262.0,246.0,1311200,BESS,2020-07-29,,,,238.4,243.6116878024544
85005,256.0,252.0,256.0,250.0,1841300,BESS,2020-07-30,,,,240.4,245.47575717968675
122905,252.0,262.0,262.0,250.0,1793500,BESS,2020-08-03,,,,243.6,249.14781113975636
6698,264.0,270.0,274.0,260.0,950400,BESS,2020-08-04,,,,248.0,253.78163088647716
57818,270.0,280.0,280.0,270.0,1385100,BESS,2020-08-05,,,,251.8,259.6079351339267
74307,280.0,282.0,296.0,280.0,1642600,BESS,2020-08-06,,,,255.8,264.5839495486096
46256,282.0,290.0,294.0,276.0,2264300,BESS,2020-08-07,,,,261.6,270.2319607600297
103987,290.0,302.0,302.0,290.0,2839700,BESS,2020-08-10,,,,268.6,277.2915250355787
57002,304.0,302.0,304.0,300.0,1072100,BESS,2020-08-11,,,,274.8,282.7822972498945
125368,302.0,308.0,308.0,300.0,2153600,BESS,2020-08-12,,,253.06666666666666,280.4,288.3862311943624
66883,308.0,310.0,316.0,308.0,1490200,BESS,2020-08-13,,,255.73333333333332,285.8,293.18929092894854
92454,312.0,316.0,318.0,312.0,1679300,BESS,2020-08-14,,,258.53333333333336,292.2,298.2583373891822
65239,316.0,316.0,318.0,314.0,927200,BESS,2020-08-18,,,260.8666666666667,297.6,302.200929080475
94095,316.0,320.0,320.0,316.0,1256100,BESS,2020-08-19,,,263.3333333333333,302.6,306.1562781737028
9983,320.0,316.0,324.0,316.0,1715300,BESS,2020-08-24,,,265.73333333333335,306.2,308.34377191287996
134414,316.0,330.0,330.0,316.0,606400,BESS,2020-08-25,,,268.6,311.0,313.1562670433511
108901,330.0,330.0,330.0,324.0,1241100,BESS,2020-08-26,,,271.4,315.0,316.8993188114953
3403,332.0,338.0,342.0,332.0,1297300,BESS,2020-08-27,,,274.8,318.6,321.58835907560746
83364,340.0,344.0,350.0,340.0,838700,BESS,2020-08-28,,,278.1333333333333,322.8,326.56872372547247
27283,344.0,344.0,348.0,342.0,974000,BESS,2020-08-31,,,281.46666666666664,326.4,330.44234067536746
34678,342.0,346.0,346.0,342.0,715000,BESS,2020-09-01,,,284.73333333333335,330.0,333.89959830306356
38816,346.0,350.0,358.0,346.0,941500,BESS,2020-09-02,,,288.6666666666667,333.4,337.4774653468272
72655,352.0,338.0,358.0,336.0,1663200,BESS,2020-09-03,,,292.26666666666665,335.6,337.5935841586434
12459,338.0,316.0,338.0,316.0,1722100,BESS,2020-09-04,,,295.26666666666665,335.2,332.7950099011671
26464,294.0,294.0,304.0,294.0,222200,BESS,2020-09-07,,,297.0,333.0,324.17389658979664
113013,274.0,274.0,282.0,274.0,120300,BESS,2020-09-08,,,298.06666666666666,327.4,313.02414179206403
126994,258.0,256.0,260.0,256.0,65000,BESS,2020-09-09,,,298.8666666666667,320.0,300.35211028271647
7512,254.0,256.0,276.0,250.0,219500,BESS,2020-09-10,,,299.6666666666667,311.8,290.49608577544615
17389,256.0,262.0,266.0,240.0,191900,BESS,2020-09-11,,,300.4,303.6,284.16362226979146
47071,264.0,264.0,300.0,260.0,2592700,BESS,2020-09-14,,,300.8,295.6,279.6828173209489
70178,262.0,262.0,262.0,246.0,514000,BESS,2020-09-15,,,301.0,287.2,275.753302360738
922,256.0,246.0,256.0,244.0,33100,BESS,2020-09-16,,,300.8,276.8,269.14145739168515
60276,244.0,230.0,244.0,230.0,65100,BESS,2020-09-17,,,299.73333333333335,266.0,260.4433557490884
66056,214.0,220.0,220.0,214.0,166800,BESS,2020-09-18,,,298.06666666666666,256.4,251.4559433604021
75948,226.0,220.0,226.0,206.0,610200,BESS,2020-09-21,,,296.06666666666666,249.0,244.4657337247572
104804,208.0,226.0,230.0,208.0,28300,BESS,2020-09-22,,,294.2,244.2,240.36223734147782
80901,214.0,224.0,228.0,214.0,2016000,BESS,2020-09-23,,,292.0,241.0,236.7261845989272
69351,224.0,218.0,230.0,212.0,1769400,BESS,2020-09-24,,,289.2,237.2,232.56481024361005
101506,222.0,222.0,224.0,218.0,1515200,BESS,2020-09-25,,,286.53333333333336,233.2,230.21707463391894
63588,234.0,216.0,234.0,216.0,2532600,BESS,2020-09-28,,,283.46666666666664,228.4,227.0577247152703
15738,216.0,214.0,216.0,208.0,3110100,BESS,2020-09-29,,,280.26666666666665,223.6,224.1560081118769
