,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120349,284.0,280.0,284.0,280.0,5430700,BFIN,2020-07-01,,,,,
127770,282.0,284.0,290.0,280.0,16343500,BFIN,2020-07-02,,,,,
101444,284.0,286.0,290.0,282.0,23048200,BFIN,2020-07-03,,,,,
84137,286.0,286.0,290.0,282.0,31241600,BFIN,2020-07-06,,,,,
33868,290.0,282.0,290.0,282.0,35908400,BFIN,2020-07-07,,,,,
47046,274.0,270.0,274.0,270.0,18244500,BFIN,2020-07-08,,,,,
113773,270.0,272.0,274.0,270.0,9374000,BFIN,2020-07-09,,,,,
23165,274.0,280.0,282.0,272.0,54012700,BFIN,2020-07-10,,,,,280.0
14929,284.0,276.0,286.0,276.0,51176200,BFIN,2020-07-13,,,,,279.1111111111111
31407,280.0,272.0,280.0,268.0,10179300,BFIN,2020-07-14,,,,278.8,277.53086419753083
89076,276.0,272.0,276.0,272.0,2787600,BFIN,2020-07-15,,,,278.0,276.3017832647462
21520,274.0,276.0,276.0,272.0,3409900,BFIN,2020-07-16,,,,277.2,276.2347203170248
103882,278.0,274.0,280.0,272.0,4859500,BFIN,2020-07-17,,,,276.0,275.73811580213044
77550,276.0,262.0,276.0,260.0,32805300,BFIN,2020-07-20,,,,273.6,272.6852011794348
102253,264.0,268.0,268.0,262.0,3981600,BFIN,2020-07-21,,,,272.2,271.6440453617826
93196,268.0,272.0,274.0,258.0,13836200,BFIN,2020-07-22,,,,272.4,271.7231463924976
8338,274.0,268.0,274.0,266.0,6932300,BFIN,2020-07-23,,,,272.0,270.8957805274981
100631,268.0,270.0,274.0,268.0,5295000,BFIN,2020-07-24,,,,271.0,270.6967181880541
54461,270.0,280.0,284.0,262.0,19000300,BFIN,2020-07-27,,,,271.4,272.7641141462643
41286,282.0,278.0,284.0,276.0,10175900,BFIN,2020-07-28,,,,272.0,273.92764433598336
110484,278.0,274.0,278.0,270.0,3795800,BFIN,2020-07-29,,,,272.2,273.9437233724315
80004,274.0,290.0,326.0,274.0,90593400,BFIN,2020-07-30,,,,273.6,277.5117848452245
117070,290.0,282.0,296.0,272.0,34504500,BFIN,2020-08-03,,,,274.4,278.50916599073014
6701,282.0,280.0,286.0,274.0,7724900,BFIN,2020-08-04,,,,276.2,278.8404624372346
52817,282.0,280.0,290.0,276.0,5304000,BFIN,2020-08-05,,,,277.4,279.0981374511824
69306,282.0,280.0,282.0,276.0,6386400,BFIN,2020-08-06,,,,278.2,279.29855135091964
42923,280.0,284.0,290.0,276.0,22839600,BFIN,2020-08-07,,,,279.8,280.3433177173819
98152,284.0,318.0,318.0,278.0,86418300,BFIN,2020-08-10,,,,284.6,288.71146933574147
52001,324.0,358.0,382.0,322.0,228651400,BFIN,2020-08-11,,,,292.4,304.1089205944656
119533,364.0,360.0,374.0,350.0,53177200,BFIN,2020-08-12,,,283.8,300.6,316.52916046236214
61882,360.0,340.0,360.0,336.0,41249700,BFIN,2020-08-13,,,285.8,307.2,321.7449025818372
86619,342.0,342.0,352.0,338.0,12680600,BFIN,2020-08-14,,,287.73333333333335,312.4,326.2460353414289
60238,344.0,360.0,368.0,344.0,30762500,BFIN,2020-08-18,,,290.2,320.2,333.74691637666695
88260,364.0,400.0,416.0,362.0,165083100,BFIN,2020-08-19,,,294.0,332.2,348.46982384851873
9986,402.0,416.0,432.0,380.0,83699400,BFIN,2020-08-24,,,298.46666666666664,345.8,363.476529659959
128579,420.0,418.0,428.0,410.0,41153700,BFIN,2020-08-25,,,303.4,359.6,375.5928564021903
103066,416.0,414.0,416.0,408.0,10750500,BFIN,2020-08-26,,,308.1333333333333,372.6,384.12777720170357
3406,418.0,430.0,436.0,408.0,59545500,BFIN,2020-08-27,,,313.1333333333333,383.8,394.3216044902139
78363,432.0,418.0,434.0,416.0,19994700,BFIN,2020-08-28,,,317.8666666666667,389.8,399.58347015905525
27286,418.0,410.0,436.0,390.0,36914500,BFIN,2020-08-31,,,322.46666666666664,394.8,401.8982545681541
34681,410.0,412.0,416.0,396.0,8558200,BFIN,2020-09-01,,,327.1333333333333,402.0,404.1430868863421
38819,418.0,416.0,418.0,408.0,7605700,BFIN,2020-09-02,,,331.8,409.4,406.7779564671549
67654,418.0,424.0,444.0,408.0,68450500,BFIN,2020-09-03,,,336.8,415.8,410.6050772522316
12462,424.0,414.0,424.0,408.0,12433700,BFIN,2020-09-04,,,341.8666666666667,417.2,411.35950452951346
26467,420.0,410.0,422.0,408.0,9631900,BFIN,2020-09-07,,,346.6,416.6,411.0573924118438
107178,414.0,410.0,414.0,408.0,4949800,BFIN,2020-09-08,,,351.2,415.8,410.822416320323
121159,408.0,392.0,410.0,386.0,27026600,BFIN,2020-09-09,,,355.3333333333333,413.6,406.639657138029
7515,376.0,370.0,380.0,366.0,41875500,BFIN,2020-09-10,,,358.6666666666667,407.6,398.4975111073559
17392,356.0,382.0,388.0,350.0,9933700,BFIN,2020-09-11,,,362.06666666666666,404.0,394.83139752794347
43738,382.0,390.0,396.0,382.0,5062200,BFIN,2020-09-14,,,365.8,402.0,393.7577536328449
65177,390.0,382.0,400.0,382.0,3077000,BFIN,2020-09-15,,,369.4,399.0,391.1449194922127
