,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120350,50.0,50.0,50.0,50.0,14000,BGTG,2020-07-01,,,,,
127771,50.0,50.0,50.0,50.0,3400,BGTG,2020-07-02,,,,,
101445,50.0,50.0,50.0,50.0,79700,BGTG,2020-07-03,,,,,
84138,51.0,53.0,59.0,50.0,14754300,BGTG,2020-07-06,,,,,
33869,53.0,57.0,64.0,53.0,27292200,BGTG,2020-07-07,,,,,
47047,57.0,55.0,58.0,55.0,3815300,BGTG,2020-07-08,,,,,
113774,52.0,55.0,57.0,52.0,2226700,BGTG,2020-07-09,,,,,
23166,52.0,52.0,55.0,52.0,2257900,BGTG,2020-07-10,,,,,52.75
14930,50.0,52.0,54.0,50.0,4523100,BGTG,2020-07-13,,,,,52.583333333333336
31408,50.0,52.0,53.0,50.0,458200,BGTG,2020-07-14,,,,52.6,52.4537037037037
89077,51.0,53.0,55.0,51.0,2338100,BGTG,2020-07-15,,,,52.9,52.575102880658434
21521,52.0,52.0,54.0,52.0,579100,BGTG,2020-07-16,,,,53.1,52.447302240512116
103883,51.0,53.0,54.0,51.0,889300,BGTG,2020-07-17,,,,53.4,52.57012396484276
77551,50.0,51.0,53.0,50.0,4168900,BGTG,2020-07-20,,,,53.2,52.22120752821103
102254,52.0,52.0,53.0,51.0,1164300,BGTG,2020-07-21,,,,52.7,52.17205029971969
93197,53.0,52.0,53.0,50.0,1670100,BGTG,2020-07-22,,,,52.4,52.13381689978198
8339,52.0,51.0,52.0,50.0,1249800,BGTG,2020-07-23,,,,52.0,51.88185758871932
100632,51.0,51.0,52.0,50.0,3624500,BGTG,2020-07-24,,,,51.9,51.68588923567058
54462,51.0,50.0,51.0,50.0,1018700,BGTG,2020-07-27,,,,51.7,51.311247183299336
41287,51.0,50.0,56.0,50.0,17031500,BGTG,2020-07-28,,,,51.5,51.01985892034393
110485,51.0,51.0,52.0,50.0,2756800,BGTG,2020-07-29,,,,51.3,51.01544582693417
80005,51.0,50.0,51.0,50.0,1090000,BGTG,2020-07-30,,,,51.1,50.789791198726576
117071,50.0,50.0,51.0,50.0,3465800,BGTG,2020-08-03,,,,50.8,50.614282043454004
6702,50.0,51.0,51.0,50.0,225100,BGTG,2020-08-04,,,,50.8,50.69999714490867
52818,50.0,51.0,51.0,50.0,554900,BGTG,2020-08-05,,,,50.7,50.766664446040075
69307,51.0,50.0,51.0,50.0,569100,BGTG,2020-08-06,,,,50.5,50.59629456914228
42924,51.0,50.0,52.0,50.0,2556400,BGTG,2020-08-07,,,,50.4,50.46378466488844
98153,51.0,51.0,51.0,50.0,1518700,BGTG,2020-08-10,,,,50.4,50.58294362824657
52002,51.0,51.0,52.0,51.0,805900,BGTG,2020-08-11,,,,50.5,50.675622821969554
119534,51.0,51.0,51.0,50.0,534500,BGTG,2020-08-12,,,51.56666666666667,50.6,50.747706639309655
61883,51.0,50.0,52.0,50.0,803600,BGTG,2020-08-13,,,51.56666666666667,50.5,50.581549608351956
86620,51.0,50.0,51.0,50.0,700400,BGTG,2020-08-14,,,51.56666666666667,50.5,50.45231636205152
60239,51.0,51.0,52.0,50.0,983100,BGTG,2020-08-18,,,51.6,50.6,50.57402383715118
88261,51.0,51.0,52.0,50.0,1395000,BGTG,2020-08-19,,,51.53333333333333,50.6,50.66868520667314
9987,50.0,52.0,53.0,50.0,2084000,BGTG,2020-08-24,,,51.36666666666667,50.7,50.964532938523554
128580,52.0,52.0,53.0,51.0,2130700,BGTG,2020-08-25,,,51.266666666666666,50.9,51.19463672996277
103067,52.0,52.0,52.0,51.0,1475400,BGTG,2020-08-26,,,51.166666666666664,51.1,51.373606345526596
3407,50.0,51.0,52.0,50.0,1349400,BGTG,2020-08-27,,,51.13333333333333,51.1,51.290582713187355
78364,51.0,52.0,52.0,51.0,1102700,BGTG,2020-08-28,,,51.13333333333333,51.2,51.44823099914572
27287,52.0,50.0,52.0,50.0,3247100,BGTG,2020-08-31,,,51.06666666666667,51.1,51.12640188822445
34682,50.0,51.0,51.0,50.0,100000,BGTG,2020-09-01,,,51.0,51.2,51.09831257973013
38820,51.0,51.0,51.0,50.0,209900,BGTG,2020-09-02,,,50.96666666666667,51.3,51.0764653397901
67655,51.0,51.0,51.0,50.0,4220700,BGTG,2020-09-03,,,50.9,51.3,51.05947304205896
12463,50.0,51.0,51.0,50.0,749200,BGTG,2020-09-04,,,50.9,51.3,51.046256810490306
26468,51.0,50.0,51.0,50.0,1038800,BGTG,2020-09-07,,,50.833333333333336,51.1,50.81375529704802
107179,50.0,50.0,50.0,50.0,160600,BGTG,2020-09-08,,,50.766666666666666,50.9,50.632920786592905
121160,50.0,50.0,50.0,50.0,56400,BGTG,2020-09-09,,,50.733333333333334,50.7,50.49227172290559
7516,50.0,50.0,50.0,50.0,87100,BGTG,2020-09-10,,,50.7,50.6,50.38287800670435
17393,50.0,50.0,50.0,50.0,59300,BGTG,2020-09-11,,,50.7,50.4,50.2977940052145
43739,50.0,50.0,50.0,50.0,182300,BGTG,2020-09-14,,,50.7,50.4,50.23161755961128
65178,50.0,50.0,50.0,50.0,52100,BGTG,2020-09-15,,,50.666666666666664,50.3,50.18014699080877
926,50.0,50.0,50.0,50.0,633600,BGTG,2020-09-16,,,50.666666666666664,50.2,50.1401143261846
55276,50.0,50.0,50.0,50.0,1600,BGTG,2020-09-17,,,50.666666666666664,50.1,50.10897780925469
61056,50.0,50.0,50.0,50.0,153800,BGTG,2020-09-18,,,50.63333333333333,50.0,50.0847605183092
70948,50.0,50.0,50.0,50.0,700,BGTG,2020-09-21,,,50.6,50.0,50.065924847573825
98970,50.0,50.0,50.0,50.0,100,BGTG,2020-09-22,,,50.6,50.0,50.05127488144631
75901,50.0,50.0,50.0,50.0,600,BGTG,2020-09-23,,,50.6,50.0,50.03988046334713
64351,50.0,50.0,50.0,50.0,600,BGTG,2020-09-24,,,50.56666666666667,50.0,50.03101813815888
95672,50.0,50.0,50.0,50.0,100500,BGTG,2020-09-25,,,50.53333333333333,50.0,50.02412521856802
58588,50.0,50.0,50.0,50.0,15500,BGTG,2020-09-28,,,50.5,50.0,50.018764058886234
15742,50.0,50.0,50.0,50.0,300,BGTG,2020-09-29,,,50.5,50.0,50.01459426802263
83313,50.0,50.0,50.0,50.0,2000,BGTG,2020-09-30,,,50.5,50.0,50.01135109735093
