,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123688,50.0,50.0,50.0,50.0,312800,BHIT,2020-07-01,,,,,
131109,50.0,50.0,50.0,50.0,139800,BHIT,2020-07-02,,,,,
104783,50.0,50.0,50.0,50.0,31800,BHIT,2020-07-03,,,,,
86642,50.0,50.0,50.0,50.0,286800,BHIT,2020-07-06,,,,,
33871,50.0,50.0,50.0,50.0,79200,BHIT,2020-07-07,,,,,
48717,50.0,50.0,50.0,50.0,61800,BHIT,2020-07-08,,,,,
117112,50.0,50.0,50.0,50.0,22600,BHIT,2020-07-09,,,,,
23168,50.0,50.0,50.0,50.0,53700,BHIT,2020-07-10,,,,,50.0
14932,50.0,50.0,50.0,50.0,28300,BHIT,2020-07-13,,,,,50.0
31410,50.0,50.0,50.0,50.0,141000,BHIT,2020-07-14,,,,50.0,50.0
92415,50.0,50.0,50.0,50.0,21600,BHIT,2020-07-15,,,,50.0,50.0
21523,50.0,50.0,50.0,50.0,135200,BHIT,2020-07-16,,,,50.0,50.0
107221,50.0,50.0,50.0,50.0,21800,BHIT,2020-07-17,,,,50.0,50.0
80055,50.0,50.0,50.0,50.0,34400,BHIT,2020-07-20,,,,50.0,50.0
105592,50.0,50.0,50.0,50.0,18200,BHIT,2020-07-21,,,,50.0,50.0
96535,50.0,50.0,50.0,50.0,254800,BHIT,2020-07-22,,,,50.0,50.0
8341,50.0,50.0,50.0,50.0,95600,BHIT,2020-07-23,,,,50.0,50.0
103970,50.0,50.0,50.0,50.0,11400,BHIT,2020-07-24,,,,50.0,50.0
56966,50.0,50.0,50.0,50.0,42300,BHIT,2020-07-27,,,,50.0,50.0
41289,50.0,50.0,50.0,50.0,143700,BHIT,2020-07-28,,,,50.0,50.0
113823,50.0,50.0,50.0,50.0,2000,BHIT,2020-07-29,,,,50.0,50.0
82509,50.0,50.0,50.0,50.0,177600,BHIT,2020-07-30,,,,50.0,50.0
120409,50.0,50.0,50.0,50.0,80100,BHIT,2020-08-03,,,,50.0,50.0
6704,50.0,50.0,50.0,50.0,14700,BHIT,2020-08-04,,,,50.0,50.0
55322,50.0,50.0,50.0,50.0,48700,BHIT,2020-08-05,,,,50.0,50.0
71811,50.0,50.0,50.0,50.0,1600,BHIT,2020-08-06,,,,50.0,50.0
43760,50.0,50.0,50.0,50.0,31300,BHIT,2020-08-07,,,,50.0,50.0
101491,50.0,50.0,50.0,50.0,441900,BHIT,2020-08-10,,,,50.0,50.0
54506,50.0,50.0,50.0,50.0,935600,BHIT,2020-08-11,,,,50.0,50.0
122872,50.0,50.0,50.0,50.0,2660600,BHIT,2020-08-12,,,50.0,50.0,50.0
64387,50.0,50.0,50.0,50.0,182800,BHIT,2020-08-13,,,50.0,50.0,50.0
89958,50.0,50.0,50.0,50.0,27900,BHIT,2020-08-14,,,50.0,50.0,50.0
62743,50.0,50.0,50.0,50.0,1784800,BHIT,2020-08-18,,,50.0,50.0,50.0
91599,50.0,50.0,50.0,50.0,1988600,BHIT,2020-08-19,,,50.0,50.0,50.0
9989,50.0,50.0,50.0,50.0,710600,BHIT,2020-08-24,,,50.0,50.0,50.0
131918,50.0,50.0,50.0,50.0,273400,BHIT,2020-08-25,,,50.0,50.0,50.0
106405,50.0,50.0,50.0,50.0,53100,BHIT,2020-08-26,,,50.0,50.0,50.0
3409,50.0,50.0,50.0,50.0,5800,BHIT,2020-08-27,,,50.0,50.0,50.0
80868,50.0,50.0,50.0,50.0,6500,BHIT,2020-08-28,,,50.0,50.0,50.0
27289,50.0,50.0,50.0,50.0,5100,BHIT,2020-08-31,,,50.0,50.0,50.0
34684,50.0,50.0,50.0,50.0,3900,BHIT,2020-09-01,,,50.0,50.0,50.0
38822,50.0,50.0,50.0,50.0,122900,BHIT,2020-09-02,,,50.0,50.0,50.0
70159,50.0,50.0,50.0,50.0,207200,BHIT,2020-09-03,,,50.0,50.0,50.0
12465,50.0,50.0,50.0,50.0,14400,BHIT,2020-09-04,,,50.0,50.0,50.0
26470,50.0,50.0,50.0,50.0,1064200,BHIT,2020-09-07,,,50.0,50.0,50.0
110517,50.0,50.0,50.0,50.0,1012100,BHIT,2020-09-08,,,50.0,50.0,50.0
124498,50.0,50.0,50.0,50.0,800,BHIT,2020-09-09,,,50.0,50.0,50.0
7518,50.0,50.0,50.0,50.0,300,BHIT,2020-09-10,,,50.0,50.0,50.0
17395,50.0,50.0,50.0,50.0,700,BHIT,2020-09-11,,,50.0,50.0,50.0
44575,50.0,50.0,50.0,50.0,30800,BHIT,2020-09-14,,,50.0,50.0,50.0
67682,50.0,50.0,50.0,50.0,11500,BHIT,2020-09-15,,,50.0,50.0,50.0
928,50.0,50.0,50.0,50.0,21100,BHIT,2020-09-16,,,50.0,50.0,50.0
57780,50.0,50.0,50.0,50.0,1600,BHIT,2020-09-17,,,50.0,50.0,50.0
63560,50.0,50.0,50.0,50.0,1400,BHIT,2020-09-18,,,50.0,50.0,50.0
73452,50.0,50.0,50.0,50.0,1600,BHIT,2020-09-21,,,50.0,50.0,50.0
102308,50.0,50.0,50.0,50.0,26400,BHIT,2020-09-22,,,50.0,50.0,50.0
78405,50.0,50.0,50.0,50.0,1100,BHIT,2020-09-23,,,50.0,50.0,50.0
66855,50.0,50.0,50.0,50.0,1800,BHIT,2020-09-24,,,50.0,50.0,50.0
99010,50.0,50.0,50.0,50.0,10600,BHIT,2020-09-25,,,50.0,50.0,50.0
61092,50.0,50.0,50.0,50.0,3900,BHIT,2020-09-28,,,50.0,50.0,50.0
15744,50.0,50.0,50.0,50.0,460300,BHIT,2020-09-29,,,50.0,50.0,50.0
85817,50.0,50.0,50.0,50.0,1300,BHIT,2020-09-30,,,50.0,50.0,50.0
94051,50.0,50.0,50.0,50.0,19800,BHIT,2020-10-01,,,50.0,50.0,50.0
69335,50.0,50.0,50.0,50.0,22700,BHIT,2020-10-02,,,50.0,50.0,50.0
11641,50.0,50.0,50.0,50.0,24600,BHIT,2020-10-05,,,50.0,50.0,50.0
122048,50.0,50.0,50.0,50.0,88500,BHIT,2020-10-06,,,50.0,50.0,50.0
20699,50.0,50.0,50.0,50.0,283400,BHIT,2020-10-07,,,50.0,50.0,50.0
19043,50.0,50.0,50.0,50.0,12900,BHIT,2020-10-08,,,50.0,50.0,50.0
112174,50.0,50.0,50.0,50.0,185600,BHIT,2020-10-09,,,50.0,50.0,50.0
28107,50.0,50.0,50.0,50.0,74600,BHIT,2020-10-12,,,50.0,50.0,50.0
77580,50.0,50.0,50.0,50.0,147100,BHIT,2020-10-13,,,50.0,50.0,50.0
108863,50.0,50.0,50.0,50.0,42100,BHIT,2020-10-14,,,50.0,50.0,50.0
14108,50.0,50.0,50.0,50.0,124500,BHIT,2020-10-15,,,50.0,50.0,50.0
5056,50.0,50.0,50.0,50.0,4300,BHIT,2020-10-16,,,50.0,50.0,50.0
103,50.0,50.0,50.0,50.0,9500,BHIT,2020-10-19,,,50.0,50.0,50.0
126979,50.0,50.0,50.0,50.0,1008200,BHIT,2020-10-20,,,50.0,50.0,50.0
75930,50.0,50.0,50.0,50.0,7600,BHIT,2020-10-21,,,50.0,50.0,50.0
29762,50.0,50.0,50.0,50.0,12500,BHIT,2020-10-22,,,50.0,50.0,50.0
32222,50.0,50.0,50.0,50.0,11700,BHIT,2020-10-23,,,50.0,50.0,50.0
58608,50.0,50.0,50.0,50.0,16100,BHIT,2020-10-26,,,50.0,50.0,50.0
53682,50.0,50.0,51.0,50.0,253449800,BHIT,2020-10-27,,,50.0,50.0,50.0
90775,50.0,51.0,53.0,50.0,268457100,BHIT,2020-11-02,,,50.03333333333333,50.1,50.22222222222222
