,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126192,50.0,50.0,50.0,50.0,20200,BIMA,2020-07-01,,,,,
133613,50.0,50.0,50.0,50.0,0,BIMA,2020-07-02,,,,,
107287,50.0,50.0,50.0,50.0,0,BIMA,2020-07-03,,,,,
89146,50.0,50.0,50.0,50.0,0,BIMA,2020-07-06,,,,,
33873,50.0,50.0,50.0,50.0,100,BIMA,2020-07-07,,,,,
51221,50.0,50.0,50.0,50.0,0,BIMA,2020-07-08,,,,,
119616,50.0,50.0,50.0,50.0,500,BIMA,2020-07-09,,,,,
23170,50.0,50.0,50.0,50.0,100,BIMA,2020-07-10,,,,,50.0
14934,50.0,50.0,50.0,50.0,0,BIMA,2020-07-13,,,,,50.0
31412,50.0,50.0,50.0,50.0,100,BIMA,2020-07-14,,,,50.0,50.0
94919,50.0,50.0,50.0,50.0,0,BIMA,2020-07-15,,,,50.0,50.0
21525,50.0,50.0,50.0,50.0,0,BIMA,2020-07-16,,,,50.0,50.0
109725,50.0,50.0,50.0,50.0,0,BIMA,2020-07-17,,,,50.0,50.0
82559,50.0,50.0,50.0,50.0,100,BIMA,2020-07-20,,,,50.0,50.0
108096,50.0,50.0,50.0,50.0,200,BIMA,2020-07-21,,,,50.0,50.0
99039,50.0,50.0,50.0,50.0,0,BIMA,2020-07-22,,,,50.0,50.0
8343,50.0,50.0,50.0,50.0,100,BIMA,2020-07-23,,,,50.0,50.0
106474,50.0,50.0,50.0,50.0,200,BIMA,2020-07-24,,,,50.0,50.0
59470,50.0,50.0,50.0,50.0,100,BIMA,2020-07-27,,,,50.0,50.0
42959,50.0,50.0,50.0,50.0,0,BIMA,2020-07-28,,,,50.0,50.0
116327,50.0,50.0,50.0,50.0,0,BIMA,2020-07-29,,,,50.0,50.0
85013,50.0,50.0,50.0,50.0,100,BIMA,2020-07-30,,,,50.0,50.0
122913,50.0,50.0,50.0,50.0,0,BIMA,2020-08-03,,,,50.0,50.0
6706,50.0,50.0,50.0,50.0,0,BIMA,2020-08-04,,,,50.0,50.0
57826,50.0,50.0,50.0,50.0,0,BIMA,2020-08-05,,,,50.0,50.0
74315,50.0,50.0,50.0,50.0,100,BIMA,2020-08-06,,,,50.0,50.0
46264,50.0,50.0,50.0,50.0,1100,BIMA,2020-08-07,,,,50.0,50.0
103995,50.0,50.0,50.0,50.0,0,BIMA,2020-08-10,,,,50.0,50.0
57010,50.0,50.0,50.0,50.0,0,BIMA,2020-08-11,,,,50.0,50.0
125376,50.0,50.0,50.0,50.0,2700,BIMA,2020-08-12,,,50.0,50.0,50.0
66891,50.0,50.0,50.0,50.0,1000,BIMA,2020-08-13,,,50.0,50.0,50.0
92462,50.0,50.0,50.0,50.0,200,BIMA,2020-08-14,,,50.0,50.0,50.0
65247,50.0,50.0,50.0,50.0,0,BIMA,2020-08-18,,,50.0,50.0,50.0
94103,50.0,50.0,50.0,50.0,0,BIMA,2020-08-19,,,50.0,50.0,50.0
9991,50.0,50.0,50.0,50.0,217600,BIMA,2020-08-24,,,50.0,50.0,50.0
134422,50.0,50.0,50.0,50.0,900,BIMA,2020-08-25,,,50.0,50.0,50.0
108909,50.0,50.0,50.0,50.0,300,BIMA,2020-08-26,,,50.0,50.0,50.0
3411,50.0,50.0,50.0,50.0,0,BIMA,2020-08-27,,,50.0,50.0,50.0
83372,50.0,50.0,50.0,50.0,800,BIMA,2020-08-28,,,50.0,50.0,50.0
27291,50.0,50.0,50.0,50.0,1100,BIMA,2020-08-31,,,50.0,50.0,50.0
34686,50.0,50.0,50.0,50.0,0,BIMA,2020-09-01,,,50.0,50.0,50.0
38824,50.0,50.0,50.0,50.0,500,BIMA,2020-09-02,,,50.0,50.0,50.0
72663,50.0,50.0,50.0,50.0,2300,BIMA,2020-09-03,,,50.0,50.0,50.0
12467,50.0,50.0,50.0,50.0,0,BIMA,2020-09-04,,,50.0,50.0,50.0
26472,50.0,50.0,50.0,50.0,0,BIMA,2020-09-07,,,50.0,50.0,50.0
113021,50.0,50.0,50.0,50.0,0,BIMA,2020-09-08,,,50.0,50.0,50.0
127002,50.0,50.0,50.0,50.0,1700,BIMA,2020-09-09,,,50.0,50.0,50.0
7520,50.0,50.0,50.0,50.0,3400,BIMA,2020-09-10,,,50.0,50.0,50.0
17397,50.0,50.0,50.0,50.0,0,BIMA,2020-09-11,,,50.0,50.0,50.0
47079,50.0,50.0,50.0,50.0,1000,BIMA,2020-09-14,,,50.0,50.0,50.0
70186,50.0,50.0,50.0,50.0,100,BIMA,2020-09-15,,,50.0,50.0,50.0
930,50.0,50.0,50.0,50.0,100,BIMA,2020-09-16,,,50.0,50.0,50.0
60284,50.0,50.0,50.0,50.0,100,BIMA,2020-09-17,,,50.0,50.0,50.0
66064,50.0,50.0,50.0,50.0,0,BIMA,2020-09-18,,,50.0,50.0,50.0
75956,50.0,50.0,50.0,50.0,100,BIMA,2020-09-21,,,50.0,50.0,50.0
104812,50.0,50.0,50.0,50.0,1600,BIMA,2020-09-22,,,50.0,50.0,50.0
80909,50.0,50.0,50.0,50.0,0,BIMA,2020-09-23,,,50.0,50.0,50.0
69359,50.0,50.0,50.0,50.0,100,BIMA,2020-09-24,,,50.0,50.0,50.0
101514,50.0,50.0,50.0,50.0,0,BIMA,2020-09-25,,,50.0,50.0,50.0
63596,50.0,50.0,50.0,50.0,0,BIMA,2020-09-28,,,50.0,50.0,50.0
15746,50.0,50.0,50.0,50.0,2000,BIMA,2020-09-29,,,50.0,50.0,50.0
88321,50.0,50.0,50.0,50.0,0,BIMA,2020-09-30,,,50.0,50.0,50.0
96555,50.0,50.0,50.0,50.0,3800,BIMA,2020-10-01,,,50.0,50.0,50.0
71839,50.0,50.0,50.0,50.0,0,BIMA,2020-10-02,,,50.0,50.0,50.0
11643,50.0,50.0,50.0,50.0,500,BIMA,2020-10-05,,,50.0,50.0,50.0
124552,50.0,50.0,50.0,50.0,0,BIMA,2020-10-06,,,50.0,50.0,50.0
20701,50.0,50.0,50.0,50.0,13500,BIMA,2020-10-07,,,50.0,50.0,50.0
19045,50.0,50.0,50.0,50.0,9900,BIMA,2020-10-08,,,50.0,50.0,50.0
114678,50.0,50.0,50.0,50.0,0,BIMA,2020-10-09,,,50.0,50.0,50.0
28109,50.0,50.0,50.0,50.0,600,BIMA,2020-10-12,,,50.0,50.0,50.0
80084,50.0,50.0,50.0,50.0,900,BIMA,2020-10-13,,,50.0,50.0,50.0
111367,50.0,50.0,50.0,50.0,0,BIMA,2020-10-14,,,50.0,50.0,50.0
14110,50.0,50.0,50.0,50.0,1000,BIMA,2020-10-15,,,50.0,50.0,50.0
5058,50.0,50.0,50.0,50.0,0,BIMA,2020-10-16,,,50.0,50.0,50.0
105,50.0,50.0,50.0,50.0,0,BIMA,2020-10-19,,,50.0,50.0,50.0
129483,50.0,50.0,50.0,50.0,100,BIMA,2020-10-20,,,50.0,50.0,50.0
78434,50.0,50.0,50.0,50.0,1000,BIMA,2020-10-21,,,50.0,50.0,50.0
29764,50.0,50.0,50.0,50.0,0,BIMA,2020-10-22,,,50.0,50.0,50.0
32224,50.0,50.0,50.0,50.0,100,BIMA,2020-10-23,,,50.0,50.0,50.0
61112,50.0,50.0,50.0,50.0,600,BIMA,2020-10-26,,,50.0,50.0,50.0
56186,50.0,50.0,50.0,50.0,0,BIMA,2020-10-27,,,50.0,50.0,50.0
93279,50.0,50.0,50.0,50.0,600,BIMA,2020-11-02,,,50.0,50.0,50.0
87496,50.0,50.0,50.0,50.0,200,BIMA,2020-11-03,,,50.0,50.0,50.0
5883,50.0,50.0,50.0,50.0,0,BIMA,2020-11-04,,,50.0,50.0,50.0
18221,50.0,50.0,51.0,50.0,346300,BIMA,2020-11-05,,,50.0,50.0,50.0
44607,50.0,50.0,50.0,50.0,200,BIMA,2020-11-06,,,50.0,50.0,50.0
95731,50.0,50.0,50.0,50.0,100,BIMA,2020-11-09,,,50.0,50.0,50.0
1758,50.0,50.0,50.0,50.0,900,BIMA,2020-11-10,,,50.0,50.0,50.0
23982,50.0,50.0,50.0,50.0,0,BIMA,2020-11-11,,,50.0,50.0,50.0
81736,50.0,50.0,50.0,50.0,10700,BIMA,2020-11-12,,,50.0,50.0,50.0
79259,50.0,50.0,50.0,50.0,0,BIMA,2020-11-13,,,50.0,50.0,50.0
77609,50.0,50.0,50.0,50.0,400,BIMA,2020-11-16,,,50.0,50.0,50.0
40476,50.0,50.0,50.0,50.0,0,BIMA,2020-11-17,,,50.0,50.0,50.0
16572,50.0,50.0,50.0,50.0,100,BIMA,2020-11-18,,,50.0,50.0,50.0
71014,50.0,50.0,50.0,50.0,400,BIMA,2020-11-19,,,50.0,50.0,50.0
84189,51.0,50.0,51.0,50.0,1700,BIMA,2020-11-20,,,50.0,50.0,50.0
75131,50.0,50.0,50.0,50.0,202000,BIMA,2020-11-23,,,50.0,50.0,50.0
117141,50.0,50.0,50.0,50.0,600,BIMA,2020-11-24,,,50.0,50.0,50.0
123727,50.0,50.0,50.0,50.0,200,BIMA,2020-11-25,,,50.0,50.0,50.0
62771,50.0,50.0,50.0,50.0,6300,BIMA,2020-11-26,50.0,,50.0,50.0,50.0
13285,50.0,50.0,50.0,50.0,4200,BIMA,2020-11-27,50.0,,50.0,50.0,50.0
122089,50.0,50.0,50.0,50.0,3400,BIMA,2020-11-30,50.0,,50.0,50.0,50.0
118792,50.0,50.0,50.0,50.0,1700,BIMA,2020-12-01,50.0,,50.0,50.0,50.0
121264,50.0,50.0,50.0,50.0,2700,BIMA,2020-12-02,50.0,,50.0,50.0,50.0
38000,50.0,50.0,50.0,50.0,200,BIMA,2020-12-03,50.0,,50.0,50.0,50.0
30589,50.0,50.0,50.0,50.0,500,BIMA,2020-12-04,50.0,,50.0,50.0,50.0
49569,50.0,50.0,50.0,50.0,200,BIMA,2020-12-07,50.0,,50.0,50.0,50.0
97381,50.0,50.0,50.0,50.0,3800,BIMA,2020-12-08,50.0,,50.0,50.0,50.0
131137,50.0,50.0,50.0,50.0,23300,BIMA,2020-12-10,50.0,,50.0,50.0,50.0
41302,50.0,50.0,50.0,50.0,27000,BIMA,2020-12-11,50.0,,50.0,50.0,50.0
76785,50.0,50.0,50.0,50.0,8100,BIMA,2020-12-14,50.0,,50.0,50.0,50.0
115504,50.0,50.0,50.0,50.0,300,BIMA,2020-12-15,50.0,,50.0,50.0,50.0
132791,50.0,50.0,50.0,50.0,37700,BIMA,2020-12-16,50.0,,50.0,50.0,50.0
67709,50.0,50.0,50.0,50.0,6900,BIMA,2020-12-17,50.0,,50.0,50.0,50.0
103171,50.0,50.0,50.0,50.0,5000,BIMA,2020-12-18,50.0,,50.0,50.0,50.0
117967,50.0,50.0,50.0,50.0,300,BIMA,2020-12-21,50.0,,50.0,50.0,50.0
33050,50.0,50.0,50.0,50.0,300,BIMA,2020-12-22,50.0,,50.0,50.0,50.0
100689,50.0,50.0,50.0,50.0,2200,BIMA,2020-12-23,50.0,,50.0,50.0,50.0
68534,50.0,50.0,50.0,50.0,300,BIMA,2020-12-28,50.0,,50.0,50.0,50.0
64423,50.0,50.0,50.0,50.0,0,BIMA,2020-12-29,50.0,,50.0,50.0,50.0
131963,50.0,50.0,50.0,50.0,300,BIMA,2020-12-30,50.0,,50.0,50.0,50.0
4230,50.0,50.0,50.0,50.0,300,BIMA,2021-01-04,50.0,,50.0,50.0,50.0
112193,50.0,50.0,50.0,50.0,100,BIMA,2021-01-05,50.0,,50.0,50.0,50.0
128654,50.0,50.0,50.0,50.0,0,BIMA,2021-01-06,50.0,,50.0,50.0,50.0
28935,50.0,50.0,50.0,50.0,400,BIMA,2021-01-07,50.0,,50.0,50.0,50.0
50393,50.0,50.0,50.0,50.0,20100,BIMA,2021-01-08,50.0,,50.0,50.0,50.0
127824,50.0,50.0,50.0,50.0,3000,BIMA,2021-01-11,50.0,,50.0,50.0,50.0
52868,50.0,50.0,50.0,50.0,100,BIMA,2021-01-12,50.0,,50.0,50.0,50.0
53697,50.0,50.0,50.0,50.0,0,BIMA,2021-01-13,50.0,,50.0,50.0,50.0
130308,50.0,50.0,50.0,50.0,8100,BIMA,2021-01-14,50.0,,50.0,50.0,50.0
35504,50.0,50.0,50.0,50.0,2800,BIMA,2021-01-15,50.0,,50.0,50.0,50.0
36334,50.0,50.0,50.0,50.0,10400,BIMA,2021-01-18,50.0,,50.0,50.0,50.0
110537,50.0,50.0,50.0,50.0,10100,BIMA,2021-01-19,50.0,,50.0,50.0,50.0
54526,50.0,50.0,50.0,50.0,2800,BIMA,2021-01-20,50.0,,50.0,50.0,50.0
55356,50.0,50.0,50.0,50.0,0,BIMA,2021-01-21,50.0,,50.0,50.0,50.0
2582,50.0,50.0,50.0,50.0,500,BIMA,2021-01-22,50.0,,50.0,50.0,50.0
102340,50.0,50.0,50.0,50.0,1300,BIMA,2021-01-25,50.0,,50.0,50.0,50.0
48739,50.0,50.0,50.0,50.0,1400,BIMA,2021-01-26,50.0,,50.0,50.0,50.0
19871,50.0,50.0,50.0,50.0,100,BIMA,2021-01-27,50.0,,50.0,50.0,50.0
24807,50.0,50.0,50.0,50.0,11300,BIMA,2021-01-28,50.0,,50.0,50.0,50.0
58641,50.0,50.0,50.0,50.0,0,BIMA,2021-01-29,50.0,,50.0,50.0,50.0
98209,50.0,50.0,50.0,50.0,300,BIMA,2021-02-01,50.0,,50.0,50.0,50.0
25640,50.0,50.0,50.0,50.0,200,BIMA,2021-02-02,50.0,,50.0,50.0,50.0
9160,50.0,50.0,50.0,50.0,0,BIMA,2021-02-03,50.0,,50.0,50.0,50.0
120432,50.0,50.0,50.0,50.0,200,BIMA,2021-02-04,50.0,,50.0,50.0,50.0
10811,50.0,50.0,50.0,50.0,4100,BIMA,2021-02-05,50.0,,50.0,50.0,50.0
37167,50.0,50.0,50.0,50.0,20500,BIMA,2021-02-08,50.0,,50.0,50.0,50.0
90796,50.0,50.0,50.0,50.0,100,BIMA,2021-02-09,50.0,,50.0,50.0,50.0
89960,50.0,50.0,50.0,50.0,200,BIMA,2021-02-10,50.0,,50.0,50.0,50.0
86663,50.0,50.0,50.0,50.0,200,BIMA,2021-02-11,50.0,,50.0,50.0,50.0
113845,50.0,50.0,50.0,50.0,7100,BIMA,2021-02-15,50.0,,50.0,50.0,50.0
105642,50.0,50.0,50.0,50.0,100,BIMA,2021-02-16,50.0,,50.0,50.0,50.0
99855,50.0,50.0,50.0,50.0,800,BIMA,2021-02-17,50.0,,50.0,50.0,50.0
73483,50.0,50.0,50.0,50.0,0,BIMA,2021-02-18,50.0,,50.0,50.0,50.0
61939,50.0,50.0,50.0,50.0,20100,BIMA,2021-02-19,50.0,,50.0,50.0,50.0
85829,50.0,50.0,50.0,50.0,0,BIMA,2021-02-22,50.0,,50.0,50.0,50.0
22339,50.0,50.0,50.0,50.0,0,BIMA,2021-02-23,50.0,,50.0,50.0,50.0
45433,50.0,50.0,67.0,50.0,5087900,BIMA,2021-02-24,50.0,,50.0,50.0,50.0
52036,50.0,50.0,50.0,50.0,81100,BIMA,2021-02-25,50.0,,50.0,50.0,50.0
91631,50.0,50.0,50.0,50.0,5700,BIMA,2021-02-26,50.0,,50.0,50.0,50.0
47907,50.0,50.0,50.0,50.0,1500,BIMA,2021-03-01,50.0,,50.0,50.0,50.0
42128,50.0,50.0,50.0,50.0,20500,BIMA,2021-03-02,50.0,,50.0,50.0,50.0
43775,50.0,50.0,50.0,50.0,200,BIMA,2021-03-03,50.0,,50.0,50.0,50.0
39644,50.0,50.0,50.0,50.0,1000,BIMA,2021-03-04,50.0,,50.0,50.0,50.0
