,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
109,1585.0,1585.0,1600.0,1565.0,938400,BINA,2021-04-01,,,,,
949,1585.0,1525.0,1585.0,1525.0,634000,BINA,2021-04-05,,,,,
1789,1525.0,1505.0,1525.0,1485.0,895900,BINA,2021-04-06,,,,,
2629,1505.0,1585.0,1585.0,1485.0,1648000,BINA,2021-04-07,,,,,
3471,1585.0,1575.0,1610.0,1545.0,986900,BINA,2021-04-08,,,,,
4313,1585.0,1550.0,1600.0,1545.0,771600,BINA,2021-04-09,,,,,
5156,1545.0,1550.0,1560.0,1520.0,777300,BINA,2021-04-12,,,,,
6000,1550.0,1575.0,1575.0,1525.0,781900,BINA,2021-04-13,,,,,1556.25
6844,1575.0,1690.0,1950.0,1560.0,4887600,BINA,2021-04-14,,,,,1585.9722222222222
7689,1725.0,1980.0,2030.0,1700.0,10695500,BINA,2021-04-15,,,,1612.0,1673.5339506172838
8533,1980.0,2020.0,2050.0,1845.0,6264100,BINA,2021-04-16,,,,1655.5,1750.526406035665
9377,2020.0,1980.0,2020.0,1940.0,1746100,BINA,2021-04-19,,,,1701.0,1801.5205380277396
10221,1975.0,1985.0,1995.0,1960.0,367700,BINA,2021-04-20,,,,1749.0,1842.293751799353
11065,1985.0,2090.0,2170.0,1950.0,6696400,BINA,2021-04-21,,,,1799.5,1897.3395847328302
11909,2150.0,2180.0,2200.0,2060.0,2741900,BINA,2021-04-22,,,,1860.0,1960.153010347757
12753,2180.0,2180.0,2230.0,2150.0,1548100,BINA,2021-04-23,,,,1923.0,2009.0078969371443
13597,2170.0,2120.0,2200.0,2100.0,944700,BINA,2021-04-26,,,,1980.0,2033.67280872889
14440,2120.0,2130.0,2150.0,1975.0,1890200,BINA,2021-04-27,,,,2035.5,2055.078851233581
15283,2130.0,2120.0,2150.0,2100.0,344000,BINA,2021-04-28,,,,2078.5,2069.505773181674
16127,2120.0,2140.0,2150.0,2100.0,491900,BINA,2021-04-29,,,,2094.5,2085.1711569190797
16971,2120.0,2230.0,2230.0,2040.0,1649300,BINA,2021-04-30,,,,2115.5,2117.3553442703956
17815,2220.0,2130.0,2220.0,2120.0,1023500,BINA,2021-05-03,,,,2130.5,2120.165267765863
18658,2130.0,2090.0,2130.0,2060.0,449800,BINA,2021-05-04,,,,2141.0,2113.461874929005
19501,2090.0,2040.0,2130.0,2020.0,952700,BINA,2021-05-05,,,,2136.0,2097.1370138336706
20345,2040.0,2050.0,2090.0,2040.0,274500,BINA,2021-05-06,,,,2123.0,2086.6621218706327
21189,2050.0,2050.0,2080.0,2040.0,459600,BINA,2021-05-07,,,,2110.0,2078.514983677159
22033,2050.0,1995.0,2050.0,1980.0,1220000,BINA,2021-05-10,,,,2097.5,2059.956098415568
22876,2020.0,2070.0,2120.0,1990.0,1568200,BINA,2021-05-11,,,,2091.5,2062.1880765454416
23719,2090.0,1995.0,2090.0,1930.0,2470400,BINA,2021-05-17,,,,2079.0,2047.2573928686768
24559,1980.0,1930.0,1980.0,1900.0,1699000,BINA,2021-05-18,,,1921.5,2058.0,2021.2001944534152
25399,1930.0,1900.0,1975.0,1835.0,1627700,BINA,2021-05-19,,,1932.0,2025.0,1994.2668179082118
26244,1900.0,1895.0,1900.0,1780.0,2399600,BINA,2021-05-20,,,1944.3333333333333,2001.5,1972.2075250397204
27123,1860.0,1870.0,1895.0,1845.0,588700,BINA,2021-05-21,,,1956.5,1979.5,1949.4947416975604
27963,1865.0,1900.0,1935.0,1770.0,1789000,BINA,2021-05-24,,,1967.0,1965.5,1938.4959102092137
28805,1900.0,1875.0,1940.0,1855.0,585400,BINA,2021-05-25,,,1977.0,1948.0,1924.3857079404995
29596,1880.0,1900.0,1945.0,1870.0,1655300,BINA,2021-05-27,,,1988.6666666666667,1933.0,1918.9666617314997
30438,1900.0,1845.0,1900.0,1840.0,511400,BINA,2021-05-28,,,1998.5,1918.0,1902.5296257911664
31280,1845.0,1810.0,1855.0,1800.0,712700,BINA,2021-05-31,,,2006.3333333333333,1892.0,1881.9674867264628
32122,1810.0,1725.0,1815.0,1685.0,4901600,BINA,2021-06-02,,,2007.5,1865.0,1847.0858230094711
32964,1725.0,1685.0,1725.0,1615.0,1825000,BINA,2021-06-03,,,1997.6666666666667,1840.5,1811.0667512295886
33805,1685.0,1770.0,1770.0,1675.0,1062000,BINA,2021-06-04,,,1989.3333333333333,1827.5,1801.9408065119023
34646,1780.0,1775.0,1825.0,1760.0,2304200,BINA,2021-06-07,,,1982.5,1815.5,1795.9539606203684
35487,1775.0,1850.0,1870.0,1770.0,734300,BINA,2021-06-08,,,1978.0,1813.5,1807.96419159362
36330,1850.0,1835.0,1870.0,1810.0,608500,BINA,2021-06-09,,,1969.5,1807.0,1813.9721490172599
37173,1830.0,1830.0,1850.0,1770.0,2012200,BINA,2021-06-10,,,1957.8333333333333,1802.5,1817.533893680091
38020,1830.0,1840.0,1840.0,1800.0,776100,BINA,2021-06-11,,,1946.5,1796.5,1822.5263617511819
38867,1840.0,1880.0,1880.0,1800.0,1367700,BINA,2021-06-14,,,1938.5,1800.0,1835.2982813620304
39714,1870.0,1970.0,1970.0,1865.0,1553900,BINA,2021-06-15,,,1933.1666666666667,1816.0,1865.2319966149125
40561,1975.0,1980.0,2070.0,1970.0,2032600,BINA,2021-06-16,,,1928.5,1841.5,1890.7359973671541
41408,1980.0,2470.0,2470.0,1980.0,11171200,BINA,2021-06-17,,,1939.5,1920.0,2019.4613312855643
42255,2650.0,3080.0,3080.0,2590.0,16620300,BINA,2021-06-18,,,1967.8333333333333,2051.0,2255.136590999883
43102,3180.0,3850.0,3850.0,3180.0,16766300,BINA,2021-06-21,,,2025.1666666666667,2258.5,2609.550681888798
43949,4150.0,4810.0,4810.0,4150.0,11575400,BINA,2021-06-22,,,2115.8333333333335,2554.5,3098.539419246843
44796,5500.0,4920.0,6000.0,4480.0,32775500,BINA,2021-06-23,,,2211.8333333333335,2863.0,3503.308437191989
45643,4940.0,5275.0,5475.0,4940.0,7065300,BINA,2021-06-24,,,2319.3333333333335,3207.5,3897.017673371547
46490,5275.0,5250.0,5475.0,5000.0,4880000,BINA,2021-06-25,,,2426.0,3548.5,4197.680412622314
47338,5150.0,5175.0,5175.0,4900.0,4234800,BINA,2021-06-28,,,2532.0,3878.0,4414.862543150689
48184,5100.0,4990.0,5100.0,4950.0,2270200,BINA,2021-06-29,,,2629.3333333333335,4180.0,4542.6708668949805
48978,4980.0,5575.0,6175.0,4960.0,14912000,BINA,2021-06-30,,,2748.6666666666665,4539.5,4772.077340918318
49829,5575.0,5575.0,5575.0,5575.0,0,BINA,2021-07-01,,,2870.1666666666665,4850.0,4950.504598492025
50680,5550.0,5450.0,5725.0,5300.0,2948900,BINA,2021-07-02,,,2988.5,5087.0,5061.503576604909
51531,5400.0,5725.0,5950.0,5325.0,5172800,BINA,2021-07-05,,,3116.1666666666665,5274.5,5208.947226248262
52382,5800.0,5750.0,5950.0,5525.0,4748100,BINA,2021-07-06,,,3245.5,5368.5,5329.181175970871
53228,5750.0,5550.0,5775.0,5550.0,1681700,BINA,2021-07-07,,,3367.1666666666665,5431.5,5378.252025755121
54044,5625.0,5775.0,5850.0,5500.0,4132500,BINA,2021-07-08,,,3497.1666666666665,5481.5,5466.418242253983
54895,5775.0,5775.0,5775.0,5775.0,0,BINA,2021-07-09,,,3626.3333333333335,5534.0,5534.991966197543
