,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120357,7.0,8.0,8.0,7.0,88300,BIPI-W,2020-07-01,,,,,
127778,8.0,8.0,8.0,8.0,200,BIPI-W,2020-07-02,,,,,
101452,8.0,8.0,8.0,7.0,317700,BIPI-W,2020-07-03,,,,,
84145,8.0,8.0,8.0,8.0,200,BIPI-W,2020-07-06,,,,,
33876,7.0,8.0,8.0,6.0,47200,BIPI-W,2020-07-07,,,,,
47054,8.0,8.0,8.0,8.0,51500,BIPI-W,2020-07-08,,,,,
113781,7.0,8.0,8.0,6.0,133600,BIPI-W,2020-07-09,,,,,
23173,8.0,8.0,8.0,8.0,200,BIPI-W,2020-07-10,,,,,8.0
14937,7.0,8.0,8.0,7.0,1018600,BIPI-W,2020-07-13,,,,,8.0
31415,8.0,8.0,8.0,8.0,5200,BIPI-W,2020-07-14,,,,8.0,8.0
89084,8.0,7.0,8.0,7.0,300200,BIPI-W,2020-07-15,,,,7.9,7.777777777777778
21528,8.0,8.0,8.0,8.0,8500,BIPI-W,2020-07-16,,,,7.9,7.827160493827161
103890,8.0,8.0,8.0,6.0,6900,BIPI-W,2020-07-17,,,,7.9,7.86556927297668
77558,8.0,8.0,8.0,8.0,4000,BIPI-W,2020-07-20,,,,7.9,7.895442767870751
102261,7.0,8.0,8.0,7.0,15100,BIPI-W,2020-07-21,,,,7.9,7.9186777083439175
93204,8.0,8.0,8.0,8.0,200,BIPI-W,2020-07-22,,,,7.9,7.936749328711936
8346,8.0,8.0,8.0,7.0,85700,BIPI-W,2020-07-23,,,,7.9,7.950805033442617
100639,8.0,8.0,8.0,8.0,200,BIPI-W,2020-07-24,,,,7.9,7.961737248233146
54469,7.0,8.0,8.0,7.0,176400,BIPI-W,2020-07-27,,,,7.9,7.970240081959114
41294,8.0,8.0,8.0,7.0,11500,BIPI-W,2020-07-28,,,,7.9,7.976853397079311
110492,7.0,8.0,8.0,6.0,863400,BIPI-W,2020-07-29,,,,8.0,7.981997086617242
80012,7.0,8.0,8.0,7.0,941600,BIPI-W,2020-07-30,,,,8.0,7.9859977340356325
117078,7.0,7.0,7.0,6.0,152700,BIPI-W,2020-08-03,,,,7.9,7.766887126472159
6709,7.0,7.0,8.0,6.0,3329700,BIPI-W,2020-08-04,,,,7.8,7.596467765033901
52825,7.0,8.0,8.0,7.0,12100,BIPI-W,2020-08-05,,,,7.8,7.686141595026367
69314,7.0,8.0,8.0,7.0,6800,BIPI-W,2020-08-06,,,,7.8,7.75588790724273
42931,7.0,8.0,8.0,7.0,10800,BIPI-W,2020-08-07,,,,7.8,7.810135038966568
98160,7.0,8.0,8.0,7.0,13900,BIPI-W,2020-08-10,,,,7.8,7.852327252529553
52009,7.0,8.0,8.0,7.0,524400,BIPI-W,2020-08-11,,,,7.8,7.8851434186340965
119541,7.0,8.0,8.0,7.0,351400,BIPI-W,2020-08-12,,,7.9,7.8,7.9106671033820755
61890,8.0,8.0,8.0,8.0,400,BIPI-W,2020-08-13,,,7.9,7.8,7.930518858186058
86627,7.0,8.0,8.0,7.0,150200,BIPI-W,2020-08-14,,,7.9,7.8,7.94595911192249
60246,8.0,7.0,8.0,7.0,20900,BIPI-W,2020-08-18,,,7.866666666666666,7.8,7.7357459759397145
88268,8.0,8.0,8.0,7.0,23000,BIPI-W,2020-08-19,,,7.866666666666666,7.9,7.794469092397556
9994,8.0,8.0,8.0,7.0,1200,BIPI-W,2020-08-24,,,7.866666666666666,7.9,7.840142627420321
128587,8.0,8.0,8.0,8.0,200,BIPI-W,2020-08-25,,,7.866666666666666,7.9,7.875666487993583
103074,8.0,8.0,8.0,8.0,3900,BIPI-W,2020-08-26,,,7.866666666666666,7.9,7.9032961573283425
3414,8.0,8.0,8.0,6.0,3286200,BIPI-W,2020-08-27,,,7.866666666666666,7.9,7.924785900144267
78371,7.0,7.0,9.0,7.0,150000,BIPI-W,2020-08-28,,,7.833333333333333,7.8,7.719277922334429
27294,7.0,8.0,8.0,7.0,110600,BIPI-W,2020-08-31,,,7.833333333333333,7.8,7.781660606260112
