,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120356,50.0,50.0,50.0,50.0,20300,BIPI,2020-07-01,,,,,
127777,50.0,50.0,50.0,50.0,1100,BIPI,2020-07-02,,,,,
101451,50.0,50.0,50.0,50.0,1100,BIPI,2020-07-03,,,,,
84144,50.0,50.0,50.0,50.0,174200,BIPI,2020-07-06,,,,,
33875,50.0,50.0,50.0,50.0,100,BIPI,2020-07-07,,,,,
47053,50.0,50.0,50.0,50.0,26900,BIPI,2020-07-08,,,,,
113780,50.0,50.0,50.0,50.0,2100,BIPI,2020-07-09,,,,,
23172,50.0,50.0,50.0,50.0,30700,BIPI,2020-07-10,,,,,50.0
14936,50.0,50.0,50.0,50.0,17900,BIPI,2020-07-13,,,,,50.0
31414,50.0,50.0,50.0,50.0,478000,BIPI,2020-07-14,,,,50.0,50.0
89083,50.0,50.0,50.0,50.0,3900,BIPI,2020-07-15,,,,50.0,50.0
21527,50.0,50.0,50.0,50.0,1600,BIPI,2020-07-16,,,,50.0,50.0
103889,50.0,50.0,50.0,50.0,206600,BIPI,2020-07-17,,,,50.0,50.0
77557,50.0,50.0,50.0,50.0,4100,BIPI,2020-07-20,,,,50.0,50.0
102260,50.0,50.0,50.0,50.0,13300,BIPI,2020-07-21,,,,50.0,50.0
93203,50.0,50.0,50.0,50.0,109700,BIPI,2020-07-22,,,,50.0,50.0
8345,50.0,50.0,50.0,50.0,100,BIPI,2020-07-23,,,,50.0,50.0
100638,50.0,50.0,50.0,50.0,25600,BIPI,2020-07-24,,,,50.0,50.0
54468,50.0,50.0,50.0,50.0,900,BIPI,2020-07-27,,,,50.0,50.0
41293,50.0,50.0,50.0,50.0,410500,BIPI,2020-07-28,,,,50.0,50.0
110491,50.0,50.0,50.0,50.0,2300,BIPI,2020-07-29,,,,50.0,50.0
80011,50.0,50.0,50.0,50.0,25600,BIPI,2020-07-30,,,,50.0,50.0
117077,50.0,50.0,50.0,50.0,1800,BIPI,2020-08-03,,,,50.0,50.0
6708,50.0,50.0,50.0,50.0,200,BIPI,2020-08-04,,,,50.0,50.0
52824,50.0,50.0,50.0,50.0,3300,BIPI,2020-08-05,,,,50.0,50.0
69313,50.0,50.0,50.0,50.0,21800,BIPI,2020-08-06,,,,50.0,50.0
42930,50.0,50.0,50.0,50.0,25200,BIPI,2020-08-07,,,,50.0,50.0
98159,50.0,50.0,50.0,50.0,29100,BIPI,2020-08-10,,,,50.0,50.0
52008,50.0,50.0,50.0,50.0,26800,BIPI,2020-08-11,,,,50.0,50.0
119540,50.0,50.0,50.0,50.0,3600,BIPI,2020-08-12,,,50.0,50.0,50.0
61889,50.0,50.0,50.0,50.0,13700,BIPI,2020-08-13,,,50.0,50.0,50.0
86626,50.0,50.0,50.0,50.0,10300,BIPI,2020-08-14,,,50.0,50.0,50.0
60245,50.0,50.0,50.0,50.0,6400,BIPI,2020-08-18,,,50.0,50.0,50.0
88267,50.0,50.0,50.0,50.0,2000,BIPI,2020-08-19,,,50.0,50.0,50.0
9993,50.0,50.0,50.0,50.0,1600,BIPI,2020-08-24,,,50.0,50.0,50.0
128586,50.0,50.0,50.0,50.0,2800,BIPI,2020-08-25,,,50.0,50.0,50.0
103073,50.0,50.0,50.0,50.0,1000,BIPI,2020-08-26,,,50.0,50.0,50.0
3413,50.0,50.0,50.0,50.0,3000,BIPI,2020-08-27,,,50.0,50.0,50.0
78370,50.0,50.0,50.0,50.0,2900,BIPI,2020-08-28,,,50.0,50.0,50.0
27293,50.0,50.0,50.0,50.0,109100,BIPI,2020-08-31,,,50.0,50.0,50.0
34688,50.0,50.0,50.0,50.0,2200,BIPI,2020-09-01,,,50.0,50.0,50.0
38826,50.0,50.0,50.0,50.0,561900,BIPI,2020-09-02,,,50.0,50.0,50.0
67661,50.0,50.0,50.0,50.0,1121800,BIPI,2020-09-03,,,50.0,50.0,50.0
12469,50.0,50.0,50.0,50.0,52400,BIPI,2020-09-04,,,50.0,50.0,50.0
26474,50.0,50.0,50.0,50.0,68300,BIPI,2020-09-07,,,50.0,50.0,50.0
107185,50.0,50.0,50.0,50.0,1200,BIPI,2020-09-08,,,50.0,50.0,50.0
121166,50.0,50.0,50.0,50.0,200,BIPI,2020-09-09,,,50.0,50.0,50.0
7522,50.0,50.0,50.0,50.0,100,BIPI,2020-09-10,,,50.0,50.0,50.0
17399,50.0,50.0,50.0,50.0,2400,BIPI,2020-09-11,,,50.0,50.0,50.0
43745,50.0,50.0,50.0,50.0,14100,BIPI,2020-09-14,,,50.0,50.0,50.0
65184,50.0,50.0,50.0,50.0,7416500,BIPI,2020-09-15,,,50.0,50.0,50.0
932,50.0,50.0,50.0,50.0,211200,BIPI,2020-09-16,,,50.0,50.0,50.0
55282,50.0,50.0,50.0,50.0,1200,BIPI,2020-09-17,,,50.0,50.0,50.0
61062,50.0,50.0,50.0,50.0,500,BIPI,2020-09-18,,,50.0,50.0,50.0
70954,50.0,50.0,50.0,50.0,300,BIPI,2020-09-21,,,50.0,50.0,50.0
98976,50.0,50.0,50.0,50.0,10300,BIPI,2020-09-22,,,50.0,50.0,50.0
75907,50.0,50.0,50.0,50.0,7808400,BIPI,2020-09-23,,,50.0,50.0,50.0
64357,50.0,50.0,50.0,50.0,31600,BIPI,2020-09-24,,,50.0,50.0,50.0
95678,50.0,50.0,50.0,50.0,108300,BIPI,2020-09-25,,,50.0,50.0,50.0
58594,50.0,50.0,50.0,50.0,2700,BIPI,2020-09-28,,,50.0,50.0,50.0
15748,50.0,50.0,50.0,50.0,234300,BIPI,2020-09-29,,,50.0,50.0,50.0
83319,50.0,50.0,50.0,50.0,1500,BIPI,2020-09-30,,,50.0,50.0,50.0
90719,50.0,50.0,50.0,50.0,54300,BIPI,2020-10-01,,,50.0,50.0,50.0
66837,50.0,50.0,50.0,50.0,51100,BIPI,2020-10-02,,,50.0,50.0,50.0
11645,50.0,50.0,50.0,50.0,196400,BIPI,2020-10-05,,,50.0,50.0,50.0
118716,50.0,50.0,50.0,50.0,165600,BIPI,2020-10-06,,,50.0,50.0,50.0
20703,50.0,50.0,50.0,50.0,906300,BIPI,2020-10-07,,,50.0,50.0,50.0
19047,50.0,50.0,50.0,50.0,5400,BIPI,2020-10-08,,,50.0,50.0,50.0
108842,50.0,50.0,50.0,50.0,116700,BIPI,2020-10-09,,,50.0,50.0,50.0
28111,50.0,50.0,50.0,50.0,600,BIPI,2020-10-12,,,50.0,50.0,50.0
75082,50.0,50.0,50.0,50.0,46400,BIPI,2020-10-13,,,50.0,50.0,50.0
105531,50.0,50.0,50.0,50.0,0,BIPI,2020-10-14,,,50.0,50.0,50.0
14112,50.0,50.0,50.0,50.0,1300,BIPI,2020-10-15,,,50.0,50.0,50.0
5060,50.0,50.0,50.0,50.0,10100,BIPI,2020-10-16,,,50.0,50.0,50.0
107,50.0,50.0,50.0,50.0,188100,BIPI,2020-10-19,,,50.0,50.0,50.0
