,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
113,1300.0,1280.0,1305.0,1280.0,1204400,BIRD,2021-04-01,,,,,
953,1290.0,1260.0,1315.0,1255.0,1910900,BIRD,2021-04-05,,,,,
1793,1260.0,1345.0,1350.0,1260.0,2935300,BIRD,2021-04-06,,,,,
2633,1345.0,1330.0,1345.0,1310.0,695600,BIRD,2021-04-07,,,,,
3475,1330.0,1335.0,1345.0,1310.0,628900,BIRD,2021-04-08,,,,,
4317,1335.0,1310.0,1345.0,1295.0,1582500,BIRD,2021-04-09,,,,,
5160,1310.0,1290.0,1350.0,1290.0,752700,BIRD,2021-04-12,,,,,
6004,1290.0,1285.0,1290.0,1235.0,3474300,BIRD,2021-04-13,,,,,1304.375
6848,1285.0,1290.0,1325.0,1285.0,798000,BIRD,2021-04-14,,,,,1301.1805555555557
7693,1320.0,1305.0,1340.0,1295.0,800400,BIRD,2021-04-15,,,,1303.0,1302.0293209876545
8537,1305.0,1315.0,1325.0,1280.0,759100,BIRD,2021-04-16,,,,1306.5,1304.911694101509
9381,1315.0,1380.0,1380.0,1310.0,3339000,BIRD,2021-04-19,,,,1318.5,1321.5979843011737
10225,1385.0,1355.0,1385.0,1315.0,1781600,BIRD,2021-04-20,,,,1319.5,1329.0206544564685
11069,1350.0,1410.0,1410.0,1340.0,3236100,BIRD,2021-04-21,,,,1327.5,1347.0160645772532
11913,1410.0,1380.0,1425.0,1375.0,824300,BIRD,2021-04-22,,,,1332.0,1354.3458280045304
12757,1400.0,1395.0,1515.0,1370.0,23273700,BIRD,2021-04-23,,,,1340.5,1363.380088447968
13601,1400.0,1365.0,1405.0,1330.0,3013200,BIRD,2021-04-26,,,,1348.0,1363.7400687928641
14444,1370.0,1335.0,1370.0,1320.0,956300,BIRD,2021-04-27,,,,1353.0,1357.3533868388943
15287,1340.0,1325.0,1340.0,1305.0,831400,BIRD,2021-04-28,,,,1356.5,1350.16374531914
16131,1325.0,1370.0,1380.0,1315.0,1269900,BIRD,2021-04-29,,,,1363.0,1354.5718019148867
