,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126201,500.0,505.0,505.0,500.0,3059400,BJTM,2020-07-01,,,,,
133622,505.0,500.0,505.0,498.0,12120800,BJTM,2020-07-02,,,,,
107296,500.0,545.0,565.0,498.0,121022100,BJTM,2020-07-03,,,,,
89155,550.0,525.0,555.0,520.0,38462900,BJTM,2020-07-06,,,,,
33882,530.0,545.0,550.0,525.0,36851600,BJTM,2020-07-07,,,,,
51229,545.0,560.0,565.0,540.0,46937300,BJTM,2020-07-08,,,,,
119624,565.0,545.0,570.0,545.0,13116100,BJTM,2020-07-09,,,,,
23178,545.0,545.0,555.0,540.0,7496400,BJTM,2020-07-10,,,,,533.75
14942,545.0,550.0,565.0,545.0,37340800,BJTM,2020-07-13,,,,,537.3611111111111
31420,550.0,545.0,560.0,540.0,16247400,BJTM,2020-07-14,,,,536.5,539.0586419753087
94927,560.0,540.0,560.0,540.0,7704200,BJTM,2020-07-15,,,,540.0,539.2678326474623
21533,545.0,545.0,550.0,540.0,10210300,BJTM,2020-07-16,,,,544.5,540.5416476146929
109733,545.0,540.0,550.0,535.0,10226000,BJTM,2020-07-17,,,,544.0,540.4212814780944
82567,540.0,520.0,545.0,510.0,31396400,BJTM,2020-07-20,,,,543.5,535.8832189274068
108104,525.0,535.0,545.0,525.0,34611400,BJTM,2020-07-21,,,,542.5,535.6869480546497
99047,535.0,535.0,540.0,530.0,10197600,BJTM,2020-07-22,,,,540.0,535.5342929313942
8351,535.0,535.0,550.0,530.0,23805300,BJTM,2020-07-23,,,,539.0,535.4155611688622
106482,535.0,530.0,535.0,530.0,6470800,BJTM,2020-07-24,,,,537.5,534.2121031313372
59478,545.0,575.0,580.0,535.0,110850900,BJTM,2020-07-27,,,,540.0,543.2760802132623
42967,590.0,560.0,645.0,555.0,166342100,BJTM,2020-07-28,,,,541.5,546.9925068325373
116335,560.0,555.0,570.0,550.0,23354800,BJTM,2020-07-29,,,,543.0,548.7719497586401
85021,560.0,550.0,565.0,545.0,19764400,BJTM,2020-07-30,,,,543.5,549.0448498122756
122921,555.0,520.0,555.0,515.0,35117700,BJTM,2020-08-03,,,,541.5,542.590438742881
6714,530.0,535.0,565.0,515.0,53411200,BJTM,2020-08-04,,,,543.0,540.9036745777963
57834,540.0,540.0,545.0,535.0,11383300,BJTM,2020-08-05,,,,543.5,540.7028580049526
74323,535.0,555.0,560.0,535.0,25513600,BJTM,2020-08-06,,,,545.5,543.8800006705187
46272,555.0,550.0,560.0,545.0,13095300,BJTM,2020-08-07,,,,547.0,545.2400005215145
104003,550.0,545.0,555.0,545.0,6395600,BJTM,2020-08-10,,,,548.5,545.1866670722891
57018,560.0,555.0,560.0,545.0,17050700,BJTM,2020-08-11,,,,546.5,547.3674077228915
125384,555.0,570.0,580.0,550.0,43431600,BJTM,2020-08-12,,,541.8333333333334,547.5,552.39687267336
66899,575.0,560.0,580.0,560.0,15349000,BJTM,2020-08-13,,,543.6666666666666,548.0,554.0864565237245
92470,560.0,550.0,560.0,550.0,8796700,BJTM,2020-08-14,,,545.3333333333334,548.0,553.1783550740079
65255,550.0,560.0,570.0,550.0,9671800,BJTM,2020-08-18,,,545.8333333333334,552.0,554.6942761686728
94111,565.0,565.0,570.0,555.0,17457600,BJTM,2020-08-19,,,547.1666666666666,555.0,556.9844370200789
9999,565.0,580.0,585.0,560.0,37102500,BJTM,2020-08-24,,,548.3333333333334,559.0,562.0990065711725
134430,585.0,585.0,595.0,580.0,21487700,BJTM,2020-08-25,,,549.1666666666666,562.0,567.188116222023
108917,590.0,580.0,590.0,580.0,14866900,BJTM,2020-08-26,,,550.3333333333334,565.0,570.0352015060179
3419,585.0,615.0,640.0,580.0,144185400,BJTM,2020-08-27,,,552.6666666666666,572.0,580.027378949125
83380,615.0,615.0,625.0,610.0,45424000,BJTM,2020-08-28,,,554.8333333333334,578.0,587.7990725159862
27299,620.0,595.0,625.0,580.0,31541700,BJTM,2020-08-31,,,556.5,580.5,589.3992786235448
34694,595.0,590.0,605.0,580.0,18503000,BJTM,2020-09-01,,,558.1666666666666,583.5,589.532772262757
38832,600.0,590.0,600.0,585.0,13390800,BJTM,2020-09-02,,,559.6666666666666,587.5,589.636600648811
72671,590.0,585.0,600.0,580.0,18121800,BJTM,2020-09-03,,,561.1666666666666,590.0,588.6062449490753
