,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126205,50.0,50.0,50.0,50.0,1400,BLTA,2020-07-01,,,,,
133626,50.0,50.0,50.0,50.0,80000,BLTA,2020-07-02,,,,,
107300,50.0,50.0,50.0,50.0,200,BLTA,2020-07-03,,,,,
89159,50.0,50.0,50.0,50.0,10000,BLTA,2020-07-06,,,,,
33886,50.0,50.0,50.0,50.0,100,BLTA,2020-07-07,,,,,
51233,50.0,50.0,50.0,50.0,100,BLTA,2020-07-08,,,,,
119628,50.0,50.0,50.0,50.0,1000,BLTA,2020-07-09,,,,,
23182,50.0,50.0,50.0,50.0,5200,BLTA,2020-07-10,,,,,50.0
14946,50.0,50.0,50.0,50.0,262100,BLTA,2020-07-13,,,,,50.0
31424,50.0,50.0,50.0,50.0,300,BLTA,2020-07-14,,,,50.0,50.0
94931,50.0,50.0,50.0,50.0,2500,BLTA,2020-07-15,,,,50.0,50.0
21537,50.0,50.0,50.0,50.0,200,BLTA,2020-07-16,,,,50.0,50.0
109737,50.0,50.0,50.0,50.0,100,BLTA,2020-07-17,,,,50.0,50.0
82571,50.0,50.0,50.0,50.0,100,BLTA,2020-07-20,,,,50.0,50.0
108108,50.0,50.0,50.0,50.0,100,BLTA,2020-07-21,,,,50.0,50.0
99051,50.0,50.0,50.0,50.0,500,BLTA,2020-07-22,,,,50.0,50.0
8355,50.0,50.0,50.0,50.0,200,BLTA,2020-07-23,,,,50.0,50.0
106486,50.0,50.0,50.0,50.0,200,BLTA,2020-07-24,,,,50.0,50.0
59482,50.0,50.0,50.0,50.0,100,BLTA,2020-07-27,,,,50.0,50.0
42971,50.0,50.0,50.0,50.0,11300,BLTA,2020-07-28,,,,50.0,50.0
116339,50.0,50.0,50.0,50.0,0,BLTA,2020-07-29,,,,50.0,50.0
85025,50.0,50.0,50.0,50.0,100,BLTA,2020-07-30,,,,50.0,50.0
122925,50.0,50.0,50.0,50.0,800,BLTA,2020-08-03,,,,50.0,50.0
