,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
52397,424.0,424.0,424.0,424.0,1723800,BMHS,2021-07-06,,,,,
54059,660.0,660.0,660.0,660.0,3472400,BMHS,2021-07-08,,,,,
54910,825.0,825.0,825.0,775.0,985907800,BMHS,2021-07-09,,,,,
55763,925.0,1025.0,1030.0,825.0,544434300,BMHS,2021-07-12,,,,,
56616,1040.0,980.0,1175.0,960.0,373073500,BMHS,2021-07-13,,,,,
57469,975.0,975.0,1025.0,920.0,63990600,BMHS,2021-07-14,,,,,
58322,980.0,1040.0,1040.0,975.0,71822000,BMHS,2021-07-15,,,,,
59175,1040.0,1005.0,1060.0,990.0,74202500,BMHS,2021-07-16,,,,,866.75
60028,1010.0,990.0,1010.0,985.0,32262100,BMHS,2021-07-19,,,,,894.1388888888889
60880,990.0,1000.0,1020.0,975.0,36595700,BMHS,2021-07-21,,,,892.4,917.6635802469136
61732,1000.0,980.0,1010.0,975.0,25496800,BMHS,2021-07-22,,,,948.0,931.5161179698217
62584,980.0,975.0,995.0,965.0,22315300,BMHS,2021-07-23,,,,979.5,941.1792028654169
63436,980.0,970.0,985.0,930.0,30178300,BMHS,2021-07-26,,,,994.0,947.5838244508798
64288,980.0,975.0,990.0,970.0,19025100,BMHS,2021-07-27,,,,989.0,953.6763079062398
65142,1000.0,1120.0,1135.0,975.0,124060000,BMHS,2021-07-28,,,,1003.0,990.6371283715198
65996,1125.0,1085.0,1200.0,1080.0,104687700,BMHS,2021-07-29,,,,1014.0,1011.606655400071
66850,1100.0,1090.0,1140.0,1065.0,31205500,BMHS,2021-07-30,,,,1019.0,1029.0273986444997
67704,1100.0,1020.0,1110.0,1020.0,54485700,BMHS,2021-08-02,,,,1020.5,1027.021310056833
68558,1030.0,1050.0,1085.0,1020.0,46984900,BMHS,2021-08-03,,,,1026.5,1032.127685599759
69412,1055.0,1045.0,1075.0,1035.0,16581400,BMHS,2021-08-04,,,,1031.0,1034.9881999109236
70266,1050.0,1030.0,1055.0,1020.0,17460100,BMHS,2021-08-05,,,,1036.0,1033.8797110418295
71120,1050.0,1010.0,1050.0,980.0,24625100,BMHS,2021-08-06,,,,1039.5,1028.5731085880896
71975,1010.0,1050.0,1100.0,985.0,64413900,BMHS,2021-08-09,,,,1047.5,1033.3346400129585
72830,1090.0,1100.0,1130.0,1000.0,68299500,BMHS,2021-08-10,,,,1060.0,1048.1491644545233
73685,1120.0,1040.0,1120.0,1025.0,25643100,BMHS,2021-08-12,,,,1052.0,1046.3382390201848
74540,1040.0,1010.0,1050.0,995.0,14832800,BMHS,2021-08-13,,,,1044.5,1038.263074793477
75395,1010.0,1030.0,1040.0,950.0,35590400,BMHS,2021-08-16,,,,1038.5,1036.4268359504822
76250,1030.0,995.0,1030.0,970.0,10129300,BMHS,2021-08-18,,,,1036.0,1027.2208724059305
77105,995.0,1000.0,1015.0,970.0,15939800,BMHS,2021-08-19,,,,1031.0,1021.1717896490571
77960,1000.0,1010.0,1020.0,975.0,8060300,BMHS,2021-08-20,,,983.6333333333333,1027.5,1018.6891697270445
78815,1010.0,1005.0,1030.0,1000.0,27669000,BMHS,2021-08-23,,,1003.0,1025.0,1015.6471320099234
79670,1010.0,995.0,1020.0,985.0,9290000,BMHS,2021-08-24,,,1014.1666666666666,1023.5,1011.0588804521627
80525,995.0,980.0,1005.0,975.0,10069900,BMHS,2021-08-25,,,1019.3333333333334,1016.5,1004.1569070183488
81380,980.0,1000.0,1015.0,970.0,37016500,BMHS,2021-08-26,,,1018.5,1006.5,1003.2331499031601
82235,1010.0,1000.0,1030.0,985.0,37452100,BMHS,2021-08-27,,,1019.1666666666666,1002.5,1002.5146721469023
83090,1005.0,1050.0,1075.0,1000.0,65128300,BMHS,2021-08-30,,,1021.6666666666666,1006.5,1013.0669672253684
83945,1060.0,1115.0,1125.0,1060.0,162995100,BMHS,2021-08-31,,,1024.1666666666667,1015.0,1035.7187522863976
84800,1080.0,1070.0,1120.0,1060.0,34005200,BMHS,2021-09-01,,,1026.3333333333333,1022.5,1043.3368073338647
85656,1070.0,1145.0,1145.0,1040.0,73742000,BMHS,2021-09-02,,,1031.5,1037.0,1065.9286279263392
86512,1155.0,1090.0,1155.0,1090.0,54096900,BMHS,2021-09-03,,,1034.5,1045.0,1071.2778217204861
87368,1090.0,1105.0,1115.0,1060.0,46533700,BMHS,2021-09-06,,,1038.6666666666667,1055.0,1078.7716391159336
88228,1105.0,1090.0,1105.0,1075.0,3703200,BMHS,2021-09-07,,,1042.5,1064.5,1081.266830423504
89089,1100.0,1070.0,1135.0,1070.0,83142600,BMHS,2021-09-08,,,1045.8333333333333,1073.5,1078.763090329392
89956,1070.0,1050.0,1090.0,1030.0,33647800,BMHS,2021-09-09,,,1048.3333333333333,1078.5,1072.371292478416
90824,1060.0,1090.0,1105.0,1050.0,63809500,BMHS,2021-09-10,,,1047.3333333333333,1087.5,1076.288783038768
91692,1060.0,1110.0,1135.0,1060.0,57504800,BMHS,2021-09-13,,,1048.1666666666667,1093.5,1083.7801645857085
92560,1115.0,1090.0,1120.0,1075.0,26647800,BMHS,2021-09-14,,,1048.1666666666667,1091.0,1085.1623502333289
93428,1090.0,1060.0,1090.0,1060.0,31670000,BMHS,2021-09-15,,,1049.5,1090.0,1079.5707168481447
94296,1060.0,1130.0,1140.0,1060.0,84194800,BMHS,2021-09-16,,,1052.1666666666667,1088.5,1090.7772242152237
95164,1130.0,1085.0,1140.0,1080.0,26840700,BMHS,2021-09-17,,,1053.5,1088.0,1089.4933966118406
96032,1090.0,1075.0,1100.0,1060.0,44616600,BMHS,2021-09-20,,,1055.0,1085.0,1086.2726418092093
96900,1065.0,1085.0,1085.0,1055.0,38094400,BMHS,2021-09-21,,,1057.5,1084.5,1085.989832518274
97769,1085.0,1095.0,1115.0,1080.0,54828800,BMHS,2021-09-22,,,1059.0,1087.0,1087.9920919586575
98638,1100.0,1090.0,1105.0,1080.0,21944200,BMHS,2021-09-23,,,1058.6666666666667,1091.0,1088.4382937456226
99507,1090.0,1085.0,1100.0,1085.0,96567400,BMHS,2021-09-24,,,1060.1666666666667,1090.5,1087.6742284688175
100376,1075.0,1145.0,1150.0,1075.0,129581700,BMHS,2021-09-27,,,1064.6666666666667,1094.0,1100.4132888090803
101244,1150.0,1095.0,1150.0,1085.0,8287200,BMHS,2021-09-28,,,1066.8333333333333,1094.5,1099.2103357403957
102112,1085.0,1065.0,1100.0,1065.0,40748800,BMHS,2021-09-29,,,1069.1666666666667,1095.0,1091.6080389091967
102980,1065.0,1095.0,1095.0,1060.0,87724800,BMHS,2021-09-30,,,1072.3333333333333,1091.5,1092.3618080404863
103848,1085.0,1075.0,1095.0,1070.0,32915100,BMHS,2021-10-01,,,1074.5,1090.5,1088.5036284759337
104715,1070.0,1065.0,1085.0,1065.0,42639800,BMHS,2021-10-04,,,1076.5,1089.5,1083.2805999257262
105582,1065.0,1010.0,1075.0,1000.0,65696800,BMHS,2021-10-05,,,1077.0,1082.0,1066.9960221644537
106449,1010.0,1050.0,1080.0,985.0,80661100,BMHS,2021-10-06,,,1079.3333333333333,1077.5,1063.2191283501306
107316,1050.0,1045.0,1065.0,1010.0,36616600,BMHS,2021-10-07,,,1080.8333333333333,1073.0,1059.1704331612127
108183,1045.0,1015.0,1050.0,1005.0,41332700,BMHS,2021-10-08,,,1081.3333333333333,1066.0,1049.3547813476098
109050,1015.0,1015.0,1030.0,1000.0,61670900,BMHS,2021-10-11,,,1080.1666666666667,1053.0,1041.7203854925854
109916,1015.0,1030.0,1030.0,1005.0,25505900,BMHS,2021-10-12,,,1077.3333333333333,1046.5,1039.115855383122
110782,1035.0,990.0,1035.0,970.0,38907100,BMHS,2021-10-13,,,1074.6666666666667,1039.0,1028.2012208535393
111648,990.0,980.0,990.0,935.0,49529200,BMHS,2021-10-14,,,1069.1666666666667,1027.5,1017.4898384416417
112514,985.0,980.0,1000.0,965.0,31820900,BMHS,2021-10-15,,,1065.5,1018.0,1009.158763232388
113380,980.0,990.0,1000.0,975.0,64898100,BMHS,2021-10-18,,,1061.6666666666667,1010.5,1004.9012602918573
114246,995.0,990.0,1000.0,990.0,28793800,BMHS,2021-10-19,,,1058.3333333333333,1008.5,1001.589869115889
115112,990.0,980.0,1000.0,980.0,23862700,BMHS,2021-10-21,,,1055.3333333333333,1001.5,996.7921204234692
115977,985.0,955.0,995.0,945.0,32986300,BMHS,2021-10-22,,,1052.1666666666667,992.5,987.5049825515872
116842,955.0,940.0,995.0,935.0,62086700,BMHS,2021-10-25,,,1047.1666666666667,985.0,976.9483197623456
117710,945.0,945.0,970.0,940.0,29763200,BMHS,2021-10-26,,,1041.6666666666667,978.0,969.8486931484911
118578,945.0,910.0,955.0,900.0,59850200,BMHS,2021-10-27,,,1035.6666666666667,966.0,956.5489835599375
119446,910.0,910.0,930.0,875.0,56916200,BMHS,2021-10-28,,,1030.6666666666667,958.0,946.2047649910625
120314,910.0,905.0,915.0,895.0,25559300,BMHS,2021-10-29,,,1023.1666666666666,950.5,937.0481505486041
121182,905.0,915.0,935.0,900.0,26417300,BMHS,2021-11-01,,,1017.5,944.0,932.1485615378032
122049,920.0,905.0,925.0,900.0,56531200,BMHS,2021-11-02,,,1011.8333333333334,935.5,926.1155478627358
122916,905.0,910.0,920.0,900.0,49526600,BMHS,2021-11-03,,,1006.0,927.5,922.53431500435
123783,915.0,905.0,920.0,900.0,47928800,BMHS,2021-11-04,,,999.6666666666666,920.0,918.6378005589389
124650,910.0,905.0,915.0,900.0,43439300,BMHS,2021-11-05,,,993.5,915.0,915.6071782125081
125517,905.0,895.0,910.0,885.0,48182800,BMHS,2021-11-08,,,987.1666666666666,910.5,911.0278052763952
126384,895.0,890.0,930.0,875.0,41321500,BMHS,2021-11-09,,,978.6666666666666,905.0,906.3549596594185
127250,890.0,880.0,900.0,860.0,35245000,BMHS,2021-11-10,,,971.5,902.0,900.4983019573255
128116,880.0,885.0,900.0,875.0,64784900,BMHS,2021-11-11,,,965.5,899.5,897.0542348556976
128982,890.0,905.0,920.0,880.0,82682300,BMHS,2021-11-12,,,959.1666666666666,899.5,898.8199604433204
129849,910.0,910.0,930.0,900.0,86314900,BMHS,2021-11-15,,,953.6666666666666,899.0,901.3044136781381
