,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121212,1270.0,1270.0,1275.0,1265.0,5971400,BNLI,2020-07-01,,,,,
128633,1265.0,1265.0,1270.0,1265.0,17565900,BNLI,2020-07-02,,,,,
102307,1265.0,1265.0,1275.0,1265.0,16226700,BNLI,2020-07-03,,,,,
85000,1270.0,1275.0,1280.0,1270.0,7098500,BNLI,2020-07-06,,,,,
33897,1280.0,1275.0,1280.0,1275.0,5068000,BNLI,2020-07-07,,,,,
47908,1275.0,1275.0,1285.0,1275.0,3054200,BNLI,2020-07-08,,,,,
114635,1280.0,1285.0,1285.0,1275.0,6838700,BNLI,2020-07-09,,,,,
23193,1280.0,1285.0,1285.0,1280.0,3972900,BNLI,2020-07-10,,,,,1274.375
14957,1285.0,1280.0,1285.0,1275.0,2951200,BNLI,2020-07-13,,,,,1275.625
31435,1280.0,1280.0,1285.0,1275.0,4261600,BNLI,2020-07-14,,,,1275.5,1276.5972222222222
89938,1280.0,1280.0,1285.0,1275.0,8082600,BNLI,2020-07-15,,,,1276.5,1277.3533950617284
21548,1280.0,1280.0,1285.0,1275.0,4161200,BNLI,2020-07-16,,,,1278.0,1277.9415294924554
104744,1280.0,1275.0,1280.0,1275.0,2238500,BNLI,2020-07-17,,,,1279.0,1277.2878562719097
78412,1275.0,1280.0,1285.0,1275.0,6745500,BNLI,2020-07-20,,,,1279.5,1277.890554878152
103115,1280.0,1280.0,1285.0,1280.0,5419300,BNLI,2020-07-21,,,,1280.0,1278.3593204607848
94058,1280.0,1280.0,1285.0,1275.0,11742000,BNLI,2020-07-22,,,,1280.5,1278.7239159139438
8366,1280.0,1275.0,1280.0,1265.0,38319000,BNLI,2020-07-23,,,,1279.5,1277.8963790441785
101493,1275.0,1270.0,1275.0,1270.0,7129000,BNLI,2020-07-24,,,,1278.0,1276.1416281454722
55323,1270.0,1270.0,1270.0,1265.0,6347200,BNLI,2020-07-27,,,,1277.0,1274.7768218909227
41314,1270.0,1270.0,1275.0,1265.0,9344600,BNLI,2020-07-28,,,,1276.0,1273.7153059151622
111346,1270.0,1265.0,1270.0,1245.0,17195400,BNLI,2020-07-29,,,,1274.5,1271.7785712673483
80866,1265.0,1270.0,1270.0,1255.0,5982900,BNLI,2020-07-30,,,,1273.5,1271.3833332079375
117932,1270.0,1260.0,1270.0,1255.0,4310100,BNLI,2020-08-03,,,,1272.0,1268.8537036061737
6729,1255.0,1260.0,1270.0,1255.0,1692700,BNLI,2020-08-04,,,,1270.0,1266.8862139159128
53679,1255.0,1250.0,1255.0,1240.0,12233300,BNLI,2020-08-05,,,,1267.0,1263.1337219345987
70168,1245.0,1245.0,1250.0,1240.0,8687400,BNLI,2020-08-06,,,,1263.5,1259.1040059491324
43785,1240.0,1250.0,1250.0,1235.0,6809000,BNLI,2020-08-07,,,,1261.0,1257.0808935159919
99014,1250.0,1240.0,1255.0,1240.0,3686000,BNLI,2020-08-10,,,,1258.0,1253.2851394013271
52863,1250.0,1235.0,1250.0,1235.0,12552600,BNLI,2020-08-11,,,,1254.5,1249.221775089921
120395,1235.0,1220.0,1240.0,1220.0,21388400,BNLI,2020-08-12,,,1267.0,1249.5,1242.728047292161
62744,1225.0,1260.0,1260.0,1225.0,14609500,BNLI,2020-08-13,,,1266.6666666666667,1249.0,1246.566259005014
87481,1260.0,1265.0,1275.0,1260.0,7504900,BNLI,2020-08-14,,,1266.6666666666667,1248.5,1250.6626458927888
61100,1265.0,1275.0,1305.0,1260.0,26790700,BNLI,2020-08-18,,,1267.0,1250.0,1256.0709468055024
89122,1280.0,1270.0,1280.0,1265.0,2100800,BNLI,2020-08-19,,,1266.8333333333333,1251.0,1259.1662919598352
10014,1270.0,1270.0,1275.0,1265.0,3152300,BNLI,2020-08-24,,,1266.6666666666667,1253.0,1261.5737826354275
129441,1270.0,1280.0,1285.0,1265.0,4616100,BNLI,2020-08-25,,,1266.8333333333333,1256.5,1265.6684976053325
103928,1310.0,1325.0,1330.0,1305.0,144160700,BNLI,2020-08-26,,,1268.1666666666667,1264.0,1278.8532759152586
3434,1325.0,1320.0,1325.0,1320.0,63274100,BNLI,2020-08-27,,,1269.3333333333333,1272.0,1287.9969923785345
79225,1320.0,1320.0,1325.0,1320.0,36505400,BNLI,2020-08-28,,,1270.6666666666667,1280.5,1295.1087718499714
27314,1320.0,1325.0,1325.0,1320.0,24972900,BNLI,2020-08-31,,,1272.1666666666667,1291.0,1301.7512669944222
34709,1320.0,1325.0,1330.0,1320.0,11013600,BNLI,2020-09-01,,,1273.6666666666667,1297.5,1306.9176521067727
38847,1330.0,1320.0,1330.0,1320.0,19994400,BNLI,2020-09-02,,,1275.0,1303.0,1309.8248405274899
68516,1320.0,1325.0,1325.0,1320.0,24894300,BNLI,2020-09-03,,,1276.6666666666667,1308.0,1313.1970981880477
12490,1325.0,1325.0,1330.0,1320.0,23325700,BNLI,2020-09-04,,,1278.1666666666667,1313.5,1315.8199652573703
26495,1325.0,1325.0,1330.0,1320.0,18721200,BNLI,2020-09-07,,,1279.6666666666667,1319.0,1317.8599729779546
108040,1325.0,1325.0,1330.0,1320.0,8511100,BNLI,2020-09-08,,,1281.1666666666667,1323.5,1319.4466456495202
122021,1325.0,1325.0,1325.0,1320.0,14690100,BNLI,2020-09-09,,,1282.8333333333333,1323.5,1320.6807243940711
7543,1325.0,1325.0,1330.0,1320.0,19026300,BNLI,2020-09-10,,,1284.6666666666667,1324.0,1321.6405634176108
17420,1320.0,1320.0,1325.0,1320.0,25597900,BNLI,2020-09-11,,,1286.3333333333333,1324.0,1321.2759937692529
44600,1320.0,1325.0,1325.0,1320.0,45011200,BNLI,2020-09-14,,,1288.1666666666667,1324.0,1322.1035507094189
66039,1325.0,1320.0,1325.0,1320.0,15219800,BNLI,2020-09-15,,,1290.0,1323.5,1321.6360949962148
953,1325.0,1325.0,1325.0,1320.0,5994000,BNLI,2020-09-16,,,1291.8333333333333,1324.0,1322.3836294415003
56137,1325.0,1325.0,1330.0,1320.0,23917000,BNLI,2020-09-17,,,1294.0,1324.0,1322.965045121167
61917,1325.0,1325.0,1330.0,1325.0,11826300,BNLI,2020-09-18,,,1296.1666666666667,1324.0,1323.417257316463
71809,1325.0,1335.0,1335.0,1325.0,29168700,BNLI,2020-09-21,,,1299.0,1325.0,1325.991200135027
99831,1335.0,1330.0,1335.0,1330.0,913800,BNLI,2020-09-22,,,1301.8333333333333,1325.5,1326.8820445494655
76762,1330.0,1335.0,1335.0,1325.0,20312200,BNLI,2020-09-23,,,1304.6666666666667,1326.5,1328.6860346495844
65212,1330.0,1245.0,1330.0,1245.0,351700,BNLI,2020-09-24,,,1304.8333333333333,1318.5,1310.089138060788
96533,1245.0,1215.0,1250.0,1160.0,426100,BNLI,2020-09-25,,,1304.1666666666667,1308.0,1288.958218491724
59449,1215.0,1185.0,1220.0,1150.0,466800,BNLI,2020-09-28,,,1303.0,1294.0,1265.8563921602297
15769,1185.0,1225.0,1225.0,1175.0,199100,BNLI,2020-09-29,,,1301.8333333333333,1284.5,1256.7771939024008
84174,1225.0,1160.0,1230.0,1160.0,162000,BNLI,2020-09-30,,,1298.3333333333333,1268.0,1235.2711508129785
91574,1165.0,1180.0,1180.0,1160.0,32400,BNLI,2020-10-01,,,1295.1666666666667,1253.5,1222.988672854539
67692,1175.0,1130.0,1190.0,1130.0,168300,BNLI,2020-10-02,,,1290.5,1234.0,1202.324523331308
11666,1130.0,1170.0,1170.0,1130.0,33800,BNLI,2020-10-05,,,1287.1666666666667,1217.5,1195.1412959243507
