,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121191,350.0,350.0,350.0,330.0,65012200,BOBA,2021-11-01,,,,,
122058,342.0,348.0,436.0,326.0,296562000,BOBA,2021-11-02,,,,,
122925,360.0,328.0,386.0,324.0,158743000,BOBA,2021-11-03,,,,,
123792,328.0,306.0,330.0,306.0,26044200,BOBA,2021-11-04,,,,,
124659,306.0,308.0,324.0,290.0,49146500,BOBA,2021-11-05,,,,,
125526,308.0,294.0,308.0,290.0,13428000,BOBA,2021-11-08,,,,,
126393,294.0,308.0,312.0,294.0,21643300,BOBA,2021-11-09,,,,,
127259,310.0,298.0,312.0,294.0,9105800,BOBA,2021-11-10,,,,,317.5
128125,298.0,296.0,300.0,294.0,5063500,BOBA,2021-11-11,,,,,312.72222222222223
128991,300.0,290.0,300.0,286.0,5631500,BOBA,2021-11-12,,,,312.6,307.67283950617286
129858,290.0,286.0,292.0,280.0,5168100,BOBA,2021-11-15,,,,306.2,302.8566529492456
