,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
137,7300.0,7300.0,7300.0,7300.0,68000,BPII,2021-04-01,,,,,
977,7300.0,7300.0,7300.0,7300.0,130000,BPII,2021-04-05,,,,,
1817,7300.0,7300.0,7300.0,7300.0,120000,BPII,2021-04-06,,,,,
2657,7300.0,7300.0,7300.0,7300.0,125000,BPII,2021-04-07,,,,,
3499,7300.0,7300.0,7300.0,7300.0,131000,BPII,2021-04-08,,,,,
4341,7300.0,7300.0,7300.0,7300.0,135000,BPII,2021-04-09,,,,,
5184,7300.0,7300.0,7300.0,7300.0,132000,BPII,2021-04-12,,,,,
6028,7300.0,7300.0,7300.0,7300.0,250000,BPII,2021-04-13,,,,,7300.0
6872,7300.0,7300.0,7300.0,7300.0,270000,BPII,2021-04-14,,,,,7300.0
7717,7300.0,7300.0,7300.0,7300.0,265500,BPII,2021-04-15,,,,7300.0,7300.0
8561,7300.0,7300.0,7300.0,7300.0,260000,BPII,2021-04-16,,,,7300.0,7300.0
9405,7300.0,7300.0,7300.0,7300.0,270000,BPII,2021-04-19,,,,7300.0,7300.0
10249,7300.0,7300.0,7300.0,7300.0,265000,BPII,2021-04-20,,,,7300.0,7300.0
11093,7300.0,7300.0,7300.0,7300.0,150000,BPII,2021-04-21,,,,7300.0,7300.0
11937,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-22,,,,7300.0,7300.0
12781,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-23,,,,7300.0,7300.0
13625,7300.0,7300.0,7300.0,7300.0,100,BPII,2021-04-26,,,,7300.0,7300.0
14468,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-27,,,,7300.0,7300.0
15311,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-28,,,,7300.0,7300.0
16155,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-29,,,,7300.0,7300.0
16999,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-04-30,,,,7300.0,7300.0
17843,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-03,,,,7300.0,7300.0
18686,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-04,,,,7300.0,7300.0
19529,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-05,,,,7300.0,7300.0
20373,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-06,,,,7300.0,7300.0
21217,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-07,,,,7300.0,7300.0
22061,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-10,,,,7300.0,7300.0
22904,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-11,,,,7300.0,7300.0
23747,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-17,,,,7300.0,7300.0
24587,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-18,,,7300.0,7300.0,7300.0
25427,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-19,,,7300.0,7300.0,7300.0
26275,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-20,,,7300.0,7300.0,7300.0
27151,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-21,,,7300.0,7300.0,7300.0
27991,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-24,,,7300.0,7300.0,7300.0
28833,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-25,,,7300.0,7300.0,7300.0
29624,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-27,,,7300.0,7300.0,7300.0
30466,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-28,,,7300.0,7300.0,7300.0
31308,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-05-31,,,7300.0,7300.0,7300.0
32150,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-02,,,7300.0,7300.0,7300.0
32992,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-03,,,7300.0,7300.0,7300.0
33833,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-04,,,7300.0,7300.0,7300.0
34674,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-07,,,7300.0,7300.0,7300.0
35515,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-08,,,7300.0,7300.0,7300.0
36358,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-09,,,7300.0,7300.0,7300.0
37201,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-10,,,7300.0,7300.0,7300.0
38048,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-11,,,7300.0,7300.0,7300.0
38895,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-14,,,7300.0,7300.0,7300.0
39742,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-15,,,7300.0,7300.0,7300.0
40589,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-16,,,7300.0,7300.0,7300.0
41436,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-17,,,7300.0,7300.0,7300.0
42283,7300.0,7300.0,7300.0,7300.0,100,BPII,2021-06-18,,,7300.0,7300.0,7300.0
43130,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-21,,,7300.0,7300.0,7300.0
43977,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-22,,,7300.0,7300.0,7300.0
44824,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-23,,,7300.0,7300.0,7300.0
45671,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-24,,,7300.0,7300.0,7300.0
46518,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-25,,,7300.0,7300.0,7300.0
47366,7300.0,7300.0,7300.0,7300.0,0,BPII,2021-06-28,,,7300.0,7300.0,7300.0
