,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
123726,1165.0,1150.0,1165.0,1140.0,29553500,BRPT,2020-07-01,,,,,
131147,1135.0,1150.0,1175.0,1135.0,45634500,BRPT,2020-07-02,,,,,
104821,1165.0,1180.0,1215.0,1150.0,74959000,BRPT,2020-07-03,,,,,
86680,1190.0,1170.0,1200.0,1165.0,37481300,BRPT,2020-07-06,,,,,
33909,1180.0,1160.0,1210.0,1160.0,53091400,BRPT,2020-07-07,,,,,
48754,1170.0,1190.0,1200.0,1165.0,44964500,BRPT,2020-07-08,,,,,
117149,1195.0,1225.0,1250.0,1190.0,83651700,BRPT,2020-07-09,,,,,
23205,1240.0,1220.0,1255.0,1215.0,58952900,BRPT,2020-07-10,,,,,1180.625
14969,1230.0,1240.0,1250.0,1220.0,47032200,BRPT,2020-07-13,,,,,1193.8194444444443
31447,1240.0,1280.0,1290.0,1230.0,96912200,BRPT,2020-07-14,,,,1196.5,1212.9706790123455
92452,1300.0,1250.0,1310.0,1245.0,61372600,BRPT,2020-07-15,,,,1206.5,1221.199417009602
21560,1255.0,1250.0,1275.0,1225.0,50708800,BRPT,2020-07-16,,,,1216.5,1227.5995465630238
107258,1250.0,1255.0,1270.0,1235.0,36200300,BRPT,2020-07-17,,,,1224.0,1233.6885362156852
80092,1270.0,1250.0,1270.0,1235.0,44387600,BRPT,2020-07-20,,,,1232.0,1237.3133059455329
105629,1250.0,1210.0,1250.0,1205.0,59103600,BRPT,2020-07-21,,,,1237.0,1231.243682402081
96572,1225.0,1180.0,1230.0,1175.0,60466100,BRPT,2020-07-22,,,,1236.0,1219.8561974238407
8378,1180.0,1185.0,1210.0,1160.0,56787400,BRPT,2020-07-23,,,,1232.0,1212.1103757740984
104007,1190.0,1175.0,1190.0,1165.0,27929400,BRPT,2020-07-24,,,,1227.5,1203.8636256020766
57003,1150.0,1095.0,1150.0,1095.0,84700300,BRPT,2020-07-27,,,,1213.0,1179.671708801615
41326,1085.0,1020.0,1085.0,1020.0,32173500,BRPT,2020-07-28,,,,1187.0,1144.1891068457005
113860,1010.0,950.0,1030.0,950.0,57125700,BRPT,2020-07-29,,,,1157.0,1101.0359719911005
82546,890.0,950.0,1050.0,885.0,396283500,BRPT,2020-07-30,,,,1127.0,1067.4724226597448
120446,950.0,895.0,980.0,885.0,140277400,BRPT,2020-08-03,,,,1091.0,1029.145217624246
6741,930.0,890.0,935.0,860.0,161299700,BRPT,2020-08-04,,,,1055.0,998.2240581521913
55359,900.0,900.0,925.0,860.0,148987900,BRPT,2020-08-05,,,,1024.0,976.3964896739266
71848,915.0,920.0,945.0,900.0,118474400,BRPT,2020-08-06,,,,998.0,963.863936413054
43797,925.0,885.0,930.0,880.0,80078800,BRPT,2020-08-07,,,,968.0,946.3386172101532
101528,890.0,880.0,900.0,870.0,72019600,BRPT,2020-08-10,,,,938.5,931.5967022745635
54543,895.0,935.0,940.0,880.0,144104800,BRPT,2020-08-11,,,,922.5,932.3529906579938
122909,945.0,925.0,945.0,915.0,88289900,BRPT,2020-08-12,,,1098.8333333333333,913.0,930.7189927339952
64424,930.0,910.0,935.0,910.0,45745000,BRPT,2020-08-13,,,1090.8333333333333,909.0,926.1147721264407
89995,915.0,915.0,920.0,900.0,62080600,BRPT,2020-08-14,,,1083.0,905.5,923.6448227650094
62780,915.0,930.0,935.0,910.0,67477600,BRPT,2020-08-18,,,1074.6666666666667,909.0,925.0570843727851
91636,930.0,925.0,935.0,920.0,49609600,BRPT,2020-08-19,,,1066.5,912.5,925.0443989566106
10026,930.0,900.0,930.0,900.0,52852400,BRPT,2020-08-24,,,1057.8333333333333,912.5,919.4789769662527
131955,910.0,905.0,925.0,890.0,57359100,BRPT,2020-08-25,,,1048.3333333333333,911.0,916.2614265293076
106442,910.0,895.0,915.0,895.0,42532400,BRPT,2020-08-26,,,1037.3333333333333,912.0,911.5366650783504
3446,900.0,895.0,900.0,885.0,47009500,BRPT,2020-08-27,,,1026.5,913.5,907.8618506164947
80905,895.0,890.0,900.0,880.0,109168500,BRPT,2020-08-28,,,1014.8333333333334,909.0,903.8925504794959
27326,890.0,840.0,895.0,840.0,126337700,BRPT,2020-08-31,,,1000.1666666666666,900.5,889.6942059284968
34721,840.0,855.0,860.0,815.0,52614400,BRPT,2020-09-01,,,987.0,895.0,881.9843823888308
38859,860.0,830.0,865.0,830.0,66832600,BRPT,2020-09-02,,,973.0,886.5,870.432297413535
70196,830.0,820.0,840.0,805.0,50829300,BRPT,2020-09-03,,,958.5,875.5,859.2251202105273
12502,820.0,780.0,820.0,770.0,90844000,BRPT,2020-09-04,,,942.8333333333334,861.0,841.6195379415212
26507,785.0,825.0,840.0,775.0,115431000,BRPT,2020-09-07,,,930.0,853.5,837.9263072878498
110554,825.0,815.0,850.0,805.0,86677300,BRPT,2020-09-08,,,917.8333333333334,844.5,832.8315723349942
124535,800.0,800.0,845.0,800.0,126860600,BRPT,2020-09-09,,,905.0,835.0,825.5356673716622
7555,750.0,745.0,800.0,745.0,65048300,BRPT,2020-09-10,,,890.6666666666666,820.0,807.6388524001817
17432,740.0,730.0,750.0,695.0,113349000,BRPT,2020-09-11,,,878.5,804.0,790.3857740890302
44612,730.0,815.0,815.0,730.0,104262400,BRPT,2020-09-14,,,871.6666666666666,801.5,795.8556020692457
67719,820.0,780.0,835.0,780.0,67852900,BRPT,2020-09-15,,,866.0,794.0,792.3321349427466
965,785.0,785.0,795.0,770.0,52499100,BRPT,2020-09-16,,,860.5,789.5,790.7027716221363
57817,785.0,765.0,790.0,760.0,51310800,BRPT,2020-09-17,,,856.1666666666666,784.0,784.991044594995
