,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126231,530.0,510.0,530.0,510.0,5900,BSIM,2020-07-01,,,,,
133652,535.0,494.0,535.0,486.0,9500,BSIM,2020-07-02,,,,,
107326,494.0,500.0,535.0,494.0,3800,BSIM,2020-07-03,,,,,
89185,500.0,525.0,525.0,494.0,3000,BSIM,2020-07-06,,,,,
33912,525.0,525.0,525.0,505.0,3600,BSIM,2020-07-07,,,,,
51259,530.0,520.0,530.0,515.0,3200,BSIM,2020-07-08,,,,,
119654,520.0,510.0,520.0,500.0,9200,BSIM,2020-07-09,,,,,
23208,520.0,520.0,520.0,500.0,400,BSIM,2020-07-10,,,,,513.0
14972,520.0,520.0,520.0,500.0,4500,BSIM,2020-07-13,,,,,514.5555555555555
31450,498.0,510.0,515.0,496.0,9800,BSIM,2020-07-14,,,,513.4,513.5432098765432
94957,515.0,515.0,515.0,515.0,6700,BSIM,2020-07-15,,,,513.9,513.8669410150892
21563,515.0,515.0,515.0,500.0,1100,BSIM,2020-07-16,,,,516.0,514.1187319006249
109763,515.0,520.0,520.0,510.0,7600,BSIM,2020-07-17,,,,518.0,515.4256803671527
82597,530.0,520.0,530.0,520.0,4300,BSIM,2020-07-20,,,,517.5,516.4421958411187
108134,505.0,515.0,515.0,500.0,7200,BSIM,2020-07-21,,,,516.5,516.1217078764257
99077,520.0,510.0,530.0,510.0,95200,BSIM,2020-07-22,,,,515.5,514.7613283483311
8381,500.0,515.0,515.0,500.0,3800,BSIM,2020-07-23,,,,516.0,514.8143664931464
106512,505.0,510.0,510.0,500.0,2100,BSIM,2020-07-24,,,,515.0,513.7445072724472
59508,515.0,515.0,515.0,515.0,100200,BSIM,2020-07-27,,,,514.5,514.0235056563479
42997,505.0,510.0,520.0,505.0,4900,BSIM,2020-07-28,,,,514.5,513.1293932882705
116365,515.0,515.0,515.0,515.0,200,BSIM,2020-07-29,,,,514.5,513.5450836686549
85051,520.0,515.0,520.0,500.0,700,BSIM,2020-07-30,,,,514.5,513.8683984089538
122951,515.0,515.0,515.0,505.0,1100,BSIM,2020-08-03,,,,514.0,514.1198654291862
6744,520.0,510.0,520.0,505.0,17000,BSIM,2020-08-04,,,,513.0,513.204339778256
57864,500.0,510.0,515.0,500.0,2100,BSIM,2020-08-05,,,,512.5,512.4922642719769
74353,500.0,515.0,515.0,500.0,10400,BSIM,2020-08-06,,,,513.0,513.0495388782042
46302,500.0,515.0,515.0,500.0,5300,BSIM,2020-08-07,,,,513.0,513.4829746830477
104033,500.0,510.0,515.0,500.0,7200,BSIM,2020-08-10,,,,513.0,512.7089803090371
57048,510.0,510.0,510.0,505.0,11900,BSIM,2020-08-11,,,,512.5,512.1069846848067
125414,500.0,510.0,510.0,500.0,32600,BSIM,2020-08-12,,,513.4666666666667,512.5,511.63876586596075
66929,500.0,505.0,505.0,500.0,38900,BSIM,2020-08-13,,,513.3,511.5,510.16348456241394
92500,505.0,510.0,515.0,505.0,65700,BSIM,2020-08-14,,,513.8333333333334,511.0,510.1271546596553
65285,505.0,505.0,505.0,500.0,7500,BSIM,2020-08-18,,,514.0,510.0,508.9877869575097
94141,510.0,505.0,510.0,500.0,4900,BSIM,2020-08-19,,,513.3333333333334,509.5,508.1016120780631
10029,505.0,510.0,510.0,505.0,500300,BSIM,2020-08-24,,,512.8333333333334,509.5,508.5234760607158
134460,510.0,505.0,510.0,500.0,27100,BSIM,2020-08-25,,,512.3333333333334,508.5,507.74048138055673
108947,500.0,505.0,505.0,500.0,3700,BSIM,2020-08-26,,,512.1666666666666,507.5,507.1314855182108
3449,500.0,510.0,510.0,500.0,29500,BSIM,2020-08-27,,,511.8333333333333,507.5,507.76893318083063
83410,505.0,510.0,510.0,505.0,4100,BSIM,2020-08-28,,,511.5,507.5,508.2647258073127
27329,510.0,505.0,510.0,500.0,14600,BSIM,2020-08-31,,,511.3333333333333,507.0,507.5392311834654
34724,500.0,505.0,505.0,500.0,400,BSIM,2020-09-01,,,511.0,507.0,506.9749575871398
38862,500.0,505.0,505.0,500.0,10800,BSIM,2020-09-02,,,510.6666666666667,506.5,506.5360781233309
72701,500.0,500.0,500.0,500.0,4800,BSIM,2020-09-03,,,510.0,506.0,505.08361631814626
12505,500.0,500.0,500.0,494.0,8300,BSIM,2020-09-04,,,509.3333333333333,505.5,503.9539238030026
26510,505.0,505.0,505.0,496.0,600,BSIM,2020-09-07,,,509.0,505.0,504.1863851801132
113059,500.0,500.0,500.0,500.0,6000,BSIM,2020-09-08,,,508.6666666666667,504.5,503.25607736231024
127040,500.0,500.0,500.0,500.0,0,BSIM,2020-09-09,,,508.1666666666667,504.0,502.53250461513016
7558,496.0,496.0,496.0,496.0,2500,BSIM,2020-09-10,,,507.7,502.6,501.08083692287903
17435,515.0,462.0,515.0,462.0,461100,BSIM,2020-09-11,,,505.93333333333334,497.8,492.3962064955726
47117,482.0,464.0,482.0,452.0,120700,BSIM,2020-09-14,,,504.4,493.7,486.08593838544533
70224,484.0,478.0,484.0,464.0,29700,BSIM,2020-09-15,,,503.1666666666667,491.0,484.2890631886797
968,498.0,476.0,498.0,476.0,11200,BSIM,2020-09-16,,,501.8666666666667,488.1,482.4470491467509
60322,496.0,488.0,496.0,488.0,1900,BSIM,2020-09-17,,,500.96666666666664,486.9,483.6810382252507
66102,505.0,480.0,505.0,480.0,1100,BSIM,2020-09-18,,,499.96666666666664,484.9,482.86302973075055
75994,490.0,480.0,498.0,480.0,28600,BSIM,2020-09-21,,,498.96666666666664,482.4,482.2268009016949
