,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120398,50.0,50.0,50.0,50.0,0,BTEL,2020-07-01,,,,,
127819,50.0,50.0,50.0,50.0,0,BTEL,2020-07-02,,,,,
101493,50.0,50.0,50.0,50.0,0,BTEL,2020-07-03,,,,,
84186,50.0,50.0,50.0,50.0,0,BTEL,2020-07-06,,,,,
33917,50.0,50.0,50.0,50.0,0,BTEL,2020-07-07,,,,,
47094,50.0,50.0,50.0,50.0,0,BTEL,2020-07-08,,,,,
113821,50.0,50.0,50.0,50.0,0,BTEL,2020-07-09,,,,,
23213,50.0,50.0,50.0,50.0,0,BTEL,2020-07-10,,,,,50.0
14977,50.0,50.0,50.0,50.0,0,BTEL,2020-07-13,,,,,50.0
31455,50.0,50.0,50.0,50.0,0,BTEL,2020-07-14,,,,50.0,50.0
89124,50.0,50.0,50.0,50.0,0,BTEL,2020-07-15,,,,50.0,50.0
21568,50.0,50.0,50.0,50.0,0,BTEL,2020-07-16,,,,50.0,50.0
103930,50.0,50.0,50.0,50.0,0,BTEL,2020-07-17,,,,50.0,50.0
77598,50.0,50.0,50.0,50.0,0,BTEL,2020-07-20,,,,50.0,50.0
102301,50.0,50.0,50.0,50.0,0,BTEL,2020-07-21,,,,50.0,50.0
93244,50.0,50.0,50.0,50.0,0,BTEL,2020-07-22,,,,50.0,50.0
8386,50.0,50.0,50.0,50.0,0,BTEL,2020-07-23,,,,50.0,50.0
100679,50.0,50.0,50.0,50.0,0,BTEL,2020-07-24,,,,50.0,50.0
54509,50.0,50.0,50.0,50.0,0,BTEL,2020-07-27,,,,50.0,50.0
41334,50.0,50.0,50.0,50.0,0,BTEL,2020-07-28,,,,50.0,50.0
110532,50.0,50.0,50.0,50.0,0,BTEL,2020-07-29,,,,50.0,50.0
80052,50.0,50.0,50.0,50.0,0,BTEL,2020-07-30,,,,50.0,50.0
117118,50.0,50.0,50.0,50.0,0,BTEL,2020-08-03,,,,50.0,50.0
6749,50.0,50.0,50.0,50.0,0,BTEL,2020-08-04,,,,50.0,50.0
52865,50.0,50.0,50.0,50.0,0,BTEL,2020-08-05,,,,50.0,50.0
69354,50.0,50.0,50.0,50.0,0,BTEL,2020-08-06,,,,50.0,50.0
42971,50.0,50.0,50.0,50.0,0,BTEL,2020-08-07,,,,50.0,50.0
98200,50.0,50.0,50.0,50.0,0,BTEL,2020-08-10,,,,50.0,50.0
