,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
154,2840.0,2840.0,2840.0,2820.0,3200,BTPN,2021-04-01,,,,,
994,2880.0,2790.0,2880.0,2790.0,20700,BTPN,2021-04-05,,,,,
1834,2800.0,2790.0,2810.0,2780.0,42300,BTPN,2021-04-06,,,,,
2674,2780.0,2800.0,2830.0,2780.0,17900,BTPN,2021-04-07,,,,,
3516,2830.0,2800.0,2830.0,2800.0,17900,BTPN,2021-04-08,,,,,
4358,2800.0,2810.0,2830.0,2790.0,42000,BTPN,2021-04-09,,,,,
5201,2770.0,2870.0,3000.0,2750.0,15700,BTPN,2021-04-12,,,,,
6045,2860.0,2800.0,2860.0,2790.0,50000,BTPN,2021-04-13,,,,,2812.5
6889,2800.0,2820.0,2830.0,2780.0,11600,BTPN,2021-04-14,,,,,2814.1666666666665
7734,2830.0,2820.0,2830.0,2820.0,20400,BTPN,2021-04-15,,,,2814.0,2815.462962962963
8578,2820.0,2800.0,2820.0,2790.0,16400,BTPN,2021-04-16,,,,2810.0,2812.0267489711937
9422,2800.0,2800.0,2800.0,2790.0,20600,BTPN,2021-04-19,,,,2811.0,2809.3541380887063
10266,2800.0,2800.0,2800.0,2780.0,8300,BTPN,2021-04-20,,,,2812.0,2807.2754407356606
11110,2820.0,2790.0,2820.0,2780.0,36300,BTPN,2021-04-21,,,,2811.0,2803.4364539055136
11954,2800.0,2780.0,2800.0,2760.0,48100,BTPN,2021-04-22,,,,2809.0,2798.2283530376217
12798,2780.0,2800.0,2800.0,2750.0,31500,BTPN,2021-04-23,,,,2808.0,2798.622052362595
13642,2800.0,2790.0,2800.0,2780.0,3700,BTPN,2021-04-26,,,,2800.0,2796.7060407264626
14485,2790.0,2810.0,2810.0,2750.0,50200,BTPN,2021-04-27,,,,2801.0,2799.6602538983598
15328,2810.0,2780.0,2820.0,2740.0,54400,BTPN,2021-04-28,,,,2797.0,2795.291308587613
16172,2780.0,2780.0,2790.0,2750.0,126800,BTPN,2021-04-29,,,,2793.0,2791.8932400125877
17016,2790.0,2790.0,2800.0,2780.0,5900,BTPN,2021-04-30,,,,2792.0,2791.4725200097905
17860,2790.0,2830.0,2830.0,2790.0,119000,BTPN,2021-05-03,,,,2795.0,2800.034182229837
18703,2830.0,2840.0,2920.0,2830.0,96800,BTPN,2021-05-04,,,,2799.0,2808.9154750676507
19546,2840.0,2840.0,2840.0,2810.0,36000,BTPN,2021-05-05,,,,2804.0,2815.8231472748394
20390,2810.0,2820.0,2820.0,2800.0,87000,BTPN,2021-05-06,,,,2808.0,2816.7513367693196
21234,2810.0,2810.0,2820.0,2800.0,15800,BTPN,2021-05-07,,,,2809.0,2815.2510397094707
22078,2800.0,2840.0,2900.0,2800.0,68900,BTPN,2021-05-10,,,,2814.0,2820.750808662922
22921,2840.0,2810.0,2840.0,2810.0,34100,BTPN,2021-05-11,,,,2814.0,2818.3617400711614
23763,2830.0,2800.0,2830.0,2780.0,77500,BTPN,2021-05-17,,,,2816.0,2814.281353388681
24603,2800.0,2810.0,2810.0,2800.0,6600,BTPN,2021-05-18,,,2808.6666666666665,2819.0,2813.3299415245297
25443,2810.0,2810.0,2810.0,2800.0,7200,BTPN,2021-05-19,,,2807.6666666666665,2821.0,2812.5899545190787
26294,2790.0,2810.0,2810.0,2790.0,10000,BTPN,2021-05-20,,,2808.3333333333335,2819.0,2812.0144090703943
27167,2810.0,2790.0,2810.0,2750.0,7800,BTPN,2021-05-21,,,2808.3333333333335,2814.0,2807.1223181658625
28007,2790.0,2800.0,2800.0,2770.0,21900,BTPN,2021-05-24,,,2808.3333333333335,2810.0,2805.5395807956706
28849,2800.0,2780.0,2800.0,2760.0,20400,BTPN,2021-05-25,,,2807.6666666666665,2806.0,2799.864118396633
29640,2780.0,2780.0,2790.0,2750.0,65300,BTPN,2021-05-27,,,2806.6666666666665,2803.0,2795.4498698640477
30482,2760.0,2750.0,2760.0,2740.0,15100,BTPN,2021-05-28,,,2802.6666666666665,2794.0,2785.349898783148
31324,2750.0,2800.0,2800.0,2700.0,76200,BTPN,2021-05-31,,,2802.6666666666665,2793.0,2788.6054768313375
32166,2810.0,2820.0,2830.0,2800.0,95900,BTPN,2021-06-02,,,2802.6666666666665,2795.0,2795.5820375354847
33007,2830.0,2830.0,2850.0,2830.0,7000,BTPN,2021-06-03,,,2803.0,2797.0,2803.2304736387105
33848,2830.0,2840.0,2840.0,2800.0,53600,BTPN,2021-06-04,,,2804.3333333333335,2800.0,2811.4014794967748
34689,2850.0,2860.0,2860.0,2820.0,169300,BTPN,2021-06-07,,,2806.3333333333335,2805.0,2822.2011507197135
35530,2870.0,2860.0,2880.0,2840.0,83900,BTPN,2021-06-08,,,2808.3333333333335,2812.0,2830.6008950042215
36373,2860.0,2840.0,2860.0,2830.0,5900,BTPN,2021-06-09,,,2810.0,2816.0,2832.6895850032834
37216,2840.0,2840.0,2850.0,2800.0,22300,BTPN,2021-06-10,,,2812.0,2822.0,2834.31412166922
38063,2860.0,2840.0,2860.0,2840.0,46100,BTPN,2021-06-11,,,2813.3333333333335,2828.0,2835.5776501871715
38910,2850.0,2820.0,2870.0,2820.0,59900,BTPN,2021-06-14,,,2814.3333333333335,2835.0,2832.1159501455777
