,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
156,108.0,110.0,113.0,108.0,6494100,BUDI,2021-04-01,,,,,
996,111.0,117.0,117.0,109.0,8396100,BUDI,2021-04-05,,,,,
1836,117.0,113.0,119.0,110.0,5683900,BUDI,2021-04-06,,,,,
2676,113.0,113.0,114.0,110.0,1494000,BUDI,2021-04-07,,,,,
3518,113.0,111.0,114.0,110.0,1405000,BUDI,2021-04-08,,,,,
4360,111.0,110.0,111.0,107.0,2583600,BUDI,2021-04-09,,,,,
5203,110.0,108.0,112.0,107.0,2019900,BUDI,2021-04-12,,,,,
6047,109.0,108.0,109.0,106.0,1111700,BUDI,2021-04-13,,,,,111.25
6891,107.0,109.0,109.0,107.0,667300,BUDI,2021-04-14,,,,,110.75
7736,109.0,108.0,110.0,106.0,1426200,BUDI,2021-04-15,,,,110.7,110.13888888888889
8580,108.0,107.0,110.0,105.0,1958800,BUDI,2021-04-16,,,,110.4,109.44135802469135
9424,108.0,108.0,110.0,106.0,1764300,BUDI,2021-04-19,,,,109.5,109.12105624142661
10268,108.0,107.0,109.0,107.0,451600,BUDI,2021-04-20,,,,108.9,108.64971040999848
11112,108.0,108.0,109.0,106.0,1036000,BUDI,2021-04-21,,,,108.4,108.5053303188877
11956,108.0,108.0,109.0,107.0,479700,BUDI,2021-04-22,,,,108.1,108.3930346924682
12800,108.0,107.0,109.0,106.0,470400,BUDI,2021-04-23,,,,107.8,108.08347142747527
13644,107.0,106.0,109.0,104.0,2365900,BUDI,2021-04-26,,,,107.6,107.62047777692521
14487,106.0,105.0,107.0,105.0,952000,BUDI,2021-04-27,,,,107.3,107.03814938205295
15330,105.0,105.0,106.0,104.0,743900,BUDI,2021-04-28,,,,106.9,106.5852272971523
16174,105.0,108.0,108.0,105.0,988200,BUDI,2021-04-29,,,,106.9,106.89962123111846
17018,109.0,125.0,129.0,105.0,36005600,BUDI,2021-04-30,,,,108.7,110.92192762420325
17862,125.0,168.0,168.0,125.0,154585000,BUDI,2021-05-03,,,,114.7,123.60594370771364
18705,178.0,157.0,178.0,157.0,25609800,BUDI,2021-05-04,,,,119.7,131.02684510599948
19548,148.0,147.0,150.0,147.0,10176200,BUDI,2021-05-05,,,,123.6,134.57643508244405
20392,137.0,184.0,193.0,137.0,242170000,BUDI,2021-05-06,,,,131.2,145.55944950856758
21236,187.0,183.0,210.0,172.0,145245900,BUDI,2021-05-07,,,,138.8,153.879571839997
22080,183.0,193.0,212.0,175.0,120455800,BUDI,2021-05-10,,,,147.5,162.57300031999767
22923,194.0,189.0,204.0,186.0,32327100,BUDI,2021-05-11,,,,155.9,168.44566691555374
23765,190.0,176.0,192.0,176.0,16389600,BUDI,2021-05-17,,,,163.0,170.12440760098625
24605,176.0,204.0,210.0,164.0,64325500,BUDI,2021-05-18,,,130.06666666666666,172.6,177.6523170229893
25445,208.0,226.0,234.0,198.0,123529600,BUDI,2021-05-19,,,133.93333333333334,182.7,188.39624657343612
26297,230.0,212.0,232.0,212.0,56191400,BUDI,2021-05-20,,,137.1,187.1,193.64152511267253
27169,210.0,198.0,210.0,198.0,36299900,BUDI,2021-05-21,,,139.93333333333334,191.2,194.6100750876342
28009,198.0,218.0,224.0,191.0,74797400,BUDI,2021-05-24,,,143.43333333333334,198.3,199.80783617927102
28851,222.0,204.0,226.0,204.0,48773100,BUDI,2021-05-25,,,146.53333333333333,200.3,200.73942813943302
29642,204.0,206.0,216.0,200.0,26290500,BUDI,2021-05-27,,,149.73333333333332,202.6,201.9084441084479
30484,206.0,193.0,208.0,193.0,15804200,BUDI,2021-05-28,,,152.56666666666666,202.6,199.92878986212614
31326,194.0,190.0,204.0,190.0,21510200,BUDI,2021-05-31,,,155.3,202.7,197.722392114987
32168,193.0,196.0,202.0,190.0,18273700,BUDI,2021-06-02,,,158.2,204.7,197.33963831165656
33009,200.0,190.0,200.0,187.0,16935500,BUDI,2021-06-03,,,160.93333333333334,203.3,195.70860757573288
33850,191.0,195.0,202.0,190.0,27146400,BUDI,2021-06-04,,,163.86666666666667,200.2,195.55113922557
34691,195.0,195.0,210.0,195.0,34347500,BUDI,2021-06-07,,,166.76666666666668,198.5,195.42866384211
35532,197.0,191.0,199.0,191.0,12345300,BUDI,2021-06-08,,,169.56666666666666,197.8,194.44451632164112
36375,191.0,192.0,194.0,190.0,8084400,BUDI,2021-06-09,,,172.36666666666667,195.2,193.90129047238753
37218,192.0,185.0,193.0,185.0,14254700,BUDI,2021-06-10,,,174.93333333333334,193.3,191.92322592296807
38065,184.0,180.0,185.0,177.0,12481200,BUDI,2021-06-11,,,177.36666666666667,190.7,189.2736201623085
38912,180.0,178.0,184.0,178.0,5749000,BUDI,2021-06-14,,,179.76666666666668,189.2,186.76837123735106
39759,178.0,178.0,190.0,175.0,25073700,BUDI,2021-06-15,,,182.2,188.0,184.8198442957175
40606,181.0,194.0,210.0,181.0,164126200,BUDI,2021-06-16,,,185.16666666666666,187.8,186.85987889666916
41453,194.0,183.0,195.0,183.0,22494800,BUDI,2021-06-17,,,187.66666666666666,187.1,186.00212803074268
42300,183.0,178.0,186.0,178.0,12069300,BUDI,2021-06-18,,,189.43333333333334,185.4,184.2238773572443
43147,179.0,169.0,180.0,169.0,10631300,BUDI,2021-06-21,,,189.46666666666667,182.8,180.84079350007892
43994,170.0,180.0,182.0,170.0,13099400,BUDI,2021-06-22,,,190.23333333333332,181.7,180.65395050006137
44841,186.0,175.0,188.0,173.0,9050400,BUDI,2021-06-23,,,191.16666666666666,180.0,179.3975170556033
45688,175.0,173.0,178.0,171.0,4472500,BUDI,2021-06-24,,,190.8,178.8,177.97584659880255
46535,175.0,173.0,178.0,171.0,4879700,BUDI,2021-06-25,,,190.46666666666667,178.1,176.87010291017975
47383,173.0,165.0,175.0,165.0,6425500,BUDI,2021-06-28,,,189.53333333333333,176.8,174.23230226347314
48229,165.0,161.0,169.0,158.0,6923200,BUDI,2021-06-29,,,188.6,175.1,171.291790649368
49023,162.0,161.0,167.0,158.0,7343100,BUDI,2021-06-30,,,188.1,171.8,169.00472606061956
49874,161.0,165.0,176.0,161.0,20744600,BUDI,2021-07-01,,,186.8,170.0,168.11478693603743
50725,169.0,172.0,175.0,164.0,17672700,BUDI,2021-07-02,,,185.0,169.4,168.978167616918
51576,176.0,165.0,176.0,164.0,6901100,BUDI,2021-07-05,,,183.43333333333334,169.0,168.094130368714
52428,165.0,166.0,172.0,162.0,6937700,BUDI,2021-07-06,,,182.36666666666667,167.6,167.62876806455532
53274,165.0,165.0,167.0,164.0,2357300,BUDI,2021-07-07,,,180.6,166.6,167.04459738354302
54090,166.0,166.0,170.0,163.0,5152200,BUDI,2021-07-08,,,179.33333333333334,165.9,166.81246463164456
54941,166.0,170.0,184.0,164.0,42975700,BUDI,2021-07-09,,,178.13333333333333,165.6,167.52080582461244
55794,172.0,174.0,177.0,170.0,9186100,BUDI,2021-07-12,,,177.5,166.5,168.96062675247634
56647,174.0,178.0,181.0,172.0,17151300,BUDI,2021-07-13,,,177.1,168.2,170.96937636303716
57500,178.0,192.0,208.0,178.0,158850700,BUDI,2021-07-14,,,176.96666666666667,171.3,175.64284828236222
58353,194.0,180.0,194.0,180.0,27239700,BUDI,2021-07-15,,,176.63333333333333,172.8,176.61110421961507
59206,180.0,186.0,189.0,175.0,37757000,BUDI,2021-07-16,,,176.33333333333334,174.2,178.69752550414506
60059,186.0,179.0,187.0,177.0,16361200,BUDI,2021-07-19,,,175.8,175.6,178.7647420587795
60911,180.0,177.0,181.0,177.0,5395100,BUDI,2021-07-21,,,175.33333333333334,176.7,178.3725771568285
61763,178.0,183.0,184.0,177.0,7885600,BUDI,2021-07-22,,,175.03333333333333,178.5,179.40089334419994
62615,184.0,194.0,202.0,183.0,76009100,BUDI,2021-07-23,,,175.33333333333334,181.3,182.64513926771107
63467,198.0,189.0,198.0,187.0,20096100,BUDI,2021-07-26,,,175.63333333333333,183.2,184.05733054155306
64319,190.0,222.0,234.0,188.0,199381300,BUDI,2021-07-27,,,177.1,188.0,192.48903486565237
65173,224.0,210.0,230.0,208.0,112596900,BUDI,2021-07-28,,,178.16666666666666,191.2,196.38036045106296
66027,214.0,212.0,218.0,204.0,39652800,BUDI,2021-07-29,,,178.76666666666668,193.2,199.85139146193785
66881,218.0,206.0,222.0,206.0,45802300,BUDI,2021-07-30,,,179.53333333333333,195.8,201.21774891484054
67735,208.0,202.0,210.0,198.0,18219600,BUDI,2021-08-02,,,180.33333333333334,197.4,201.39158248932043
68589,204.0,220.0,226.0,202.0,99098900,BUDI,2021-08-03,,,182.03333333333333,201.5,205.52678638058256
69443,216.0,238.0,242.0,212.0,105259000,BUDI,2021-08-04,,,183.96666666666667,207.6,212.74305607378645
70297,242.0,222.0,266.0,222.0,164962200,BUDI,2021-08-05,,,185.53333333333333,211.5,214.8001547240561
71151,222.0,212.0,222.0,210.0,35096100,BUDI,2021-08-06,,,186.83333333333334,213.3,214.17789811871032
72006,214.0,210.0,222.0,204.0,19248800,BUDI,2021-08-09,,,188.06666666666666,215.4,213.24947631455248
72861,210.0,200.0,210.0,196.0,22071900,BUDI,2021-08-10,,,189.23333333333332,213.2,210.30514824465192
73716,200.0,194.0,214.0,191.0,36992100,BUDI,2021-08-12,,,190.33333333333334,211.6,206.6817819680626
74571,194.0,208.0,212.0,190.0,77046500,BUDI,2021-08-13,,,191.9,211.2,206.97471930849315
75426,210.0,194.0,214.0,194.0,45611400,BUDI,2021-08-16,,,192.86666666666667,210.0,204.09144835105022
76281,195.0,183.0,200.0,182.0,18605500,BUDI,2021-08-18,,,193.23333333333332,208.1,199.4044598285946
77136,183.0,175.0,183.0,173.0,13556700,BUDI,2021-08-19,,,193.56666666666666,203.6,193.98124653335137
77991,175.0,184.0,192.0,174.0,38658500,BUDI,2021-08-20,,,194.16666666666666,198.2,191.76319174816217
78846,186.0,189.0,200.0,186.0,34224300,BUDI,2021-08-23,,,194.96666666666667,194.9,191.14914913745946
79701,190.0,198.0,204.0,190.0,50906500,BUDI,2021-08-24,,,196.03333333333333,193.5,192.67156044024625
80556,200.0,193.0,206.0,191.0,28557100,BUDI,2021-08-25,,,196.8,191.8,192.7445470090804
81411,195.0,192.0,198.0,191.0,6743100,BUDI,2021-08-26,,,197.4,191.0,192.57909211817366
82266,194.0,189.0,194.0,187.0,8411900,BUDI,2021-08-27,,,197.76666666666668,190.5,191.78373831413506
83121,189.0,194.0,198.0,189.0,13972300,BUDI,2021-08-30,,,197.83333333333334,189.1,192.27624091099395
83976,194.0,190.0,196.0,190.0,5780400,BUDI,2021-08-31,171.79,,198.16666666666666,188.7,191.77040959743974
84831,191.0,192.0,196.0,191.0,9762800,BUDI,2021-09-01,172.61,,198.36666666666667,189.6,191.82142968689757
85687,193.0,191.0,196.0,191.0,9251200,BUDI,2021-09-02,173.35,,198.76666666666668,191.2,191.6388897564759
86543,192.0,197.0,200.0,190.0,31430300,BUDI,2021-09-03,174.19,,199.43333333333334,192.5,192.83024758837013
87399,200.0,196.0,206.0,196.0,47367100,BUDI,2021-09-06,175.02,,199.86666666666667,193.2,193.53463701317676
88259,197.0,196.0,200.0,196.0,14657400,BUDI,2021-09-07,175.87,,199.93333333333334,193.0,194.08249545469303
89120,196.0,187.0,196.0,187.0,14331900,BUDI,2021-09-08,176.64,,199.86666666666667,192.4,192.50860757587236
89987,188.0,184.0,189.0,183.0,9749100,BUDI,2021-09-09,177.4,,198.6,191.6,190.61780589234516
90855,185.0,180.0,185.0,177.0,33346400,BUDI,2021-09-10,178.12,,197.6,190.7,188.258293471824
91723,180.0,185.0,187.0,176.0,36387600,BUDI,2021-09-13,178.88,,196.7,189.8,187.53422825586313
92591,186.0,180.0,194.0,180.0,39242600,BUDI,2021-09-14,179.6,,195.83333333333334,188.8,185.85995531011577
93459,182.0,183.0,187.0,181.0,20377100,BUDI,2021-09-15,180.36,,195.2,187.9,185.22440968564558
94327,184.0,183.0,186.0,182.0,11305800,BUDI,2021-09-16,181.11,,193.96666666666667,187.1,184.7300964221688
95195,183.0,183.0,185.0,180.0,16868900,BUDI,2021-09-17,181.87,,192.13333333333333,185.7,184.34563055057572
96063,183.0,183.0,183.0,178.0,8087600,BUDI,2021-09-20,182.62,,190.83333333333334,184.4,184.04660153933668
96931,183.0,181.0,184.0,179.0,7222600,BUDI,2021-09-21,183.35,,189.8,182.9,183.36957897503964
97800,181.0,182.0,184.0,180.0,7771500,BUDI,2021-09-22,184.1,,188.86666666666667,182.4,183.0652280916975
98669,185.0,182.0,185.0,180.0,4602200,BUDI,2021-09-23,184.86,,188.26666666666668,182.2,182.82851073798693
99538,182.0,182.0,184.0,180.0,8729500,BUDI,2021-09-24,185.63,,187.86666666666667,182.4,182.6443972406565
100407,182.0,181.0,183.0,180.0,5961100,BUDI,2021-09-27,186.39,,186.96666666666667,182.0,182.27897563162173
