,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
157,865.0,875.0,890.0,865.0,9800,BUKK,2021-04-01,,,,,
997,885.0,930.0,930.0,875.0,136400,BUKK,2021-04-05,,,,,
1837,935.0,925.0,970.0,920.0,72400,BUKK,2021-04-06,,,,,
2677,925.0,915.0,925.0,870.0,27800,BUKK,2021-04-07,,,,,
3519,915.0,910.0,930.0,865.0,116900,BUKK,2021-04-08,,,,,
4361,910.0,910.0,910.0,905.0,300,BUKK,2021-04-09,,,,,
5204,880.0,915.0,930.0,880.0,15200,BUKK,2021-04-12,,,,,
6048,910.0,950.0,1000.0,900.0,134000,BUKK,2021-04-13,,,,,916.25
6892,950.0,950.0,950.0,930.0,20200,BUKK,2021-04-14,,,,,923.75
7737,950.0,985.0,990.0,945.0,84400,BUKK,2021-04-15,,,,926.5,937.3611111111111
8581,985.0,990.0,1000.0,975.0,40100,BUKK,2021-04-16,,,,938.0,949.0586419753087
9425,1000.0,985.0,1000.0,930.0,23900,BUKK,2021-04-19,,,,943.5,957.04561042524
10269,975.0,975.0,985.0,975.0,19800,BUKK,2021-04-20,,,,948.5,961.0354747751867
11113,975.0,975.0,985.0,960.0,62000,BUKK,2021-04-21,,,,954.5,964.138702602923
11957,980.0,980.0,990.0,980.0,70600,BUKK,2021-04-22,,,,961.5,967.663435357829
12801,980.0,985.0,995.0,980.0,4500,BUKK,2021-04-23,,,,969.0,971.5160052783115
13645,985.0,995.0,1000.0,985.0,18900,BUKK,2021-04-26,,,,977.0,976.7346707720201
14488,1000.0,1020.0,1020.0,995.0,16800,BUKK,2021-04-27,,,,984.0,986.3491883782378
15331,1020.0,1020.0,1165.0,1020.0,106500,BUKK,2021-04-28,,,,991.0,993.8271465164072
16175,1025.0,1030.0,1035.0,1020.0,21900,BUKK,2021-04-29,,,,995.5,1001.86555840165
17019,1050.0,1040.0,1050.0,965.0,17200,BUKK,2021-04-30,,,,1000.5,1010.3398787568389
17863,1040.0,1025.0,1040.0,1015.0,25800,BUKK,2021-05-03,,,,1004.5,1013.5976834775413
18706,1020.0,1030.0,1035.0,1005.0,15300,BUKK,2021-05-04,,,,1010.0,1017.2426427047543
19549,1030.0,1045.0,1050.0,1025.0,47000,BUKK,2021-05-05,,,,1017.0,1023.41094432592
20393,1075.0,1050.0,1075.0,1050.0,26100,BUKK,2021-05-06,,,,1024.0,1029.3196233646045
21237,1050.0,1065.0,1090.0,1005.0,20400,BUKK,2021-05-07,,,,1032.0,1037.2485959502478
22081,1065.0,1080.0,1080.0,1050.0,20300,BUKK,2021-05-10,,,,1040.5,1046.7489079613038
22924,1080.0,1090.0,1100.0,1030.0,99600,BUKK,2021-05-11,,,,1047.5,1056.3602617476806
23766,1095.0,1030.0,1095.0,1030.0,80700,BUKK,2021-05-17,,,,1048.5,1050.5024258037515
24606,1030.0,960.0,1030.0,960.0,30700,BUKK,2021-05-18,,,987.8333333333334,1041.5,1030.3907756251401
25446,960.0,905.0,960.0,895.0,77200,BUKK,2021-05-19,,,988.8333333333334,1028.0,1002.5261588195534
26298,905.0,900.0,905.0,900.0,14600,BUKK,2021-05-20,,,987.8333333333334,1015.5,979.7425679707637
27170,920.0,950.0,955.0,915.0,16700,BUKK,2021-05-21,,,988.6666666666666,1007.5,973.1331084217052
28010,965.0,960.0,975.0,950.0,8800,BUKK,2021-05-24,,,990.1666666666666,999.0,970.2146398835484
28852,960.0,985.0,985.0,960.0,8500,BUKK,2021-05-25,,,992.6666666666666,992.5,973.5002754649821
29643,990.0,1005.0,1005.0,985.0,15100,BUKK,2021-05-27,,,995.8333333333334,986.5,980.5002142505416
30485,1005.0,1025.0,1030.0,995.0,7000,BUKK,2021-05-28,,,999.5,981.0,990.389055528199
31327,1025.0,990.0,1025.0,990.0,16000,BUKK,2021-05-31,,,1000.8333333333334,971.0,990.3025987441548
32169,990.0,1015.0,1015.0,990.0,21000,BUKK,2021-06-02,,,1003.0,969.5,995.7909101343427
33010,1015.0,1030.0,1035.0,1015.0,2800,BUKK,2021-06-03,,,1004.5,976.5,1003.3929301044888
33851,1030.0,995.0,1030.0,995.0,10200,BUKK,2021-06-04,,,1004.6666666666666,985.5,1001.5278345257135
34692,995.0,990.0,995.0,990.0,4500,BUKK,2021-06-07,,,1004.8333333333334,994.5,998.9660935199994
35533,990.0,980.0,990.0,980.0,3900,BUKK,2021-06-08,,,1005.0,997.5,994.7514060711106
36376,975.0,965.0,975.0,955.0,20400,BUKK,2021-06-09,,,1004.6666666666666,998.0,988.1399824997527
37219,965.0,965.0,965.0,965.0,5100,BUKK,2021-06-10,,,1004.1666666666666,996.0,982.9977641664743
38066,965.0,955.0,980.0,925.0,20100,BUKK,2021-06-11,,,1003.1666666666666,991.0,976.7760387961467
38913,955.0,920.0,955.0,920.0,13300,BUKK,2021-06-14,,,1000.6666666666666,980.5,964.1591412858919
39760,920.0,950.0,950.0,905.0,32900,BUKK,2021-06-15,,,998.3333333333334,976.5,961.0126654445826
40607,950.0,945.0,950.0,925.0,28900,BUKK,2021-06-16,,,995.8333333333334,969.5,957.4542953457865
41454,925.0,940.0,950.0,925.0,11800,BUKK,2021-06-17,,,992.8333333333334,960.5,953.5755630467228
42301,940.0,915.0,945.0,915.0,50900,BUKK,2021-06-18,,,988.6666666666666,952.5,945.0032157030066
43148,960.0,955.0,960.0,925.0,34100,BUKK,2021-06-21,,,986.3333333333334,949.0,947.2247233245607
43995,955.0,950.0,955.0,935.0,12100,BUKK,2021-06-22,,,983.6666666666666,946.0,947.8414514746584
44842,950.0,955.0,955.0,950.0,3500,BUKK,2021-06-23,,,980.6666666666666,945.0,949.4322400358454
45689,955.0,955.0,955.0,955.0,2300,BUKK,2021-06-24,,,977.5,944.0,950.6695200278798
46536,955.0,955.0,955.0,955.0,2600,BUKK,2021-06-25,,,973.8333333333334,944.0,951.6318489105731
47384,975.0,940.0,975.0,935.0,17400,BUKK,2021-06-28,,,969.1666666666666,946.0,949.0469935971124
48230,940.0,975.0,975.0,940.0,26800,BUKK,2021-06-29,,,965.3333333333334,948.5,954.8143283533096
49024,975.0,980.0,990.0,975.0,33100,BUKK,2021-06-30,,,963.6666666666666,952.0,960.4111442747964
49875,975.0,1000.0,1000.0,975.0,10200,BUKK,2021-07-01,,,965.0,958.0,969.2086677692861
50726,1000.0,1015.0,1040.0,1000.0,8100,BUKK,2021-07-02,,,968.6666666666666,968.0,979.3845193761114
51577,1050.0,1020.0,1050.0,1015.0,41900,BUKK,2021-07-05,,,972.6666666666666,974.5,988.4101817369755
52429,1020.0,1035.0,1035.0,1000.0,10300,BUKK,2021-07-06,,,975.5,983.0,998.7634746843142
53275,1035.0,1030.0,1035.0,1030.0,1200,BUKK,2021-07-07,,,977.8333333333334,990.5,1005.7049247544667
54091,1025.0,1020.0,1025.0,970.0,5700,BUKK,2021-07-08,,,979.0,997.0,1008.881608142363
54942,1025.0,1010.0,1030.0,970.0,65300,BUKK,2021-07-09,,,979.1666666666666,1002.5,1009.1301396662824
55795,1010.0,940.0,1015.0,940.0,42100,BUKK,2021-07-12,,,976.3333333333334,1002.5,993.7678864071086
56648,970.0,960.0,970.0,960.0,14800,BUKK,2021-07-13,,,975.3333333333334,1001.0,986.2639116499734
57501,960.0,930.0,960.0,925.0,17500,BUKK,2021-07-14,,,972.5,996.0,973.7608201722015
58354,925.0,970.0,1010.0,925.0,6700,BUKK,2021-07-15,,,970.5,993.0,972.9250823561567
59207,985.0,990.0,1020.0,985.0,5800,BUKK,2021-07-16,,,970.3333333333334,990.5,976.719508499233
60060,995.0,950.0,995.0,950.0,6600,BUKK,2021-07-19,,,969.0,983.5,970.7818399438479
60912,950.0,955.0,960.0,950.0,19400,BUKK,2021-07-21,,,968.1666666666666,975.5,967.2747644007706
61764,955.0,975.0,980.0,955.0,3700,BUKK,2021-07-22,,,968.5,970.0,968.9914834228215
62616,975.0,995.0,1005.0,975.0,17900,BUKK,2021-07-23,,,969.5,967.5,974.7711537733056
63468,995.0,1020.0,1025.0,995.0,51800,BUKK,2021-07-26,,,971.6666666666666,968.5,984.8220084903488
64320,1020.0,995.0,1020.0,955.0,23300,BUKK,2021-07-27,,,974.1666666666666,974.0,987.0837843813824
65174,995.0,1020.0,1030.0,995.0,13600,BUKK,2021-07-28,,,976.5,980.0,994.3984989632975
66028,1050.0,1025.0,1050.0,965.0,16200,BUKK,2021-07-29,,,979.1666666666666,989.5,1001.1988325270091
66882,1025.0,980.0,1025.0,975.0,24000,BUKK,2021-07-30,,,980.5,990.5,996.4879808543404
67736,980.0,1020.0,1025.0,975.0,27800,BUKK,2021-08-02,,,984.0,993.5,1001.7128739978203
68590,1025.0,1025.0,1025.0,985.0,7900,BUKK,2021-08-03,,,986.3333333333334,1001.0,1006.8877908871935
69444,1025.0,1010.0,1025.0,975.0,5900,BUKK,2021-08-04,,,988.3333333333334,1006.5,1007.5793929122616
70298,1005.0,990.0,1010.0,945.0,35400,BUKK,2021-08-05,,,989.5,1008.0,1003.6728611539812
71153,1010.0,1020.0,1170.0,990.0,518500,BUKK,2021-08-06,,,991.6666666666666,1010.5,1007.3011142308743
72008,1040.0,1060.0,1075.0,1020.0,168300,BUKK,2021-08-09,,,995.1666666666666,1014.5,1019.0119777351244
72863,1060.0,1060.0,1065.0,1060.0,103300,BUKK,2021-08-10,,,999.1666666666666,1021.0,1028.120427127319
73718,1060.0,1060.0,1065.0,1030.0,48600,BUKK,2021-08-12,,,1002.0,1025.0,1035.2047766545816
74573,1060.0,1055.0,1060.0,1005.0,3900,BUKK,2021-08-13,,,1004.5,1028.0,1039.6037151757857
75428,1050.0,1040.0,1050.0,1025.0,12500,BUKK,2021-08-16,,,1005.8333333333334,1034.0,1039.6917784700556
76283,1040.0,1045.0,1070.0,1040.0,44200,BUKK,2021-08-18,,,1006.8333333333334,1036.5,1040.8713832544877
77138,1045.0,1040.0,1045.0,1035.0,12000,BUKK,2021-08-19,,,1007.5,1038.0,1040.6777425312682
77993,1090.0,980.0,1090.0,975.0,28200,BUKK,2021-08-20,,,1005.6666666666666,1035.0,1027.193799746542
78848,985.0,1005.0,1005.0,980.0,18300,BUKK,2021-08-23,,,1004.8333333333334,1036.5,1022.2618442473105
79703,1000.0,1000.0,1000.0,995.0,26000,BUKK,2021-08-24,,,1004.1666666666666,1034.5,1017.3147677479081
80558,1000.0,1010.0,1050.0,1000.0,11100,BUKK,2021-08-25,,,1004.1666666666666,1029.5,1015.6892638039286
81413,1000.0,1010.0,1010.0,1000.0,1300,BUKK,2021-08-26,,,1006.5,1024.5,1014.4249829586112
82268,1010.0,1010.0,1060.0,1000.0,57100,BUKK,2021-08-27,,,1008.1666666666666,1019.5,1013.4416534122531
83123,1060.0,1005.0,1070.0,1005.0,15100,BUKK,2021-08-30,,,1010.6666666666666,1014.5,1011.5657304317524
83978,1005.0,1000.0,1005.0,1000.0,25500,BUKK,2021-08-31,988.65,,1011.6666666666666,1010.5,1008.9955681135853
84833,1000.0,995.0,1050.0,990.0,28200,BUKK,2021-09-01,989.85,,1011.8333333333334,1005.5,1005.8854418661218
85689,1000.0,995.0,1020.0,990.0,6400,BUKK,2021-09-02,990.5,,1013.3333333333334,1001.0,1003.4664547847614
86545,1015.0,1000.0,1015.0,1000.0,15100,BUKK,2021-09-03,991.25,,1014.8333333333334,1003.0,1002.6961314992589
87401,1025.0,1010.0,1035.0,1000.0,28000,BUKK,2021-09-06,992.2,,1016.0,1003.5,1004.3192133883124
88261,1010.0,1030.0,1030.0,1010.0,29600,BUKK,2021-09-07,993.4,,1017.1666666666666,1006.5,1010.0260548575764
