,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121240,50.0,50.0,50.0,50.0,303000,BUMI,2020-07-01,,,,,
128661,50.0,50.0,50.0,50.0,149200,BUMI,2020-07-02,,,,,
102335,50.0,50.0,50.0,50.0,114400,BUMI,2020-07-03,,,,,
85028,50.0,50.0,50.0,50.0,694700,BUMI,2020-07-06,,,,,
33925,50.0,50.0,50.0,50.0,40309700,BUMI,2020-07-07,,,,,
47936,50.0,50.0,50.0,50.0,117356400,BUMI,2020-07-08,,,,,
114663,50.0,50.0,50.0,50.0,4715600,BUMI,2020-07-09,,,,,
23221,50.0,50.0,50.0,50.0,685200,BUMI,2020-07-10,,,,,50.0
14985,50.0,50.0,50.0,50.0,1691900,BUMI,2020-07-13,,,,,50.0
31463,50.0,50.0,50.0,50.0,617200,BUMI,2020-07-14,,,,50.0,50.0
89966,50.0,50.0,50.0,50.0,880900,BUMI,2020-07-15,,,,50.0,50.0
21576,50.0,50.0,50.0,50.0,387500,BUMI,2020-07-16,,,,50.0,50.0
104772,50.0,50.0,50.0,50.0,19736000,BUMI,2020-07-17,,,,50.0,50.0
78440,50.0,50.0,50.0,50.0,672600,BUMI,2020-07-20,,,,50.0,50.0
103143,50.0,50.0,50.0,50.0,5537100,BUMI,2020-07-21,,,,50.0,50.0
94086,50.0,50.0,50.0,50.0,2090100,BUMI,2020-07-22,,,,50.0,50.0
8394,50.0,50.0,50.0,50.0,2037200,BUMI,2020-07-23,,,,50.0,50.0
101521,50.0,50.0,50.0,50.0,3967700,BUMI,2020-07-24,,,,50.0,50.0
55351,50.0,50.0,50.0,50.0,2639100,BUMI,2020-07-27,,,,50.0,50.0
41342,50.0,50.0,50.0,50.0,391000,BUMI,2020-07-28,,,,50.0,50.0
111374,50.0,50.0,50.0,50.0,437600,BUMI,2020-07-29,,,,50.0,50.0
80894,50.0,50.0,50.0,50.0,291400,BUMI,2020-07-30,,,,50.0,50.0
117960,50.0,50.0,50.0,50.0,384600,BUMI,2020-08-03,,,,50.0,50.0
6757,50.0,50.0,50.0,50.0,298700,BUMI,2020-08-04,,,,50.0,50.0
53707,50.0,50.0,50.0,50.0,7178400,BUMI,2020-08-05,,,,50.0,50.0
70196,50.0,50.0,50.0,50.0,7242500,BUMI,2020-08-06,,,,50.0,50.0
43813,50.0,50.0,50.0,50.0,8858000,BUMI,2020-08-07,,,,50.0,50.0
99042,50.0,50.0,50.0,50.0,7832200,BUMI,2020-08-10,,,,50.0,50.0
52891,50.0,50.0,50.0,50.0,9475700,BUMI,2020-08-11,,,,50.0,50.0
120423,50.0,50.0,50.0,50.0,7888300,BUMI,2020-08-12,,,50.0,50.0,50.0
62772,50.0,50.0,50.0,50.0,6499200,BUMI,2020-08-13,,,50.0,50.0,50.0
87509,50.0,50.0,50.0,50.0,3516300,BUMI,2020-08-14,,,50.0,50.0,50.0
61128,50.0,50.0,50.0,50.0,447800,BUMI,2020-08-18,,,50.0,50.0,50.0
89150,50.0,50.0,50.0,50.0,1058700,BUMI,2020-08-19,,,50.0,50.0,50.0
10042,50.0,50.0,50.0,50.0,1812200,BUMI,2020-08-24,,,50.0,50.0,50.0
129469,50.0,50.0,50.0,50.0,503100,BUMI,2020-08-25,,,50.0,50.0,50.0
103956,50.0,50.0,50.0,50.0,8916200,BUMI,2020-08-26,,,50.0,50.0,50.0
3462,50.0,50.0,50.0,50.0,7920200,BUMI,2020-08-27,,,50.0,50.0,50.0
79253,50.0,50.0,50.0,50.0,2212700,BUMI,2020-08-28,,,50.0,50.0,50.0
27342,50.0,50.0,50.0,50.0,3903400,BUMI,2020-08-31,,,50.0,50.0,50.0
34737,50.0,50.0,50.0,50.0,2331500,BUMI,2020-09-01,,,50.0,50.0,50.0
38875,50.0,50.0,52.0,50.0,1381787300,BUMI,2020-09-02,,,50.0,50.0,50.0
68544,50.0,52.0,58.0,50.0,4610670100,BUMI,2020-09-03,,,50.06666666666667,50.2,50.44444444444444
12518,51.0,51.0,54.0,50.0,879859300,BUMI,2020-09-04,,,50.1,50.3,50.5679012345679
26523,51.0,52.0,54.0,50.0,518104000,BUMI,2020-09-07,,,50.166666666666664,50.5,50.88614540466392
108068,52.0,50.0,53.0,50.0,1173460400,BUMI,2020-09-08,,,50.166666666666664,50.5,50.6892242036275
122049,50.0,50.0,50.0,50.0,35193200,BUMI,2020-09-09,,,50.166666666666664,50.5,50.536063269488054
7571,50.0,50.0,50.0,50.0,949200,BUMI,2020-09-10,,,50.166666666666664,50.5,50.41693809849071
17448,50.0,50.0,50.0,50.0,1564500,BUMI,2020-09-11,,,50.166666666666664,50.5,50.324285187715
44628,50.0,50.0,50.0,50.0,7572000,BUMI,2020-09-14,,,50.166666666666664,50.5,50.25222181266722
66067,50.0,50.0,54.0,50.0,806098400,BUMI,2020-09-15,,,50.166666666666664,50.5,50.196172520963394
981,50.0,50.0,52.0,50.0,203064900,BUMI,2020-09-16,,,50.166666666666664,50.5,50.15257862741597
56165,50.0,50.0,51.0,50.0,201984400,BUMI,2020-09-17,,,50.166666666666664,50.3,50.11867226576798
61945,50.0,50.0,51.0,50.0,127397000,BUMI,2020-09-18,,,50.166666666666664,50.2,50.09230065115287
71837,50.0,50.0,51.0,50.0,81561100,BUMI,2020-09-21,,,50.166666666666664,50.0,50.07178939534112
99859,50.0,50.0,50.0,50.0,9022500,BUMI,2020-09-22,,,50.166666666666664,50.0,50.055836196376426
76790,50.0,50.0,50.0,50.0,18364400,BUMI,2020-09-23,,,50.166666666666664,50.0,50.04342815273722
65240,50.0,50.0,50.0,50.0,855300,BUMI,2020-09-24,,,50.166666666666664,50.0,50.03377745212895
96561,50.0,50.0,50.0,50.0,6328600,BUMI,2020-09-25,,,50.166666666666664,50.0,50.02627135165585
59477,50.0,50.0,50.0,50.0,2009300,BUMI,2020-09-28,,,50.166666666666664,50.0,50.02043327351011
15797,50.0,50.0,51.0,50.0,192231300,BUMI,2020-09-29,,,50.166666666666664,50.0,50.01589254606342
84202,50.0,50.0,50.0,50.0,18872600,BUMI,2020-09-30,,,50.166666666666664,50.0,50.01236086916044
91602,50.0,50.0,50.0,50.0,14375400,BUMI,2020-10-01,,,50.166666666666664,50.0,50.00961400934701
67720,50.0,50.0,51.0,50.0,6376000,BUMI,2020-10-02,,,50.166666666666664,50.0,50.00747756282545
11694,50.0,50.0,50.0,50.0,8471100,BUMI,2020-10-05,,,50.166666666666664,50.0,50.005815882197574
119599,50.0,50.0,51.0,50.0,94971800,BUMI,2020-10-06,,,50.166666666666664,50.0,50.00452346393145
20752,50.0,51.0,51.0,50.0,64913000,BUMI,2020-10-07,,,50.2,50.1,50.22574047194668
19096,50.0,50.0,51.0,50.0,35543500,BUMI,2020-10-08,,,50.2,50.1,50.17557592262519
109725,50.0,50.0,51.0,50.0,28498100,BUMI,2020-10-09,,,50.2,50.1,50.13655905093071
28160,50.0,50.0,51.0,50.0,21524600,BUMI,2020-10-12,,,50.2,50.1,50.10621259516833
75965,50.0,50.0,50.0,50.0,8003000,BUMI,2020-10-13,,,50.2,50.1,50.08260979624203
106414,50.0,50.0,50.0,50.0,2686100,BUMI,2020-10-14,,,50.2,50.1,50.0642520637438
14161,50.0,50.0,50.0,50.0,2389600,BUMI,2020-10-15,,,50.13333333333333,50.1,50.04997382735629
5109,50.0,50.0,50.0,50.0,760700,BUMI,2020-10-16,,,50.1,50.1,50.03886853238823
156,50.0,50.0,50.0,50.0,34508500,BUMI,2020-10-19,,,50.03333333333333,50.1,50.0302310807464
124530,50.0,50.0,50.0,50.0,2908200,BUMI,2020-10-20,,,50.03333333333333,50.1,50.023513062802756
74315,50.0,50.0,50.0,50.0,1238000,BUMI,2020-10-21,,,50.03333333333333,50.0,50.01828793773548
29815,50.0,50.0,50.0,50.0,1020300,BUMI,2020-10-22,,,50.03333333333333,50.0,50.01422395157204
32275,50.0,50.0,50.0,50.0,5893100,BUMI,2020-10-23,,,50.03333333333333,50.0,50.01106307344492
56993,50.0,50.0,50.0,50.0,1747800,BUMI,2020-10-26,,,50.03333333333333,50.0,50.008604612679385
52067,50.0,50.0,50.0,50.0,5141900,BUMI,2020-10-27,,,50.03333333333333,50.0,50.00669247652841
88326,50.0,50.0,53.0,50.0,359110300,BUMI,2020-11-02,,,50.03333333333333,50.0,50.00520525952209
83377,50.0,51.0,53.0,50.0,353113100,BUMI,2020-11-03,,,50.06666666666667,50.1,50.22627075740607
5934,52.0,50.0,53.0,50.0,300380700,BUMI,2020-11-04,,,50.06666666666667,50.1,50.17598836687139
18272,50.0,50.0,51.0,50.0,107894000,BUMI,2020-11-05,,,50.06666666666667,50.1,50.136879840899965
42156,50.0,50.0,51.0,50.0,142735300,BUMI,2020-11-06,,,50.06666666666667,50.1,50.10646209847775
90778,51.0,50.0,51.0,50.0,117609400,BUMI,2020-11-09,,,50.06666666666667,50.1,50.08280385437158
1809,51.0,50.0,51.0,50.0,43973600,BUMI,2020-11-10,,,50.06666666666667,50.1,50.06440299784457
24033,50.0,50.0,51.0,50.0,193153200,BUMI,2020-11-11,,,50.06666666666667,50.1,50.050091220545774
77617,50.0,50.0,50.0,50.0,24804600,BUMI,2020-11-12,,,50.06666666666667,50.1,50.03895983820227
75140,50.0,50.0,50.0,50.0,17923600,BUMI,2020-11-13,,,50.06666666666667,50.1,50.03030209637954
73490,50.0,50.0,50.0,50.0,8821600,BUMI,2020-11-16,,,50.06666666666667,50.1,50.02356829718409
39693,50.0,50.0,50.0,50.0,10143100,BUMI,2020-11-17,,,50.06666666666667,50.0,50.01833089780985
16623,50.0,50.0,50.0,50.0,3541700,BUMI,2020-11-18,,,50.06666666666667,50.0,50.014257364963214
66895,50.0,50.0,50.0,50.0,27359200,BUMI,2020-11-19,,,50.06666666666667,50.0,50.01108906163805
80070,50.0,50.0,51.0,50.0,174531500,BUMI,2020-11-20,,,50.06666666666667,50.0,50.008624825718485
71012,50.0,53.0,54.0,50.0,782943500,BUMI,2020-11-23,,,50.13333333333333,50.3,50.67337486444771
112188,54.0,57.0,58.0,53.0,1361862900,BUMI,2020-11-24,,,50.36666666666667,51.0,52.079291561237106
118774,58.0,72.0,75.0,58.0,3895139900,BUMI,2020-11-25,,,51.1,53.2,56.50611565873997
58652,73.0,76.0,79.0,73.0,2186405900,BUMI,2020-11-26,50.65,,51.96666666666667,55.8,60.83808995679776
13336,77.0,71.0,80.0,71.0,1673442700,BUMI,2020-11-27,50.86,,52.666666666666664,57.9,63.09629218862048
117136,71.0,67.0,73.0,67.0,1548291000,BUMI,2020-11-30,51.03,,53.233333333333334,59.6,63.96378281337149
113839,68.0,63.0,71.0,63.0,1279424700,BUMI,2020-12-01,51.16,,53.666666666666664,60.9,63.74960885484449
116311,64.0,59.0,64.0,59.0,1000637900,BUMI,2020-12-02,51.25,,53.96666666666667,61.8,62.694140220434605
38051,59.0,71.0,71.0,56.0,2646295700,BUMI,2020-12-03,51.46,,54.666666666666664,63.9,64.5398868381158
