,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
120408,67.0,66.0,67.0,65.0,312100,BVIC,2020-07-01,,,,,
127829,67.0,69.0,69.0,66.0,77400,BVIC,2020-07-02,,,,,
101503,69.0,69.0,69.0,66.0,442900,BVIC,2020-07-03,,,,,
84196,69.0,71.0,76.0,68.0,1386800,BVIC,2020-07-06,,,,,
33927,69.0,68.0,71.0,68.0,203700,BVIC,2020-07-07,,,,,
47104,70.0,67.0,70.0,67.0,374400,BVIC,2020-07-08,,,,,
113831,67.0,69.0,69.0,65.0,381700,BVIC,2020-07-09,,,,,
23223,69.0,69.0,69.0,68.0,241500,BVIC,2020-07-10,,,,,68.5
14987,70.0,70.0,71.0,68.0,243100,BVIC,2020-07-13,,,,,68.83333333333333
31465,69.0,69.0,70.0,68.0,163900,BVIC,2020-07-14,,,,68.7,68.87037037037037
89134,69.0,70.0,73.0,69.0,1007600,BVIC,2020-07-15,,,,69.1,69.12139917695472
21578,69.0,68.0,70.0,66.0,593100,BVIC,2020-07-16,,,,69.0,68.87219935985368
103940,68.0,69.0,69.0,67.0,90400,BVIC,2020-07-17,,,,69.0,68.90059950210842
77608,68.0,66.0,69.0,65.0,791000,BVIC,2020-07-20,,,,68.5,68.25602183497321
102311,67.0,63.0,68.0,62.0,3161900,BVIC,2020-07-21,,,,68.0,67.08801698275694
93254,59.0,59.0,64.0,59.0,1711600,BVIC,2020-07-22,,,,67.2,65.29067987547762
8396,59.0,62.0,63.0,57.0,226700,BVIC,2020-07-23,,,,66.5,64.55941768092704
100689,62.0,61.0,63.0,58.0,725300,BVIC,2020-07-24,,,,65.7,63.76843597405436
54519,61.0,64.0,66.0,59.0,1161000,BVIC,2020-07-27,,,,65.1,63.81989464648672
41344,61.0,65.0,65.0,61.0,399000,BVIC,2020-07-28,,,,64.7,64.08214028060078
110542,62.0,63.0,65.0,61.0,1814800,BVIC,2020-07-29,,,,64.0,63.841664662689496
80062,62.0,59.0,65.0,59.0,2740900,BVIC,2020-07-30,,,,63.1,62.76573918209183
117128,59.0,59.0,62.0,57.0,315500,BVIC,2020-08-03,,,,62.1,61.92890825273809
6759,58.0,60.0,60.0,58.0,106500,BVIC,2020-08-04,,,,61.5,61.50026197435185
52875,60.0,60.0,61.0,58.0,476600,BVIC,2020-08-05,,,,61.2,61.16687042449588
69364,59.0,60.0,62.0,59.0,1135800,BVIC,2020-08-06,,,,61.3,60.90756588571902
42981,60.0,61.0,67.0,60.0,3749400,BVIC,2020-08-07,,,,61.2,60.92810680000368
98210,61.0,62.0,64.0,60.0,901700,BVIC,2020-08-10,,,,61.3,61.166305288891756
52059,59.0,65.0,65.0,59.0,1109400,BVIC,2020-08-11,,,,61.4,62.01823744691581
119591,61.0,65.0,65.0,61.0,197200,BVIC,2020-08-12,,,64.93333333333334,61.4,62.680851347601184
61940,64.0,63.0,65.0,63.0,137100,BVIC,2020-08-13,,,64.83333333333333,61.4,62.75177327035647
86677,63.0,65.0,65.0,63.0,126700,BVIC,2020-08-14,,,64.7,62.0,63.25137921027726
60296,64.0,66.0,66.0,63.0,469500,BVIC,2020-08-18,,,64.6,62.7,63.86218383021564
88318,65.0,66.0,67.0,63.0,406300,BVIC,2020-08-19,,,64.43333333333334,63.3,64.33725409016772
10044,62.0,67.0,71.0,62.0,6591300,BVIC,2020-08-24,,,64.4,64.0,64.92897540346378
128637,70.0,68.0,71.0,67.0,1040200,BVIC,2020-08-25,,,64.43333333333334,64.8,65.61142531380516
103124,67.0,67.0,69.0,67.0,369400,BVIC,2020-08-26,,,64.36666666666666,65.4,65.9199974662929
3464,67.0,70.0,71.0,65.0,800100,BVIC,2020-08-27,,,64.4,66.2,66.8266646960056
78421,70.0,68.0,74.0,68.0,785200,BVIC,2020-08-28,,,64.33333333333333,66.5,67.08740587467102
27344,68.0,69.0,72.0,67.0,323300,BVIC,2020-08-31,,,64.33333333333333,66.9,67.51242679141079
34739,69.0,69.0,70.0,67.0,26600,BVIC,2020-09-01,,,64.3,67.5,67.84299861554173
38877,68.0,69.0,70.0,68.0,144200,BVIC,2020-09-02,,,64.33333333333333,67.9,68.10011003431023
67712,68.0,69.0,69.0,67.0,399600,BVIC,2020-09-03,,,64.33333333333333,68.2,68.3000855822413
12520,67.0,68.0,69.0,65.0,553000,BVIC,2020-09-04,,,64.4,68.4,68.23339989729878
26525,68.0,69.0,69.0,67.0,127700,BVIC,2020-09-07,,,64.6,68.6,68.40375547567683
107236,68.0,68.0,70.0,68.0,19800,BVIC,2020-09-08,,,64.9,68.6,68.31403203663754
121217,65.0,66.0,69.0,64.0,173600,BVIC,2020-09-09,,,65.03333333333333,68.5,67.79980269516253
7573,65.0,64.0,67.0,63.0,220200,BVIC,2020-09-10,,,65.13333333333334,67.9,66.95540209623752
17450,64.0,68.0,68.0,62.0,574800,BVIC,2020-09-11,,,65.26666666666667,67.9,67.18753496374029
43796,67.0,67.0,68.0,67.0,312300,BVIC,2020-09-14,,,65.33333333333333,67.7,67.14586052735356
65235,67.0,65.0,69.0,65.0,538600,BVIC,2020-09-15,,,65.4,67.3,66.66900263238611
983,67.0,67.0,68.0,66.0,180000,BVIC,2020-09-16,,,65.66666666666667,67.1,66.74255760296697
55333,65.0,68.0,68.0,65.0,45000,BVIC,2020-09-17,,,65.96666666666667,67.0,67.02198924675209
61113,67.0,68.0,68.0,65.0,128900,BVIC,2020-09-18,,,66.23333333333333,67.0,67.23932496969607
71005,68.0,66.0,68.0,64.0,381500,BVIC,2020-09-21,,,66.43333333333334,66.7,66.96391942087472
99027,66.0,65.0,66.0,64.0,116400,BVIC,2020-09-22,,,66.6,66.4,66.52749288290256
75958,66.0,66.0,66.0,63.0,176100,BVIC,2020-09-23,,,66.76666666666667,66.4,66.41027224225755
64408,66.0,65.0,66.0,64.0,165300,BVIC,2020-09-24,,,66.86666666666666,66.5,66.09687841064476
95729,63.0,65.0,66.0,63.0,312500,BVIC,2020-09-25,,,66.86666666666666,66.2,65.8531276527237
58645,63.0,64.0,66.0,63.0,55400,BVIC,2020-09-28,,,66.83333333333333,65.9,65.44132150767399
15799,64.0,64.0,65.0,63.0,51200,BVIC,2020-09-29,,,66.86666666666666,65.8,65.12102783930199
83370,64.0,63.0,65.0,63.0,297800,BVIC,2020-09-30,,,66.8,65.4,64.6496883194571
90770,64.0,61.0,64.0,60.0,291100,BVIC,2020-10-01,,,66.63333333333334,64.7,63.83864647068886
66888,62.0,64.0,65.0,62.0,719300,BVIC,2020-10-02,,,66.56666666666666,64.3,63.87450281053578
11696,64.0,62.0,66.0,60.0,1058800,BVIC,2020-10-05,,,66.4,63.9,63.45794663041672
118767,62.0,62.0,64.0,61.0,1438000,BVIC,2020-10-06,,,66.2,63.6,63.13395849032412
20754,61.0,61.0,62.0,61.0,156700,BVIC,2020-10-07,,,66.0,63.1,62.659745492474315
