,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126249,50.0,50.0,51.0,50.0,162900,CAKK,2020-07-01,,,,,
133670,50.0,50.0,51.0,50.0,329700,CAKK,2020-07-02,,,,,
107344,50.0,50.0,50.0,50.0,30500,CAKK,2020-07-03,,,,,
89203,50.0,50.0,50.0,50.0,279300,CAKK,2020-07-06,,,,,
33930,50.0,50.0,51.0,50.0,194600,CAKK,2020-07-07,,,,,
51277,50.0,50.0,50.0,50.0,10400,CAKK,2020-07-08,,,,,
119672,50.0,50.0,50.0,50.0,10100,CAKK,2020-07-09,,,,,
23226,51.0,50.0,51.0,50.0,367700,CAKK,2020-07-10,,,,,50.0
14990,50.0,50.0,50.0,50.0,112500,CAKK,2020-07-13,,,,,50.0
31468,50.0,50.0,51.0,50.0,621000,CAKK,2020-07-14,,,,50.0,50.0
94975,50.0,50.0,51.0,50.0,180400,CAKK,2020-07-15,,,,50.0,50.0
21581,50.0,50.0,50.0,50.0,173000,CAKK,2020-07-16,,,,50.0,50.0
109781,50.0,50.0,50.0,50.0,366300,CAKK,2020-07-17,,,,50.0,50.0
82615,50.0,50.0,51.0,50.0,445700,CAKK,2020-07-20,,,,50.0,50.0
108152,50.0,50.0,50.0,50.0,247500,CAKK,2020-07-21,,,,50.0,50.0
99095,50.0,50.0,50.0,50.0,96800,CAKK,2020-07-22,,,,50.0,50.0
8399,50.0,50.0,50.0,50.0,16100,CAKK,2020-07-23,,,,50.0,50.0
106530,50.0,50.0,50.0,50.0,28200,CAKK,2020-07-24,,,,50.0,50.0
59526,50.0,50.0,51.0,50.0,422300,CAKK,2020-07-27,,,,50.0,50.0
43015,50.0,50.0,50.0,50.0,131500,CAKK,2020-07-28,,,,50.0,50.0
116383,50.0,50.0,50.0,50.0,81300,CAKK,2020-07-29,,,,50.0,50.0
85069,50.0,50.0,50.0,50.0,1000,CAKK,2020-07-30,,,,50.0,50.0
122969,50.0,50.0,50.0,50.0,0,CAKK,2020-08-03,,,,50.0,50.0
6762,50.0,50.0,50.0,50.0,100,CAKK,2020-08-04,,,,50.0,50.0
57882,50.0,50.0,50.0,50.0,1500,CAKK,2020-08-05,,,,50.0,50.0
74371,50.0,50.0,50.0,50.0,2600,CAKK,2020-08-06,,,,50.0,50.0
46320,50.0,50.0,50.0,50.0,2600,CAKK,2020-08-07,,,,50.0,50.0
104051,50.0,50.0,50.0,50.0,300,CAKK,2020-08-10,,,,50.0,50.0
57066,50.0,50.0,50.0,50.0,900,CAKK,2020-08-11,,,,50.0,50.0
125432,50.0,50.0,50.0,50.0,2600,CAKK,2020-08-12,,,50.0,50.0,50.0
66947,50.0,50.0,50.0,50.0,500,CAKK,2020-08-13,,,50.0,50.0,50.0
92518,50.0,50.0,50.0,50.0,2400,CAKK,2020-08-14,,,50.0,50.0,50.0
65303,50.0,50.0,50.0,50.0,21100,CAKK,2020-08-18,,,50.0,50.0,50.0
94159,50.0,50.0,50.0,50.0,0,CAKK,2020-08-19,,,50.0,50.0,50.0
10047,50.0,50.0,50.0,50.0,375900,CAKK,2020-08-24,,,50.0,50.0,50.0
134478,50.0,50.0,50.0,50.0,32500,CAKK,2020-08-25,,,50.0,50.0,50.0
108965,50.0,50.0,50.0,50.0,400,CAKK,2020-08-26,,,50.0,50.0,50.0
3467,50.0,50.0,50.0,50.0,2000,CAKK,2020-08-27,,,50.0,50.0,50.0
83428,50.0,50.0,50.0,50.0,6000,CAKK,2020-08-28,,,50.0,50.0,50.0
27347,50.0,50.0,50.0,50.0,0,CAKK,2020-08-31,,,50.0,50.0,50.0
34742,50.0,50.0,50.0,50.0,0,CAKK,2020-09-01,,,50.0,50.0,50.0
38880,50.0,50.0,50.0,50.0,38700,CAKK,2020-09-02,,,50.0,50.0,50.0
72719,50.0,50.0,50.0,50.0,10100,CAKK,2020-09-03,,,50.0,50.0,50.0
12523,50.0,50.0,50.0,50.0,11900,CAKK,2020-09-04,,,50.0,50.0,50.0
26528,50.0,50.0,50.0,50.0,400,CAKK,2020-09-07,,,50.0,50.0,50.0
113077,50.0,50.0,50.0,50.0,8700,CAKK,2020-09-08,,,50.0,50.0,50.0
127058,50.0,50.0,50.0,50.0,45000,CAKK,2020-09-09,,,50.0,50.0,50.0
7576,50.0,50.0,50.0,50.0,3100,CAKK,2020-09-10,,,50.0,50.0,50.0
17453,50.0,50.0,50.0,50.0,2200,CAKK,2020-09-11,,,50.0,50.0,50.0
47135,50.0,50.0,50.0,50.0,15000,CAKK,2020-09-14,,,50.0,50.0,50.0
70242,50.0,50.0,50.0,50.0,300100,CAKK,2020-09-15,,,50.0,50.0,50.0
986,50.0,50.0,50.0,50.0,400,CAKK,2020-09-16,,,50.0,50.0,50.0
60340,50.0,50.0,50.0,50.0,7000,CAKK,2020-09-17,,,50.0,50.0,50.0
66120,50.0,50.0,50.0,50.0,0,CAKK,2020-09-18,,,50.0,50.0,50.0
76012,50.0,50.0,50.0,50.0,200,CAKK,2020-09-21,,,50.0,50.0,50.0
104868,50.0,50.0,50.0,50.0,200,CAKK,2020-09-22,,,50.0,50.0,50.0
80965,50.0,50.0,50.0,50.0,7000,CAKK,2020-09-23,,,50.0,50.0,50.0
69415,50.0,50.0,50.0,50.0,0,CAKK,2020-09-24,,,50.0,50.0,50.0
101570,50.0,50.0,50.0,50.0,0,CAKK,2020-09-25,,,50.0,50.0,50.0
63652,50.0,50.0,50.0,50.0,0,CAKK,2020-09-28,,,50.0,50.0,50.0
