,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
121265,76.0,76.0,76.0,76.0,0,CKRA,2020-07-01,,,,,
128686,76.0,76.0,76.0,76.0,0,CKRA,2020-07-02,,,,,
102360,76.0,76.0,76.0,76.0,0,CKRA,2020-07-03,,,,,
85053,76.0,76.0,76.0,76.0,0,CKRA,2020-07-06,,,,,
33950,76.0,76.0,76.0,76.0,0,CKRA,2020-07-07,,,,,
47961,76.0,76.0,76.0,76.0,0,CKRA,2020-07-08,,,,,
114688,76.0,76.0,76.0,76.0,0,CKRA,2020-07-09,,,,,
23246,76.0,76.0,76.0,76.0,0,CKRA,2020-07-10,,,,,76.0
15010,76.0,76.0,76.0,76.0,0,CKRA,2020-07-13,,,,,76.0
31488,76.0,76.0,76.0,76.0,0,CKRA,2020-07-14,,,,76.0,76.0
89991,76.0,76.0,76.0,76.0,0,CKRA,2020-07-15,,,,76.0,76.0
21601,76.0,76.0,76.0,76.0,0,CKRA,2020-07-16,,,,76.0,76.0
104797,76.0,76.0,76.0,76.0,0,CKRA,2020-07-17,,,,76.0,76.0
78465,76.0,76.0,76.0,76.0,0,CKRA,2020-07-20,,,,76.0,76.0
103168,76.0,76.0,76.0,76.0,0,CKRA,2020-07-21,,,,76.0,76.0
94111,76.0,76.0,76.0,76.0,0,CKRA,2020-07-22,,,,76.0,76.0
8419,76.0,76.0,76.0,76.0,0,CKRA,2020-07-23,,,,76.0,76.0
101546,76.0,76.0,76.0,76.0,0,CKRA,2020-07-24,,,,76.0,76.0
55376,76.0,76.0,76.0,76.0,0,CKRA,2020-07-27,,,,76.0,76.0
41367,76.0,76.0,76.0,76.0,0,CKRA,2020-07-28,,,,76.0,76.0
111399,76.0,76.0,76.0,76.0,0,CKRA,2020-07-29,,,,76.0,76.0
80919,76.0,76.0,76.0,76.0,0,CKRA,2020-07-30,,,,76.0,76.0
117985,76.0,76.0,76.0,76.0,0,CKRA,2020-08-03,,,,76.0,76.0
6782,76.0,76.0,76.0,76.0,0,CKRA,2020-08-04,,,,76.0,76.0
53732,76.0,76.0,76.0,76.0,0,CKRA,2020-08-05,,,,76.0,76.0
70221,76.0,76.0,76.0,76.0,0,CKRA,2020-08-06,,,,76.0,76.0
43838,76.0,76.0,76.0,76.0,0,CKRA,2020-08-07,,,,76.0,76.0
99067,76.0,76.0,76.0,76.0,0,CKRA,2020-08-10,,,,76.0,76.0
52916,76.0,76.0,76.0,76.0,0,CKRA,2020-08-11,,,,76.0,76.0
120448,76.0,76.0,76.0,76.0,0,CKRA,2020-08-12,,,76.0,76.0,76.0
62797,76.0,76.0,76.0,76.0,0,CKRA,2020-08-13,,,76.0,76.0,76.0
87534,76.0,76.0,76.0,76.0,0,CKRA,2020-08-14,,,76.0,76.0,76.0
61153,76.0,76.0,76.0,76.0,0,CKRA,2020-08-18,,,76.0,76.0,76.0
89175,76.0,76.0,76.0,76.0,0,CKRA,2020-08-19,,,76.0,76.0,76.0
10067,76.0,76.0,76.0,76.0,0,CKRA,2020-08-24,,,76.0,76.0,76.0
129494,76.0,76.0,76.0,76.0,0,CKRA,2020-08-25,,,76.0,76.0,76.0
103981,76.0,76.0,76.0,76.0,0,CKRA,2020-08-26,,,76.0,76.0,76.0
3487,76.0,76.0,76.0,76.0,0,CKRA,2020-08-27,,,76.0,76.0,76.0
