,<open>,<close>,<high>,<low>,<volume>,<ticker>,<tgl>,<MA100>,<MA200>,<MA30>,<MA10>,<EMA8>
126271,466.0,466.0,468.0,462.0,5124000,CLEO,2020-07-01,,,,,
133692,464.0,466.0,468.0,462.0,5480100,CLEO,2020-07-02,,,,,
107366,466.0,460.0,466.0,460.0,5853600,CLEO,2020-07-03,,,,,
89225,460.0,462.0,468.0,460.0,7405300,CLEO,2020-07-06,,,,,
33952,462.0,464.0,466.0,460.0,3768300,CLEO,2020-07-07,,,,,
51299,464.0,462.0,466.0,462.0,6483300,CLEO,2020-07-08,,,,,
119694,462.0,464.0,476.0,462.0,11318400,CLEO,2020-07-09,,,,,
23248,466.0,468.0,478.0,464.0,13317500,CLEO,2020-07-10,,,,,464.0
15012,470.0,472.0,474.0,468.0,7635200,CLEO,2020-07-13,,,,,465.77777777777777
31490,472.0,468.0,476.0,466.0,7036700,CLEO,2020-07-14,,,,465.2,466.2716049382716
94997,468.0,464.0,472.0,462.0,5303300,CLEO,2020-07-15,,,,465.0,465.7668038408779
21603,464.0,464.0,466.0,462.0,7249200,CLEO,2020-07-16,,,,464.8,465.3741807651273
109803,464.0,466.0,466.0,462.0,6057900,CLEO,2020-07-17,,,,465.4,465.5132517062101
82637,466.0,456.0,468.0,444.0,11083300,CLEO,2020-07-20,,,,464.8,463.39919577149675
108174,456.0,462.0,462.0,454.0,5287400,CLEO,2020-07-21,,,,464.6,463.0882633778308
99117,462.0,458.0,462.0,458.0,6604900,CLEO,2020-07-22,,,,464.2,461.9575381827573
8421,460.0,458.0,462.0,458.0,6532600,CLEO,2020-07-23,,,,463.6,461.07808525325567
106552,458.0,458.0,460.0,456.0,6338300,CLEO,2020-07-24,,,,462.6,460.39406630808776
59548,458.0,458.0,462.0,456.0,6294100,CLEO,2020-07-27,,,,461.2,459.86205157295717
43037,458.0,460.0,462.0,458.0,5466500,CLEO,2020-07-28,,,,460.4,459.89270677896667
116405,460.0,525.0,565.0,458.0,117220200,CLEO,2020-07-29,,,,466.5,474.36099416141855
85091,535.0,515.0,535.0,500.0,36284900,CLEO,2020-07-30,,,,471.6,483.39188434777
122991,515.0,496.0,520.0,480.0,22067400,CLEO,2020-08-03,,,,474.6,486.1936878260433
